numero_onda_cm1,irf_w_m2_cm,erf_w_m2_cm
1835.6703390606403,-2.650404466104943e-08,-2.931398250164164e-07
1841.9986571855834,-2.300400247581807e-08,-6.908918406492811e-07
1848.326975310526,-2.893710591870167e-07,-2.9585464757776566e-06
1854.6552934354686,-7.054736992324946e-07,-8.277432572314783e-07
1860.9836115604116,-9.238047210434857e-07,-1.0429332519551582e-06
1867.3119296853542,-2.6778192210932026e-07,-5.495500791708754e-06
1873.640247810297,-1.1926240385859803e-06,-1.2226430762227948e-06
1879.96856593524,-3.4622365560635454e-06,-3.5412068660637623e-06
1886.2968840601825,-1.761182393054937e-06,-2.93024329215608e-06
1892.6252021851255,-3.482580462901416e-06,-3.7143387158716343e-06
1898.9535203100681,-2.0133617887341785e-05,-2.1625789590323714e-05
1905.281838435011,-1.4376064870957624e-05,-1.7099908826117648e-05
1911.6101565599538,-2.023722880062232e-05,-2.2300090672689768e-05
1917.9384746848964,-1.7652308341061586e-05,-1.8492566932703513e-05
1924.2667928098394,-1.282340356315959e-05,-1.5247562095337569e-05
1930.595110934782,-3.756978710728933e-05,-3.799733896759073e-05
1936.923429059725,-4.045321216873705e-05,-4.142253745574669e-05
1943.2517471846677,-1.595849618387718e-06,-3.0826512527024405e-06
1949.5800653096103,-5.5230942365001615e-06,-5.532094460928139e-06
1955.9083834345533,-8.405887326792641e-06,-8.420278987576033e-06
1962.236701559496,-8.27424840957637e-06,-8.294307957308438e-06
1968.5650196844388,-2.9618022576852986e-06,-3.008098989592867e-06
1974.8933378093816,-3.1415784080771166e-06,-3.1434683274052846e-06
1981.2216559343242,-1.5415946847832156e-06,-1.5392837913460032e-06
1987.5499740592672,-6.383169597644126e-07,-8.147788338936918e-07
1993.8782921842098,-5.767042414735816e-07,-6.163655244857558e-07
2000.2066103091527,-1.8325797926613997e-06,-1.8747284594274573e-06
2006.5349284340955,-3.947938494328293e-06,-3.9927832671851035e-06
2012.863246559038,-9.389232000895425e-06,-9.445565491199955e-06
2019.1915646839811,-9.513300632723524e-06,-9.876670450693127e-06
2025.5198828089237,-1.4292421908663166e-05,-1.4304187217270502e-05
2031.8482009338666,-2.5495561715345088e-05,-2.577822964222507e-05
2038.1765190588094,-4.668174147857039e-05,-4.76977331042792e-05
2044.504837183752,-4.374866490591124e-05,-4.414172964804146e-05
2050.833155308695,-0.00010156249578497923,-0.00010191541618105138
2057.1614734336376,-0.0001047779938210762,-0.00010592669698954987
2063.4897915585802,-6.483737514115527e-05,-6.57287249883444e-05
2069.8181096835233,-9.854757770004166e-05,-0.00010018151166041645
2076.146427808466,-7.319813628682614e-05,-7.602143170151333e-05
2082.474745933409,-8.230597651922927e-05,-8.472423944772316e-05
2088.8030640583515,-3.620125668700592e-05,-3.876000732926167e-05
2095.131382183294,-4.142438680221239e-05,-4.559583207182542e-05
2101.459700308237,-2.738423322250107e-05,-3.379162954250624e-05
2107.78801843318,-2.5901469471736397e-05,-3.224460683891364e-05
2114.116336558123,-2.645558485479248e-05,-2.8551450533288714e-05
2120.4446546830654,-1.6491942914885747e-05,-2.1783736765173814e-05
2126.772972808008,-2.7854863159772574e-05,-3.201370684089101e-05
2133.101290932951,-7.770062071977626e-06,-7.537092553484531e-06
