id,Distribution,Upper,Weight,n_languages
tight weibull weighted,weibull,tight,weighted,3182.0
tight weibull weighted,weibull,tight,weighted,3254.0
tight weibull weighted,weibull,tight,weighted,3340.0
tight weibull weighted,weibull,tight,weighted,3242.0
tight weibull weighted,weibull,tight,weighted,3369.0
tight weibull weighted,weibull,tight,weighted,3480.0
tight weibull weighted,weibull,tight,weighted,3578.0
tight weibull weighted,weibull,tight,weighted,3541.0
tight weibull weighted,weibull,tight,weighted,3654.0
tight weibull weighted,weibull,tight,weighted,3753.0
tight weibull weighted,weibull,tight,weighted,3852.0
tight weibull weighted,weibull,tight,weighted,3799.0
tight weibull weighted,weibull,tight,weighted,3954.0
tight weibull weighted,weibull,tight,weighted,4019.0
tight weibull weighted,weibull,tight,weighted,4164.0
tight weibull weighted,weibull,tight,weighted,4160.0
tight weibull weighted,weibull,tight,weighted,4254.0
tight weibull weighted,weibull,tight,weighted,4263.0
tight weibull weighted,weibull,tight,weighted,4316.0
tight weibull weighted,weibull,tight,weighted,4465.0
tight weibull weighted,weibull,tight,weighted,4482.0
tight weibull weighted,weibull,tight,weighted,4507.0
tight weibull weighted,weibull,tight,weighted,4617.0
tight weibull weighted,weibull,tight,weighted,3418.0
tight weibull weighted,weibull,tight,weighted,3420.0
tight weibull weighted,weibull,tight,weighted,3555.0
tight weibull weighted,weibull,tight,weighted,3598.0
tight weibull weighted,weibull,tight,weighted,3771.0
tight weibull weighted,weibull,tight,weighted,3723.0
tight weibull weighted,weibull,tight,weighted,3879.0
tight weibull weighted,weibull,tight,weighted,4011.0
tight weibull weighted,weibull,tight,weighted,4091.0
tight weibull weighted,weibull,tight,weighted,4139.0
tight weibull weighted,weibull,tight,weighted,4149.0
tight weibull weighted,weibull,tight,weighted,4292.0
tight weibull weighted,weibull,tight,weighted,4253.0
tight weibull weighted,weibull,tight,weighted,4494.0
tight weibull weighted,weibull,tight,weighted,4481.0
tight weibull weighted,weibull,tight,weighted,4553.0
tight weibull weighted,weibull,tight,weighted,4709.0
tight weibull weighted,weibull,tight,weighted,4691.0
tight weibull weighted,weibull,tight,weighted,4760.0
