condicion,ciclo,capacidad_mAhg,desviacion_std
LLO-0.2/0.2,126,197.394,3.778
LLO-0.2/0.2,127,197.215,4.086
LLO-0.2/0.2,128,196.708,4.36
LLO-0.2/0.2,129,197.119,3.625
LLO-0.2/0.2,130,196.979,3.968
LLO-0.2/0.2,131,197.01,3.785
LLO-0.2/0.2,132,196.877,3.902
LLO-0.2/0.2,133,196.761,3.816
LLO-0.2/0.2,134,196.785,4.105
LLO-0.2/0.2,135,196.783,3.926
LLO-0.2/0.2,136,196.911,3.645
LLO-0.2/0.2,137,196.849,4.098
LLO-0.2/0.2,138,196.729,3.85
LLO-0.2/0.2,139,196.711,3.874
LLO-0.2/0.2,140,196.823,4.06
LLO-0.2/0.2,141,196.647,3.872
LLO-0.2/0.2,142,196.617,3.82
LLO-0.2/0.2,143,196.752,3.99
LLO-0.2/0.2,144,196.532,3.925
LLO-0.2/0.2,145,196.512,3.925
LLO-0.2/0.2,146,196.603,4.192
LLO-0.2/0.2,147,196.527,3.573
LLO-0.2/0.2,148,196.285,3.732
LLO-0.2/0.2,149,196.369,4.019
LLO-0.2/0.2,150,196.318,3.68
LLO-0.2/0.2,151,196.252,3.686
LLO-0.2/0.2,152,196.448,3.855
LLO-0.2/0.2,153,196.362,3.497
LLO-0.2/0.2,154,196.374,3.877
LLO-0.2/0.2,155,195.925,4.008
LLO-0.2/0.2,156,196.062,4.026
LLO-0.2/0.2,157,196.196,3.686
LLO-0.2/0.2,158,195.877,3.441
LLO-0.2/0.2,159,195.955,3.884
LLO-0.2/0.2,160,195.836,3.726
LLO-0.2/0.2,161,195.721,3.779
LLO-0.2/0.2,162,195.718,3.637
LLO-0.2/0.2,163,195.611,3.811
LLO-0.2/0.2,164,195.628,3.806
LLO-0.2/0.2,165,195.669,3.568
LLO-0.2/0.2,166,195.462,3.659
LLO-0.2/0.2,167,195.469,3.983
LLO-0.2/0.2,168,195.211,3.854
LLO-0.2/0.2,169,195.249,4.074
LLO-0.2/0.2,170,195.233,3.993
LLO-0.2/0.2,171,195.322,3.578
LLO-0.2/0.2,172,195.187,3.751
LLO-0.2/0.2,173,194.855,3.439
LLO-0.2/0.2,174,194.964,3.436
LLO-0.2/0.2,175,194.953,3.567
LLO-0.2/0.2,176,194.869,3.272
LLO-0.2/0.2,177,194.435,3.62
LLO-0.2/0.2,178,194.313,3.536
LLO-0.2/0.2,179,194.619,4.028
LLO-0.2/0.2,180,194.671,3.699
LLO-0.2/0.2,181,194.611,3.359
LLO-0.2/0.2,182,194.386,3.296
LLO-0.2/0.2,183,194.207,3.897
LLO-0.2/0.2,184,194.388,3.574
LLO-0.2/0.2,185,194.159,3.711
LLO-0.2/0.2,186,194.003,3.638
LLO-0.2/0.2,187,193.769,3.68
LLO-0.2/0.2,188,193.659,3.554
LLO-0.2/0.2,189,193.813,3.193
LLO-0.2/0.2,190,194.028,3.496
LLO-0.2/0.2,191,193.767,3.314
LLO-0.2/0.2,192,193.519,3.562
LLO-0.2/0.2,193,193.686,3.583
LLO-0.2/0.2,194,193.238,3.705
LLO-0.2/0.2,195,193.385,3.382
LLO-0.2/0.2,196,193.02,3.053
LLO-0.2/0.2,197,193.195,3.281
LLO-0.2/0.2,198,193.138,3.357
LLO-0.2/0.2,199,192.962,3.521
LLO-0.2/0.2,200,192.945,3.389
LLO-0.2/2,1,227.416,4.008
LLO-0.2/2,2,224.107,3.866
LLO-0.2/2,3,221.378,3.62
LLO-0.2/2,4,219.558,3.905
LLO-0.2/2,5,217.927,3.905
LLO-0.2/2,6,217.082,3.568
LLO-0.2/2,7,216.04,3.94
LLO-0.2/2,8,215.281,3.846
LLO-0.2/2,9,214.576,3.123
LLO-0.2/2,10,213.298,3.388
LLO-0.2/2,11,212.774,3.629
LLO-0.2/2,12,212.017,3.748
LLO-0.2/2,13,211.652,3.477
LLO-0.2/2,14,211.007,3.497
LLO-0.2/2,15,210.576,3.644
LLO-0.2/2,16,209.958,3.3
LLO-0.2/2,17,209.232,3.756
LLO-0.2/2,18,209.596,3.517
LLO-0.2/2,19,208.764,3.428
LLO-0.2/2,20,208.798,3.536
LLO-0.2/2,21,208.368,3.467
LLO-0.2/2,22,208.16,3.271
LLO-0.2/2,23,207.905,3.07
LLO-0.2/2,24,207.013,2.869
LLO-0.2/2,25,206.446,3.288
LLO-0.2/2,26,206.669,3.925
LLO-0.2/2,27,206.369,3.652
LLO-0.2/2,28,206.344,3.206
LLO-0.2/2,29,205.951,3.183
LLO-0.2/2,30,206.118,3.428
LLO-0.2/2,31,205.961,3.434
LLO-0.2/2,32,205.604,3.123
LLO-0.2/2,33,205.618,3.36
LLO-0.2/2,34,205.385,3.237
LLO-0.2/2,35,205.204,3.05
LLO-0.2/2,36,205.076,3.438
LLO-0.2/2,37,204.951,3.084
LLO-0.2/2,38,204.875,3.045
LLO-0.2/2,39,204.67,3.236
LLO-0.2/2,40,204.868,3.104
LLO-0.2/2,41,204.337,3.305
LLO-0.2/2,42,204.187,3.154
LLO-0.2/2,43,204.051,3.218
LLO-0.2/2,44,204.103,3.487
LLO-0.2/2,45,204.25,2.976
LLO-0.2/2,46,203.573,3.433
LLO-0.2/2,47,203.944,3.025
LLO-0.2/2,48,203.417,3.261
LLO-0.2/2,49,203.816,3.384
LLO-0.2/2,50,203.718,3.237
LLO-0.2/2,51,203.257,3.241
LLO-0.2/2,52,203.221,3.184
LLO-0.2/2,53,203.343,3.1
LLO-0.2/2,54,203.197,3.306
LLO-0.2/2,55,202.938,3.251
LLO-0.2/2,56,202.891,3.512
LLO-0.2/2,57,202.943,3.174
LLO-0.2/2,58,202.832,2.831
LLO-0.2/2,59,202.464,3.684
LLO-0.2/2,60,202.67,3.099
LLO-0.2/2,61,202.326,3.281
LLO-0.2/2,62,202.486,3.556
LLO-0.2/2,63,202.527,2.869
LLO-0.2/2,64,202.294,3.847
LLO-0.2/2,65,202.385,3.011
LLO-0.2/2,66,202.121,2.981
LLO-0.2/2,67,202.104,3.252
LLO-0.2/2,68,201.913,3.06
LLO-0.2/2,69,201.882,3.389
LLO-0.2/2,70,202.146,3.065
LLO-0.2/2,71,201.954,3.187
LLO-0.2/2,72,201.274,3.217
LLO-0.2/2,73,201.281,3.079
LLO-0.2/2,74,201.576,3.546
LLO-0.2/2,75,201.413,3.57
LLO-0.2/2,76,201.493,3.398
LLO-0.2/2,77,201.364,3.247
LLO-0.2/2,78,201.396,3.565
LLO-0.2/2,79,201.493,3.428
LLO-0.2/2,80,201.535,3.398
LLO-0.2/2,81,201.542,3.654
LLO-0.2/2,82,201.444,2.81
LLO-0.2/2,83,201.375,3.516
LLO-0.2/2,84,201.413,3.167
LLO-0.2/2,85,201.503,3.246
LLO-0.2/2,86,201.114,3.472
LLO-0.2/2,87,201.246,3.05
LLO-0.2/2,88,201.295,3.256
LLO-0.2/2,89,200.773,3.739
LLO-0.2/2,90,200.594,3.403
LLO-0.2/2,91,200.937,3.654
LLO-0.2/2,92,200.677,3.6
LLO-0.2/2,93,200.944,3.595
LLO-0.2/2,94,201.048,3.771
LLO-0.2/2,95,200.958,2.839
LLO-0.2/2,96,201.142,3.511
LLO-0.2/2,97,200.486,3.182
LLO-0.2/2,98,200.84,3.487
LLO-0.2/2,99,200.93,3.409
LLO-0.2/2,100,200.639,3.192
LLO-0.2/2,101,200.805,3.31
LLO-0.2/2,102,200.694,3.703
LLO-0.2/2,103,200.534,3.477
LLO-0.2/2,104,200.535,3.673
LLO-0.2/2,105,200.479,3.507
LLO-0.2/2,106,200.663,3.698
LLO-0.2/2,107,200.406,3.737
LLO-0.2/2,108,200.844,3.521
LLO-0.2/2,109,200.569,3.722
LLO-0.2/2,110,200.215,3.271
LLO-0.2/2,111,200.114,3.128
LLO-0.2/2,112,199.958,3.084
LLO-0.2/2,113,199.857,3.934
LLO-0.2/2,114,199.808,4.132
LLO-0.2/2,115,200.083,3.988
LLO-0.2/2,116,200.187,3.546
LLO-0.2/2,117,200.135,3.639
LLO-0.2/2,118,200.038,3.531
LLO-0.2/2,119,200.1,3.64
LLO-0.2/2,120,199.808,3.62
LLO-0.2/2,121,199.972,3.703
LLO-0.2/2,122,199.847,3.831
LLO-0.2/2,123,199.864,3.835
LLO-0.2/2,124,199.743,4.046
LLO-0.2/2,125,199.47,3.548
LLO-0.2/2,126,199.78,3.522
LLO-0.2/2,127,199.687,3.89
LLO-0.2/2,128,199.295,4.327
LLO-0.2/2,129,199.315,4.288
LLO-0.2/2,130,199.354,3.732
LLO-0.2/2,131,199.25,3.85
LLO-0.2/2,132,199.222,4.076
LLO-0.2/2,133,199.17,4.071
LLO-0.2/2,134,199.294,3.974
LLO-0.2/2,135,199.093,4.111
LLO-0.2/2,136,199.038,4.258
LLO-0.2/2,137,199.121,4.002
LLO-0.2/2,138,199.086,4.111
LLO-0.2/2,139,199.097,4.253
LLO-0.2/2,140,199.06,4.423
LLO-0.2/2,141,198.93,4.478
LLO-0.2/2,142,198.718,4.15
LLO-0.2/2,143,198.739,4.326
LLO-0.2/2,144,198.826,4.253
LLO-0.2/2,145,198.792,4.39
LLO-0.2/2,146,198.535,4.577
LLO-0.2/2,147,198.399,4.317
LLO-0.2/2,148,198.712,4.513
LLO-0.2/2,149,198.485,4.156
LLO-0.2/2,150,198.257,4.272
LLO-0.2/2,151,198.284,4.636
LLO-0.2/2,152,198.139,4.321
LLO-0.2/2,153,198.263,4.803
LLO-0.2/2,154,198.075,4.283
LLO-0.2/2,155,198.215,4.617
LLO-0.2/2,156,198.069,4.763
LLO-0.2/2,157,197.937,4.302
LLO-0.2/2,158,197.979,4.489
LLO-0.2/2,159,197.822,4.641
LLO-0.2/2,160,197.92,4.464
LLO-0.2/2,161,197.475,4.896
LLO-0.2/2,162,197.472,4.43
LLO-0.2/2,163,197.566,4.965
LLO-0.2/2,164,197.371,4.405
LLO-0.2/2,165,197.409,4.823
LLO-0.2/2,166,197.233,5.033
LLO-0.2/2,167,197.139,4.646
LLO-0.2/2,168,197.18,4.793
LLO-0.2/2,169,197.128,4.876
LLO-0.2/2,170,197.132,4.744
LLO-0.2/2,171,196.996,4.866
LLO-0.2/2,172,196.792,4.714
LLO-0.2/2,173,196.67,4.67
LLO-0.2/2,174,196.823,4.906
LLO-0.2/2,175,196.694,5.028
LLO-0.2/2,176,196.5,5.038
LLO-0.2/2,177,196.479,4.92
LLO-0.2/2,178,196.177,4.955
LLO-0.2/2,179,196.465,5.058
LLO-0.2/2,180,196.298,4.97
LLO-0.2/2,181,195.864,5.102
LLO-0.2/2,182,195.701,4.989
LLO-0.2/2,183,195.722,5.166
LLO-0.2/2,184,195.864,5.092
LLO-0.2/2,185,195.285,4.93
LLO-0.2/2,186,195.326,4.901
LLO-0.2/2,187,195.437,5.471
LLO-0.2/2,188,195.319,5.294
LLO-0.2/2,189,195.156,5.112
LLO-0.2/2,190,195.149,5.259
LLO-0.2/2,191,194.694,5.176
LLO-0.2/2,192,194.896,5.48
LLO-0.2/2,193,194.767,5.171
LLO-0.2/2,194,194.406,5.377
LLO-0.2/2,195,194.715,5.097
LLO-0.2/2,196,194.187,5.481
LLO-0.2/2,197,194.16,5.412
LLO-0.2/2,198,194.118,5.598
LLO-0.2/2,199,194.035,5.294
LLO-0.2/2,200,194.073,5.348
LLO-2/0.2,1,236.264,1.777
LLO-2/0.2,2,243.566,1.045
LLO-2/0.2,3,245.685,0.926
LLO-2/0.2,4,247.818,1.004
LLO-2/0.2,5,248.499,0.306
LLO-2/0.2,6,249.012,0.434
LLO-2/0.2,7,249.601,0.603
LLO-2/0.2,8,250.207,0.139
LLO-2/0.2,9,250.843,0.223
LLO-2/0.2,10,249.581,0.173
LLO-2/0.2,11,249.132,0.068
LLO-2/0.2,12,248.898,0.164
LLO-2/0.2,13,248.058,0.557
LLO-2/0.2,14,248.18,0.089
LLO-2/0.2,15,247.437,0.245
LLO-2/0.2,16,247.283,0.705
LLO-2/0.2,17,247.228,0.03
LLO-2/0.2,18,246.799,0.343
LLO-2/0.2,19,246.383,0.503
LLO-2/0.2,20,245.813,0.431
LLO-2/0.2,21,245.191,0.133
LLO-2/0.2,22,244.29,0.17
LLO-2/0.2,23,243.89,0.264
LLO-2/0.2,24,244.799,0.394
LLO-2/0.2,25,244.657,0.191
LLO-2/0.2,26,244.278,0.235
LLO-2/0.2,27,243.898,0.252
LLO-2/0.2,28,243.766,0.259
LLO-2/0.2,29,243.332,0.021
LLO-2/0.2,30,243.54,0.503
LLO-2/0.2,31,242.602,0.544
LLO-2/0.2,32,242.775,0.465
LLO-2/0.2,33,243.107,0.23
LLO-2/0.2,34,243.411,0.954
LLO-2/0.2,35,242.337,0.545
LLO-2/0.2,36,241.76,0.163
LLO-2/0.2,37,242.177,0.035
LLO-2/0.2,38,242.382,0.216
LLO-2/0.2,39,242.084,0.099
LLO-2/0.2,40,242.156,0.133
LLO-2/0.2,41,241.112,0.402
LLO-2/0.2,42,240.922,0.361
LLO-2/0.2,43,241.647,0.283
LLO-2/0.2,44,241.65,0.114
LLO-2/0.2,45,240.916,0.394
LLO-2/0.2,46,241.124,0.198
LLO-2/0.2,47,241.355,0.294
LLO-2/0.2,48,240.924,0.02
LLO-2/0.2,49,240.842,0.248
LLO-2/0.2,50,239.979,0.049
LLO-2/0.2,51,241.0,0.079
LLO-2/0.2,52,240.45,0.217
LLO-2/0.2,53,239.758,0.228
LLO-2/0.2,54,240.441,0.015
LLO-2/0.2,55,240.204,0.202
LLO-2/0.2,56,239.634,0.194
LLO-2/0.2,57,239.136,0.151
LLO-2/0.2,58,239.697,0.006
LLO-2/0.2,59,239.787,0.271
LLO-2/0.2,60,239.307,0.091
LLO-2/0.2,61,239.98,0.169
LLO-2/0.2,62,239.55,0.237
LLO-2/0.2,63,239.41,0.08
LLO-2/0.2,64,239.189,0.086
LLO-2/0.2,65,239.756,0.147
LLO-2/0.2,66,239.393,0.23
LLO-2/0.2,67,239.295,0.073
LLO-2/0.2,68,239.864,0.083
LLO-2/0.2,69,239.518,0.113
LLO-2/0.2,70,238.935,0.101
LLO-2/0.2,71,239.567,0.025
LLO-2/0.2,72,240.028,0.129
LLO-2/0.2,73,239.205,0.173
LLO-2/0.2,74,239.129,0.016
LLO-2/0.2,75,239.392,0.113
LLO-2/0.2,76,238.884,0.111
LLO-2/0.2,77,238.858,0.103
LLO-2/0.2,78,239.246,0.112
LLO-2/0.2,79,238.311,0.13
LLO-2/0.2,80,238.178,0.036
LLO-2/0.2,81,239.263,0.058
LLO-2/0.2,82,238.546,0.014
LLO-2/0.2,83,238.532,0.112
LLO-2/0.2,84,238.045,0.054
LLO-2/0.2,85,238.744,0.058
LLO-2/0.2,86,238.973,0.008
LLO-2/0.2,87,239.018,0.024
LLO-2/0.2,88,239.268,0.025
LLO-2/0.2,89,239.211,0.073
LLO-2/0.2,90,238.672,0.165
LLO-2/0.2,91,239.433,0.083
LLO-2/0.2,92,238.515,0.041
LLO-2/0.2,93,239.117,0.031
LLO-2/0.2,94,239.271,0.099
LLO-2/0.2,95,238.993,0.04
LLO-2/0.2,96,236.456,0.092
LLO-2/0.2,97,237.593,0.046
LLO-2/0.2,98,238.869,0.019
LLO-2/0.2,99,238.776,0.007
LLO-2/0.2,100,238.579,0.004
LLO-2/0.2,101,238.068,0.061
LLO-2/0.2,102,238.782,0.092
LLO-2/0.2,103,238.791,0.226
LLO-2/0.2,104,238.172,0.11
LLO-2/0.2,105,238.116,0.14
LLO-2/0.2,106,238.421,0.161
LLO-2/0.2,107,238.375,0.079
LLO-2/0.2,108,236.832,0.09
LLO-2/0.2,109,237.52,0.03
LLO-2/0.2,110,238.149,0.015
LLO-2/0.2,111,238.08,0.024
LLO-2/0.2,112,238.138,0.011
LLO-2/0.2,113,238.407,0.122
LLO-2/0.2,114,238.399,0.083
LLO-2/0.2,115,237.951,0.089
LLO-2/0.2,116,237.546,0.073
LLO-2/0.2,117,237.788,0.035
LLO-2/0.2,118,238.171,0.132
LLO-2/0.2,119,238.066,0.063
LLO-2/0.2,120,237.77,0.188
LLO-2/0.2,121,237.76,0.033
LLO-2/0.2,122,238.247,0.044
LLO-2/0.2,123,238.082,0.031
LLO-2/0.2,124,238.161,0.129
LLO-2/0.2,125,237.718,0.026
LLO-2/0.2,126,238.379,0.065
LLO-2/0.2,127,237.889,0.108
LLO-2/0.2,128,238.171,0.115
LLO-2/0.2,129,237.512,0.016
LLO-2/0.2,130,237.858,0.065
LLO-2/0.2,131,237.761,0.3
LLO-2/0.2,132,237.816,0.064
LLO-2/0.2,133,237.93,0.206
LLO-2/0.2,134,237.976,0.202
LLO-2/0.2,135,237.307,0.218
LLO-2/0.2,136,237.528,0.363
LLO-2/0.2,137,237.568,0.263
LLO-2/0.2,138,237.368,0.235
LLO-2/0.2,139,237.424,0.373
LLO-2/0.2,140,237.722,0.069
LLO-2/0.2,141,237.348,0.031
LLO-2/0.2,142,237.659,0.049
LLO-2/0.2,143,237.073,0.261
LLO-2/0.2,144,237.75,0.236
LLO-2/0.2,145,237.366,0.151
LLO-2/0.2,146,236.978,0.194
LLO-2/0.2,147,237.161,0.105
LLO-2/0.2,148,237.381,0.109
LLO-2/0.2,149,236.635,0.201
LLO-2/0.2,150,237.065,0.104
LLO-2/0.2,151,236.874,0.146
LLO-2/0.2,152,236.769,0.012
LLO-2/0.2,153,236.643,0.013
LLO-2/0.2,154,236.921,0.102
LLO-2/0.2,155,236.348,0.097
LLO-2/0.2,156,236.58,0.045
LLO-2/0.2,157,236.217,0.11
LLO-2/0.2,158,236.175,0.086
LLO-2/0.2,159,236.395,0.136
LLO-2/0.2,160,236.363,0.036
LLO-2/0.2,161,236.208,0.304
LLO-2/0.2,162,236.383,0.276
LLO-2/0.2,163,236.348,0.482
LLO-2/0.2,164,235.912,0.887
LLO-2/0.2,165,235.936,0.155
LLO-2/0.2,166,235.567,0.164
LLO-2/0.2,167,235.453,0.184
LLO-2/0.2,168,235.871,0.279
LLO-2/0.2,169,235.9,0.241
LLO-2/0.2,170,235.974,0.238
LLO-2/0.2,171,235.438,0.178
LLO-2/0.2,172,235.738,0.425
LLO-2/0.2,173,235.409,0.273
LLO-2/0.2,174,235.12,0.218
LLO-2/0.2,175,235.312,0.177
LLO-2/0.2,176,235.074,0.377
LLO-2/0.2,177,235.089,0.312
LLO-2/0.2,178,234.953,0.65
LLO-2/0.2,179,235.246,0.181
LLO-2/0.2,180,234.918,0.267
LLO-2/0.2,181,235.05,0.67
LLO-2/0.2,182,234.973,0.561
LLO-2/0.2,183,235.181,0.266
LLO-2/0.2,184,234.743,0.108
LLO-2/0.2,185,234.566,0.181
LLO-2/0.2,186,234.383,0.028
LLO-2/0.2,187,234.539,0.331
LLO-2/0.2,188,234.11,0.656
LLO-2/0.2,189,233.936,0.136
LLO-2/0.2,190,234.019,0.263
LLO-2/0.2,191,233.817,0.469
LLO-2/0.2,192,234.296,0.341
LLO-2/0.2,193,234.045,0.84
LLO-2/0.2,194,233.947,0.105
LLO-2/0.2,195,233.81,0.576
LLO-2/0.2,196,234.171,0.508
LLO-2/0.2,197,233.701,0.913
LLO-2/0.2,198,233.704,0.279
LLO-2/0.2,199,233.57,0.884
LLO-2/0.2,200,232.537,0.16
LLO-2/2,1,238.558,3.752
LLO-2/2,2,244.999,2.727
LLO-2/2,3,247.082,3.3
LLO-2/2,4,248.84,3.219
LLO-2/2,5,249.863,3.41
LLO-2/2,6,249.892,3.696
LLO-2/2,7,250.137,3.122
LLO-2/2,8,250.353,3.241
LLO-2/2,9,250.092,3.205
LLO-2/2,10,250.262,3.406
LLO-2/2,11,250.041,3.358
LLO-2/2,12,249.39,3.114
LLO-2/2,13,248.729,3.199
LLO-2/2,14,248.68,3.316
LLO-2/2,15,247.774,3.299
LLO-2/2,16,247.613,2.669
LLO-2/2,17,247.062,3.272
LLO-2/2,18,246.794,3.579
LLO-2/2,19,246.173,3.25
LLO-2/2,20,245.745,3.821
LLO-2/2,21,246.015,3.105
LLO-2/2,22,245.604,2.945
LLO-2/2,23,245.307,3.016
LLO-2/2,24,243.861,3.391
LLO-2/2,25,243.182,3.608
LLO-2/2,26,243.464,2.585
LLO-2/2,27,243.462,3.317
LLO-2/2,28,243.295,3.688
LLO-2/2,29,242.875,2.937
LLO-2/2,30,242.547,3.092
LLO-2/2,31,242.688,4.045
LLO-2/2,32,242.783,3.336
LLO-2/2,33,242.123,3.933
LLO-2/2,34,241.842,3.467
LLO-2/2,35,242.061,3.208
LLO-2/2,36,241.971,3.11
LLO-2/2,37,241.622,2.783
LLO-2/2,38,241.359,3.244
LLO-2/2,39,241.026,2.626
LLO-2/2,40,241.2,2.843
LLO-2/2,41,240.883,2.6
LLO-2/2,42,241.101,2.39
LLO-2/2,43,240.902,3.373
LLO-2/2,44,240.712,3.212
LLO-2/2,45,240.165,2.966
LLO-2/2,46,240.485,3.107
LLO-2/2,47,240.115,2.769
LLO-2/2,48,240.516,2.945
LLO-2/2,49,240.206,2.849
LLO-2/2,50,240.249,3.145
LLO-2/2,51,239.808,3.511
LLO-2/2,52,239.067,2.699
LLO-2/2,53,239.557,3.694
LLO-2/2,54,239.601,2.886
LLO-2/2,55,238.596,2.933
LLO-2/2,56,239.597,2.82
LLO-2/2,57,239.131,3.465
LLO-2/2,58,239.612,3.008
LLO-2/2,59,239.385,2.471
LLO-2/2,60,238.811,2.983
LLO-2/2,61,238.943,3.346
LLO-2/2,62,239.046,2.787
LLO-2/2,63,238.399,3.233
LLO-2/2,64,238.287,2.87
LLO-2/2,65,238.422,2.345
LLO-2/2,66,238.392,3.097
LLO-2/2,67,238.168,2.956
LLO-2/2,68,237.858,3.144
LLO-2/2,69,238.442,3.51
LLO-2/2,70,238.216,2.838
LLO-2/2,71,238.189,2.898
LLO-2/2,72,238.435,2.373
LLO-2/2,73,238.206,3.352
LLO-2/2,74,238.548,3.336
LLO-2/2,75,238.171,2.764
LLO-2/2,76,238.108,3.773
LLO-2/2,77,237.91,3.13
LLO-2/2,78,237.692,3.146
LLO-2/2,79,237.574,2.91
LLO-2/2,80,237.696,2.651
LLO-2/2,81,237.728,3.167
LLO-2/2,82,237.543,3.004
LLO-2/2,83,237.699,3.362
LLO-2/2,84,238.174,2.602
LLO-2/2,85,237.917,3.189
LLO-2/2,86,237.138,3.205
