event,datetime_utc,datetime_local,lat,lon,ph,cond_mscm,o2_mgl,ch4_avg_nmoll,ch4_min_nmoll,ch4_max_nmoll,pmc_uncorr,pmc_uncorr_std,age_uncorr_min_ka,age_uncorr_max_ka,pmc_corr,age_corr_min_ka,age_corr_max_ka,d13c_pdb,dd_smow,region,river_id,year,river_clean,age_corr_min_kabp,age_corr_max_kabp,age_corr_mid_kabp,age_uncorr_min_kabp,age_uncorr_max_kabp,age_uncorr_mid_kabp
MARCH4G_2022_CW4c_GHG,2022-09-05T12:50:00,2022-09-05T10:50:00,69.5369,-50.4138,,,,35.5109218375868,,,,,,,,,,,,CW,CW4c,2022,CW4,,,,,,
MARCH4G_2022_CW4c_Chem,2022-09-05T12:50:00,2022-09-05T10:50:00,69.5369,-50.4138,7.5,15.8,20.0,,,,,,,,,,,,,CW,CW4c,2022,CW4,,,,,,
MARCH4G_2021_CW5_GHG,2021-08-30T19:00:00,2021-08-30T17:00:00,69.249883,-49.879465,,,,75.83559658041646,,,,,,,,,,,,CW,CW5,2021,CW5,,,,,,
MARCH4G_2021_CW5_Chem,2021-08-30T19:00:00,2021-08-30T17:00:00,69.249883,-49.879465,7.5,27.0,,,,,,,,,,,,,,CW,CW5,2021,CW5,,,,,,
MARCH4G_2022_CW6_GHG,2022-09-05T14:00:00,2022-09-05T12:00:00,68.88638,-50.4675,,,,39.363314708072046,,,,,,,,,,,,CW,CW6,2022,CW6,,,,,,
MARCH4G_2022_CW6_Chem,2022-09-05T14:00:00,2022-09-05T12:00:00,68.88638,-50.4675,7.1,10.8,,,,,,,,,,,,,,CW,CW6,2022,CW6,,,,,,
MARCH4G_2022_CW7_GHG,2022-09-05T14:35:00,2022-09-05T12:35:00,68.77972,-50.59417,,,,346.71239746501954,,,,,,,,,,,,CW,CW7,2022,CW7,,,,,,
MARCH4G_2022_CW7_Chem,2022-09-05T14:35:00,2022-09-05T12:35:00,68.77972,-50.59417,,,,,,,,,,,,,,,,CW,CW7,2022,CW7,,,,,,
MARCH4G_2022_SW1_GHG,2022-09-08T18:35:00,2022-09-08T16:35:00,68.35416,-50.46639,,,,4229.163708245132,,,,,,,,,,,,SW,SW1,2022,SW1,,,,,,
MARCH4G_2022_SW1_Chem,2022-09-08T18:35:00,2022-09-08T16:35:00,68.35416,-50.46639,8.0,31.2,,,,,,,,,,,,,,SW,SW1,2022,SW1,,,,,,
MARCH4G_2022_SW2_GHG,2022-09-08T17:45:00,2022-09-08T15:45:00,67.60222,-50.12694,,,,631.8223791849227,,,,,,,,,,,,SW,SW2,2022,SW2,,,,,,
MARCH4G_2022_SW2_Chem,2022-09-08T17:45:00,2022-09-08T15:45:00,67.60222,-50.12694,8.4,22.7,,,,,,,,,,,,,,SW,SW2,2022,SW2,,,,,,
MARCH4G_2021_SW3a_GHG_a,2021-09-06T17:23:00,2021-09-06T15:23:00,67.180635,-50.336008,7.7,39.0,,9.878663802679757,9.66150248185958,10.095825123499932,,,,,,,,,,SW,SW3a,2021,SW3,,,,,,
MARCH4G_2021_SW3a_GHG_b,2021-09-07T16:14:00,2021-09-07T14:14:00,67.180635,-50.336008,,,,8.923761836581667,,,,,,,,,,,,SW,SW3a,2021,SW3,,,,,,
MARCH4G_2021_SW3a_GHG_c,2021-09-08T13:06:00,2021-09-08T11:06:00,67.180635,-50.336008,,,,10.99957609261035,,,,,,,,,,,,SW,SW3a,2021,SW3,,,,,,
MARCH4G_2021_SW3a_GHG_d,2021-09-09T13:40:00,2021-09-09T11:40:00,67.180635,-50.336008,,,,9.213187961776637,8.385320756679011,10.04105516687426,,,,,,,,,,SW,SW3a,2021,SW3,,,,,,
MARCH4G_2021_SW3a_Chem_a,2021-09-06T17:23:00,2021-09-06T15:23:00,67.180635,-50.336008,,,,,,,,,,,,,,,,SW,SW3a,2021,SW3,,,,,,
MARCH4G_2022_SW3a_GHG,2022-09-08T17:15:00,2022-09-08T15:15:00,67.180635,-50.336008,8.8,35.4,,98.64067285916784,,,,,,,,,,,,SW,SW3a,2022,SW3,,,,,,
MARCH4G_2022_SW3a_Chem,2022-09-08T17:15:00,2022-09-08T15:15:00,67.180635,-50.336008,,,,,,,,,,,,,,,,SW,SW3a,2022,SW3,,,,,,
MARCH4G_2022_SW3b_GHG,2022-07-10T13:45:00,2022-07-10T11:45:00,67.1803,-50.3343,,,,136.04354121653958,85.55551499618926,168.14387419181338,,,,,,,,-58.8,-272.9,SW,SW3b,2022,SW3,,,,,,
MARCH4G_2022_SW3b_Chem,2022-07-10T13:45:00,2022-07-10T11:45:00,67.1803,-50.3343,9.3,23.5,16.5,,,,,,,,,,,,,SW,SW3b,2022,SW3,,,,,,
MARCH4G_2022_SW3b_14C,2022-07-10T13:45:00,2022-07-10T11:45:00,67.1803,-50.3343,,,,,,,77.4842,0.34,1890.0,2116.0,75.29635436853168,2156.0,2351.0,,,SW,SW3b,2022,SW3,2.156,2.351,2.2535,1.89,2.116,2.003
MARCH4G_2022_SW3c_GHG-a,2022-07-10T01:11:37,2022-07-09T23:11:37,67.17771,-50.3533,,,,95.35745110539555,89.02177482302055,101.69312738777056,,,,,,,,,,SW,SW3c,2022,SW3,,,,,,
MARCH4G_2022_SW3c_GHG-b,2022-07-11T16:55:06,2022-07-11T14:55:06,67.17771,-50.3533,,,,121.1732843784389,120.15580382763024,122.19076492924752,,,,,,,,,,SW,SW3c,2022,SW3,,,,,,
MARCH4G_2022_SW3d_GHG,2022-08-15T16:00:00,2022-08-15T14:00:00,67.1803,-50.3343,,,,6.333287107873954,5.7716631821196165,6.894911033628289,,,,,,,,-47.0,-177.1,SW,SW3d,2022,SW3,,,,,,
MARCH4G_2022_SW3d_Chem,2022-08-15T16:00:00,2022-08-15T14:00:00,67.1803,-50.3343,8.3,26.1,15.4,,,,,,,,,,,,,SW,SW3d,2022,SW3,,,,,,
MARCH4G_2022_SW3e_GHG,2022-09-08T17:15:00,2022-09-08T15:15:00,67.40694,-50.448,,,,98.64067285916784,,,,,,,,,,,,SW,SW3e,2022,SW3,,,,,,
MARCH4G_2022_SW3e_Chem,2022-09-08T17:15:00,2022-09-08T15:15:00,67.40694,-50.448,8.8,35.4,,,,,,,,,,,,,,SW,SW3e,2022,SW3,,,,,,
MARCH4G_2021_SW4_GHG,2021-09-04T19:00:00,2021-09-04T17:00:00,67.159,-50.129306,,,,49613.26346930743,37762.96299377606,56392.517927273,80.9617,0.37,1526.0,1701.0,80.9182844847761,1529.0,1700.0,-55.2,-287.1,SW,SW4,2021,SW4,1.529,1.7,1.6145,1.526,1.701,1.6135000000000002
MARCH4G_2021_SW4_Chem,2021-09-04T19:00:00,2021-09-04T17:00:00,67.159,-50.129306,6.9,19.0,,,,,,,,,,,,,,SW,SW4,2021,SW4,,,,,,
MARCH4G_2021_SW4_14C,2021-09-04T19:00:00,2021-09-04T17:00:00,67.159,-50.129306,,,,,,,,,,,,,,,,SW,SW4,2021,SW4,,,,,,
MARCH4G_2021_SW5a_GHG,2021-08-05T15:30:00,2021-08-05T13:30:00,67.15968,-50.0503,,,,489.8373762091233,89.18373030126486,890.4910221169816,,,,,,,,-56.7,-264.7,SW,SW5a,2021,SW5,,,,,,
MARCH4G_2021_SW5a_Chem,2021-08-05T15:30:00,2021-08-05T13:30:00,67.15968,-50.0503,7.3,3.3,,,,,,,,,,,,,,SW,SW5a,2021,SW5,,,,,,
MARCH4G_2021_SW5b_GHG,2021-08-07T14:30:00,2021-08-07T12:30:00,67.15968,-50.0503,,,,5054.549148130881,107.87782616169233,7602.4437002512,,,,,,,,-64.1,-338.8,SW,SW5b,2021,SW5,,,,,,
MARCH4G_2021_SW5b_Chem,2021-08-07T14:30:00,2021-08-07T12:30:00,67.15968,-50.0503,6.4,3.3,,,,,,,,,,,,,,SW,SW5b,2021,SW5,,,,,,
MARCH4G_2021_SW5b_14C,2021-08-07T14:30:00,2021-08-07T12:30:00,67.15968,-50.0503,,,,,,,81.5527,0.37,1409.0,1685.0,81.49993260451265,1410.0,1688.0,,,SW,SW5b,2021,SW5,1.41,1.688,1.549,1.409,1.685,1.5470000000000002
MARCH4G_2021_SW5c_GHG,2021-09-03T18:55:00,2021-09-03T16:55:00,67.15968,-50.0503,,,,1331.698936451452,1063.728764590422,1671.8879290220516,,,,,,,,-55.2,-238.5,SW,SW5c,2021,SW5,,,,,,
MARCH4G_2021_SW5c_Chem,2021-09-03T18:55:00,2021-09-03T16:55:00,67.15968,-50.0503,6.9,2.0,,,,,,,,,,,,,,SW,SW5c,2021,SW5,,,,,,
MARCH4G_2022_SW5d_GHG,2022-07-13T16:30:00,2022-07-13T14:30:00,67.15968,-50.0503,,,,2238.3733235975533,2137.6217092085767,2339.1249379865303,,,,,,,,,,SW,SW5d,2022,SW5,,,,,,
MARCH4G_2022_SW5d_Chem,2022-07-13T16:30:00,2022-07-13T14:30:00,67.15968,-50.0503,6.5,4.7,,,,,,,,,,,,,,SW,SW5d,2022,SW5,,,,,,
MARCH4G_2021_SW6a_GHG,2021-09-11T17:00:00,2021-09-11T15:00:00,67.064807,-50.161167,,,,60.523406770018006,38.71451031763024,80.07495158127166,,,,,,,,-59.0,-236.7,SW,SW6a,2021,SW6,,,,,,
MARCH4G_2021_SW6a_Chem,2021-09-11T17:00:00,2021-09-11T15:00:00,67.064807,-50.161167,9.5,43.7,13.1,,,,,,,,,,,,,SW,SW6a,2021,SW6,,,,,,
MARCH4G_2023_SW6b_GHG,2023-07-09T20:20:00,2023-07-09T18:20:00,67.0648,-50.1609,,,,291.5620223428488,240.27251553954832,417.6623339988101,,,,,,,,-55.7,-344.0,SW,SW6b,2023,SW6,,,,,,
MARCH4G_2023_SW6b_Chem,2023-07-09T20:20:00,2023-07-09T18:20:00,67.0648,-50.1609,8.2,22.4,19.1,,,,,,,,,,,,,SW,SW6b,2023,SW6,,,,,,
MARCH4G_2023_SW6b_14C,2023-07-09T20:20:00,2023-07-09T18:20:00,67.0648,-50.1609,,,,,,,63.6814,0.29,3838.0,4082.0,62.439192725718776,3993.0,4291.0,,,SW,SW6b,2023,SW6,3.993,4.291,4.142,3.838,4.082,3.96
MARCH4G_2022_SW6c_GHG,2022-09-07T13:50:00,2022-09-07T11:50:00,67.27472,-50.245,8.2,20.6,,212.4856204424362,,,,,,,,,,,,SW,SW6c,2022,SW6,,,,,,
MARCH4G_2022_SW6c_Chem,2022-09-07T13:50:00,2022-09-07T11:50:00,67.27472,-50.245,,,,,,,,,,,,,,,,SW,SW6c,2022,SW6,,,,,,
MARCH4G_2023_SW7_GHG-a,2023-07-10T17:34:00,2023-07-10T15:34:00,67.05626,-50.16009,,,,14026.961145745556,10544.154660587088,16112.933326180717,,,,,,,,-60.8,-372.8,SW,SW7,2023,SW7,,,,,,
MARCH4G_2023_SW7_Chem,2023-07-10T17:34:00,2023-07-10T15:34:00,67.05626,-50.16009,6.1,8.0,16.6,,,,,,,,,,,,,SW,SW7,2023,SW7,,,,,,
MARCH4G_2023_SW7_14C,2023-07-10T17:34:00,2023-07-10T15:34:00,67.05626,-50.16009,,,,,,,80.9497,0.37,1526.0,1701.0,80.93033852481507,1528.0,1700.0,,,SW,SW7,2023,SW7,1.528,1.7,1.6139999999999999,1.526,1.701,1.6135000000000002
MARCH4G_2021_SW7_GHG-a,2021-09-06T21:12:00,2021-09-06T19:12:00,67.05626,-50.16009,,,,8.928211919759871,,,,,,,,,,,,SW,SW7,2021,SW7,,,,,,
MARCH4G_2021_SW7_GHG-b,2021-09-07T16:11:00,2021-09-07T14:11:00,67.05626,-50.16009,,,,8.379236578738391,,,,,,,,,,,,SW,SW7,2021,SW7,,,,,,
MARCH4G_2021_SW7_GHG-c,2021-09-09T17:54:00,2021-09-09T15:54:00,67.05626,-50.16009,,,,65.9523616848576,32.42890497117256,93.99289447164824,,,,,,,,,,SW,SW7,2021,SW7,,,,,,
MARCH4G_2022_SW8_GHG,2022-09-08T12:20:00,2022-09-08T10:20:00,67.191,-50.21972,,,,459.8773058419336,,,,,,,,,,,,SW,SW8,2022,SW8,,,,,,
MARCH4G_2022_SW8_Chem,2022-09-08T12:20:00,2022-09-08T10:20:00,67.191,-50.21972,8.4,23.3,,,,,,,,,,,,,,SW,SW8,2022,SW8,,,,,,
MARCH4G_2022_SW9_GHG,2022-09-08T12:55:00,2022-09-08T10:55:00,66.73027,-50.02638,,,,97.9717379510356,,,,,,,,,,,,SW,SW9,2022,SW9,,,,,,
MARCH4G_2022_SW9_Chem,2022-09-08T12:55:00,2022-09-08T10:55:00,66.73027,-50.02638,7.8,19.3,,,,,,,,,,,,,,SW,SW9,2022,SW9,,,,,,
MARCH4G_2022_SW10_GHG,2022-09-08T13:35:00,2022-09-08T11:35:00,66.5625,-49.84805,,,,136.63030822805413,,,,,,,,,,,,SW,SW10,2022,SW10,,,,,,
MARCH4G_2022_SW10_Chem,2022-09-08T13:35:00,2022-09-08T11:35:00,66.5625,-49.84805,7.8,15.0,,,,,,,,,,,,,,SW,SW10,2022,SW10,,,,,,
MARCH4G_2022_SW11_GHG,2022-09-08T15:10:00,2022-09-08T13:10:00,65.89472,-50.733,,,,7.423603569684913,,,,,,,,,,,,SW,SW11,2022,SW11,,,,,,
MARCH4G_2022_SW11_Chem,2022-09-08T15:10:00,2022-09-08T13:10:00,65.89472,-50.733,7.3,15.2,,,,,,,,,,,,,,SW,SW11,2022,SW11,,,,,,
MARCH4G_2022_SW12_GHG-a,2022-08-01T01:50:00,2022-07-31T23:50:00,65.19899,-50.6738,,,,21.534271720069288,17.10285517258014,25.940670250112102,,,,,,,,-50.6,-194.8,SW,SW12,2022,SW12,,,,,,
MARCH4G_2022_SW12_Chem,2022-08-01T01:50:00,2022-07-31T23:50:00,65.19899,-50.6738,8.2,18.5,19.0,,,,,,,,,,,,,SW,SW12,2022,SW12,,,,,,
MARCH4G_2022_SW12_GHG-b,2022-08-01T13:35:10,2022-08-01T11:35:10,65.19899,-50.6738,,,,5.94647255957578,5.359078796471168,6.533866322680393,,,,,,,,,,SW,SW12,2022,SW12,,,,,,
MARCH4G_2022_SW12_GHG-c,2022-08-01T16:00:00,2022-08-01T14:00:00,65.19899,-50.6738,,,,17.882379497048586,15.89071652702015,21.26293330478641,,,,,,,,,,SW,SW12,2022,SW12,,,,,,
MARCH4G_2022_SW13_GHG,2022-08-04T19:00:00,2022-08-04T17:00:00,61.14541,-46.1282,,,,15.496598067888106,2.5530964700883825,33.67247499537078,,,,,,,,-48.6,-203.2,SW,SW13,2022,SW13,,,,,,
MARCH4G_2022_SW13_Chem,2022-08-04T19:00:00,2022-08-04T17:00:00,61.14541,-46.1282,7.4,4.9,17.6,,,,,,,,,,,,,SW,SW13,2022,SW13,,,,,,
MARCH4G_2022_SW14a_GHG,2022-08-07T20:10:00,2022-08-07T18:10:00,61.4273,-45.13174,,,,11.51411116178338,6.087289042791372,23.691847202540803,,,,,,,,-47.2,-181.1,SW,SW14a,2022,SW14,,,,,,
MARCH4G_2022_SW14a_Chem,2022-08-07T20:10:00,2022-08-07T18:10:00,61.4273,-45.13174,7.9,6.7,14.4,,,,,,,,,,,,,SW,SW14a,2022,SW14,,,,,,
MARCH4G_2022_SW14b_GHG,2022-08-08T21:00:00,2022-08-08T19:00:00,61.4286,-45.13449,,,,19.463738839996743,,,,,,,,,,,,SW,SW14b,2022,SW14,,,,,,
MARCH4G_2022_SW15_GHG,2022-08-08T17:00:00,2022-08-08T15:00:00,61.42386,-45.11658,,,,2.9803447982990803,,,,,,,,,,,,SW,SW15,2022,SW15,,,,,,
MARCH4G_2022_SW15_Chem,2022-08-08T17:00:00,2022-08-08T15:00:00,61.42386,-45.11658,7.5,8.7,13.0,,,,,,,,,,,,,SW,SW15,2022,SW15,,,,,,
