tipo_medida,unidad,poblacion,indicador,media,ic95_inf,ic95_sup
transactional,binary,clientes_banco,Financial Services/Fraud/Other,0.0383021144865943,0.0356684973930591,0.0411218950270004
transactional,binary,clientas_banco,Financial Services/Fraud/Other,0.0411509573680313,0.0384108768451915,0.0440775445923061
transactional,binary,clientes_banco,Financial Services/Fraud/Write Off,0.0238732357416444,0.0217993250942794,0.0261391785980679
transactional,binary,clientas_banco,Financial Services/Fraud/Write Off,0.0264466306992489,0.0242531021261572,0.0288326867634949
transactional,binary,clientes_banco,Financial Services/Funds Transfer/International,0.0602864788288997,0.0569946552099595,0.0637555732023442
transactional,binary,clientas_banco,Financial Services/Funds Transfer/International,0.0530519411826933,0.0499463284064409,0.0563392065878759
transactional,binary,clientes_banco,Financial Services/Funds Transfer/Other,0.323574164436749,0.316968097488287,0.330251341936477
transactional,binary,clientas_banco,Financial Services/Funds Transfer/Other,0.326721675658521,0.320071698168315,0.333442060166896
transactional,binary,clientes_banco,Financial Services/Insurance/Animal,0.0050894590482186,0.0041727694730683,0.0062062753433846
transactional,binary,clientas_banco,Financial Services/Insurance/Animal,0.0047603935258648,0.0038733870812685,0.0058493318665777
transactional,binary,clientes_banco,Financial Services/Insurance/Appliance,0.0966472532661735,0.0925328836207227,0.100924217876723
transactional,binary,clientas_banco,Financial Services/Insurance/Appliance,0.103406326034063,0.099145904805687,0.107827909530344
transactional,binary,clientes_banco,Financial Services/Insurance/Claims,0.0402959231858964,0.0375948551675486,0.0431823467038796
transactional,binary,clientas_banco,Financial Services/Insurance/Claims,0.0415741034592193,0.0388200587897458,0.0445144820567915
transactional,binary,clientes_banco,Financial Services/Insurance/Dental,0.0246602654913689,0.0225517041231149,0.0269605373419747
transactional,binary,clientas_banco,Financial Services/Insurance/Dental,0.0262350576536549,0.0240504788269921,0.0286122509818991
transactional,binary,clientes_banco,Financial Services/Insurance/Health,0.0449131643842804,0.0420627981886496,0.0479470165346129
transactional,binary,clientas_banco,Financial Services/Insurance/Health,0.0473923622130541,0.0444539633043476,0.0505147209573477
transactional,binary,clientes_banco,Financial Services/Insurance/Home,0.154677580145863,0.149613282301433,0.159881071534913
transactional,binary,clientas_banco,Financial Services/Insurance/Home,0.151644980429493,0.146602740464948,0.156828772883185
transactional,binary,clientes_banco,Financial Services/Insurance/Home emergency,0.039351487486227,0.036682130861591,0.0422065822671027
transactional,binary,clientas_banco,Financial Services/Insurance/Home emergency,0.0439543002221517,0.041123166112596,0.0469707967150656
transactional,binary,clientes_banco,Financial Services/Insurance/Mobile Phone,0.0215646151424524,0.0195960159250663,0.0237261922071686
transactional,binary,clientas_banco,Financial Services/Insurance/Mobile Phone,0.0214746641277901,0.0195027225656198,0.0236411833935486
transactional,binary,clientes_banco,Financial Services/Insurance/Motor,0.223883729471641,0.218021456156241,0.229857296982
transactional,binary,clientas_banco,Financial Services/Insurance/Motor,0.206601079022533,0.200889544992083,0.212431831004275
transactional,binary,clientes_banco,Financial Services/Insurance/Other,0.607219686237473,0.600265106232304,0.614131050333676
transactional,binary,clientas_banco,Financial Services/Insurance/Other,0.593621072675341,0.5866013563721,0.600602748814681
transactional,binary,clientes_banco,Financial Services/Insurance/Personal Accident,0.0039876173986043,0.0031858707876245,0.0049901190879793
transactional,binary,clientas_banco,Financial Services/Insurance/Personal Accident,0.0042843541732783,0.0034472210514701,0.0053236931145041
transactional,binary,clientes_banco,Financial Services/Insurance/Pet,0.103310771813841,0.0990689543796997,0.107712496321423
transactional,binary,clientas_banco,Financial Services/Insurance/Pet,0.119327197715011,0.114783106039651,0.124025978628044
transactional,binary,clientes_banco,Financial Services/Insurance/Travel,0.0312188467390734,0.0288421311544465,0.0337846006273002
transactional,binary,clientas_banco,Financial Services/Insurance/Travel,0.0324764624986777,0.030042522770857,0.0351004556683252
transactional,binary,clientes_banco,Financial Services/Investments/Cryptocurrency,0.0235584238417546,0.0214985442138051,0.0258104644541501
transactional,binary,clientas_banco,Financial Services/Investments/Cryptocurrency,0.0088331746535491,0.0075944866359214,0.010271805991077
transactional,binary,clientes_banco,Financial Services/Investments/Dividend,0.0622802875282019,0.0589363241392076,0.0658007162997668
transactional,binary,clientas_banco,Financial Services/Investments/Dividend,0.0578652279699566,0.0546254505465166,0.0612846970103503
transactional,binary,clientes_banco,Financial Services/Investments/Funds Received,0.0179967469437011,0.0162034164005709,0.0199845244404533
transactional,binary,clientas_banco,Financial Services/Investments/Funds Received,0.0178250290912938,0.0160337396099899,0.0198124119186218
transactional,binary,clientes_banco,Financial Services/Investments/ISA,0.0128023505955192,0.0113006919622489,0.0145006260656822
transactional,binary,clientas_banco,Financial Services/Investments/ISA,0.0099439331429175,0.0086247249631802,0.0114625897943282
transactional,binary,clientes_banco,Financial Services/Investments/NS&I,0.0766566976231702,0.0729639299164569,0.0805201263238726
transactional,binary,clientas_banco,Financial Services/Investments/NS&I,0.0785993864381678,0.0748479672860097,0.0825220573210794
transactional,binary,clientes_banco,Financial Services/Investments/Other,0.0850516816202319,0.0811740186320125,0.0890966177712406
transactional,binary,clientas_banco,Financial Services/Investments/Other,0.0835713530096266,0.0797102129369315,0.0876017221189831
transactional,binary,clientes_banco,Financial Services/Investments/Stocks & Shares,0.0770239781730416,0.0733228574170236,0.080895611685573
transactional,binary,clientas_banco,Financial Services/Investments/Stocks & Shares,0.0615677562678515,0.0582292282830237,0.0650844679726594
transactional,binary,clientes_banco,Financial Services/Loans/Direct,0.0347867149378247,0.0322769756427431,0.0374840434395855
transactional,binary,clientas_banco,Financial Services/Loans/Direct,0.0343277266476251,0.0318249617200051,0.037019787143386
transactional,binary,clientes_banco,Financial Services/Loans/Other,0.255050107560733,0.248911284111215,0.261287662156534
transactional,binary,clientas_banco,Financial Services/Loans/Other,0.229503861208082,0.223564724457242,0.235552908902561
transactional,binary,clientes_banco,Financial Services/Loans/Payday,0.0055616768980534,0.0045995870721537,0.0067236465262863
transactional,binary,clientas_banco,Financial Services/Loans/Payday,0.0046546070030678,0.0037784600121603,0.0057327453366999
transactional,binary,clientes_banco,Financial Services/Loans/Prime,0.0323206883886878,0.0299020393953706,0.0349279279082639
transactional,binary,clientas_banco,Financial Services/Loans/Prime,0.0322119961916852,0.0297880630336762,0.0348260911128052
transactional,binary,clientes_banco,Financial Services/Loans/Settlement,0.0352064641376777,0.0326815788501487,0.0379187682981228
transactional,binary,clientas_banco,Financial Services/Loans/Settlement,0.0280863218026024,0.025824704161423,0.0305397931402159
transactional,binary,clientes_banco,Financial Services/Loans/Student Loan,0.0227189254420484,0.0206969582326611,0.0249333972937782
transactional,binary,clientas_banco,Financial Services/Loans/Student Loan,0.0306780916111287,0.0283131042811232,0.0332338692634681
transactional,binary,clientes_banco,Financial Services/Loans/Sub Prime,0.0173146544939399,0.0155568578381458,0.0192671804233382
transactional,binary,clientas_banco,Financial Services/Loans/Sub Prime,0.0149158997143764,0.0132830590281737,0.0167460533730201
transactional,binary,clientes_banco,Financial Services/Merchant Services/Other,0.244766252164332,0.238713811849744,0.250921568957932
transactional,binary,clientas_banco,Financial Services/Merchant Services/Other,0.242515603512113,0.236458540477789,0.24867729004235
transactional,binary,clientes_banco,Financial Services/Mortgages/Other,0.21359987407524,0.207838978761683,0.219476209081928
transactional,binary,clientas_banco,Financial Services/Mortgages/Other,0.195705067174442,0.190111505409625,0.201422274838738
transactional,binary,clientes_banco,Financial Services/Other/Account Closure,0.0304318169893489,0.0280855515715064,0.0329674407156829
transactional,binary,clientas_banco,Financial Services/Other/Account Closure,0.0319475298846927,0.0295336484426137,0.0345516814255694
transactional,binary,clientes_banco,Financial Services/Other/Bad Debit Write Off,0.0039351487486227,0.0031392491473857,0.004931835928517
transactional,binary,clientas_banco,Financial Services/Other/Bad Debit Write Off,0.0034380619909023,0.0026969694449777,0.0043819024893778
transactional,binary,clientes_banco,Financial Services/Other/Banking,0.152368959546671,0.147336614330816,0.157541429095424
transactional,binary,clientas_banco,Financial Services/Other/Banking,0.15809795832011,0.15296669184233,0.163368154536838
transactional,binary,clientes_banco,Financial Services/Other/Buy Now Pay Later,0.13437221260297,0.129603552156712,0.139288253688392
transactional,binary,clientas_banco,Financial Services/Other/Buy Now Pay Later,0.16724849254205,0.161996186111575,0.172636009687349
transactional,binary,clientes_banco,Financial Services/Other/Charges,0.0024135578991552,0.0018082838159775,0.0032207773968496
transactional,binary,clientas_banco,Financial Services/Other/Charges,0.0034909552523008,0.0027435372783592,0.0044410844734169
transactional,binary,clientes_banco,Financial Services/Other/Complaints Resolution,0.0099165748465292,0.008604227137815,0.0114267794733051
transactional,binary,clientas_banco,Financial Services/Other/Complaints Resolution,0.0093621072675341,0.0080844694934113,0.0108394514297456
transactional,binary,clientes_banco,Financial Services/Other/Credit Union,0.0304842856393305,0.0281359769346923,0.0330219313142946
transactional,binary,clientas_banco,Financial Services/Other/Credit Union,0.0340103670792341,0.031519252942242,0.0366909066613926
transactional,binary,clientes_banco,Financial Services/Other/Debt Recovery,0.0691536806757962,0.0656373639092891,0.072843687205445
transactional,binary,clientas_banco,Financial Services/Other/Debt Recovery,0.0756902570612504,0.072005106306847,0.0795478431961583
