mjd,year,mag,magerr,filter
59084.301967599895,2020.6429,19.878799843676436,0.19656535726635635,ZTF_r
59086.34547450021,2020.6484,19.950186822109753,0.20458534874653625,ZTF_r
59087.28626159998,2020.6510,19.85575051095988,0.21488781137433569,ZTF_r
59087.36751159979,2020.6512,19.984030442442368,0.2337248983031208,ZTF_r
59088.38739580009,2020.6540,19.962664097531302,0.23074556297894377,ZTF_r
59090.45151619986,2020.6597,19.979123419520793,0.18807433934025172,ZTF_r
59094.35103010014,2020.6704,20.372871452324752,0.6263995450388574,ZTF_r
59096.302824100014,2020.6757,20.076117330106655,0.2723831846697069,ZTF_r
59097.3041087999,2020.6785,19.69861894508965,0.26028629710372153,ZTF_r
59098.34682870004,2020.6813,19.893566543456664,0.2949786223838121,ZTF_r
59099.322812499944,2020.6840,19.95673623943046,0.24053523032071603,ZTF_r
59104.43431709986,2020.6980,19.867457600902064,0.3521140538270802,ZTF_r
59106.34537040023,2020.7032,20.071594089509105,0.30817386562697574,ZTF_r
59109.24491900019,2020.7111,19.976791651559573,0.25758568726181075,ZTF_r
59112.193784699775,2020.7192,19.92998773533631,0.20341045335047697,ZTF_r
59113.288113399874,2020.7222,20.05574629808418,0.2870084735723461,ZTF_r
59115.296643500216,2020.7277,20.074939376978797,0.24147188204407638,ZTF_r
59115.36684030015,2020.7279,20.03865047992383,0.24987624689928617,ZTF_r
59116.34186339984,2020.7306,19.923644286514527,0.22975906628365922,ZTF_r
59118.23792820005,2020.7358,20.090709698607874,0.3119631617143174,ZTF_r
59118.31800930016,2020.7360,20.026659195193034,0.2845240940390821,ZTF_r
59123.304293999914,2020.7496,20.491967895998112,0.6381844299886169,ZTF_r
59124.276713000145,2020.7523,20.055296272607887,0.3125474061174923,ZTF_r
59125.28355319984,2020.7551,20.00154630572856,0.2918637374606235,ZTF_r
59129.21429400006,2020.7658,20.05139962571753,0.24909867413762202,ZTF_r
59131.246354199946,2020.7714,19.98971834589685,0.22445056412904843,ZTF_r
59134.202152799815,2020.7795,19.88482707062486,0.2011629523056683,ZTF_r
59136.20084490022,2020.7849,20.033478815375688,0.25891795264453055,ZTF_r
59138.142419000156,2020.7903,20.12976523911773,0.29270186786717334,ZTF_r
59140.22148150019,2020.7960,19.968742094479815,0.21972916622804,ZTF_r
59144.224108799826,2020.8069,20.122300550965726,0.25721147033724495,ZTF_r
59146.18141200021,2020.8123,20.244115413083037,0.42709459621021606,ZTF_r
59149.1398494998,2020.8204,20.075199789315448,0.427896301776854,ZTF_r
59151.223495400045,2020.8261,19.981153813590577,0.23464338156970588,ZTF_r
59155.11858800007,2020.8367,20.036119848376707,0.23039564923622233,ZTF_r
59157.32635420002,2020.8428,19.9343323388973,0.228382895411189,ZTF_r
59164.18172449991,2020.8616,20.091938659289788,0.20272895328830742,ZTF_r
59167.20280090021,2020.8698,20.08481793046675,0.2655991091267883,ZTF_r
59169.17625000002,2020.8752,20.068806197456382,0.24975066023644263,ZTF_r
59171.11762729986,2020.8805,19.996208939106378,0.19790101822178086,ZTF_r
59173.12180559989,2020.8860,20.048660165332322,0.26901707482365095,ZTF_r
59180.19918979984,2020.9054,19.86978244242836,0.4747645749673551,ZTF_r
59182.11103009991,2020.9106,19.76391102802438,0.2665240615536319,ZTF_r
59184.1149420999,2020.9161,19.964826298286738,0.19818657445382276,ZTF_r
59186.12199069979,2020.9216,20.000167822116932,0.3180134252087056,ZTF_r
59188.123055600096,2020.9271,20.12005489861249,0.25079744936506276,ZTF_r
59190.14385419991,2020.9326,20.056450965046437,0.3493133292309871,ZTF_r
59195.11857639998,2020.9463,19.819345324318473,0.3556190569283217,ZTF_r
59198.118437500205,2020.9545,19.948263753306918,0.21196839795501302,ZTF_r
59199.116458300035,2020.9572,19.921528117683927,0.2579788456603292,ZTF_r
59199.11739580007,2020.9572,20.031154572380785,0.23032646727622363,ZTF_r
59200.115659699775,2020.9599,19.787546366521724,0.31782353531510765,ZTF_r
59203.17890049983,2020.9683,20.15453050796505,0.32502201066440317,ZTF_r
59204.1315394002,2020.9709,19.902995884584556,0.25197762513965155,ZTF_r
59204.144317099825,2020.9710,19.919577891821948,0.24855842387845692,ZTF_r
59210.10994210001,2020.9873,20.135572511413983,0.3491703562413162,ZTF_r
59218.13618060015,2021.0093,19.98795706805979,0.2214636309619957,ZTF_r
59224.11862270022,2021.0256,19.97669105374453,0.2596323735707592,ZTF_r
59230.11256940011,2021.0421,19.98872531350303,0.24657298916034756,ZTF_r
59232.13571760012,2021.0476,19.897154019665834,0.21538679094661478,ZTF_r
59307.50695599988,2021.2540,20.06493436661714,0.3599668557876156,ZTF_r
59307.5094792,2021.2540,20.156626884208784,0.38122294598181555,ZTF_r
59307.51199069992,2021.2540,19.887443355659446,0.2395264945684569,ZTF_r
59307.51450229995,2021.2540,20.120169615701787,0.3150886268005951,ZTF_r
59307.51701389998,2021.2540,20.418186952192336,0.39518509037033406,ZTF_r
59308.50456020003,2021.2567,19.964623482193605,0.3397395305886592,ZTF_r
59308.50652780011,2021.2567,19.97525536342473,0.35748320557182595,ZTF_r
59308.508495400194,2021.2567,19.996076338567295,0.31248663993458314,ZTF_r
