gen,cluster,unstim_media,suero_2h_media,suero_5h_media,tif_2h_media,tif_5h_media,log2fc_tif_vs_suero_2h,log2fc_tif_vs_suero_5h
Tbx21,1,5.2129,7.4088,6.6557,5.7177,6.1243,-1.6911,-0.5313
Cyp51,4,6.0814,5.8607,5.4182,5.838,4.806,-0.0227,-0.6121
Foxm1,3,5.4893,4.8818,4.4059,5.1401,5.0993,0.2583,0.6935
Itfg2,1,2.5053,3.6133,4.1377,3.4062,3.6287,-0.2071,-0.5091
Gtf2h4,4,4.7851,4.5193,4.6897,4.3963,4.2224,-0.1231,-0.4672
Tubb5,3,9.9851,9.4709,8.7681,9.8062,9.4534,0.3353,0.6853
Ell2,1,3.6232,4.8601,5.4651,4.2108,4.5794,-0.6493,-0.8857
Acap1,3,5.8844,5.6515,4.8053,5.5791,5.4933,-0.0724,0.6879
Ifrd1,1,6.1304,8.2491,8.4928,8.1725,7.8872,-0.0766,-0.6057
Gstt1,4,2.8426,2.1025,2.2902,2.3299,1.4196,0.2274,-0.8706
Gstt3,1,1.7523,2.026,2.074,1.9668,1.595,-0.0592,-0.479
Ddx18,1,5.2528,6.1133,6.563,5.4007,5.9165,-0.7126,-0.6465
Gramd3,3,6.9527,6.3412,4.9212,7.2694,6.7605,0.9283,1.8393
Eef1e1,1,4.7384,6.1514,6.8446,5.0591,5.5765,-1.0924,-1.2682
Il16,3,6.2689,5.3488,4.6868,6.2472,6.0141,0.8984,1.3272
Chordc1,1,5.6687,5.6772,6.2979,5.36,5.6524,-0.3172,-0.6456
D10Wsu52e,1,6.3547,6.494,6.6111,6.4049,6.2899,-0.0891,-0.3212
Pwp1,1,4.5526,5.3791,5.6919,4.806,4.8928,-0.5731,-0.7991
2007-09-01 00:00:00,1,7.6176,7.8609,8.4766,7.3085,7.6433,-0.5523,-0.8332
Kcnh6,3,0.4572,0.5622,0.3878,0.945,0.9456,0.3829,0.5578
Slc1a5,1,6.5664,8.0808,8.5641,7.0559,7.9323,-1.025,-0.6319
Siae,3,2.8379,2.1168,1.5969,2.427,2.2833,0.3102,0.6864
Ssr4,4,6.4905,6.38,6.9341,6.1463,5.9806,-0.2336,-0.9535
Fam98a,1,4.3502,4.9088,5.0079,4.4315,4.5206,-0.4773,-0.4873
Supt6h,1,5.262,6.0463,6.3592,5.6267,5.9618,-0.4197,-0.3974
Bbc3,2,3.5267,4.2487,4.2984,4.3181,4.8853,0.0694,0.5869
Nr1h3,2,0.7886,0.996,0.6327,0.8534,1.3008,-0.1426,0.6681
Ddb2,3,4.5768,4.2062,3.9378,4.5679,4.897,0.3618,0.9592
Vrk3,3,6.6129,5.9815,4.6269,6.0954,5.9089,0.1138,1.282
Mov10,3,3.9029,3.4542,2.1737,3.9164,3.1462,0.4622,0.9725
Ppard,2,2.9211,3.4791,2.8885,3.1999,3.2979,-0.2793,0.4095
Def6,3,6.7885,6.669,6.1342,6.588,6.5305,-0.081,0.3963
Lmf1,3,3.4158,3.1339,2.6526,3.2358,3.2723,0.1019,0.6197
Daxx,3,4.5732,4.2845,4.2326,4.7038,4.8648,0.4193,0.6322
Ipo4,1,4.5249,5.5953,6.318,4.8711,5.5413,-0.7242,-0.7767
Dhrs1,3,5.5997,5.123,4.194,5.2981,5.3018,0.1751,1.1079
Slc25a42,3,1.8472,1.7948,1.1623,1.6699,1.6233,-0.1248,0.461
Snx9,1,4.8298,5.1237,5.8632,4.9579,5.1396,-0.1657,-0.7236
Dyrk1b,3,1.9739,2.2429,1.265,2.493,2.3604,0.2501,1.0953
Snrpd1,4,8.0601,7.3639,7.1929,7.1709,6.6021,-0.1931,-0.5908
Tchp,1,3.0652,3.7955,4.326,3.6042,3.7508,-0.1912,-0.5752
Tiam1,1,2.3758,3.4476,3.8347,3.5568,2.6816,0.1092,-1.1531
Ikzf4,3,2.29,2.722,1.6846,2.7502,2.7312,0.0282,1.0467
Axl,1,3.4295,3.745,4.4383,2.8959,3.246,-0.8491,-1.1924
Tgfb1,1,7.2603,8.2809,8.2444,7.1738,7.5666,-1.107,-0.6778
Clpp,1,4.5598,5.0203,5.1738,4.721,4.7487,-0.2992,-0.4251
Alkbh7,2,2.8558,2.135,2.3444,2.6032,2.9451,0.4682,0.6006
Dennd1c,3,4.8872,4.7018,3.9256,4.3599,4.4975,-0.3419,0.5719
Naa20,1,6.1014,5.8699,6.4785,5.9304,5.744,0.0605,-0.7345
Prkra,3,2.3157,1.364,0.9461,1.9141,1.7291,0.5501,0.7831
Plekha3,1,3.7697,4.4334,4.3496,3.7529,3.8202,-0.6804,-0.5294
Tmem143,3,3.1286,2.9246,2.4543,3.455,3.2348,0.5304,0.7804
Ggct,4,4.6734,3.7616,4.2958,3.9187,3.5914,0.157,-0.7044
Nudt14,3,4.6463,3.9679,3.1008,3.8865,3.866,-0.0814,0.7652
Flii,3,6.7222,6.3108,5.68,6.249,6.2325,-0.0619,0.5525
Top3a,2,3.323,3.5941,3.6625,4.0253,4.1698,0.4312,0.5072
Qtrt1,1,3.746,4.3414,4.3455,3.803,3.8001,-0.5383,-0.5454
Hdgfrp2,3,5.8429,5.415,4.8969,5.4437,5.4021,0.0287,0.5052
Chaf1a,3,5.5217,5.0676,4.7298,5.4747,5.399,0.4071,0.6692
Adprh,3,5.3608,5.039,4.5208,5.3906,5.0591,0.3516,0.5383
Tmem39a,1,6.1775,7.2507,8.1404,6.9535,7.2429,-0.2972,-0.8975
Mcm2,3,6.5775,6.4134,5.7893,6.5301,6.2631,0.1167,0.4737
Il17ra,3,5.578,5.4798,5.1412,5.681,5.6509,0.2013,0.5097
Arrdc2,2,2.1666,2.4373,2.2211,2.5608,2.7337,0.1235,0.5126
Ap2a2,3,4.6495,4.456,4.1277,4.6857,4.5363,0.2297,0.4086
Med25,2,4.4531,4.8004,4.4396,4.7776,4.9215,-0.0229,0.4819
Tomm40,1,5.402,6.2329,6.3425,5.6435,5.7465,-0.5893,-0.596
Apoe,2,1.0286,1.3679,0.8816,1.3861,1.867,0.0182,0.9854
Hbp1,2,4.4083,3.9509,4.2871,4.7617,4.8833,0.8108,0.5962
Cdkn1b,3,5.6495,4.841,4.5948,5.8086,5.7366,0.9676,1.1418
Lipe,2,1.919,1.9684,1.8753,2.1928,2.4696,0.2244,0.5942
Pafah1b2,1,4.7315,5.2848,5.6619,5.0641,5.0101,-0.2207,-0.6518
D1Bwg0212e,1,4.2932,5.0053,5.4911,4.6558,4.8583,-0.3495,-0.6328
Foxj2,2,2.8924,3.3371,3.0546,3.5676,3.8047,0.2306,0.7501
Ranbp2,1,5.4911,6.0387,6.5399,5.6923,5.9719,-0.3464,-0.5681
Grk5,1,1.3985,1.6166,2.5841,1.405,2.1412,-0.2116,-0.4429
Eif2b5,4,5.2485,5.1544,5.3874,5.1012,4.893,-0.0533,-0.4944
Mrpl4,2,5.8603,5.7336,5.3863,5.9309,5.9009,0.1972,0.5146
Keap1,3,4.6267,4.1745,3.9548,4.491,4.4776,0.3165,0.5228
Btbd2,3,4.167,3.9443,2.4829,3.9944,3.8779,0.0501,1.395
Csnk1g2,3,6.4927,5.9099,5.2674,6.0471,5.9791,0.1372,0.7117
Fam108a,3,4.6907,4.6701,3.5952,4.7202,4.3206,0.0501,0.7254
Mobkl2a,3,6.1556,5.6379,4.5643,5.5693,5.204,-0.0686,0.6397
Cacnb3,3,2.2871,1.7708,1.0956,1.868,1.5811,0.0972,0.4855
Fkbp11,1,1.1498,1.1257,1.7795,0.6813,0.7455,-0.4444,-1.034
Rabac1,2,4.8537,4.7896,4.1643,5.2373,5.0477,0.4478,0.8835
Etv3,1,2.8423,4.2223,4.4782,3.7128,4.1396,-0.5094,-0.3386
Nosip,2,5.4074,5.3108,5.1358,5.3973,5.6925,0.0865,0.5567
Timm50,1,5.4016,5.8108,6.0649,5.5158,5.522,-0.295,-0.5429
Med29,4,3.9009,3.9932,4.1794,3.6631,3.3454,-0.3301,-0.834
Pex19,4,4.1825,4.2703,4.3283,4.1318,3.8265,-0.1385,-0.5018
Slc25a1,4,5.2598,5.0161,4.554,4.6954,3.6545,-0.3207,-0.8995
Ercc1,1,4.3973,4.8952,5.5594,4.5475,5.1313,-0.3477,-0.4281
Rnf215,2,2.7551,2.6686,2.5323,2.7789,3.1316,0.1104,0.5993
Kpna6,1,3.7874,4.3864,4.5571,4.198,4.1021,-0.1884,-0.455
Man1a,1,4.2808,5.1762,5.1947,5.2871,4.6886,0.1109,-0.5061
Itpkc,1,1.5705,2.8757,3.2499,2.3611,2.5911,-0.5146,-0.6588
Kif20a,3,6.0072,4.7582,5.0026,5.2855,5.4417,0.5273,0.4391
Calr,1,9.0889,8.9758,9.6243,8.796,8.8551,-0.1798,-0.7693
Nfat5,1,3.1605,5.4813,6.0456,4.1584,4.7395,-1.3229,-1.3061
Nob1,1,5.086,5.9111,6.0454,5.3275,5.5826,-0.5836,-0.4628
Il7r,3,5.9174,5.7493,4.4615,6.6166,5.8894,0.8673,1.4279
Tfam,1,7.1136,6.953,7.5618,7.0406,6.7988,0.0876,-0.763
Mmd,1,4.6758,5.5277,5.6686,4.9254,4.9153,-0.6024,-0.7532
Hlf,1,0.3734,1.0207,1.6782,0.8748,0.8096,-0.1459,-0.8686
Ssbp2,3,4.645,4.6184,3.7069,4.6789,4.3892,0.0605,0.6823
Stat5a,1,4.7285,5.5635,7.0548,4.8567,5.5959,-0.7068,-1.4588
Dnaja3,1,4.3083,5.0975,5.9326,4.6829,5.1928,-0.4146,-0.7398
Dnmt1,3,7.3128,6.9861,6.3439,7.1767,6.9673,0.1906,0.6234
Ppan,1,6.2527,7.7993,8.0951,6.1241,6.9684,-1.6751,-1.1266
Angptl2,1,0.9827,1.8903,1.4489,0.7009,0.6932,-1.1893,-0.7557
Rg9mtd2,1,2.9101,3.3169,4.1049,2.5952,2.8313,-0.7216,-1.2736
Psap,3,6.9068,6.4913,5.6172,6.828,6.3848,0.3367,0.7676
Wars2,1,3.3266,3.2876,3.8593,3.4994,3.2578,0.2117,-0.6015
Phb2,4,7.9442,7.9756,8.0295,7.7792,7.5593,-0.1964,-0.4702
Ptpn6,4,7.3274,7.2372,6.7279,6.0993,6.2578,-1.1379,-0.47
Emg1,1,6.9426,6.8495,7.1174,6.7333,6.6003,-0.1161,-0.5171
Clcn3,1,3.9408,4.3205,4.3424,4.1727,3.9137,-0.1478,-0.4287
Utp20,1,3.47,4.3149,5.1003,3.6826,3.9386,-0.6323,-1.1618
Ddx56,1,4.899,5.5827,5.8214,4.8341,4.8907,-0.7486,-0.9307
Bid,1,3.9118,3.9962,4.2599,3.5072,3.5813,-0.489,-0.6786
Dnajb11,1,6.4807,6.605,7.3055,6.4648,6.6364,-0.1402,-0.6691
Zfp324,1,1.785,1.4874,1.9229,1.7135,1.6222,0.2261,-0.3007
Coro1c,4,6.4424,6.5266,6.5113,6.2949,5.98,-0.2316,-0.5313
Ndrg2,3,3.6226,2.3127,1.3971,2.611,1.9711,0.2983,0.574
Arhgef18,3,5.2798,3.8372,2.3025,4.6236,4.0782,0.7864,1.7757
Nkg7,1,8.9389,9.6998,10.1059,8.8145,8.9022,-0.8854,-1.2038
Cnn2,3,8.4546,7.5142,5.6774,7.8515,7.0269,0.3373,1.3495
Cd244,4,1.8144,1.3213,1.3582,1.0489,0.5487,-0.2725,-0.8096
Dlst,1,5.8564,5.9437,6.3094,5.7984,5.9285,-0.1453,-0.381
Lbr,3,6.853,6.3352,5.509,6.4971,6.1874,0.1619,0.6784
Crabp2,1,0.2562,4.4161,5.6417,1.33,3.2882,-3.0861,-2.3535
Hnrnpa2b1,4,9.7618,9.225,9.1767,9.1166,8.7486,-0.1084,-0.4281
Prkacb,3,5.8257,5.5683,4.9406,5.6556,5.6086,0.0872,0.668
Cd44,1,6.0497,7.8886,8.3866,6.721,6.9086,-1.1675,-1.4781
Wdr1,3,7.6419,7.3223,6.7483,7.6289,7.2274,0.3066,0.4791
Wisp1,1,0.0,0.3357,0.9105,0.2205,0.3478,-0.1152,-0.5627
Ndrg1,1,2.4468,5.2436,6.8545,4.1009,4.5706,-1.1427,-2.2839
Man2b1,3,5.1602,4.8814,4.1273,4.8075,4.5081,-0.0739,0.3807
Polr2a,2,5.7258,6.3969,5.7218,6.1737,6.0918,-0.2232,0.37
Senp3,1,5.9064,6.217,6.6059,5.8356,6.0735,-0.3814,-0.5324
Ubqln1,1,5.444,5.8456,6.1556,5.6117,5.8206,-0.234,-0.3351
Txn2,1,6.821,6.9837,7.191,6.7756,6.7037,-0.2081,-0.4873
Crbn,2,5.5305,5.5017,5.5542,6.2428,6.1956,0.7411,0.6414
Fbxo11,1,4.929,6.4897,7.1449,5.6106,5.9149,-0.8791,-1.23
Mprip,3,5.2036,4.7498,4.1356,4.8145,4.6721,0.0647,0.5365
Asf1b,3,6.4496,5.5943,5.0983,6.0037,5.741,0.4093,0.6428
Usp40,1,2.1731,2.1243,2.7191,1.7827,2.3944,-0.3416,-0.3247
Celf1,1,4.8031,5.3342,5.7577,5.0183,5.0387,-0.3159,-0.719
Insr,3,1.5707,1.4924,1.216,1.7668,1.6513,0.2744,0.4353
Ube2m,4,7.3517,7.3802,7.406,7.2732,7.0081,-0.107,-0.3979
Snx6,3,5.1633,4.7737,4.7529,4.8548,5.0976,0.0811,0.3448
Mthfd2,1,5.6917,7.2412,7.9,7.0293,7.3616,-0.2118,-0.5385
Pan2,3,3.3585,3.1163,2.7375,3.0344,3.4119,-0.0819,0.6744
Sh2d1a,3,6.1675,4.8523,4.0808,5.5883,5.3069,0.736,1.2261
Ranbp1,4,9.044,8.4382,8.5035,8.3197,7.7972,-0.1185,-0.7063
Slc30a4,1,2.6727,2.9384,3.5633,2.7178,2.9348,-0.2206,-0.6285
Metap1,1,4.7222,5.4527,6.0385,5.1072,5.3409,-0.3454,-0.6976
Gpr108,2,4.2376,4.4103,4.0795,4.3644,4.466,-0.0459,0.3865
Tnfsf14,1,2.5992,8.7686,8.6508,6.5069,6.9318,-2.2616,-1.719
Rsl1d1,1,7.3422,7.6367,8.0583,7.1789,7.4928,-0.4578,-0.5655
Nr2c2,2,4.3097,4.3845,4.0305,4.8985,4.8392,0.514,0.8087
Ctns,2,2.5623,2.4812,2.016,2.9107,2.8888,0.4294,0.8728
Shpk,2,1.296,1.4934,1.2218,1.7894,1.8857,0.296,0.664
Dhx34,1,2.9873,4.8122,5.4351,2.9135,4.2398,-1.8987,-1.1953
Kptn,4,3.9408,3.7079,3.4937,3.2391,2.9326,-0.4688,-0.5611
Sra1,4,5.6374,5.474,5.7396,5.5384,5.1865,0.0644,-0.5531
Atp5g1,1,6.4899,6.7308,7.0541,6.5534,6.2688,-0.1774,-0.7853
Prss16,3,3.2757,2.7391,1.8627,3.167,2.7842,0.4278,0.9214
Mobkl1a,1,2.4294,3.5816,4.0668,3.0263,3.0244,-0.5553,-1.0424
Tep1,3,2.7631,2.4935,1.8575,2.5474,2.4971,0.0539,0.6396
Tmbim1,1,2.5275,3.279,3.9194,2.9705,3.1718,-0.3085,-0.7476
Zbtb32,1,6.0041,8.4222,8.9766,6.1454,7.3015,-2.2768,-1.6752
Crip1,3,9.2183,8.1552,5.8457,8.2255,6.5822,0.0703,0.7365
Med8,1,6.0801,5.9886,6.7123,5.9319,6.099,-0.0568,-0.6134
Pfdn2,1,6.6549,6.7561,7.149,6.3074,6.2814,-0.4487,-0.8677
C330007P06Rik,4,4.2522,4.0526,4.263,3.9602,3.5678,-0.0924,-0.6952
Srm,1,6.4028,7.534,7.954,6.1458,6.428,-1.3881,-1.526
Epha2,1,0.0516,1.7894,3.0863,0.5094,1.7833,-1.28,-1.303
Nelf,4,3.122,2.9947,3.2578,2.7851,2.7692,-0.2096,-0.4885
Mvd,3,4.3761,3.5621,2.9834,3.8805,3.559,0.3185,0.5756
Rundc3a,2,3.1995,2.8165,2.1903,2.9124,3.3968,0.0959,1.2065
Cdt1,2,5.5554,5.6678,5.0392,6.0039,6.0275,0.3361,0.9883
Slc5a6,1,2.3903,3.857,4.0968,2.5834,3.0117,-1.2736,-1.0851
Qrich1,1,5.6911,6.0774,6.3889,5.8498,6.029,-0.2276,-0.36
P4htm,2,1.495,1.2373,0.9304,1.4824,1.3869,0.2451,0.4565
Gmnn,3,7.061,5.8207,5.8317,6.6277,6.312,0.807,0.4803
Acot13,3,5.8436,4.6459,4.3075,5.4,5.3424,0.7541,1.035
Mettl1,1,3.5437,4.3948,5.1033,3.817,4.4731,-0.5778,-0.6302
Kif5b,1,6.1406,6.5888,6.895,6.2547,6.4025,-0.3341,-0.4926
Saal1,3,3.7675,3.2589,2.8095,3.6882,3.2946,0.4292,0.4851
Cnp,3,5.8689,4.9567,3.4551,5.2763,4.661,0.3196,1.2059
Tmco6,3,3.5006,2.5385,1.9866,2.8989,2.8444,0.3604,0.8578
Bat5,3,4.1842,4.1774,3.6966,4.1107,4.1106,-0.0667,0.414
Ddah2,3,1.6114,1.5453,0.667,1.4021,1.5153,-0.1432,0.8483
Pole,3,5.4031,5.2504,4.756,5.2331,5.3352,-0.0173,0.5792
Zfp775,2,1.4883,1.2601,1.2987,1.9835,1.9881,0.7234,0.6894
M6pr,1,6.1629,7.3036,7.5525,6.2925,6.6117,-1.0112,-0.9408
Fance,3,4.1414,4.1243,3.7018,4.2845,4.3877,0.1601,0.6859
Dus3l,1,3.8581,4.1949,4.4257,3.8989,4.0284,-0.296,-0.3973
Tgfbr1,1,2.6911,2.7656,2.9597,2.5382,2.5838,-0.2274,-0.3759
Homer1,1,2.3318,3.7326,4.5108,3.0106,3.7235,-0.722,-0.7874
Rad51c,3,2.7068,2.0484,1.5431,2.617,2.738,0.5686,1.1949
Bcl2l1,1,4.8011,6.2182,6.4746,4.6571,5.1887,-1.5611,-1.2858
Ankrd26,3,2.8115,2.6353,2.4433,2.5612,2.7738,-0.0741,0.3305
Id3,4,4.1447,4.4489,3.7703,3.4714,3.3384,-0.9775,-0.4319
Ctsd,3,7.8946,7.2129,6.6129,7.4783,7.0866,0.2654,0.4737
Rplp1,4,11.5448,11.7274,11.478,11.6472,11.1832,-0.0801,-0.2948
Abhd8,3,4.5891,4.035,2.8006,4.2443,4.2721,0.2093,1.4715
Ap2s1,3,7.1297,6.6744,5.8968,6.8668,6.4189,0.1924,0.5221
Fhl2,1,2.9991,4.5444,5.6169,2.7713,3.8888,-1.7731,-1.7281
Snrpb2,4,6.9734,6.6223,6.8221,6.6435,6.3603,0.0212,-0.4618
Ubc,3,7.5822,7.2748,6.9674,7.4944,7.5282,0.2197,0.5608
Prpf31,4,5.8563,5.5165,5.5118,5.4293,4.9207,-0.0872,-0.5911
Sertad1,1,3.7745,5.291,5.0973,4.478,4.6838,-0.813,-0.4135
Elk3,1,4.9873,5.6229,5.9972,4.6993,5.2399,-0.9236,-0.7573
Herpud2,2,4.1688,4.6768,4.4683,5.0671,5.2011,0.3903,0.7328
Nutf2,4,4.4879,4.1054,4.2184,4.1936,3.8812,0.0882,-0.3372
Pou2f2,1,3.6939,5.1902,6.2324,3.2026,4.5053,-1.9875,-1.7271
Hdac5,3,5.3612,4.9365,3.7626,5.1729,5.1641,0.2364,1.4016
Vps72,2,5.3702,5.3798,5.1933,5.5428,5.6765,0.1629,0.4832
Dynll1,4,8.708,8.1417,8.2401,7.8204,7.5058,-0.3213,-0.7344
Tmem184b,2,3.3583,3.8622,3.4092,3.8027,3.9048,-0.0595,0.4957
Derl3,1,0.7782,0.8712,1.3007,0.4361,0.8347,-0.4352,-0.466
Dqx1,2,0.5657,0.8501,0.6214,0.5291,1.0662,-0.321,0.4448
Lnp,1,4.4648,4.9469,5.1918,4.8124,4.6352,-0.1345,-0.5566
Ube2g2,1,5.1142,5.3979,6.0925,5.1128,5.3829,-0.2851,-0.7096
Elk1,1,1.9293,2.2996,2.3999,2.0116,1.9099,-0.288,-0.49
Tnpo1,1,4.7888,5.3921,5.7094,5.3415,5.2586,-0.0507,-0.4508
Rnmt,1,4.6356,4.9194,5.2286,4.6001,4.7285,-0.3193,-0.5001
Srp14,4,7.4443,7.0034,7.363,7.0575,6.9727,0.0542,-0.3903
Tor2a,3,4.2407,4.0597,3.4144,4.2102,4.1864,0.1505,0.772
Apobec3,3,8.5278,7.4725,6.9433,7.7572,7.7108,0.2847,0.7675
Tex15,1,1.8768,2.1719,2.9625,1.3688,1.7784,-0.8031,-1.1841
Ppp2cb,1,5.5583,5.6905,5.9381,5.6041,5.528,-0.0864,-0.4102
Ccdc109a,1,3.0239,3.625,4.2735,3.3862,3.8244,-0.2388,-0.4491
Fxyd5,4,9.8947,9.661,9.6216,9.4731,9.1009,-0.1879,-0.5207
Pou6f1,3,2.7226,2.2222,1.0511,2.9519,2.6268,0.7297,1.5757
Snap47,3,3.5583,2.6595,2.5752,3.1097,3.1818,0.4502,0.6066
Kdsr,2,2.7538,2.9319,2.9707,3.2514,3.2818,0.3195,0.3111
Rps25,4,10.427,10.1359,10.3822,10.1983,9.983,0.0623,-0.3991
Aldh3a2,2,3.6922,3.7047,3.7893,4.0426,4.1642,0.3379,0.3749
Hyal2,1,1.7792,2.522,2.7263,1.8162,2.2812,-0.7058,-0.4451
Ifrd2,1,4.0608,4.8142,5.0749,4.0109,4.1917,-0.8034,-0.8832
Nprl2,3,3.7864,3.1373,3.2776,3.5861,3.9586,0.4488,0.681
Nxf1,1,5.9128,5.8727,6.3621,5.6715,5.9566,-0.2012,-0.4055
Stx5a,2,4.5883,4.7625,5.1984,5.2428,5.7356,0.4802,0.5373
Tnfrsf13b,3,5.3629,4.5629,3.7616,4.8976,4.5371,0.3347,0.7754
Rdm1,3,5.8814,4.935,4.4575,5.0729,5.2534,0.138,0.7959
Nedd8,4,8.4542,7.7646,7.8251,7.8415,7.4433,0.0769,-0.3818
Mett10d,1,4.8001,5.3082,6.0514,4.9274,5.3811,-0.3807,-0.6703
Fads1,3,4.4811,3.7682,3.6119,4.3273,4.3755,0.5591,0.7636
Odc1,1,7.5725,8.7951,9.1288,8.6135,8.4056,-0.1816,-0.7232
Thg1l,4,5.5061,5.4024,5.7087,5.3123,4.9974,-0.09,-0.7113
Zfp296,4,3.0002,3.206,3.2076,2.3347,2.3804,-0.8713,-0.8272
Zfp790,1,2.4436,3.0122,3.3377,2.8216,3.0142,-0.1905,-0.3234
Pgam1,4,6.8157,6.3575,5.8872,6.1077,5.3815,-0.2499,-0.5057
Gltp,3,7.1802,6.7516,5.9176,6.9792,6.5836,0.2276,0.666
Kif11,3,6.4501,5.9982,5.9072,6.0979,6.3083,0.0997,0.4011
Mlkl,3,4.2059,3.5493,3.1527,3.6478,3.5777,0.0985,0.425
Ttll5,2,3.5275,3.2627,3.1089,3.5124,3.8159,0.2497,0.707
Cdh23,1,0.6089,2.3711,3.7058,1.0199,1.7117,-1.3512,-1.9942
Podnl1,3,3.3189,2.0557,0.9045,1.9673,1.2971,-0.0884,0.3926
Etv5,1,1.1912,2.0434,2.8849,1.6902,1.4641,-0.3532,-1.4207
E130303B06Rik,2,3.7087,3.5523,3.0051,4.0541,4.2187,0.5019,1.2136
Atp6v0d1,2,5.2808,5.2574,5.0703,5.4723,5.4518,0.2149,0.3815
Ptprs,1,3.8133,3.9392,4.641,3.5593,3.7413,-0.3799,-0.8997
