comparacion,gen,log2fc,pvalue,padj
PRDX1_estimulado,Itk,-0.1666,4.632e-06,4.918e-05
PRDX1_estimulado,Kpnb1,-0.1665,9.320e-13,4.345e-11
PRDX1_estimulado,Mark4,-0.1664,2.408e-03,1.074e-02
PRDX1_estimulado,1810037I17Rik,-0.1662,5.972e-04,3.306e-03
PRDX1_estimulado,Mettl22,-0.1662,3.231e-02,8.771e-02
PRDX1_estimulado,Hemk1,-0.1661,2.717e-02,7.608e-02
PRDX1_estimulado,Nif3l1,-0.166,7.171e-03,2.613e-02
PRDX1_estimulado,Adpgk,-0.1656,6.497e-03,2.424e-02
PRDX1_estimulado,Erh,-0.1656,1.623e-06,1.971e-05
PRDX1_estimulado,Hdhd2,-0.1655,1.249e-02,4.108e-02
PRDX1_estimulado,Psma7,-0.1655,4.476e-07,6.226e-06
PRDX1_estimulado,Tnfsf14,-0.1654,3.010e-02,8.298e-02
PRDX1_estimulado,Gemin6,-0.1654,1.616e-02,5.043e-02
PRDX1_estimulado,Ythdf1,-0.1652,2.074e-05,1.830e-04
PRDX1_estimulado,H2-Aa,-0.1651,1.285e-02,4.207e-02
PRDX1_estimulado,Spryd4,-0.1648,2.739e-02,7.654e-02
PRDX1_estimulado,1110065P20Rik,-0.1648,4.231e-02,1.085e-01
PRDX1_estimulado,BC021614,-0.1645,1.450e-03,7.006e-03
PRDX1_estimulado,Tpm3,-0.1645,6.295e-13,3.054e-11
PRDX1_estimulado,St13,-0.1644,1.716e-05,1.549e-04
PRDX1_estimulado,Syce2,-0.1642,5.679e-03,2.183e-02
PRDX1_estimulado,Ldlr,-0.1642,5.802e-03,2.221e-02
PRDX1_estimulado,Cmip,-0.1642,2.829e-05,2.410e-04
PRDX1_estimulado,Mettl16,-0.1642,9.968e-04,5.126e-03
PRDX1_estimulado,Tmem201,-0.1642,2.987e-03,1.277e-02
PRDX1_estimulado,Trip10,-0.1641,2.657e-02,7.476e-02
PRDX1_estimulado,Plscr1,-0.164,1.135e-04,8.040e-04
PRDX1_estimulado,Idh3a,-0.164,8.341e-05,6.218e-04
PRDX1_estimulado,Taf5,-0.164,5.931e-03,2.259e-02
PRDX1_estimulado,Ppil1,-0.1639,7.617e-05,5.761e-04
PRDX1_estimulado,Polr3a,-0.1639,4.582e-04,2.649e-03
PRDX1_estimulado,4833419F23Rik,-0.1639,4.342e-02,1.107e-01
PRDX1_estimulado,Sf3b1,-0.1638,9.046e-08,1.504e-06
PRDX1_estimulado,Acot13,-0.1638,1.079e-02,3.655e-02
PRDX1_estimulado,Ak2,-0.1637,2.868e-06,3.260e-05
PRDX1_estimulado,Prss2,-0.1637,4.217e-02,1.082e-01
PRDX1_estimulado,Ndufa10,-0.1637,3.219e-06,3.608e-05
PRDX1_estimulado,Dph7,-0.1637,9.168e-03,3.207e-02
PRDX1_estimulado,Adck5,-0.1636,1.183e-02,3.927e-02
PRDX1_estimulado,Myo1e,-0.1636,2.094e-03,9.564e-03
PRDX1_estimulado,Sf3a3,-0.1636,7.562e-06,7.558e-05
PRDX1_estimulado,Pgk1,-0.1636,2.106e-09,5.119e-08
PRDX1_estimulado,Fuz,-0.1635,2.313e-02,6.707e-02
PRDX1_estimulado,Man2b1,-0.1634,1.524e-07,2.428e-06
PRDX1_estimulado,Rpia,-0.1634,2.536e-04,1.594e-03
PRDX1_estimulado,Chaf1b,-0.1633,1.054e-03,5.362e-03
PRDX1_estimulado,Aarsd1,-0.1632,6.848e-04,3.727e-03
PRDX1_estimulado,Ptges3,-0.1632,4.846e-05,3.841e-04
PRDX1_estimulado,Erap1,-0.1631,1.935e-07,3.008e-06
PRDX1_estimulado,Zdhhc13,-0.1631,4.713e-03,1.869e-02
PRDX1_estimulado,Cdkal1,-0.1631,1.111e-02,3.740e-02
PRDX1_estimulado,Zap70,-0.163,2.463e-06,2.840e-05
PRDX1_estimulado,Id2,-0.163,2.596e-04,1.618e-03
PRDX1_estimulado,Malsu1,-0.1629,1.044e-02,3.561e-02
PRDX1_estimulado,Gm15421,-0.1629,3.463e-02,9.249e-02
PRDX1_estimulado,Afg3l1,-0.1628,1.111e-05,1.055e-04
PRDX1_estimulado,Trub1,-0.1628,1.968e-02,5.916e-02
PRDX1_estimulado,Nup62,-0.1626,3.404e-05,2.843e-04
PRDX1_estimulado,Necap2,-0.1626,2.131e-04,1.371e-03
PRDX1_estimulado,Trmt2a,-0.1625,1.007e-03,5.166e-03
PRDX1_estimulado,Lcmt2,-0.1625,1.703e-02,5.264e-02
PRDX1_estimulado,Yipf3,-0.1624,1.076e-04,7.684e-04
PRDX1_estimulado,Uqcc1,-0.1624,3.128e-03,1.326e-02
PRDX1_estimulado,Qprt,-0.1624,4.169e-02,1.074e-01
PRDX1_estimulado,Hist1h2ae,-0.1622,4.378e-02,1.113e-01
PRDX1_estimulado,H2afx,-0.1621,1.795e-05,1.607e-04
PRDX1_estimulado,Lpcat4,-0.162,4.679e-04,2.698e-03
PRDX1_estimulado,Syncrip,-0.162,5.326e-07,7.257e-06
PRDX1_estimulado,Nsfl1c,-0.1619,3.391e-04,2.046e-03
PRDX1_estimulado,Utp3,-0.1619,1.455e-04,9.939e-04
PRDX1_estimulado,Col18a1,-0.1618,1.098e-02,3.706e-02
PRDX1_estimulado,Ncdn,-0.1618,8.097e-05,6.067e-04
PRDX1_estimulado,Rps5,-0.1617,3.831e-09,8.726e-08
PRDX1_estimulado,Polm,-0.1616,2.716e-03,1.185e-02
PRDX1_estimulado,Cnpy3,-0.1616,6.216e-03,2.345e-02
PRDX1_estimulado,Atg4d,-0.1615,3.812e-03,1.567e-02
PRDX1_estimulado,Mrps18a,-0.1615,6.550e-03,2.441e-02
PRDX1_estimulado,Rps3a1,-0.1615,6.507e-06,6.604e-05
PRDX1_estimulado,Ndufab1,-0.1613,2.000e-03,9.190e-03
PRDX1_estimulado,Nup93,-0.1613,1.868e-05,1.663e-04
PRDX1_estimulado,Lrrc47,-0.1612,1.748e-04,1.166e-03
PRDX1_estimulado,Utf1,-0.1611,3.981e-02,1.033e-01
PRDX1_estimulado,Ttyh2,-0.1611,1.845e-02,5.607e-02
PRDX1_estimulado,Afg3l2,-0.161,1.088e-06,1.367e-05
PRDX1_estimulado,Trim28,-0.1609,2.395e-10,7.057e-09
PRDX1_estimulado,Igfbp7,-0.1607,2.442e-02,7.000e-02
PRDX1_estimulado,Brpf1,-0.1607,3.977e-05,3.242e-04
PRDX1_estimulado,Mrps27,-0.1607,4.068e-03,1.651e-02
PRDX1_estimulado,B4galt5,-0.1607,1.346e-04,9.281e-04
PRDX1_estimulado,Apln,-0.1607,4.730e-02,1.182e-01
PRDX1_estimulado,Rnf157,-0.1606,1.065e-03,5.413e-03
PRDX1_estimulado,Eif2b1,-0.1605,5.595e-04,3.128e-03
PRDX1_estimulado,Dusp5,-0.1605,2.084e-03,9.541e-03
PRDX1_estimulado,Pigo,-0.1605,4.619e-03,1.838e-02
PRDX1_estimulado,Fbxo2,-0.1603,3.663e-02,9.680e-02
PRDX1_estimulado,Inpp4b,-0.1603,9.943e-05,7.205e-04
PRDX1_estimulado,Nup88,-0.1603,1.774e-04,1.179e-03
PRDX1_estimulado,Traf1,-0.1603,3.691e-05,3.053e-04
