gen,uniprot,descripcion,abundancia_tif,abundancia_suero,es_antioxidante,log2fc_tif_vs_suero,foldchange_tif_vs_suero
Amy1,P00687,Alpha-amylase 1,206244.526123047,4682990.56510417,No,-4.504995709613784,0.04404120043715254
Anxa2,B0V2N8,Annexin (Fragment),206244.526123047,2018578.75,No,-3.290905856028537,0.10217313846341
Ap1b1,Q5SVG5,AP-1 complex subunit beta-1,602387.65625,206244.526123047,No,1.546331777706023,2.920744940840811
Ap2a2,P17427,AP-2 complex subunit alpha-2,4002344.46875,206244.526123047,No,4.278410971235402,19.4058215458391
Apoa1,Q00623,Apolipoprotein A-I,102595209.677083,908042651.791667,No,-3.14579668071385,0.1129850117443839
Apoa2,A7YL62,Apolipoprotein A-II,314540441.5,234128515.03125,No,0.4259448653251816,1.343452084245343
Apoa4,P06728,Apolipoprotein A-IV,387698047.244792,4984757584,Si,-3.68451796888052,0.07777671044409849
Apoc1,P34928,Apolipoprotein C-I,58987682.2213542,1911161078.35677,No,-5.017891821094032,0.03086484069258685
Apoc2,Q05020,Apolipoprotein C-II,978729.904296875,116316794.588542,No,-6.89293146005285,0.00841434728113877
Apoc3,P33622,Apolipoprotein C-III,4567287.33984375,153142397.09375,No,-5.067392071764736,0.02982379423673099
Apod,P51910,Apolipoprotein D,1555246165.5,11732138109.7448,No,-2.915251104419792,0.1325628927099146
Apoe,P08226,Apolipoprotein E,39647548.2291667,33406595.578125,Si,0.2470986798246457,1.186817978397306
Apof,Q91V80,Apolipoprotein F,14955495.9296875,50163929.4375,No,-1.745974542406543,0.298132464848488
Apoh,Q6LAL7,Beta-2 glycoprotein I (Fragment),544610.25,206244.526123047,No,1.400863959585305,2.640604627126354
Apom,Q8VC79,Apolipoprotein M,343614976.739583,7217731932.95833,No,-4.392680734440312,0.04760705716577446
Apon,Q8BUM4,Putative uncharacterized protein,66402601.6953125,206244.526123047,No,8.330733155107456,321.9605530558238
Apon,G3X9D6,"Apolipoprotein N, isoform CRA_a",206244.526123047,421044781.997396,No,-10.99539514870568,0.000489839881507717
Arf3,P61205,ADP-ribosylation factor 3,38869494.7552083,2404241.13541667,No,4.014984287245042,16.16705337190397
Arglu1,Q3UL36,Arginine and glutamate-rich protein 1,6926507.48958333,206244.526123047,No,5.069693572829149,33.5839579347232
Arhgdia,Q99PT1,Rho GDP-dissociation inhibitor 1,7487442.359375,206244.526123047,No,5.182038454441056,36.30371433425553
Arhgdib,Q61599,Rho GDP-dissociation inhibitor 2,1462801.2890625,206244.526123047,No,2.826300059514729,7.092558122923379
Arhgef2,H3BJU7,Rho guanine nucleotide exchange factor 2,221533.15625,206244.526123047,No,0.103166326628056,1.07412865889993
Arpc2,Q9CVB6,Actin-related protein 2/3 complex subunit 2,3193593.47395833,206244.526123047,No,3.952746399543457,15.48450052949773
Arpc4,P59999,Actin-related protein 2/3 complex subunit 4,2575368.046875,206244.526123047,No,3.642344453466524,12.48696435869778
Asap2,Q3TS63,Putative uncharacterized protein (Fragment),112638698.895833,206244.526123047,No,9.093124047133454,546.1415195505937
Asns,Q3TIA9,Asparagine synthetase,2074995.6875,206244.526123047,No,3.330674303483541,10.06085216662692
Atic,Q9CWJ9,Bifunctional purine biosynthesis protein PURH,4248549.984375,206244.526123047,No,4.36453614805416,20.59957694023978
Atox1,O08997,Copper transport protein ATOX1,2975474.08203125,206244.526123047,Si,3.85068530619775,14.42692389448465
Avp,P35455,Vasopressin-neurophysin 2-copeptin,206244.526123047,10965204.9921875,No,-5.732426279723139,0.01880899867079478
Azgp1,Q64726,Zinc-alpha-2-glycoprotein,1567939.24348958,206244.526123047,No,2.926435847392753,7.6023314313522
B2m,P01887,Beta-2-microglobulin,2997750.74804688,158686307.4375,No,-5.726152931866142,0.01889104861317395
Baiap2l1,Q9DBJ3,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,1281559.1875,206244.526123047,No,2.635466505419796,6.2137852169488
Bpnt1,D3Z0E6,"3'(2'),5'-bisphosphate nucleotidase 1",1073709.04101563,206244.526123047,No,2.380169711427648,5.206000184339667
Brk1,Q91VR8,Protein BRICK1,12974621.0416667,206244.526123047,No,5.975185877655097,62.90892313876949
C3,B5APU1,Complement component 3d (Fragment),206244.526123047,4390097.25260417,No,-4.411818498484998,0.04697948912195611
C3,P01027,Complement C3,26469015.84375,206244.526123047,No,7.003797973860312,128.3380283652153
C4b,B2RWX2,Complement component 4B (Childo blood group),3035129.27083333,206244.526123047,No,3.879323709850357,14.7161688500889
C4bp,Q80SX2,C4b-binding protein alpha-chain,996816.8046875,206244.526123047,No,2.272967012563523,4.833179446870711
C5,P06684,Complement C5,3787000.94791667,206244.526123047,No,4.198621433423551,18.36170403697074
C8a,A2A998,Complement component C8 alpha chain,2064325.84375,206244.526123047,No,3.323236680092965,10.00911821784985
C8b,Q8BH35,Complement component C8 beta chain,1560005.875,206244.526123047,No,2.919117657227865,7.563865593549324
C9,P06683,Complement component C9,1346400.140625,206244.526123047,No,2.70667357410624,6.528173939616355
Ca2,P00920,Carbonic anhydrase 2,4736739.53645833,206244.526123047,No,4.5214599179732,22.96661940803392
Cacybp,Q9CXW3,Calcyclin-binding protein,5907940.44921875,206244.526123047,No,4.84022079843653,28.64532000085195
Cad,Q6P9L1,Cad protein (Fragment),83121979.6445313,206244.526123047,No,8.6547233964424,403.0263552058594
Calm1,P62204,Calmodulin,183654014.104167,206244.526123047,No,9.79841189698341,890.4673377590525
Calr,Q3UWP8,Putative uncharacterized protein (Fragment),4855299.84375,206244.526123047,No,4.557125960688364,23.54147251817628
Cand1,Q6ZQ38,Cullin-associated NEDD8-dissociated protein 1,1724896.0859375,206244.526123047,No,3.064075557789913,8.363354501386448
Cap2,D3YTR7,Adenylyl cyclase-associated protein,19663467.8515625,206244.526123047,No,6.575011216368576,95.34055628623632
Caprin1,Q60865,Caprin-1,964984.677734375,206244.526123047,No,2.22614470537323,4.67883776541375
Car6,Q811E8,Car6 protein (Fragment),3208693.3984375,206244.526123047,No,3.959551661533759,15.5577142276405
Carhsp1,Q9CR86,Calcium-regulated heat stable protein 1,2730065.0625,206244.526123047,No,3.726501132216431,13.2370304018213
Cbr1,P48758,Carbonyl reductase [NADPH] 1,3880818.3515625,206244.526123047,No,4.233926548732214,18.81658836970623
Ccl8,Q9Z121,C-C motif chemokine 8,206244.526123047,10379430.0683594,No,-5.653220731890354,0.01987050587216361
Cct2,P80314,T-complex protein 1 subunit beta,4773108.30989583,206244.526123047,No,4.532494646328828,23.14295753501918
Cct3,P80318,T-complex protein 1 subunit gamma,1182927984.69792,206244.526123047,No,12.48571180273287,5735.560632490079
Cct4,G5E839,T-complex protein 1 subunit delta,7370463.41927083,206244.526123047,No,5.159320797757012,35.73652866245555
Cct5,P80316,T-complex protein 1 subunit epsilon,5014939.42708333,206244.526123047,No,4.603797833161789,24.31550316196698
Cct6a,P80317,T-complex protein 1 subunit zeta,7474343.75520833,206244.526123047,No,5.179512379889399,36.24020426485929
Cct7,Q3UDB1,Putative uncharacterized protein (Fragment),5656656.15885417,206244.526123047,No,4.777515004264011,27.42693959052939
Cct8,Q9WVS5,Chaperonin containing TCP-1 theta subunit,7190776.97916667,206244.526123047,No,5.123713136193636,34.86529855767711
Cdc42,P60766,Cell division control protein 42 homolog,64100717.4270833,206244.526123047,No,8.279833891361442,310.7996058467043
Cdc42,Q3UL78,Putative uncharacterized protein,206244.526123047,4626457.71875,No,-4.487473588076679,0.04457936042237758
Cdkn2aipnl,Q9D211,CDKN2AIP N-terminal-like protein,11028965.2552083,206244.526123047,No,5.74079093849884,53.47519016639666
Ces1c,P23953,Carboxylesterase 1C,16095575.984375,206244.526123047,No,6.286157659600516,78.04122750279569
Cfd,B7ZNS9,Cfd protein,206244.526123047,14679147.4667969,No,-6.153261645292552,0.01405017059672956
Cfh,D6RGQ0,Complement factor H,4485853.39583333,206244.526123047,No,4.442948063570622,21.75016947192595
Cfi,Q61129,Complement factor I,3170997.67578125,206244.526123047,No,3.942502545091337,15.37494223671861
Chchd6,E9Q4M4,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial",1756492.26953125,206244.526123047,No,3.090263318626395,8.516552184678655
Chordc1,Q9D1P4,Cysteine and histidine-rich domain-containing protein 1,12466341.453125,206244.526123047,No,5.917531614561451,60.44447184837036
Cilp,Q66K08,Cartilage intermediate layer protein 1,17559375.2304688,206244.526123047,No,6.411734961296652,85.13862433368412
Ckap4,Q8BMK4,Cytoskeleton-associated protein 4,4614265.34375,206244.526123047,No,4.483666551499486,22.37278938010261
Ckb,Q04447,Creatine kinase B-type,6580783.99479167,206244.526123047,No,4.995824957510017,31.90767831998376
Ckm,P07310,Creatine kinase M-type,16302304.8229167,206244.526123047,No,6.304569400879085,79.04357574654188
Clec3b,P43025,Tetranectin,206244.526123047,4758125.85677083,No,-4.527959006197943,0.04334574837476404
Cltc,Q68FD5,Clathrin heavy chain 1,6223078.91145833,206244.526123047,No,4.915194042320717,30.17330461292144
Cnbp,Q3U935,Putative uncharacterized protein,1412526.6015625,206244.526123047,No,2.775844328977364,6.848795592857463
Col6a3,O88493,Type VI collagen alpha 3 subunit,961002972.229167,10379626.9375,No,6.532714258860022,92.58550215877322
Copa,Q63ZW9,Copa protein (Fragment),1510638790.11458,206244.526123047,No,12.83850829367029,7324.503677800989
Cops3,F6YCA7,COP9 signalosome complex subunit 3 (Fragment),623312.625,206244.526123047,No,1.595595424171332,3.022202027452245
Copz1,Q8R3M1,Copz1 protein,4297085.28125,206244.526123047,No,4.380924015418046,20.83490583738609
Cotl1,Q9CQI6,Coactosin-like protein,2386189.73828125,206244.526123047,No,3.532274638459956,11.56971185192877
Cp,G3X9T8,Ceruloplasmin,6016207.13541667,206244.526123047,No,4.866419749163352,29.1702633204789
Cpne3,Q3UJS6,Putative uncharacterized protein,2468771.265625,206244.526123047,No,3.581359029890063,11.97011776279635
Cpped1,Q8BFS6,Calcineurin-like phosphoesterase domain-containing protein 1,4153199.9453125,206244.526123047,No,4.331788945833178,20.13726145068534
Csrp1,P97315,Cysteine and glycine-rich protein 1,888107.53125,206244.526123047,No,2.106373167046133,4.3060901927654
Ctgf,H3BJW0,Connective tissue growth factor,9801573.203125,5793305.046875,No,0.7586265937648093,1.691879354499402
Ctla2a,P12399,Protein CTLA-2-alpha,2588312.8203125,11625964.4921875,No,-2.167266078806744,0.2226320940556642
Ctsb,Q6LAF6,Cathepsin B (Fragment),206244.526123047,534587.2578125,No,-1.374065324486008,0.3858014255090696
Ctsz,Q9WUU7,Cathepsin Z,206244.526123047,2248883.2890625,No,-3.446774702741823,0.09170975084661903
Cytl1,Q6P536,4Cytl1 protein (Fragment),206244.526123047,952565.4765625,No,-2.207456952419882,0.2165148026016192
D17H6S56E-5,P97406,Proviral envelope protein,206244.526123047,1709034.30859375,No,-3.050747473460895,0.1206789852526435
Dad1,P61804,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,22966978.84375,206244.526123047,No,6.79905451990173,111.3580043818847
Dars,Q3TF87,Putative uncharacterized protein,2920244.08333333,206244.526123047,No,3.823654723362846,14.1591349754955
Dbi,D3Z563,Acyl-CoA-binding protein,19694345.6276042,206244.526123047,No,6.577274920436817,95.49027068895109
Dctn6,D3Z6H3,"Dynactin 6, isoform CRA_b",4199793.96223958,206244.526123047,No,4.347884166066908,20.36317783160922
Ddx3y,Q3U484,Putative uncharacterized protein,721143.0859375,206244.526123047,No,1.805924716670845,3.496544124071738
Dkk3,Q9QUN9,Dickkopf-related protein 3,1561873.90039063,787613.96484375,No,0.9877164761930608,1.983044956167684
Dnahc8,Q91XQ0,"Dynein heavy chain 8, axonemal",206244.526123047,4614177.84635417,No,-4.48363919433228,0.04469800102872244
Dpy30,Q99LT0,Protein dpy-30 homolog,7453667.05664063,206244.526123047,No,5.175515841309508,36.13995094441303
Dpysl2,O08553,Dihydropyrimidinase-related protein 2,3012933.2578125,206244.526123047,No,3.868734463811542,14.60854896102776
Dsg1b,Q9CUH7,Putative uncharacterized protein (Fragment),206244.526123047,337506.905761719,No,-0.7105584713835569,0.6110823885442401
Dsp,E9Q557,Desmoplakin,3585777.39322917,14705954.4114583,No,-2.036042280544759,0.2438316679694909
Dync1h1,Q9JHU4,Cytoplasmic dynein 1 heavy chain 1,132672130.385417,206244.526123047,No,9.32928681527449,643.2758865380206
Dynlrb1,P62627,Dynein light chain roadblock-type 1,15465393.359375,206244.526123047,No,6.228536986867265,74.98571550038731
Eef1a1,P10126,Elongation factor 1-alpha 1,112930330.921875,206244.526123047,No,9.096854491058028,547.5555305380562
Eef1b,O70251,Elongation factor 1-beta,2297613.2421875,206244.526123047,No,3.477701867237101,11.14023865446362
Eef1d,E9QN08,Elongation factor 1-delta (Fragment),23251089.7239583,206244.526123047,No,6.81679176059205,112.7355482398914
Eef1g,Q9D8N0,Elongation factor 1-gamma,18736402.5833333,206244.526123047,No,6.505337422040732,90.8455750828268
Eef2,P58252,Elongation factor 2,30381199.828125,206244.526123047,No,7.202672259029185,147.3066965665763
Eif2s3x,Q3U5H6,Putative uncharacterized protein (Fragment),2848293.78125,206244.526123047,No,3.787663734348925,13.81027576727388
Eif3a,P23116,Eukaryotic translation initiation factor 3 subunit A,42231738.3424479,206244.526123047,No,7.67782103173429,204.7653779536051
Eif3c,Q66JU1,Eif3c protein (Fragment),2378250.73307292,206244.526123047,No,3.527466699603291,11.5312186838551
Eif3e,Q6LCK2,Int-6 protein (Fragment),989600.15625,206244.526123047,No,2.262484361196126,4.798188707610098
Eif3h,Q3THW7,Eukaryotic translation initiation factor 3 subunit H,1475320.2109375,206244.526123047,No,2.838594366276155,7.153257536916704
Eif3i,Q8BTM6,Putative uncharacterized protein,564898.3671875,206244.526123047,No,1.453631059771947,2.73897386663478
Eif3j,Q2YDW1,Eif3j protein (Fragment),7944245.19433594,206244.526123047,No,5.267475603191507,38.51857474072473
Eif3l,Q8QZY1,Eukaryotic translation initiation factor 3 subunit L,2453883.17057292,206244.526123047,No,3.572632421942437,11.89793114367998
Eif4a1,Q4FZL1,Eif4a1 protein (Fragment),9526884.54166667,206244.526123047,No,5.529569926235826,46.19218129446433
Eif4g1,E9PVC6,Eukaryotic translation initiation factor 4 gamma 1,1454860.65104167,206244.526123047,No,2.818447237795727,7.054057037972923
Eno1,P17182,Alpha-enolase,245744078.520833,206244.526123047,No,10.2185781193985,1191.518064213836
Eno1,B0QZL1,Enolase (Fragment),206244.526123047,1442683.09375,No,-2.806320695887724,0.1429589956495232
Epor,P14753,Erythropoietin receptor,206244.526123047,2305704.59375,No,-3.482773582960235,0.08944967481181564
Eprs,B9EIU1,Glutamyl-prolyl-tRNA synthetase,1547621.08789063,206244.526123047,No,2.907618494520367,7.503816547195575
Ero1l,Q4FJZ3,Ero1l protein,1548798.71875,206244.526123047,No,2.908715865866277,7.509526424114526
Ezr,P26040,Ezrin,11526496.4635417,206244.526123047,No,5.804447555395143,55.88752671508434
F2,H7BX99,Prothrombin,26444535.65625,2535103847.02083,No,-6.582931339140117,0.01043134216664408
F5,O88783,Coagulation factor V,206244.526123047,3034628.53125,No,-3.879085672584029,0.06796368122133631
Fabp5,Q3TLH6,Putative uncharacterized protein,4295113.0078125,206244.526123047,No,4.380261696323561,20.82534304571072
Fam3c,E9Q0W5,Protein FAM3C (Fragment),206244.526123047,937098.712890625,No,-2.183839742479037,0.2200883677311369
Farp2,Q91VS8,"FERM, RhoGEF and pleckstrin domain-containing protein 2",206244.526123047,26488324.6601563,No,-7.004850018150758,0.00778624276050496
Fasn,Q3UHT6,Putative uncharacterized protein,8426878.87760417,206244.526123047,No,5.352563830312953,40.85867894780699
Fdps,Q3US29,Putative uncharacterized protein,8915303.01888021,206244.526123047,No,5.43384926584822,43.22685884793508
Fga,E9PV24,Protein Fga,4067341.25,206244.526123047,No,4.301651662842012,19.720965818862
Fgb,Q8K0E8,Fibrinogen beta chain,6177094.3125,206244.526123047,No,4.90449386175203,29.95034306420671
Fgg,Q8VCM7,Fibrinogen gamma chain,9900015.33333333,206244.526123047,No,5.584996175517546,48.00134829967273
Fkbp4,P30416,Peptidyl-prolyl cis-trans isomerase FKBP4,36637967.6640625,1486563.7109375,No,4.623285346647016,24.64607967656953
Fn1,B7ZNJ1,Fn1 protein,3811420.1484375,206244.526123047,No,4.207894299735703,18.48010330302574
Fsip2,A2ARZ3,Fibrous sheath-interacting protein 2,206244.526123047,3152638456.15885,No,-13.89990928682029,6.541965689726874e-05
Fth1,P09528,Ferritin heavy chain,8388796.43489583,206244.526123047,No,5.346029279946844,40.67403190080794
Ftl1,H3BKD3,Ferritin,6817459.875,206244.526123047,No,5.046799785747112,33.05522819516021
G3bp1,Q3UR88,Putative uncharacterized protein,2166814.953125,206244.526123047,No,3.39314188788801,10.50604830031834
gag,Q7M6W2,Gag protein,12201870,206244.526123047,No,5.886595748492354,59.16215198225564
Gapdh,P16858,Glyceraldehyde-3-phosphate dehydrogenase,117967563.75,206244.526123047,No,9.159811704173485,571.9791257859599
Gars,Q9CZD3,Glycine--tRNA ligase,191484452.270833,206244.526123047,No,9.858648723591017,928.434106205524
Gart,Q64737,Trifunctional purine biosynthetic protein adenosine-3,92170330.4075521,206244.526123047,No,8.80379580309139,446.8983111462682
Gc,P21614,Vitamin D-binding protein,19851783.953125,35557473.7851563,No,-0.8408841390658282,0.5583013032104732
Gdi2,Q3UUX9,Putative uncharacterized protein,4013150.33333333,206244.526123047,No,4.282300830361081,19.45821500706911
Gga3,A2A9W5,ADP-ribosylation factor-binding protein GGA3 (Fragment),11084006.875,206244.526123047,No,5.747973005953426,53.7420657088722
Glo1,Q9CPU0,Lactoylglutathione lyase,4137694.75,206244.526123047,No,4.326392836030838,20.06208275089648
Glod4,E9Q055,Glyoxalase domain-containing protein 4,1908948.9375,206244.526123047,No,3.210344538466256,9.255755647842538
Gm10774,E9Q3B5,Uncharacterized protein,22552454.8678385,206244.526123047,No,6.772777910483892,109.3481378234666
Gm17541,F6YJW4,60S ribosomal protein L18a,2679550.81054688,206244.526123047,No,3.6995569817114,12.9921063163065
Gm20547,B8JJN0,Protein Gm20547,44654034.4427083,206244.526123047,No,7.758283924458151,216.5101556007716
Gm5326,D2XZ31,Androgen-binding protein (Fragment),23708430.21875,206244.526123047,No,6.844893568201417,114.9530155510909
Gm7964,D3YWG1,Uncharacterized protein,2180441.90625,206244.526123047,No,3.402186484827009,10.57212012962289
Gm8420,E9Q1X1,Ribosomal protein L15,2712790.70507813,206244.526123047,No,3.71734354826749,13.15327371869089
Gnb2l1,P68040,Guanine nucleotide-binding protein subunit beta-2-like 1,4240254.70572917,206244.526123047,No,4.361716538275921,20.5593563399564
Gng10,Q9CXP8,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10,29589396.84375,206244.526123047,No,7.164573702411897,143.4675499028602
Got1,P05201,"Aspartate aminotransferase, cytoplasmic",13973689.8333333,10342227.0117188,No,0.4341661093258971,1.351129676180931
Gpi,P06745,Glucose-6-phosphate isomerase,22746668.875,206244.526123047,No,6.785148714432523,110.2898064864479
Gpnmb,Q8BVA0,Putative uncharacterized protein,2315007.5625,206244.526123047,No,3.488582799701035,11.22457699128873
Grn,P28798,Granulins,1628372.265625,120090984.244792,No,-6.20455260662732,0.01355948804870935
Gsn,Q3TGJ9,Putative uncharacterized protein,13973711.8639323,206244.526123047,No,6.082208765764879,67.7531284180385
Gspt1,Q8R050,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,1310656.30598958,206244.526123047,No,2.667855787430632,6.354865899362744
Gsta4,P24472,Glutathione S-transferase A4,3231933.39257813,206244.526123047,No,3.969963182178727,15.67039597768493
Gstm7,D3YVP6,Glutathione S-transferase Mu 7,2624103.5625,206244.526123047,No,3.669390478187047,12.72326403918444
Gyg1,Q9R062,Glycogenin-1,1918558.9375,206244.526123047,No,3.217589106830136,9.30235082387289
H2-Ke2,G3UYF9,Prefoldin subunit 6,6285656.71875,206244.526123047,No,4.929628983413867,30.47672021607949
H2-Q10,P01898,"H-2 class I histocompatibility antigen, Q10 alpha chain",206244.526123047,42814749.7083333,No,-7.697601290316371,0.004817137260594667
Hars,Q8VDX8,Hars protein,11865910.4479167,206244.526123047,No,5.846316286519059,57.53321395224526
Hba,P01942,Hemoglobin subunit alpha,384102390,206244.526123047,No,10.86291240443119,1862.364045341217
Hba-a2,Q9QWJ3,Alpha-1-globin (Fragment),206244.526123047,568551672.927083,No,-11.42871293712541,0.0003627542331574459
Hbb-b1,A8DUK4,Beta-globin,608953683.296875,337058602.5625,No,0.8533330529265584,1.806670052825482
Hbb-y,P02104,Hemoglobin subunit epsilon-Y2,349569024.436523,206244.526123047,No,10.7269988162787,1694.925101808363
Hdhd2,D6RI20,Haloacid dehalogenase-like hydrolase domain-containing protein 2,6011997.71875,206244.526123047,No,4.865409971916986,29.14985348587239
Hint1,P70349,Histidine triad nucleotide-binding protein 1,1949577.7890625,206244.526123047,No,3.24072773021555,9.452749247266652
Hist1h2al,F8WIX8,Histone H2A,5735866.40625,206244.526123047,No,4.79757694434505,27.81099946782559
Hist1h2bj,A0JLV3,Histone H2B (Fragment),11353771.2070313,206244.526123047,No,5.78266506695163,55.05004869926854
Hnrnpa2b1,B7ZP22,Heterogeneous nuclear ribonucleoprotein A2/B1,1082900.4296875,206244.526123047,No,2.392467198782427,5.25056567582033
Hnrnpab,Q9D6G1,"Heterogeneous nuclear ribonucleoprotein A/B, isoform CRA_b",5622380.453125,206244.526123047,No,4.768746607488495,27.26074993995548
Hnrnpd,E9Q5B6,Heterogeneous nuclear ribonucleoprotein D0 (Fragment),3088435.828125,206244.526123047,No,3.904442091770495,14.97463174505013
Hprt1,P00493,Hypoxanthine-guanine phosphoribosyltransferase,2770424.578125,206244.526123047,No,3.747672882603524,13.43271809537454
Hpx,Q91X72,Hemopexin,99976852.2291667,206244.526123047,No,8.921087483929291,484.749118478518
Hrg,Q9ESB3,Histidine-rich glycoprotein,3561413.86979167,206244.526123047,No,4.110015775391339,17.26791947761515
Hsp90aa1,P07901,Heat shock protein HSP 90-alpha,111605900.895833,206244.526123047,No,9.079834781067948,541.1338811932789
Hsp90ab1,Q80YC2,Hsp90ab1 protein (Fragment),206244.526123047,3410504.25,No,-4.047550753558582,0.0604733232990538
Hsp90ab1,P11499,Heat shock protein HSP 90-beta,99834084.8125,206244.526123047,No,8.919025836253098,484.0568944503199
Hsp90b1,P08113,Endoplasmin,19883247.5,206244.526123047,No,6.5910468468593,96.40618286343032
Hspa4,Q61316,Heat shock 70 kDa protein 4,11130099.2291667,206244.526123047,No,5.753959949556744,53.96554972094823
Hspa5,Q3TUS2,Putative uncharacterized protein (Fragment),704942.875,206244.526123047,No,1.773145575325547,3.417995562119433
Hspa8,Q3UBR0,Putative uncharacterized protein (Fragment),206244.526123047,1157531.70638021,No,-2.488618227899039,0.17817613546674
Hspa8,Q3ULM1,Putative uncharacterized protein,56089742.7708333,206244.526123047,No,8.087230357525971,271.9574857340444
Hsph1,E9Q0U7,Heat shock protein 105 kDa,747196.619791667,206244.526123047,No,1.857127034565885,3.622867640840485
Iars,Q8BU30,"Isoleucine--tRNA ligase, cytoplasmic",2680143.06901042,206244.526123047,No,3.699875823813993,12.99497794870651
Idh1,O88844,Isocitrate dehydrogenase [NADP] cytoplasmic,3986975.55078125,206244.526123047,No,4.272860390339154,19.33130360222308
Idi1,P58044,Isopentenyl-diphosphate Delta-isomerase 1,733429463.354167,30859612.5970052,No,4.570866322483749,23.76664519195369
Igf1,Q547V2,Insulin-like growth factor 1,206244.526123047,14261145.8046875,No,-6.111583365229453,0.01446198846485788
Igh-6,P01872,Ig mu chain C region secreted form,2255526.2421875,206244.526123047,No,3.451029981111407,10.93617505679562
Ighg1,P01868,Ig gamma-1 chain C region secreted form,5519675.875,206244.526123047,No,4.742149083416663,26.76277513279029
Iglon5,Q8HW98,IgLON family member 5,209880029.5,3565092.375,No,5.879481231068898,58.87085310096629
Immt,E9Q800,Mitochondrial inner membrane protein,2237479,206244.526123047,No,3.43944005684445,10.84867095413288
Ipo5,Q8BKC5,Importin-5,2824046.19401042,206244.526123047,No,3.775329468504324,13.6927085876964
Ipo9,E9QKZ2,Importin-9,699788.015625,206244.526123047,No,1.762557194446885,3.393001641204777
Isyna1,Q9JHU9,Inositol-3-phosphate synthase 1,206244.526123047,6706742.17447917,No,-5.023177627208135,0.03075181969986247
Itih2,Q61703,Inter-alpha-trypsin inhibitor heavy chain H2,3061740.5390625,206244.526123047,No,3.891917771102452,14.84519660529484
