age,gender,mean_prop,n_unweighted,n_weighted
68,Women,0.0,48,46.86458628102016
69,Men,0.02375345184341283,54,51.30632246132696
69,Women,0.059388053900283,51,48.70033896471406
70,Men,0.04320786507868327,49,50.62646792179847
70,Women,0.07564859481801081,39,48.02227504781622
71,Men,0.009393799686075972,45,44.46665596022395
71,Women,0.114979504049424,46,46.24600236900448
72,Men,0.01514955730227931,42,34.27330791164879
72,Women,0.04635104845428043,44,38.78837018657639
73,Men,0.1150466518999533,46,42.78754490221671
73,Women,0.01759007641516335,49,48.00802262874363
74,Men,0.0,50,46.86454413931919
74,Women,0.01251225955592476,40,47.09933624131469
75,Men,0.05723234280843635,38,45.41212032764471
75,Women,0.2019966174966624,35,44.7551476053616
76,Men,0.0,31,25.16367310173552
76,Women,0.07309063470863164,34,32.25188086143033
77,Men,0.0,24,22.29396771531966
77,Women,0.08717896591635965,35,38.91724433150895
78,Men,0.08782764210973391,23,19.39645576370426
78,Women,0.0,27,27.01939146000574
79,Men,0.03463932691894282,21,21.17308637423097
79,Women,0.0,27,27.91791990230334
