caseid,peso,grupo_experimental,rnd_02,apoya_nacionalismo_blanco,apoya_sin_descripcion,apoya_con_descripcion,respuesta_sin_descripcion,respuesta_con_descripcion_tratado,respuesta_con_descripcion_control,genero,edad,edad_grupo,educacion,partido,ideologia,raza_etnia,ingreso_4
214,0.4717553756,control,0.0,0.0,0.0,,No,,No,Male,83,60+,Some college/ associates degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
219,0.2220777627,treated,1.0,0.0,,0.0,,No,,Female,65,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
221,0.8089109444,treated,1.0,0.0,,0.0,,No,,Female,41,30-44,Post grad study/professional degree,Democrat,Somewhat liberal,"White, non-Hispanic","$60,000 to under $100,000"
227,0.9786774442,control,0.0,0.0,0.0,,No,,No,Female,59,45-59,HS graduate or equivalent,Democrat,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
229,0.3982734382,control,0.0,0.0,0.0,,No,,No,Male,80,60+,Some college/ associates degree,Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
230,1.2991348053,control,0.0,0.0,,,Skipped,,No,Male,39,30-44,Bachelor's degree,Lean Republican,Moderate,"White, non-Hispanic","$100,000 or more"
240,0.8685668102,treated,1.0,0.0,,0.0,,No,,Female,45,45-59,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
249,0.4988075685,control,0.0,0.0,0.0,,No,,No,Female,59,45-59,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
251,0.7239167644,control,0.0,0.0,0.0,,No,,No,Male,38,30-44,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
264,2.6443082301,control,0.0,0.0,0.0,,No,,No,Female,31,30-44,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
265,0.5473341093,control,0.0,0.0,0.0,,No,,No,Female,53,45-59,Post grad study/professional degree,Lean Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
269,2.1994442835,treated,1.0,0.0,,0.0,,No,,Male,33,30-44,HS graduate or equivalent,Democrat,Somewhat liberal,"White, non-Hispanic","Less than $30,000"
276,1.0157769478,control,0.0,0.0,0.0,,No,,No,Male,81,60+,Post grad study/professional degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
291,0.4554746055,treated,1.0,0.0,,0.0,,No,,Female,34,30-44,Bachelor's degree,Lean Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
295,0.6339365218,treated,1.0,0.0,,0.0,,No,,Male,39,30-44,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
298,1.3093835014,treated,1.0,0.0,,0.0,,No,,Female,36,30-44,Bachelor's degree,Lean Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
307,0.900174547,control,0.0,0.0,0.0,,No,,No,Female,83,60+,HS graduate or equivalent,Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
311,1.1687105348,control,0.0,0.0,0.0,,No,,No,Female,29,18-29,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
320,0.6359537633,control,0.0,,0.0,,No,,Skipped,Female,66,60+,Bachelor's degree,Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
327,0.6756197813,treated,1.0,0.0,,0.0,,No,,Male,53,45-59,Some college/ associates degree,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
333,0.3233977785,treated,1.0,0.0,,0.0,,No,,Female,30,30-44,Post grad study/professional degree,Lean Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
334,1.5419841035,control,0.0,0.0,0.0,,No,,No,Male,56,45-59,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
337,0.5341107849,treated,1.0,0.0,,0.0,,No,,Female,46,45-59,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$60,000 to under $100,000"
339,0.8206154971,control,0.0,0.0,0.0,,No,,No,Female,30,30-44,Post grad study/professional degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
340,0.7340856469,control,0.0,0.0,0.0,,No,,No,Female,30,30-44,HS graduate or equivalent,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
348,0.5253661921,treated,1.0,,,,,Skipped,,Male,37,30-44,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
349,0.8835295284,control,0.0,0.0,0.0,,No,,No,Female,49,45-59,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
350,0.9790546644,control,0.0,1.0,1.0,,Yes,,Yes,Female,75,60+,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
359,1.1745159423,treated,1.0,0.0,,0.0,,No,,Male,43,30-44,Bachelor's degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
362,0.5504111991,control,0.0,0.0,0.0,,No,,No,Male,48,45-59,Post grad study/professional degree,Lean Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
363,3.6048187506,treated,1.0,0.0,,0.0,,No,,Female,84,60+,HS graduate or equivalent,Don't Lean/Independent/None,Somewhat liberal,"White, non-Hispanic","Less than $30,000"
371,0.3839791581,treated,1.0,0.0,,0.0,,No,,Male,66,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
373,1.8954358299,treated,1.0,0.0,,0.0,,No,,Female,59,45-59,HS graduate or equivalent,Republican,Somewhat conservative,"White, non-Hispanic","Less than $30,000"
376,1.2089018517,control,0.0,0.0,0.0,,No,,No,Female,37,30-44,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$100,000 or more"
388,0.4022795852,control,0.0,1.0,1.0,,Yes,,Yes,Female,50,45-59,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
391,0.564549069,treated,1.0,0.0,,0.0,,No,,Male,73,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
392,0.3162925647,control,0.0,0.0,0.0,,No,,No,Female,40,30-44,Post grad study/professional degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
409,0.813616389,control,0.0,0.0,0.0,,No,,No,Male,42,30-44,Bachelor's degree,Democrat,Somewhat liberal,"White, non-Hispanic","$60,000 to under $100,000"
410,0.5173160258,treated,1.0,0.0,,0.0,,No,,Female,63,60+,Bachelor's degree,Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
436,0.2414803272,treated,1.0,0.0,,0.0,,No,,Male,72,60+,Some college/ associates degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
437,1.1996914205,control,0.0,0.0,0.0,,No,,No,Female,29,18-29,Bachelor's degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
447,0.5384168178,control,0.0,0.0,0.0,,No,,No,Female,48,45-59,Bachelor's degree,Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
456,0.1332988743,control,0.0,0.0,0.0,,No,,No,Female,47,45-59,Bachelor's degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$100,000 or more"
464,1.3236020642,treated,1.0,0.0,,0.0,,No,,Female,51,45-59,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","Less than $30,000"
466,0.4961159119,control,0.0,0.0,0.0,,No,,No,Female,64,60+,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
467,1.6577491801,treated,1.0,0.0,,0.0,,No,,Female,68,60+,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
474,0.7386992616,control,0.0,0.0,0.0,,No,,No,Female,74,60+,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
478,0.350099376,control,0.0,0.0,0.0,,No,,No,Female,63,60+,Some college/ associates degree,Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
482,1.4088945401,control,0.0,0.0,0.0,,No,,No,Male,37,30-44,HS graduate or equivalent,Lean Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
484,0.6784563446,control,0.0,0.0,0.0,,No,,No,Male,53,45-59,Post grad study/professional degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
489,1.1577937516,treated,1.0,0.0,,0.0,,No,,Male,44,30-44,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","Less than $30,000"
501,0.4529456551,treated,1.0,0.0,,0.0,,No,,Female,71,60+,Post grad study/professional degree,Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
509,0.7228233122,treated,1.0,0.0,,0.0,,No,,Female,33,30-44,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
511,0.3291067456,control,0.0,0.0,0.0,,No,,No,Male,65,60+,Bachelor's degree,Don't Lean/Independent/None,Unknown,"White, non-Hispanic","$100,000 or more"
513,0.8902241819,treated,1.0,0.0,,0.0,,No,,Female,66,60+,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
516,0.7390149375,control,0.0,0.0,0.0,,No,,No,Male,90,60+,Some college/ associates degree,Republican,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
517,0.2687997426,treated,1.0,0.0,,0.0,,No,,Female,64,60+,Some college/ associates degree,Lean Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
522,0.7648862497,treated,1.0,0.0,,0.0,,No,,Female,34,30-44,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
524,0.2816688318,treated,1.0,0.0,,0.0,,No,,Male,47,45-59,Some college/ associates degree,Don't Lean/Independent/None,Very liberal,"White, non-Hispanic","Less than $30,000"
525,1.5141265764,control,0.0,1.0,1.0,,Yes,,Yes,Female,47,45-59,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
529,1.6926698469,control,0.0,0.0,0.0,,No,,No,Male,64,60+,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
535,1.137946647,treated,1.0,0.0,,0.0,,No,,Female,35,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
548,0.5204347808,control,0.0,0.0,0.0,,No,,No,Male,49,45-59,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
549,0.3331154824,control,0.0,0.0,0.0,,No,,No,Female,59,45-59,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
559,1.427026666,control,0.0,0.0,0.0,,No,,No,Female,67,60+,HS graduate or equivalent,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
565,0.5187149893,control,0.0,0.0,0.0,,No,,No,Male,33,30-44,Post grad study/professional degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
567,0.4682620649,control,0.0,0.0,0.0,,No,,No,Female,69,60+,Post grad study/professional degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
572,0.5665615849,treated,1.0,0.0,,0.0,,No,,Male,70,60+,HS graduate or equivalent,Lean Republican,Moderate,"White, non-Hispanic","Less than $30,000"
582,0.3266333419,control,0.0,0.0,0.0,,No,,No,Male,63,60+,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
587,0.5130078049,control,0.0,0.0,0.0,,No,,No,Female,63,60+,Some college/ associates degree,Republican,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
589,1.3924776156,control,0.0,0.0,0.0,,No,,No,Male,43,30-44,Bachelor's degree,Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
601,0.498457431,treated,1.0,0.0,,0.0,,No,,Male,93,60+,Post grad study/professional degree,Lean Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
612,0.9005667485,treated,1.0,0.0,,0.0,,No,,Female,43,30-44,Bachelor's degree,Democrat,Somewhat liberal,"White, non-Hispanic","Less than $30,000"
623,0.6741619951,control,0.0,0.0,1.0,,Yes,,No,Male,42,30-44,Some college/ associates degree,Republican,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
637,0.4497786468,treated,1.0,0.0,,0.0,,No,,Female,71,60+,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
639,0.4986275963,control,0.0,0.0,0.0,,No,,No,Female,65,60+,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
640,1.0908464647,control,0.0,0.0,0.0,,No,,No,Female,40,30-44,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
647,0.5796846614,control,0.0,0.0,0.0,,No,,No,Male,46,45-59,Post grad study/professional degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$100,000 or more"
650,0.5890402052,control,0.0,1.0,1.0,,Yes,,Yes,Male,30,30-44,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
655,0.6913513148,control,0.0,0.0,0.0,,No,,No,Male,32,30-44,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
661,0.7049992452,treated,1.0,0.0,,0.0,,No,,Female,68,60+,Some college/ associates degree,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
664,1.2089018517,control,0.0,0.0,0.0,,No,,No,Female,37,30-44,Some college/ associates degree,Democrat,Very conservative,"White, non-Hispanic","Less than $30,000"
667,0.8436039589,treated,1.0,0.0,,0.0,,No,,Male,33,30-44,Some college/ associates degree,Lean Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
683,0.577712567,control,0.0,0.0,0.0,,No,,No,Male,65,60+,Bachelor's degree,Democrat,Somewhat liberal,"White, non-Hispanic","$30,000 to under $60,000"
689,0.7723650106,treated,1.0,1.0,,1.0,,Yes,,Male,60,60+,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","$100,000 or more"
693,0.7504733445,treated,1.0,0.0,,0.0,,No,,Female,37,30-44,Post grad study/professional degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
698,0.6758735114,treated,1.0,0.0,,0.0,,No,,Female,58,45-59,Post grad study/professional degree,Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
700,1.748572599,control,0.0,0.0,0.0,,No,,No,Male,32,30-44,HS graduate or equivalent,Lean Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
701,0.3502691315,treated,1.0,0.0,,0.0,,No,,Male,64,60+,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$100,000 or more"
704,0.7676496472,control,0.0,0.0,0.0,,No,,No,Female,41,30-44,Some college/ associates degree,Republican,Moderate,"White, non-Hispanic","Less than $30,000"
705,0.103262688,control,0.0,0.0,0.0,,No,,No,Female,41,30-44,Post grad study/professional degree,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
715,0.8179924232,control,0.0,0.0,0.0,,No,,No,Male,57,45-59,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$60,000 to under $100,000"
716,0.6386275705,control,0.0,0.0,0.0,,No,,No,Male,72,60+,Bachelor's degree,Don't Lean/Independent/None,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
729,0.2068944212,control,0.0,0.0,0.0,,No,,No,Female,31,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
732,0.5002649356,control,0.0,0.0,0.0,,No,,No,Female,31,30-44,Bachelor's degree,Lean Democrat,Moderate,"White, non-Hispanic","$100,000 or more"
749,0.5390529537,control,0.0,0.0,0.0,,No,,No,Male,41,30-44,Some college/ associates degree,Lean Democrat,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
753,2.6065507578,control,0.0,0.0,0.0,,No,,No,Female,69,60+,HS graduate or equivalent,Republican,Unknown,"White, non-Hispanic","$60,000 to under $100,000"
760,0.3726181366,control,0.0,0.0,0.0,,No,,No,Female,34,30-44,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
767,0.5103659505,treated,1.0,0.0,,0.0,,No,,Male,57,45-59,HS graduate or equivalent,Democrat,Moderate,"White, non-Hispanic","Less than $30,000"
771,0.3118287025,control,0.0,0.0,0.0,,No,,No,Male,68,60+,Some college/ associates degree,Democrat,Very liberal,"White, non-Hispanic","$60,000 to under $100,000"
783,0.8558099443,control,0.0,0.0,0.0,,No,,No,Male,51,45-59,Some college/ associates degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
790,0.9005667485,treated,1.0,0.0,,0.0,,No,,Female,48,45-59,Post grad study/professional degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
799,0.6975096404,control,0.0,0.0,0.0,,No,,No,Male,66,60+,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
806,0.5685952687,control,0.0,0.0,0.0,,No,,No,Female,63,60+,HS graduate or equivalent,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
811,0.9428785827,control,0.0,0.0,0.0,,No,,No,Female,39,30-44,Bachelor's degree,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
817,0.95485968,treated,1.0,0.0,,0.0,,No,,Male,40,30-44,HS graduate or equivalent,Don't Lean/Independent/None,Somewhat conservative,"White, non-Hispanic","$30,000 to under $60,000"
819,1.281967574,control,0.0,0.0,0.0,,No,,No,Male,38,30-44,Post grad study/professional degree,Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
836,0.5082950377,control,0.0,0.0,0.0,,No,,No,Female,29,18-29,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
848,0.9024609462,treated,1.0,0.0,,0.0,,No,,Male,33,30-44,Some college/ associates degree,Don't Lean/Independent/None,Moderate,"White, non-Hispanic","Less than $30,000"
852,0.2786584182,treated,1.0,0.0,,0.0,,No,,Male,77,60+,Some college/ associates degree,Lean Republican,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
860,1.8249348783,control,0.0,0.0,0.0,,No,,No,Male,59,45-59,Some college/ associates degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
864,0.6500807068,treated,1.0,0.0,,0.0,,No,,Female,53,45-59,Some college/ associates degree,Republican,Very conservative,"White, non-Hispanic","$100,000 or more"
870,0.6583196256,control,0.0,0.0,0.0,,No,,No,Female,70,60+,HS graduate or equivalent,Democrat,Somewhat liberal,"White, non-Hispanic","$60,000 to under $100,000"
872,0.7881435928,control,0.0,0.0,0.0,,No,,No,Male,76,60+,Some college/ associates degree,Democrat,Very liberal,"White, non-Hispanic","$60,000 to under $100,000"
874,0.8784575822,control,0.0,0.0,0.0,,No,,No,Male,63,60+,Some college/ associates degree,Lean Republican,Somewhat conservative,"White, non-Hispanic","$100,000 or more"
876,0.3747624206,treated,1.0,0.0,,0.0,,No,,Female,30,30-44,HS graduate or equivalent,Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
880,0.668911909,treated,1.0,0.0,,0.0,,No,,Female,67,60+,Some college/ associates degree,Don't Lean/Independent/None,Unknown,"White, non-Hispanic","Less than $30,000"
881,1.2433132095,treated,1.0,0.0,,0.0,,No,,Female,56,45-59,HS graduate or equivalent,Lean Democrat,Unknown,"White, non-Hispanic","$30,000 to under $60,000"
885,0.5698712021,treated,1.0,0.0,,0.0,,No,,Male,60,60+,Bachelor's degree,Republican,Somewhat conservative,"White, non-Hispanic","$60,000 to under $100,000"
889,1.853528048,control,0.0,0.0,0.0,,No,,No,Male,68,60+,Bachelor's degree,Democrat,Very liberal,"White, non-Hispanic","Less than $30,000"
890,1.362173876,control,0.0,0.0,0.0,,No,,No,Male,40,30-44,Bachelor's degree,Lean Republican,Moderate,"White, non-Hispanic","$60,000 to under $100,000"
895,1.364209388,treated,1.0,1.0,,1.0,,Yes,,Female,33,30-44,HS graduate or equivalent,Republican,Somewhat liberal,"White, non-Hispanic","Less than $30,000"
900,0.6133051502,treated,1.0,0.0,,0.0,,No,,Female,47,45-59,Post grad study/professional degree,Democrat,Very liberal,"White, non-Hispanic","$100,000 or more"
902,1.298321335,treated,1.0,0.0,,0.0,,No,,Female,43,30-44,Bachelor's degree,Lean Democrat,Somewhat liberal,"White, non-Hispanic","$100,000 or more"
904,1.7606065452,treated,1.0,0.0,,0.0,,No,,Male,71,60+,Bachelor's degree,Republican,Unknown,"White, non-Hispanic","$30,000 to under $60,000"
912,2.2027089467,treated,1.0,0.0,,0.0,,No,,Female,73,60+,HS graduate or equivalent,Republican,Very conservative,"White, non-Hispanic","$30,000 to under $60,000"
916,1.1673344488,control,0.0,0.0,0.0,,No,,No,Male,74,60+,Bachelor's degree,Republican,Moderate,"White, non-Hispanic","$100,000 or more"
929,0.4555633688,control,0.0,0.0,0.0,,No,,No,Male,36,30-44,Post grad study/professional degree,Lean Democrat,Very liberal,"White, non-Hispanic","$30,000 to under $60,000"
945,0.2521423075,control,0.0,0.0,0.0,,No,,No,Male,34,30-44,Bachelor's degree,Democrat,Moderate,"White, non-Hispanic","$30,000 to under $60,000"
