caseid,peso,grupo_experimental,apoya_nacionalismo_blanco,apoya_sin_descripcion,apoya_con_descripcion,genero,edad,edad_grupo,educacion,ingreso_percentil,ingreso_quintil,asistencia_religiosa,partido,ideologia,voto_2020,dificultades_personales_n,amigos_solo_online_n,redes_frecuencia,redes_politica_n,identidad_blanca_indice,apoyo_violencia_indice,conspiracion_indice,condado_pct_blanco_2019,condado_cambio_pct_blanco,condado_distress,condado_ruralidad,info_pct_correcto
1644345173,1.09482123985253,control,0,0.0,,Man,40,30-44,4-year,86.0,81-100%,Weekly,Democrat,Very liberal,Biden,0,0.0,2.0,0.0,23.44427540122153,0.0,0.0,63.00830841064453,-7.8405609130859375,-0.004798790439963341,Central metro,100.0
1644661335,0.888130612792365,treated,0,,0.0,Woman,22,18-29,Some college,68.0,61-80%,Weekly,Republican,Moderate,Trump,0,0.0,2.0,0.0,27.470768699150074,0.0,0.0,66.03886413574219,-5.8703155517578125,-0.5050007700920105,Suburban metro,10.0
1644247555,0.593299696253221,control,0,0.0,,Woman,31,30-44,4-year,43.0,41-60%,Never,Democrat,Liberal,Biden,0,1.0,3.0,0.0,2.46900831641427,0.0,21.106431643756096,43.45988082885742,-7.998821258544922,0.6382806301116943,Medium/small metro,90.0
1644717759,1.42123535841903,treated,0,,0.0,Woman,42,30-44,High school graduate,10.0,0-20%,Weekly,Independent,Moderate,Did not vote,0,0.0,5.0,0.0,77.11288166478984,0.0,79.70189834003914,77.51651763916016,-3.4398193359375,-0.12108641862869263,Non-metro,10.0
1641468445,2.60213141658638,control,0,0.0,,Woman,24,18-29,High school graduate,1.0,0-20%,Seldom,Republican,Conservative,Did not vote,4,1.0,3.0,3.0,37.82783194171506,55.82103785896402,41.40453330371697,69.38191986083984,-3.5825881958007812,-1.0579869747161865,Medium/small metro,30.0
1644747517,5.01237014551506,control,0,0.0,,Man,29,18-29,Some college,60.0,41-60%,Weekly,Democrat,Moderate,Did not vote,0,0.0,3.0,0.0,50.000000000000014,0.0,50.0,42.77462387084961,-9.007991790771484,-0.19702109694480896,Central metro,20.0
1644419245,0.577027567248961,control,0,0.0,,Woman,57,45-64,2-year,75.0,61-80%,Never,Independent,Moderate,Biden,2,,2.0,0.0,31.55376300999384,0.0,0.0,78.22673034667969,-4.2115478515625,0.9128392338752747,Medium/small metro,60.0
1645021383,0.437390198757463,control,0,0.0,,Woman,26,18-29,High school graduate,1.0,0-20%,Never,Democrat,Very liberal,Biden,0,0.0,1.0,3.0,47.84541347560405,0.0,0.0,28.516252517700195,-7.823251724243164,0.5655642747879028,Medium/small metro,20.0
1644579021,0.222714267872619,control,0,0.0,,Woman,41,30-44,High school graduate,22.0,21-40%,Never,Independent,Very liberal,Biden,0,0.0,3.0,1.0,7.5372094227337,0.0,20.298101659960864,68.47286987304688,-3.163818359375,0.8536838889122009,Medium/small metro,80.0
1643745847,1.01190074408244,treated,0,,0.0,Woman,73,65+,Some college,22.0,21-40%,Don't know,Independent,Moderate,Biden,0,2.0,8.0,0.0,71.93036937523246,33.333333333333336,100.0,58.87910079956055,-9.21535873413086,-0.3737664520740509,Medium/small metro,30.0
1644669911,0.749127528571954,control,0,0.0,,Man,43,30-44,High school graduate,43.0,41-60%,Seldom,Republican,Moderate,Trump,0,1.0,1.0,0.0,10.13640221263888,0.0,79.70189834003914,83.70137786865234,-4.218833923339844,-0.7385777831077576,Medium/small metro,80.0
1644521189,0.578920015497089,treated,0,,0.0,Man,71,65+,High school graduate,,,Never,Democrat,Moderate,Biden,0,0.0,3.0,0.0,21.089578268045212,0.0,28.10716826739479,,,,,90.0
1645431547,0.736349378388103,control,0,0.0,,Man,23,18-29,Some college,93.0,81-100%,Don't know,Republican,Very conservative,Trump,0,0.0,3.0,0.0,100.0,33.333333333333336,100.0,61.710880279541016,-4.889797210693359,-0.9324682950973511,Central metro,70.0
1645436873,0.905552085541443,control,0,0.0,,Woman,25,18-29,4-year,75.0,61-80%,Seldom,Democrat,Very liberal,Biden,2,0.0,2.0,2.0,11.844385528975197,0.0,0.0,36.5784912109375,4.674434661865234,-0.1690656989812851,Central metro,
1645644483,0.430635146567434,control,0,0.0,,Man,35,30-44,Some college,43.0,41-60%,Never,Independent,Very liberal,Biden,1,1.0,2.0,1.0,4.9380166328285275,0.0,0.0,35.75910949707031,-5.549404144287109,0.785513699054718,Central metro,80.0
1645715539,0.3863848378952,control,0,0.0,,Woman,63,45-64,High school graduate,68.0,61-80%,Seldom,Democrat,Moderate,Biden,0,3.0,5.0,0.0,65.77688150499694,0.0,4.701898340039135,65.46736145019531,-6.0020599365234375,-0.4768231213092804,Medium/small metro,60.0
1645733587,2.49192378614758,treated,0,,0.0,Woman,69,65+,High school graduate,22.0,21-40%,Yearly,Republican,Moderate,Did not vote,1,1.0,2.0,1.0,60.23824256381511,0.0,49.19167001620476,76.6454086303711,-1.20623779296875,0.5047523379325867,Non-metro,80.0
1645733631,1.61067233116983,control,0,0.0,,Woman,78,65+,Some college,60.0,41-60%,Monthly,Republican,Moderate,Trump,0,0.0,3.0,0.0,81.77618442265576,0.0,70.29810165996086,40.588294982910156,-6.1131134033203125,-0.953155517578125,Central metro,80.0
1645770825,1.14267586222215,treated,0,,0.0,Woman,23,18-29,4-year,43.0,41-60%,Weekly,Republican,Very conservative,Trump,1,0.0,1.0,1.0,36.358074403859845,0.0,54.701898340039136,82.8387680053711,-3.6796493530273438,-0.6570882201194763,Medium/small metro,90.0
1645715071,1.96126475220335,treated,0,,0.0,Man,70,65+,Some college,52.0,41-60%,Never,Independent,Conservative,Did not vote,0,0.0,4.0,0.0,42.889763169786754,0.0,100.0,64.89173889160156,-5.319313049316406,0.5045629739761353,Non-metro,40.0
1645875193,0.880840332152377,treated,0,,0.0,Man,56,45-64,High school graduate,68.0,61-80%,Never,Republican,Moderate,Trump,0,0.0,2.0,3.0,41.1976531437034,0.0,100.0,78.15672302246094,-2.1056137084960938,-1.0476385354995728,Suburban metro,70.0
1645984357,0.798558502632476,control,0,0.0,,Man,30,30-44,Some college,52.0,41-60%,Seldom,Democrat,Very conservative,Biden,2,0.0,3.0,0.0,32.070292353342936,0.0,46.1064316437561,93.75489044189453,-1.4594039916992188,0.3772091269493103,Medium/small metro,60.0
1646146067,0.583024648244052,control,1,1.0,,Woman,62,45-64,High school graduate,10.0,0-20%,Never,Democrat,Liberal,Trump,0,0.0,5.0,0.0,82.88530581337459,0.0,43.78566346521041,58.916221618652344,-4.572032928466797,0.3518431782722473,Central metro,30.0
1646558401,0.593588793286201,treated,0,,0.0,Man,56,45-64,High school graduate,32.0,21-40%,Never,Democrat,Very liberal,Biden,0,0.0,2.0,2.0,10.13640221263888,0.0,0.0,63.26508331298828,0.9071273803710938,0.3001396954059601,Non-metro,100.0
1646620443,0.785045694589196,control,0,0.0,,Woman,51,45-64,Some college,10.0,0-20%,Yearly,Republican,Moderate,Trump,1,0.0,5.0,0.0,29.599523654192872,0.0,58.59546669628303,70.48429107666016,-3.5244293212890625,-0.9415959119796753,Suburban metro,50.0
1646621969,0.378527273083662,control,0,0.0,,Woman,47,45-64,Some college,1.0,0-20%,Seldom,Independent,Moderate,Other,1,0.0,4.0,0.0,54.176991632750585,0.0,54.701898340039136,73.98591613769531,-4.7506561279296875,-0.620426595211029,Central metro,70.0
1646744831,1.06366251103127,control,0,0.0,,Man,44,30-44,Some college,22.0,21-40%,Weekly,Democrat,Liberal,Biden,0,0.0,8.0,0.0,50.000000000000014,0.0,61.70263496367784,69.3578872680664,-2.388641357421875,0.48772817850112915,Medium/small metro,60.0
1646745713,0.391272446613967,treated,0,,0.0,Man,38,30-44,Some college,43.0,41-60%,Never,Democrat,Liberal,Other,3,0.0,1.0,1.0,10.006217739147965,0.0,34.403796680078266,26.203954696655273,-2.6932945251464844,-0.22114193439483643,Central metro,80.0
1646961813,0.264376448440098,treated,0,,0.0,Man,29,18-29,4-year,,,Seldom,Republican,Moderate,Other,0,0.0,3.0,3.0,31.289873297540414,0.0,54.701898340039136,78.51620483398438,-3.6711349487304688,-0.24310432374477386,Central metro,100.0
1647124161,0.289241490975395,treated,0,,0.0,Man,63,45-64,High school graduate,32.0,21-40%,Never,Democrat,Moderate,Biden,0,1.0,2.0,0.0,31.55376300999384,0.0,79.70189834003914,70.33287811279297,-6.6937103271484375,0.026668550446629524,Medium/small metro,30.0
1647333257,0.43866702225934,treated,0,,0.0,Man,24,18-29,4-year,32.0,21-40%,Never,Democrat,Liberal,Biden,0,,2.0,3.0,52.35645751591213,0.0,41.40453330371697,92.10140228271484,-1.5319747924804688,-0.8867505192756653,Suburban metro,80.0
1647355717,0.823259336497408,control,0,1.0,,Man,41,30-44,High school graduate,68.0,61-80%,Weekly,Republican,Very conservative,Trump,0,,1.0,3.0,84.22311849500309,91.60849341287377,86.70263496367784,57.325042724609375,-8.38140869140625,-0.6107349991798401,Medium/small metro,80.0
1647823349,0.724484843356653,control,0,0.0,,Man,29,18-29,Some college,,,Weekly,Democrat,Moderate,Biden,0,0.0,3.0,0.0,50.000000000000014,0.0,50.0,49.8890380859375,-3.9718093872070312,0.24496956169605255,Central metro,20.0
1647916753,0.537206322357762,control,0,0.0,,Woman,26,18-29,2-year,,,Don't know,Not sure,Moderate,Biden,2,3.0,1.0,1.0,31.245724809406553,14.096197938504446,71.1064316437561,87.19988250732422,-0.5762176513671875,-0.42299866676330566,Medium/small metro,0.0
1648135453,5.65272382207699,control,0,0.0,,Man,29,18-29,High school graduate,1.0,0-20%,Never,Not sure,Not sure,Did not vote,1,0.0,8.0,2.0,50.000000000000014,33.333333333333336,50.0,68.82722473144531,-6.2554168701171875,-0.9998795986175537,Central metro,0.0
1648135521,0.754961848826189,control,0,0.0,,Woman,28,18-29,Some college,32.0,21-40%,Never,Democrat,Very liberal,Biden,4,0.0,3.0,0.0,2.5991927899051785,0.0,42.999263376361306,77.57093048095703,-2.5673980712890625,-1.0942487716674805,Medium/small metro,80.0
1647829197,0.626865281858927,control,0,0.0,,Man,23,18-29,4-year,,,Yearly,Democrat,Very liberal,Biden,0,0.0,2.0,0.0,7.5372094227337,0.0,37.48903505252694,88.28582763671875,-3.6365585327148438,-0.4652557969093323,Medium/small metro,100.0
1648457209,1.79724034062256,treated,0,,0.0,Man,21,18-29,High school graduate,60.0,41-60%,Yearly,Republican,Moderate,Trump,0,0.0,1.0,0.0,39.06889818866061,0.0,38.29736503632217,85.48828125,-4.475364685058594,-0.057421233505010605,Medium/small metro,40.0
1648535893,0.450933817768328,treated,0,,0.0,Woman,81,65+,High school graduate,43.0,41-60%,Weekly,Democrat,Moderate,Biden,0,0.0,1.0,1.0,27.621267033972114,0.0,51.59473007264434,59.983604431152344,-9.243751525878906,-1.2267905473709106,Suburban metro,100.0
1648532805,1.3681083526718,control,1,0.0,,Woman,29,18-29,Some college,22.0,21-40%,Weekly,Republican,Very conservative,Trump,2,2.0,2.0,2.0,44.31354291233852,36.58390246413513,25.0,71.97731018066406,-4.886360168457031,0.4407540559768677,Medium/small metro,50.0
1648708757,0.556935863438462,control,0,0.0,,Woman,39,30-44,Some college,43.0,41-60%,Yearly,Republican,Very conservative,Trump,0,1.0,2.0,0.0,77.24482652101655,0.0,63.29736503632217,85.48934936523438,-2.8113861083984375,0.8087339997291565,Medium/small metro,40.0
1648732613,0.381167265538662,treated,0,,0.0,Woman,75,65+,Some college,52.0,41-60%,Never,Independent,Moderate,Other,0,0.0,2.0,0.0,51.50587576500553,0.0,0.0,74.90995025634766,-8.443962097167969,-1.1498987674713135,Suburban metro,10.0
1648753123,0.944832831707734,control,0,0.0,,Man,51,45-64,High school graduate,22.0,21-40%,Seldom,Republican,Moderate,Trump,2,0.0,1.0,1.0,75.64312412693462,0.0,18.807593360156535,40.588294982910156,-6.1131134033203125,-0.953155517578125,Central metro,50.0
