phenotype_id,phenotype_name,source,population,gamma,gamma_se,gamma_p,gamma_z,gamma_sign,gamma_sign_se,gamma_sign_p,gamma_sign_z
Pan-UKBB.245,"Non-cancer illness code, self-reported",Pan-UKBB (phenotype-manifest-23-03-01),European,0.638642501,0.128311599,6.45e-07,4.977278006,0.410123289,0.126893377,0.001229139,3.232030687
Pan-UKBB.26,Total protein,Pan-UKBB (phenotype-manifest-23-03-01),European,-0.194936342,0.123018736,0.113055668,-1.584606937,-0.220122023,0.125729742,0.079988055,-1.750755383
Pan-UKBB.27,Triglycerides,Pan-UKBB (phenotype-manifest-23-03-01),European,0.233907501,0.127961352,0.067556414,1.827954278,0.009256621,0.129910249,0.943195627,0.071253972
Pan-UKBB.278,"Non-cancer illness code, self-reported",Pan-UKBB (phenotype-manifest-23-03-01),European,-0.270076839,0.12424014,0.029717967,-2.173829165,-0.228625572,0.127723241,0.073452691,-1.790007589
Pan-UKBB.29,Vitamin D,Pan-UKBB (phenotype-manifest-23-03-01),European,0.699182011,0.125506434,2.53e-08,5.570885793,0.385680963,0.127706038,0.002527176,3.02006835
Pan-UKBB.3,Apolipoprotein A,Pan-UKBB (phenotype-manifest-23-03-01),European,0.017601268,0.127280203,0.890013159,0.138287557,-0.015281666,0.128438649,0.905290983,-0.118980275
Pan-UKBB.3176,Administrative and legal statuses,Pan-UKBB (phenotype-manifest-23-03-01),European,0.011712515,0.109305962,0.914667215,0.107153486,0.040533806,0.113609931,0.72125615,0.35678048
Pan-UKBB.3180,Intended management of patient (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.015081659,0.12506119,0.904012432,-0.120594239,-0.09318456,0.129093352,0.470393737,-0.721838564
Pan-UKBB.3189,Main speciality of consultant (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.022891718,0.084624416,0.786768223,-0.270509612,-0.04604441,0.087464942,0.598587565,-0.526432752
Pan-UKBB.3190,Main speciality of consultant (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.061502522,0.126448437,0.626694792,-0.486384199,-0.056227785,0.130812712,0.66731621,-0.429834259
Pan-UKBB.3202,Main speciality of consultant (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,0.020941013,0.120437294,0.861963839,0.173874824,0.044676723,0.124452557,0.719605577,0.35898598
Pan-UKBB.3240,Treatment speciality of consultant (recoded),Pan-UKBB (phenotype-manifest-23-03-01),European,-0.030003105,0.125246107,0.810676656,-0.239553192,0.002574591,0.127986859,0.983950791,0.020116057
