time_s,sliprate_m_per_s
0.9555555556,2.7500484776
0.9666666667,2.5484263333
0.9777777778,2.4361048353
0.9888888889,2.3980619093
1.0000000000,2.4984962554
1.0111111111,2.5307874118
1.0222222222,2.5842984934
1.0333333333,2.5971178381
1.0444444444,2.5494917492
1.0555555556,2.4761027573
1.0666666667,2.4048066265
1.0777777778,2.4086298552
1.0888888889,2.4086298552
1.1000000000,2.4162790427
1.1111111111,2.5536127463
1.1222222222,2.5091997449
1.1333333333,2.4431496521
1.1444444444,2.6102429161
1.1555555556,2.5087312410
1.1666666667,2.3986477531
1.1777777778,2.3411575237
1.1888888889,2.3018510464
1.2000000000,2.2831683633
1.2111111111,2.3011857723
1.2222222222,2.0625162923
1.2333333333,1.9537998105
1.2444444444,1.9024275161
1.2555555556,1.8458678784
1.2666666667,1.8276495546
1.2777777778,1.8349884538
1.2888888889,1.8319485710
1.3000000000,1.8295861358
1.3111111111,1.8166907983
1.3222222222,1.7946741007
1.3333333333,1.8169191003
1.3444444444,1.8443875035
1.3555555556,1.8349098171
1.3666666667,1.7145518703
1.3777777778,1.6331682727
1.3888888889,1.5493470963
1.4000000000,1.4628568944
1.4111111111,1.3228402243
1.4222222222,1.1944094884
1.4333333333,1.0659787525
1.4444444444,0.8295699098
1.4555555556,0.7791541806
1.4666666667,0.7571374831
1.4777777778,0.7351207855
1.4888888889,0.7265489726
1.5000000000,0.7265489726
1.5111111111,0.7175876517
1.5222222222,0.6515375590
1.5333333333,0.5854874662
1.5444444444,0.5097400223
1.5555555556,0.4842091313
1.5666666667,0.4695313329
1.5777777778,0.4548535345
1.5888888889,0.4401757361
1.6000000000,0.3733407084
1.6111111111,0.2852739181
1.6222222222,0.2075859098
1.6333333333,0.2261493802
1.6444444444,0.2830781129
1.6555555556,0.3449750547
1.6666666667,0.3478545869
1.6777777778,0.3291928627
1.6888888889,0.3061568729
1.7000000000,0.2665549252
1.7111111111,0.1447291986
1.7222222222,0.0626912531
1.7333333333,-0.0299693496
1.7444444444,-0.0397869866
1.7555555556,-0.0287786378
1.7666666667,-0.0177702890
1.7777777778,-0.0131886236
1.7888888889,-0.0190076534
1.8000000000,-0.0315886235
1.8111111111,-0.0441695935
1.8222222222,-0.0567505636
1.8333333333,-0.0693315336
1.8444444444,0.0029488883
1.8555555556,0.0943531162
1.8666666667,0.0649975194
1.8777777778,0.0356419226
1.8888888889,0.0062863258
1.9000000000,0.0000000000
1.9111111111,0.0000000000
1.9222222222,0.0182511345
1.9333333333,0.0769623280
1.9444444444,0.0338226678
1.9555555556,0.2528901108
1.9666666667,0.0613383022
1.9777777778,-0.1000662089
1.9888888889,-0.1588179083
2.0000000000,-0.1860205767
2.0111111111,-0.1872786737
2.0222222222,-0.1743717534
2.0333333333,-0.1641254025
2.0444444444,-0.0716552727
2.0555555556,0.1101610225
2.0611111111,0.2212034215
2.0666666667,0.2514170999
2.0722222222,0.2607288443
2.0777777778,0.2707568768
2.0833333333,0.2892991719
2.0888888889,0.3170795166
2.0944444444,0.3472755435
2.1000000000,0.3802166637
2.1055555556,0.4162950335
2.1111111111,0.4559812402
2.1166666667,0.3658532709
2.1222222222,0.2338380729
2.1277777778,0.2993972479
2.1333333333,0.3731513199
