time_s,slip_m
1.5000000000,2.9585465602
1.5111111111,2.9735738140
1.5222222222,2.9833590129
1.5333333333,2.9931442118
1.5444444444,3.0029294107
1.5555555556,2.9994520159
1.5666666667,2.9957825663
1.5777777778,2.9921131167
1.5888888889,2.9884436671
1.6000000000,2.9847742175
1.6111111111,2.9811047679
1.6222222222,2.9788507879
1.6333333333,2.9788507879
1.6444444444,2.9788507879
1.6555555556,2.9788507879
1.6666666667,2.9788507879
1.6777777778,2.9788507879
1.6888888889,2.9788507879
1.7000000000,2.9788507879
1.7111111111,2.9788507879
1.7222222222,2.9788507879
1.7333333333,2.9788507879
1.7444444444,2.9788507879
1.7555555556,2.9788507879
1.7666666667,2.9788507879
1.7777777778,2.9788507879
1.7888888889,2.9788507879
1.8000000000,2.9997164097
1.8111111111,3.0290720065
1.8222222222,3.0570432196
1.8333333333,3.0744980891
1.8444444444,3.0833047682
1.8555555556,3.0854113038
1.8666666667,3.0819958535
1.8777777778,3.0511724769
1.8888888889,3.0203491003
1.9000000000,2.9857927831
1.9111111111,2.9788507879
1.9222222222,2.9788507879
1.9333333333,2.9788507879
1.9444444444,2.9767085601
1.9555555556,2.9725149034
1.9666666667,2.9683212467
1.9777777778,2.9641275900
1.9888888889,2.9599339333
2.0000000000,2.9557402767
2.0111111111,2.9798337506
2.0222222222,3.0103018266
2.0333333333,3.0005166277
2.0444444444,2.9907314287
2.0555555556,2.9809462298
2.0666666667,2.9788507879
2.0777777778,2.9788507879
2.0888888889,2.9849344994
2.1000000000,3.0045048972
2.1111111111,2.9901250105
2.1222222222,3.0631474915
2.1333333333,3.0201625105
2.1444444444,2.9957166035
2.1555555556,3.0041039169
2.1666666667,3.0124912302
2.1777777778,3.0208785436
2.1888888889,3.0272873860
2.2000000000,3.0272873860
2.2111111111,3.0272873860
2.2222222222,3.0570694412
