lon,lat,periodo
-40.0654,-19.3991,pre_2024
-64.7965,-7.2638,pre_2024
-60.0217,-3.119,pre_2024
-61.1483,4.4784,pre_2024
-51.6572,-22.7557,pre_2024
-61.2132,-3.3264,pre_2024
-72.6746,-7.6284,pre_2024
-59.1345,-3.5789,pre_2024
-60.1856,-3.28,pre_2024
-61.1265,1.8225,pre_2024
-43.1729,-22.9068,pre_2024
-67.0587,-10.0765,pre_2024
-68.7532,-10.9975,pre_2024
-70.3574,-8.1674,pre_2024
-59.594,-4.3934,pre_2024
-50.9948,-29.9399,pre_2024
-57.589,-2.9697,pre_2024
-60.6319,-3.2897,pre_2024
-69.262,-8.8379,pre_2024
-48.0,-2.0,pre_2024
-48.5,-1.46,pre_2024
-49.67,-3.77,pre_2024
-48.63,-1.51,pre_2024
-48.45,-1.44,pre_2024
-48.49,-1.46,pre_2024
-59.7,-2.7,pre_2024
-48.0,-3.0,pre_2024
-46.0,-24.0,pre_2024
-48.45,-1.47,pre_2024
-48.41,-1.42,pre_2024
-50.06,-6.06,pre_2024
-67.06,-10.08,pre_2024
-68.5,-10.65,pre_2024
-51.29,-0.12,pre_2024
-60.02,-3.12,pre_2024
-62.92,-0.98,pre_2024
-39.07,-16.44,pre_2024
-45.25,-5.5,pre_2024
-47.4,-6.34,pre_2024
-56.13,-15.65,pre_2024
-56.08,-13.82,pre_2024
-56.1,-15.6,pre_2024
-48.88,-1.72,pre_2024
-52.21,-3.2,pre_2024
-54.95,-2.5,pre_2024
-48.37,-1.36,pre_2024
-46.64,-1.02,pre_2024
-49.68,-2.68,pre_2024
-48.47,-1.44,pre_2024
-54.93,-2.64,pre_2024
-48.3,-1.3,pre_2024
-46.78,-1.06,pre_2024
-52.54,-3.31,pre_2024
-47.18,-1.21,pre_2024
-48.15,-1.37,pre_2024
-46.72,-0.99,pre_2024
-47.92,-1.3,pre_2024
-47.86,-0.73,pre_2024
-47.62,-1.14,pre_2024
-49.33,-5.13,pre_2024
-47.6,-0.8,pre_2024
-47.45,-0.77,pre_2024
-54.64,-2.68,pre_2024
-55.42,-7.04,pre_2024
-55.86,-1.76,pre_2024
-56.23,-4.62,pre_2024
-49.9,-6.07,pre_2024
-52.23,-1.75,pre_2024
-48.04,-2.41,pre_2024
-48.16,-1.3,pre_2024
-54.7,-2.45,pre_2024
-49.67,-5.93,pre_2024
-48.15,-2.42,pre_2024
-56.02,-5.18,pre_2024
-49.68,-3.77,pre_2024
-48.14,-0.86,pre_2024
-46.14,-1.2,pre_2024
-52.01,-2.89,pre_2024
-63.03,-9.91,pre_2024
-62.26,-10.72,pre_2024
-47.88,-12.62,pre_2024
-47.42,-6.33,pre_2024
-63.9004,-8.7608,pre_2024
-61.3072,2.9886,pre_2024
-60.9094,2.4308,pre_2024
-60.4383,0.9478,pre_2024
-59.9139,0.9511,pre_2024
-60.6056,2.6097,pre_2024
-60.5444,-13.1267,pre_2024
-64.2281,-12.4342,pre_2024
-63.2928,-10.3147,pre_2024
-60.9483,-12.9978,pre_2024
-63.5675,-12.0528,pre_2024
-62.9042,-10.3483,pre_2024
-60.025,-3.1019,pre_2024
-64.7944,-7.2589,pre_2024
-61.3025,-5.8122,pre_2024
-67.81,-9.9747,pre_2024
-67.5569,-9.5833,pre_2024
-66.8839,-9.8239,pre_2024
-64.7242,-3.3683,pre_2024
-68.5036,-10.6511,pre_2024
-68.6722,-9.0658,pre_2024
-67.1872,-10.3353,pre_2024
-72.6697,-7.6289,pre_2024
-60.6203,-3.2903,pre_2024
-57.7189,-3.3833,pre_2024
-39.0761,-15.295,cumulative_2024
-70.7652,-8.1609,cumulative_2024
-69.8674,-6.6624,cumulative_2024
-43.3231,-4.1316,cumulative_2024
-72.7417,-8.2673,cumulative_2024
-39.2846,-14.5918,cumulative_2024
-64.3867,-6.5305,cumulative_2024
-59.9117,0.9499,cumulative_2024
-35.3964,-8.1414,cumulative_2024
-60.6011,2.6101,cumulative_2024
-62.8998,-9.7055,cumulative_2024
-43.9003,-22.627,cumulative_2024
-62.3636,-11.1243,cumulative_2024
-38.7486,-12.2479,cumulative_2024
-48.9778,-27.0862,cumulative_2024
-46.3982,-23.1823,cumulative_2024
-62.0025,-9.4252,cumulative_2024
-61.8567,-12.1326,cumulative_2024
-48.8285,-26.9013,cumulative_2024
-40.3899,-18.9979,cumulative_2024
-40.0838,-13.8591,cumulative_2024
-56.1355,-15.6505,cumulative_2024
-40.3335,-19.2661,cumulative_2024
-60.4296,0.9439,cumulative_2024
-67.0587,-10.0765,cumulative_2024
-39.0153,-14.104,cumulative_2024
-49.0842,-26.4814,cumulative_2024
-38.5016,-12.9777,cumulative_2024
-35.3179,-7.5112,cumulative_2024
-47.5501,-2.0463,cumulative_2024
-40.3692,-19.8331,cumulative_2024
-70.1908,-4.367,cumulative_2024
-38.3186,-12.8858,cumulative_2024
-42.6814,-19.1752,cumulative_2024
-56.7331,-2.632,cumulative_2024
-40.4627,-19.2517,cumulative_2024
-67.5411,-9.5936,cumulative_2024
-60.0236,-2.0533,cumulative_2024
-61.9593,-10.8724,cumulative_2024
-51.0561,0.0405,cumulative_2024
-60.6319,-3.2897,cumulative_2024
-35.2309,-7.5976,cumulative_2024
-42.5504,-19.4723,cumulative_2024
-62.1298,-10.4274,cumulative_2024
-43.7113,-22.6083,cumulative_2024
-59.8256,-3.1974,cumulative_2024
-40.649,-20.8041,cumulative_2024
-63.5692,-12.0601,cumulative_2024
-61.3741,-3.8983,cumulative_2024
-39.0721,-13.37,cumulative_2024
-60.1222,-12.7385,cumulative_2024
-63.2979,-10.2605,cumulative_2024
-35.1008,-8.1184,cumulative_2024
-48.9096,-26.7119,cumulative_2024
-35.8392,-9.3924,cumulative_2024
-63.0346,-9.904,cumulative_2024
-38.9947,-4.3038,cumulative_2024
-37.1135,-10.6055,cumulative_2024
-43.3131,-22.7869,cumulative_2024
-41.056,-19.9009,cumulative_2024
-71.9503,-9.1911,cumulative_2024
-44.3172,-2.9722,cumulative_2024
-62.9,-10.3419,cumulative_2024
-39.8888,-14.0169,cumulative_2024
-39.6606,-13.2681,cumulative_2024
-35.3997,-9.051,cumulative_2024
-56.7421,-2.1699,cumulative_2024
-51.2862,-0.1158,cumulative_2024
-34.9209,-8.1688,cumulative_2024
-72.6514,-7.7356,cumulative_2024
-61.7781,-11.7257,cumulative_2024
-54.9651,-20.9412,cumulative_2024
-39.0044,-13.0377,cumulative_2024
-39.6838,-13.7796,cumulative_2024
-39.8559,-18.7166,cumulative_2024
-43.7023,-22.2449,cumulative_2024
-40.267,-19.8244,cumulative_2024
-40.4203,-20.2643,cumulative_2024
-49.7738,-16.9731,cumulative_2024
-40.8529,-19.2229,cumulative_2024
-57.0684,-2.7999,cumulative_2024
-41.6772,-21.1363,cumulative_2024
-60.0217,-3.119,cumulative_2024
-49.073,-27.1978,cumulative_2024
-58.4385,-3.135,cumulative_2024
-39.3017,-14.9567,cumulative_2024
-52.0955,-23.3461,cumulative_2024
-40.5439,-19.4129,cumulative_2024
-40.8572,-19.8035,cumulative_2024
-41.1109,-18.0435,cumulative_2024
-38.893,-13.1148,cumulative_2024
-35.0373,-8.2869,cumulative_2024
-61.9983,-11.7072,cumulative_2024
-39.2684,-3.2781,cumulative_2024
-68.7532,-10.9975,cumulative_2024
-42.426,-10.9443,cumulative_2024
-38.879,-4.3313,cumulative_2024
-41.2922,-20.1495,cumulative_2024
-39.0347,-14.7981,cumulative_2024
-44.2492,-2.941,cumulative_2024
-63.6189,-10.5702,cumulative_2024
-60.9023,-12.5552,cumulative_2024
-60.6738,2.8206,cumulative_2024
-39.4298,-12.7631,cumulative_2024
-40.7625,-16.6391,cumulative_2024
-39.1046,-13.9443,cumulative_2024
-35.7284,-8.4738,cumulative_2024
-41.9464,-22.5273,cumulative_2024
-40.0752,-18.9057,cumulative_2024
-60.3759,-5.1244,cumulative_2024
-63.7004,-8.7958,cumulative_2024
-58.213,-2.8368,cumulative_2024
-55.8629,-1.7607,cumulative_2024
-38.7586,-12.3962,cumulative_2024
-60.5425,-13.4947,cumulative_2024
-39.1423,-13.8205,cumulative_2024
-62.2547,-10.9327,cumulative_2024
-48.1512,-2.4203,cumulative_2024
-43.6548,-22.6468,cumulative_2024
-44.3253,-3.139,cumulative_2024
-69.9369,-4.2315,cumulative_2024
-60.1856,-3.28,cumulative_2024
-56.0953,-2.1633,cumulative_2024
-43.1729,-22.9068,cumulative_2024
-67.7385,-10.1527,cumulative_2024
-39.5297,-17.0389,cumulative_2024
-39.1082,-13.001,cumulative_2024
-64.8095,-3.2138,cumulative_2024
-41.0333,-12.6333,cumulative_2024
-59.3299,-15.2325,cumulative_2024
-63.0315,-11.7656,cumulative_2024
-40.3385,-20.3197,cumulative_2024
-63.1484,-4.0913,cumulative_2024
-39.4783,-13.6874,cumulative_2024
-51.9253,-14.235,cumulative_2024
-42.8023,-5.0961,cumulative_2024
-38.8461,-4.1478,cumulative_2024
-41.0138,-19.5124,cumulative_2024
-56.0926,-15.5955,cumulative_2024
-49.3648,-26.785,cumulative_2024
-62.4737,-10.4284,cumulative_2024
-38.9946,-14.2801,cumulative_2024
-52.0034,0.9017,cumulative_2024
-44.2989,-2.5307,cumulative_2024
-54.0735,-2.001,cumulative_2024
-54.7136,-2.4407,cumulative_2024
-47.7829,-5.173,cumulative_2024
-39.5047,-13.2288,cumulative_2024
-54.6218,-20.4649,cumulative_2024
-40.2949,-20.3478,cumulative_2024
-35.061,-8.3981,cumulative_2024
-45.1861,-22.8035,cumulative_2024
-47.4529,-0.7648,cumulative_2024
-56.7114,-2.1924,cumulative_2024
-38.9209,-4.2254,cumulative_2024
-62.7145,-11.6939,cumulative_2024
-40.1436,-14.7926,cumulative_2024
-61.9942,-11.9292,cumulative_2024
-37.0831,-7.6937,cumulative_2024
-40.3081,-20.128,cumulative_2024
-43.3587,-4.8654,cumulative_2024
-67.9453,-3.1045,cumulative_2024
-39.0654,-16.4444,cumulative_2024
-39.0999,-13.5378,cumulative_2024
-49.9036,-6.0687,cumulative_2024
-62.583,-9.3689,cumulative_2024
-63.3188,-9.7205,cumulative_2024
-39.4207,-13.4499,cumulative_2024
-41.1225,-20.0796,cumulative_2024
-35.1009,-7.6648,cumulative_2024
-54.7365,-1.9472,cumulative_2024
-64.7092,-3.3474,cumulative_2024
-47.5569,-4.293,cumulative_2024
-60.545,-13.121,cumulative_2024
-40.6045,-18.6213,cumulative_2024
-72.7893,-8.9479,cumulative_2024
-39.3766,-14.6749,cumulative_2024
-62.673,-11.0305,cumulative_2024
-66.8969,-4.8773,cumulative_2024
-41.5108,-20.2349,cumulative_2024
-48.9171,-27.099,cumulative_2024
-49.4987,-2.2442,cumulative_2024
-57.8715,-2.5691,cumulative_2024
-72.6746,-7.6284,cumulative_2024
-55.1217,-1.8901,cumulative_2024
-39.4862,-13.7453,cumulative_2024
-34.9037,-8.0363,cumulative_2024
-52.8902,-3.4449,cumulative_2024
-35.5216,-8.7082,cumulative_2024
-44.1773,-22.5409,cumulative_2024
-66.0959,-2.5152,cumulative_2024
-48.4274,-17.3268,cumulative_2024
-47.1789,-1.1922,cumulative_2024
-42.628,-19.5195,cumulative_2024
-43.6996,-22.7472,cumulative_2024
-35.4502,-7.5557,cumulative_2024
-44.3845,-5.5785,cumulative_2024
-38.9174,-12.7774,cumulative_2024
-39.6021,-13.0297,cumulative_2024
-40.5372,-19.0183,cumulative_2024
-40.4216,-20.3669,cumulative_2024
-49.0717,-26.9166,cumulative_2024
-47.4762,-5.5238,cumulative_2024
-51.1551,-6.7533,cumulative_2024
-60.8208,-13.189,cumulative_2024
-39.5213,-12.9451,cumulative_2024
-40.4067,-19.9332,cumulative_2024
-59.6994,-2.6982,cumulative_2024
-38.6168,-12.744,cumulative_2024
-44.0001,-22.518,cumulative_2024
-65.3306,-10.4107,cumulative_2024
-61.4191,3.6543,cumulative_2024
-61.299,-5.8132,cumulative_2024
-67.8098,-9.974,cumulative_2024
-42.972,-22.4162,cumulative_2024
-60.3612,-3.8194,cumulative_2024
-40.0654,-19.3991,cumulative_2024
-61.6043,-12.1817,cumulative_2024
-34.8272,-7.7435,cumulative_2024
-67.0877,-0.1308,cumulative_2024
-62.3116,-11.7259,cumulative_2024
-40.9801,-18.5475,cumulative_2024
-39.5224,-14.2134,cumulative_2024
-38.9601,-12.2536,cumulative_2024
-71.6935,-7.0487,cumulative_2024
-35.2664,-5.9243,cumulative_2024
-39.4906,-13.5997,cumulative_2024
-48.6336,-27.2401,cumulative_2024
-52.2079,-3.2044,cumulative_2024
-54.9119,-9.9504,cumulative_2024
-61.3193,-11.8302,cumulative_2024
-56.4248,-14.8269,cumulative_2024
-61.4608,-10.8422,cumulative_2024
-70.3574,-8.1674,cumulative_2024
-61.1265,1.8225,cumulative_2024
-35.5839,-8.6788,cumulative_2024
-35.2,-5.7842,cumulative_2024
-39.2617,-12.9699,cumulative_2024
-40.5121,-11.1817,cumulative_2024
-38.9002,-4.4666,cumulative_2024
-39.8456,-14.2868,cumulative_2024
-57.589,-2.9697,cumulative_2024
-51.1772,-0.0376,cumulative_2024
-36.4328,-9.535,cumulative_2024
-46.6458,-1.0249,cumulative_2024
-42.7249,-10.8234,cumulative_2024
-61.0116,-11.5257,cumulative_2024
-35.7218,-8.668,cumulative_2024
-61.1483,4.4784,cumulative_2024
-67.9511,-9.8276,cumulative_2024
-41.68,-18.0344,cumulative_2024
-62.256,-10.7209,cumulative_2024
-63.833,-10.1947,cumulative_2024
-49.0023,-26.4743,cumulative_2024
-59.594,-4.3934,cumulative_2024
-48.5013,-1.4563,cumulative_2024
-43.1014,-22.8807,cumulative_2024
-60.9188,2.4471,cumulative_2024
-48.9798,-28.1649,cumulative_2024
-39.4964,-15.4201,cumulative_2024
-39.4141,-15.2627,cumulative_2024
-51.4639,-23.5525,cumulative_2024
-56.8004,-14.4537,cumulative_2024
-64.2295,-12.4357,cumulative_2024
-42.4182,-18.1901,cumulative_2024
-72.906,-7.6135,cumulative_2024
-42.6549,-6.1187,cumulative_2024
-35.4451,-7.8772,cumulative_2024
-54.5854,-25.5165,cumulative_2024
-39.0464,-4.4195,cumulative_2024
-42.4683,-22.8935,cumulative_2024
-46.8892,-23.1857,cumulative_2024
-62.9256,-0.974,cumulative_2024
-35.5091,-7.6872,cumulative_2024
-39.1465,-13.7353,cumulative_2024
-48.7679,-27.2656,cumulative_2024
-45.078,-5.1062,cumulative_2024
-61.3116,2.9927,cumulative_2024
-47.2336,-24.2768,cumulative_2024
-59.1345,-3.5789,cumulative_2024
-48.7327,-5.5401,cumulative_2024
-43.0611,-5.9766,cumulative_2024
-34.8814,-7.1188,cumulative_2024
-66.0641,-3.4748,cumulative_2024
-35.2574,-9.0883,cumulative_2024
-39.956,-18.3036,cumulative_2024
-38.4951,-4.0987,cumulative_2024
-39.9695,-13.5282,cumulative_2024
-63.1857,-9.1886,cumulative_2024
-50.9482,2.495,cumulative_2024
-44.3185,-23.0069,cumulative_2024
-38.0189,-11.6612,cumulative_2024
-48.5468,-27.5969,cumulative_2024
-67.7756,-2.8618,cumulative_2024
-55.1655,-15.5454,cumulative_2024
-43.1154,-3.6729,cumulative_2024
-49.2398,-26.4279,cumulative_2024
-63.189,-5.625,cumulative_2024
-40.5999,-19.932,cumulative_2024
-35.8123,-8.7835,cumulative_2024
-49.9061,-26.3395,cumulative_2024
-48.1083,-24.73,cumulative_2024
-42.8438,-6.2435,cumulative_2024
-61.6587,-3.7482,cumulative_2024
-54.6387,-16.4655,cumulative_2024
-60.9431,-2.6232,cumulative_2024
-35.628,-8.8076,cumulative_2024
-61.4549,-11.4319,cumulative_2024
-57.3954,-9.5638,cumulative_2024
-57.4875,-14.6197,cumulative_2024
-40.7437,-20.0261,cumulative_2024
-38.3253,-12.7002,cumulative_2024
-53.8939,-23.8728,cumulative_2024
-46.138,-1.2067,cumulative_2024
-70.0251,-7.4335,cumulative_2024
-35.1517,-8.6598,cumulative_2024
-59.0933,-3.8905,cumulative_2024
-41.3633,-21.0625,cumulative_2024
-38.9642,-12.6023,cumulative_2024
-37.4497,-6.4896,cumulative_2024
-43.8597,-20.5027,cumulative_2024
-37.2059,-11.0122,cumulative_2024
-61.1788,-11.6775,cumulative_2024
-43.3601,-3.7415,cumulative_2024
-40.0979,-19.1912,cumulative_2024
-54.7935,-22.0807,cumulative_2024
-58.1537,-3.1291,cumulative_2024
-44.7769,-3.4566,cumulative_2024
-52.6066,-23.6569,cumulative_2024
-52.9845,-27.0737,cumulative_2024
-39.568,-13.2584,cumulative_2024
-40.75,-20.6352,cumulative_2024
-39.2821,-14.7924,cumulative_2024
-43.5877,-16.8482,cumulative_2024
-61.0469,-13.4814,cumulative_2024
-50.6372,-3.8363,cumulative_2024
-42.8584,-22.7472,cumulative_2024
-40.6308,-19.5369,cumulative_2024
-38.4211,-12.134,cumulative_2024
-37.1262,-10.855,cumulative_2024
-35.1148,-8.5926,cumulative_2024
-41.2344,-18.5682,cumulative_2024
-68.7409,-11.0294,cumulative_2024
-43.0382,-22.6547,cumulative_2024
-47.6086,-16.7639,cumulative_2024
-62.0641,-3.8428,cumulative_2024
-39.5903,-14.8659,cumulative_2024
-57.7556,-2.5323,cumulative_2024
-47.3119,-1.1893,cumulative_2024
-55.4554,-10.8037,cumulative_2024
-40.5779,-14.8659,cumulative_2024
-43.4302,-22.7832,cumulative_2024
-51.3448,-20.428,cumulative_2024
-39.3684,-14.1614,cumulative_2024
-68.9507,-3.4627,cumulative_2024
-42.645,-19.5824,cumulative_2024
-40.3716,-7.0743,cumulative_2024
-59.2244,-9.4624,cumulative_2024
-40.4091,-14.9781,cumulative_2024
-43.0478,-22.8235,cumulative_2024
-43.0814,-18.6665,cumulative_2024
-36.4965,-8.8909,cumulative_2024
-51.9508,0.7771,cumulative_2024
-49.2695,-8.2626,cumulative_2024
-40.663,-7.4453,cumulative_2024
-34.9342,-6.6902,cumulative_2024
-40.7231,-20.8382,cumulative_2024
-38.7302,-4.2239,cumulative_2024
-62.3565,1.9701,cumulative_2024
-48.374,-1.365,cumulative_2024
-59.634,3.8797,cumulative_2024
-35.9715,-8.2823,cumulative_2024
-48.9907,-24.6592,cumulative_2024
-39.0452,-13.4849,cumulative_2024
-39.4561,-13.0471,cumulative_2024
-56.4735,-9.6665,cumulative_2024
-43.4495,-22.7595,cumulative_2024
-61.7797,-11.9064,cumulative_2024
-46.9027,-1.077,cumulative_2024
-61.949,-11.4268,cumulative_2024
-61.5171,-11.1977,cumulative_2024
-53.3779,-32.5651,cumulative_2024
-46.3886,-21.9234,cumulative_2024
-61.9017,-11.1691,cumulative_2024
-39.7422,-17.54,cumulative_2024
-42.6528,-22.464,cumulative_2024
-42.4782,-18.8238,cumulative_2024
-53.8577,-24.9343,cumulative_2024
-34.8829,-8.0578,cumulative_2024
-47.8826,-24.714,cumulative_2024
-48.1212,-5.6487,cumulative_2024
-47.8919,-15.7975,cumulative_2024
-43.9882,-6.4319,cumulative_2024
-42.5341,-22.2887,cumulative_2024
-67.3973,-8.7534,cumulative_2024
-34.9945,-8.0233,cumulative_2024
-49.1744,-26.7376,cumulative_2024
-42.282,-18.6195,cumulative_2024
-39.5881,-16.3751,cumulative_2024
-36.0018,-9.5149,cumulative_2024
-60.946,-12.9986,cumulative_2024
-47.5035,-4.9537,cumulative_2024
-43.9387,-19.9191,cumulative_2024
-39.0897,-12.8477,cumulative_2024
-44.78,-4.2311,cumulative_2024
-68.1989,-3.3678,cumulative_2024
-49.6055,-6.0995,cumulative_2024
-39.3248,-14.3168,cumulative_2024
-65.59,-1.8593,cumulative_2024
-50.7995,0.9693,cumulative_2024
-35.4864,-7.5911,cumulative_2024
-55.9094,-13.0764,cumulative_2024
-46.3318,-23.9592,cumulative_2024
-43.4223,-22.426,cumulative_2024
-59.8366,3.3613,cumulative_2024
-49.0712,-26.4202,cumulative_2024
-39.0009,-13.0778,cumulative_2024
-48.9518,-16.9727,cumulative_2024
-41.6723,-20.7697,cumulative_2024
-42.9795,-22.5212,cumulative_2024
-54.4815,-16.6214,cumulative_2024
-51.209,-30.0368,cumulative_2024
-35.6618,-8.42,cumulative_2024
-59.4524,-10.1759,cumulative_2024
-55.7227,-12.5407,cumulative_2024
-52.5405,-3.3032,cumulative_2024
-39.3749,-13.7602,cumulative_2024
-62.3519,-10.2428,cumulative_2024
-49.2652,-25.4269,cumulative_2024
-48.1399,-0.8564,cumulative_2024
-48.7684,-27.5179,cumulative_2024
-37.2551,-4.8403,cumulative_2024
-37.0186,-10.4546,cumulative_2024
-60.4599,-3.4298,cumulative_2024
-36.664,-9.7556,cumulative_2024
-61.4049,-3.579,cumulative_2024
-44.0934,-22.5082,cumulative_2024
-51.0863,-26.2274,cumulative_2024
-53.6254,-23.3949,cumulative_2024
-68.2437,-6.4396,cumulative_2024
-37.4348,-10.2156,cumulative_2024
-48.1374,-5.1837,cumulative_2024
-39.4215,-13.1674,cumulative_2024
-39.0735,-13.3706,cumulative_2024
-39.4846,-13.5898,cumulative_2024
-39.5046,-13.2283,cumulative_2024
-39.1004,-13.5378,cumulative_2024
-38.5014,-12.9714,cumulative_2024
-56.7226,-14.8292,cumulative_2024
-55.1629,-15.5458,cumulative_2024
-72.6756,-7.6303,cumulative_2024
-49.0683,-27.1986,cumulative_2024
-42.6276,-19.5186,cumulative_2024
-42.6469,-19.5811,cumulative_2024
-42.6769,-19.1758,cumulative_2024
-70.812,-9.0238,cumulative_2024
-65.8561,-3.4168,cumulative_2024
-63.303,-10.8314,cumulative_2024
-62.0751,2.7376,cumulative_2024
