model,x_m,y_m
Born_et_al,692875.3,-1856887.4
Born_et_al,692429.0,-1856241.0
Born_et_al,691980.6,-1855596.6
Born_et_al,691529.2,-1854955.1
Born_et_al,691073.9,-1854317.7
Born_et_al,690613.5,-1853685.3
Born_et_al,690147.2,-1853058.9
Born_et_al,689673.8,-1852439.4
Born_et_al,689192.5,-1851828.0
Born_et_al,689192.5,-1851828.0
Born_et_al,688385.8,-1851000.9
Born_et_al,687659.2,-1850139.8
Born_et_al,687002.4,-1849246.7
Born_et_al,686405.7,-1848323.6
Born_et_al,685858.9,-1847372.5
Born_et_al,685352.0,-1846395.5
Born_et_al,684875.2,-1845394.5
Born_et_al,684418.3,-1844371.5
Born_et_al,683971.5,-1843328.5
Born_et_al,683971.5,-1843328.5
Born_et_al,683692.3,-1842195.2
Born_et_al,683420.2,-1841062.0
Born_et_al,683153.0,-1839928.7
Born_et_al,682888.9,-1838795.4
Born_et_al,682625.7,-1837662.2
Born_et_al,682361.5,-1836528.9
Born_et_al,682094.4,-1835395.6
Born_et_al,681822.2,-1834262.4
Born_et_al,681543.1,-1833129.1
Born_et_al,681543.1,-1833129.1
Born_et_al,681255.6,-1833137.4
Born_et_al,680961.2,-1833159.7
Born_et_al,680661.7,-1833192.0
Born_et_al,680359.2,-1833230.4
Born_et_al,680055.8,-1833270.7
Born_et_al,679753.3,-1833309.0
Born_et_al,679453.8,-1833341.3
Born_et_al,679159.4,-1833363.6
Born_et_al,678871.9,-1833371.9
Born_et_al,678871.9,-1833371.9
Born_et_al,678673.5,-1833088.8
Born_et_al,678481.2,-1832806.6
Born_et_al,678291.8,-1832526.5
Born_et_al,678102.4,-1832249.3
Born_et_al,677910.0,-1831976.2
Born_et_al,677711.7,-1831708.0
Born_et_al,677504.3,-1831445.8
Born_et_al,677285.0,-1831190.7
Born_et_al,677050.6,-1830943.5
Born_et_al,677050.6,-1830943.5
Born_et_al,675989.2,-1830340.2
Born_et_al,674908.7,-1829822.9
Born_et_al,673808.3,-1829387.5
Born_et_al,672686.9,-1829030.1
Born_et_al,671543.5,-1828746.6
Born_et_al,670377.1,-1828533.1
Born_et_al,669186.7,-1828385.5
Born_et_al,667971.4,-1828299.9
Born_et_al,666730.0,-1828272.2
Born_et_al,666730.0,-1828272.2
Born_et_al,662824.0,-1828927.8
Born_et_al,658884.0,-1829262.6
Born_et_al,654921.0,-1829378.5
Born_et_al,650946.0,-1829377.5
Born_et_al,646970.0,-1829361.5
Born_et_al,643004.0,-1829432.5
Born_et_al,639059.0,-1829692.3
Born_et_al,635145.9,-1830243.0
Born_et_al,631275.9,-1831186.3
Born_et_al,631275.9,-1831186.3
Born_et_al,630502.7,-1831384.7
Born_et_al,629722.6,-1831577.1
Born_et_al,628937.4,-1831766.5
Born_et_al,628149.3,-1831955.8
Born_et_al,627360.2,-1832148.2
Born_et_al,626572.0,-1832346.6
Born_et_al,625786.9,-1832554.0
Born_et_al,625006.7,-1832773.3
Born_et_al,624233.6,-1833007.7
Born_et_al,624233.6,-1833007.7
Born_et_al,623428.3,-1833210.4
Born_et_al,622630.0,-1833415.1
Born_et_al,621836.7,-1833623.8
Born_et_al,621046.4,-1833838.5
Born_et_al,620257.1,-1834061.2
Born_et_al,619466.8,-1834293.8
Born_et_al,618673.5,-1834538.5
Born_et_al,617875.2,-1834797.2
Born_et_al,617069.9,-1835071.8
Born_et_al,617069.9,-1835071.8
Born_et_al,613900.4,-1835940.9
Born_et_al,610645.9,-1836520.2
Born_et_al,607338.4,-1836924.6
Born_et_al,604010.0,-1837269.1
Born_et_al,600692.6,-1837668.5
Born_et_al,597418.1,-1838237.8
Born_et_al,594218.6,-1839091.9
Born_et_al,591126.0,-1840345.8
Born_et_al,588172.3,-1842114.3
Born_et_al,588172.3,-1842114.3
Born_et_al,588172.3,-1841709.4
Born_et_al,588172.3,-1841303.5
Born_et_al,588172.3,-1840895.6
Born_et_al,588172.3,-1840484.7
Born_et_al,588172.3,-1840069.8
Born_et_al,588172.3,-1839649.9
Born_et_al,588172.3,-1839224.0
Born_et_al,588172.3,-1838791.1
Born_et_al,588172.3,-1838350.2
Born_et_al,588172.3,-1838350.2
Born_et_al,589968.8,-1837937.1
Born_et_al,592021.1,-1837806.9
Born_et_al,594180.3,-1837801.6
Born_et_al,596297.5,-1837763.3
Born_et_al,598223.9,-1837534.1
Born_et_al,599810.5,-1836956.1
Born_et_al,600908.4,-1835871.5
Born_et_al,601368.8,-1834122.3
Born_et_al,601042.7,-1831550.6
Born_et_al,601042.7,-1831550.6
Born_et_al,600141.9,-1829558.1
Born_et_al,598720.6,-1828265.1
Born_et_al,596878.5,-1827534.7
Born_et_al,594715.6,-1827230.1
Born_et_al,592331.8,-1827214.2
Born_et_al,589827.2,-1827350.3
Born_et_al,587301.6,-1827501.4
Born_et_al,584854.9,-1827530.5
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582587.1,-1827300.9
Born_et_al,582065.1,-1827300.9
Born_et_al,581550.1,-1827300.9
Born_et_al,581040.1,-1827300.9
Born_et_al,580533.1,-1827300.9
Born_et_al,580027.1,-1827300.9
Born_et_al,579520.1,-1827300.9
Born_et_al,579010.1,-1827300.9
Born_et_al,578495.1,-1827300.9
Born_et_al,577973.2,-1827300.9
Born_et_al,577973.2,-1827300.9
Born_et_al,575703.0,-1824872.6
Born_et_al,574247.3,-1822445.3
Born_et_al,573503.2,-1820020.1
Born_et_al,573367.6,-1817597.8
Born_et_al,573737.7,-1815179.5
Born_et_al,574510.5,-1812766.3
Born_et_al,575583.1,-1810359.0
Born_et_al,576852.6,-1807958.7
Born_et_al,578216.0,-1805566.4
Born_et_al,578216.0,-1805566.4
Born_et_al,577973.3,-1804356.4
Born_et_al,577731.6,-1803153.3
Born_et_al,577492.0,-1801955.3
Born_et_al,577255.3,-1800760.2
Born_et_al,577022.6,-1799566.1
Born_et_al,576794.9,-1798371.1
Born_et_al,576573.3,-1797173.0
Born_et_al,576358.6,-1795970.0
Born_et_al,576151.9,-1794759.9
Born_et_al,576151.9,-1794759.9
Born_et_al,576372.6,-1794233.6
Born_et_al,576550.3,-1793706.3
Born_et_al,576687.0,-1793176.9
Born_et_al,576784.8,-1792644.6
Born_et_al,576845.6,-1792108.3
Born_et_al,576871.4,-1791567.0
Born_et_al,576864.2,-1791019.7
Born_et_al,576826.1,-1790465.3
Born_et_al,576759.0,-1789903.0
Born_et_al,576759.0,-1789903.0
Born_et_al,576759.0,-1789894.7
Born_et_al,576759.0,-1789872.4
Born_et_al,576759.0,-1789840.1
Born_et_al,576759.0,-1789801.8
Born_et_al,576759.0,-1789761.5
Born_et_al,576759.0,-1789723.2
Born_et_al,576759.0,-1789690.8
Born_et_al,576759.0,-1789668.5
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576759.0,-1789660.2
Born_et_al,576799.4,-1788441.8
Born_et_al,576839.9,-1787216.4
Born_et_al,576880.4,-1785986.1
Born_et_al,576920.9,-1784752.7
Born_et_al,576961.3,-1783518.3
Born_et_al,577001.8,-1782285.0
Born_et_al,577042.3,-1781054.6
Born_et_al,577082.8,-1779829.2
Born_et_al,577123.2,-1778610.8
Born_et_al,577123.2,-1778610.8
Born_et_al,576876.2,-1778610.8
Born_et_al,576622.2,-1778610.8
Born_et_al,576363.2,-1778610.8
Born_et_al,576101.2,-1778610.8
Born_et_al,575838.3,-1778610.8
Born_et_al,575576.3,-1778610.8
Born_et_al,575317.3,-1778610.8
Born_et_al,575063.3,-1778610.8
Born_et_al,574816.3,-1778610.8
Born_et_al,574816.3,-1778610.8
Born_et_al,575786.6,-1776125.3
Born_et_al,576876.9,-1773674.7
Born_et_al,578027.1,-1771240.1
Born_et_al,579177.3,-1768802.5
Born_et_al,580267.6,-1766342.9
Born_et_al,581238.0,-1763842.4
Born_et_al,582028.4,-1761281.9
Born_et_al,582579.1,-1758642.4
Born_et_al,582829.9,-1755905.0
Born_et_al,582829.9,-1755905.0
Born_et_al,582821.2,-1755298.1
Born_et_al,582796.6,-1754692.2
Born_et_al,582757.9,-1754088.2
Born_et_al,582707.3,-1753487.3
Born_et_al,582646.7,-1752890.3
Born_et_al,582578.1,-1752298.4
Born_et_al,582503.4,-1751712.4
Born_et_al,582424.8,-1751133.5
Born_et_al,582344.2,-1750562.5
Born_et_al,582344.2,-1750562.5
Born_et_al,579915.5,-1748048.8
Born_et_al,578348.2,-1745383.2
Born_et_al,577478.5,-1742593.6
Born_et_al,577142.4,-1739708.2
Born_et_al,577176.0,-1736754.8
Born_et_al,577415.5,-1733761.4
Born_et_al,577697.0,-1730756.0
Born_et_al,577856.6,-1727766.6
Born_et_al,577730.3,-1724821.1
Born_et_al,577730.3,-1724821.1
Born_et_al,576313.8,-1724622.9
Born_et_al,574897.2,-1724431.7
Born_et_al,573480.7,-1724245.5
Born_et_al,572064.1,-1724062.3
Born_et_al,570647.6,-1723880.1
Born_et_al,569231.0,-1723696.9
Born_et_al,567814.5,-1723510.6
Born_et_al,566397.9,-1723319.4
Born_et_al,564981.4,-1723121.2
Born_et_al,564981.4,-1723121.2
Born_et_al,563443.4,-1722671.9
Born_et_al,561905.4,-1722215.5
Born_et_al,560367.5,-1721754.1
Born_et_al,558829.5,-1721289.8
Born_et_al,557291.5,-1720824.4
Born_et_al,555753.6,-1720360.0
Born_et_al,554215.6,-1719898.7
Born_et_al,552677.6,-1719442.3
Born_et_al,551139.7,-1718992.9
Born_et_al,551139.7,-1718992.9
Born_et_al,551140.0,-1718673.3
Born_et_al,551142.3,-1718360.6
Born_et_al,551148.7,-1718053.0
Born_et_al,551161.0,-1717748.4
Born_et_al,551181.3,-1717444.7
Born_et_al,551211.6,-1717140.1
Born_et_al,551253.9,-1716832.5
Born_et_al,551310.2,-1716519.8
Born_et_al,551382.5,-1716200.2
Born_et_al,551382.5,-1716200.2
Born_et_al,550895.2,-1714241.6
Born_et_al,550271.9,-1712323.1
Born_et_al,549556.7,-1710430.4
Born_et_al,548793.6,-1708549.8
Born_et_al,548026.4,-1706667.2
Born_et_al,547299.3,-1704768.6
Born_et_al,546656.0,-1702840.0
Born_et_al,546140.7,-1700867.5
Born_et_al,545797.3,-1698836.9
Born_et_al,545797.3,-1698836.9
Born_et_al,546954.7,-1698982.2
Born_et_al,548068.1,-1699000.5
Born_et_al,549120.5,-1698872.9
Born_et_al,550095.0,-1698580.4
Born_et_al,550974.6,-1698104.1
Born_et_al,551742.3,-1697424.9
Born_et_al,552381.0,-1696523.8
Born_et_al,552873.8,-1695381.8
Born_et_al,553203.8,-1693980.1
Born_et_al,553203.8,-1693980.1
Born_et_al,553460.3,-1691615.6
Born_et_al,553295.1,-1689814.8
Born_et_al,552763.1,-1688502.6
Born_et_al,551919.3,-1687604.2
Born_et_al,550818.7,-1687044.6
Born_et_al,549516.3,-1686748.8
Born_et_al,548066.9,-1686641.8
Born_et_al,546525.6,-1686648.8
Born_et_al,544947.3,-1686694.8
Born_et_al,544947.3,-1686694.8
Born_et_al,544947.3,-1686573.4
Born_et_al,544947.3,-1686451.9
Born_et_al,544947.3,-1686330.5
Born_et_al,544947.3,-1686209.1
Born_et_al,544947.3,-1686087.7
Born_et_al,544947.3,-1685966.3
Born_et_al,544947.3,-1685844.8
Born_et_al,544947.3,-1685723.4
Born_et_al,544947.3,-1685602.0
Born_et_al,544947.3,-1685602.0
Born_et_al,544813.6,-1683948.1
Born_et_al,544641.9,-1682309.1
Born_et_al,544412.2,-1680691.2
Born_et_al,544104.6,-1679100.2
Born_et_al,543699.0,-1677542.2
Born_et_al,543175.5,-1676023.2
Born_et_al,542514.1,-1674549.1
Born_et_al,541694.9,-1673126.1
Born_et_al,540697.7,-1671760.0
Born_et_al,540697.7,-1671760.0
Born_et_al,540697.7,-1671759.8
Born_et_al,540697.7,-1671758.6
Born_et_al,540697.7,-1671755.5
Born_et_al,540697.7,-1671749.3
Born_et_al,540697.7,-1671739.1
Born_et_al,540697.7,-1671724.0
Born_et_al,540697.7,-1671702.8
Born_et_al,540697.7,-1671674.7
Born_et_al,540697.7,-1671638.5
Born_et_al,540697.7,-1671638.5
Born_et_al,540738.2,-1671647.0
Born_et_al,540778.6,-1671670.5
Born_et_al,540819.1,-1671706.0
Born_et_al,540859.6,-1671750.5
Born_et_al,540900.1,-1671800.9
Born_et_al,540940.5,-1671854.4
Born_et_al,540981.0,-1671907.9
Born_et_al,541021.5,-1671958.3
Born_et_al,541061.9,-1672002.8
Born_et_al,541061.9,-1672002.8
Born_et_al,542767.3,-1672398.0
Born_et_al,544406.7,-1672547.4
Born_et_al,545986.1,-1672475.0
Born_et_al,547511.6,-1672204.7
Born_et_al,548989.1,-1671760.5
Born_et_al,550424.7,-1671166.3
Born_et_al,551824.2,-1670446.3
Born_et_al,553193.8,-1669624.3
Born_et_al,554539.4,-1668724.4
Born_et_al,554539.4,-1668724.4
Born_et_al,555187.1,-1668283.4
Born_et_al,555835.9,-1667849.3
Born_et_al,556486.6,-1667420.3
Born_et_al,557140.3,-1666994.2
Born_et_al,557798.0,-1666569.1
Born_et_al,558460.8,-1666143.1
Born_et_al,559129.5,-1665714.0
Born_et_al,559805.2,-1665280.0
Born_et_al,560488.9,-1664838.9
Born_et_al,560488.9,-1664838.9
Born_et_al,561100.2,-1664838.9
Born_et_al,561718.4,-1664838.9
Born_et_al,562341.7,-1664838.9
Born_et_al,562967.9,-1664838.9
Born_et_al,563595.1,-1664838.9
Born_et_al,564221.4,-1664838.9
Born_et_al,564844.6,-1664838.9
Born_et_al,565462.9,-1664838.9
Born_et_al,566074.1,-1664838.9
Born_et_al,566074.1,-1664838.9
Born_et_al,566681.2,-1667015.0
Born_et_al,566631.8,-1669655.8
Born_et_al,566276.5,-1672515.5
Born_et_al,565966.2,-1675348.1
Born_et_al,566051.7,-1677908.0
Born_et_al,566883.6,-1679949.2
Born_et_al,568812.8,-1681225.8
Born_et_al,572190.0,-1681492.2
Born_et_al,577366.1,-1680502.3
Born_et_al,577366.1,-1680502.3
Born_et_al,577359.7,-1678240.4
Born_et_al,577297.4,-1676006.5
Born_et_al,577114.2,-1673828.6
Born_et_al,576745.1,-1671734.6
Born_et_al,576125.2,-1669752.6
Born_et_al,575189.5,-1667910.4
Born_et_al,573873.1,-1666236.2
Born_et_al,572110.9,-1664757.8
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,569838.1,-1663503.3
Born_et_al,570266.0,-1661722.9
Born_et_al,570823.8,-1660107.5
Born_et_al,571515.5,-1658659.9
Born_et_al,572345.1,-1657383.2
Born_et_al,573316.6,-1656280.5
Born_et_al,574434.0,-1655354.6
Born_et_al,575701.3,-1654608.5
Born_et_al,577122.6,-1654045.4
Born_et_al,578701.7,-1653668.2
Born_et_al,578701.7,-1653668.2
Born_et_al,579025.6,-1654032.2
Born_et_al,579350.6,-1654395.3
Born_et_al,579677.5,-1654756.4
Born_et_al,580007.5,-1655114.5
Born_et_al,580341.4,-1655468.7
Born_et_al,580680.3,-1655817.8
Born_et_al,581025.3,-1656160.9
Born_et_al,581377.2,-1656497.0
Born_et_al,581737.1,-1656825.1
Born_et_al,581737.1,-1656825.1
Born_et_al,583069.9,-1657675.6
Born_et_al,584403.7,-1658493.0
Born_et_al,585748.4,-1659226.6
Born_et_al,587114.2,-1659825.2
Born_et_al,588510.9,-1660237.9
Born_et_al,589948.6,-1660413.8
Born_et_al,591437.3,-1660301.9
Born_et_al,592986.9,-1659851.2
Born_et_al,594607.5,-1659010.7
Born_et_al,594607.5,-1659010.7
Born_et_al,594557.0,-1656797.0
Born_et_al,594806.3,-1654846.1
Born_et_al,595349.5,-1653151.0
Born_et_al,596180.4,-1651704.8
Born_et_al,597293.2,-1650500.4
Born_et_al,598681.7,-1649530.8
Born_et_al,600340.1,-1648789.1
Born_et_al,602262.3,-1648268.3
Born_et_al,604442.4,-1647961.3
Born_et_al,604442.4,-1647961.3
Born_et_al,602665.7,-1646787.8
Born_et_al,600896.1,-1645615.2
Born_et_al,599131.4,-1644444.6
Born_et_al,597369.8,-1643277.0
Born_et_al,595609.1,-1642113.5
Born_et_al,593847.5,-1640954.9
Born_et_al,592082.8,-1639802.3
Born_et_al,590313.2,-1638656.7
Born_et_al,588536.6,-1637519.1
Born_et_al,588536.6,-1637519.1
Born_et_al,596066.5,-1636570.0
Born_et_al,601018.2,-1634369.8
Born_et_al,603889.2,-1631160.2
Born_et_al,605177.4,-1627183.1
Born_et_al,605380.2,-1622680.4
Born_et_al,604995.5,-1617893.8
Born_et_al,604520.8,-1613065.2
Born_et_al,604453.9,-1608436.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,605292.3,-1604249.6
Born_et_al,607541.1,-1603461.1
Born_et_al,609549.1,-1603410.2
Born_et_al,611372.2,-1603925.8
Born_et_al,613066.4,-1604837.2
Born_et_al,614687.7,-1605973.5
Born_et_al,616291.9,-1607163.7
Born_et_al,617935.1,-1608237.0
Born_et_al,619673.3,-1609022.5
Born_et_al,621562.4,-1609349.3
Born_et_al,621562.4,-1609349.3
Born_et_al,619785.6,-1604651.0
Born_et_al,617439.1,-1601533.7
Born_et_al,614628.0,-1599707.5
Born_et_al,611457.2,-1598882.7
Born_et_al,608031.5,-1598769.5
Born_et_al,604455.9,-1599078.0
Born_et_al,600835.3,-1599518.3
Born_et_al,597274.7,-1599800.8
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,593879.0,-1599635.6
Born_et_al,592432.9,-1599524.3
Born_et_al,591016.9,-1599339.1
Born_et_al,589642.8,-1599060.0
Born_et_al,588322.7,-1598666.9
Born_et_al,587068.5,-1598139.9
Born_et_al,585892.3,-1597459.0
Born_et_al,584806.1,-1596604.2
Born_et_al,583821.7,-1595555.6
Born_et_al,582951.3,-1594293.1
Born_et_al,582951.3,-1594293.1
Born_et_al,588263.7,-1593970.8
Born_et_al,593030.5,-1593273.7
Born_et_al,597251.7,-1592201.9
Born_et_al,600927.2,-1590755.3
Born_et_al,604057.1,-1588934.0
Born_et_al,606641.4,-1586737.9
Born_et_al,608680.0,-1584167.1
Born_et_al,610173.0,-1581221.5
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,611120.4,-1577901.2
Born_et_al,610877.6,-1576682.8
Born_et_al,610634.7,-1575457.4
Born_et_al,610391.9,-1574227.0
Born_et_al,610149.0,-1572993.7
Born_et_al,609906.2,-1571759.3
Born_et_al,609663.4,-1570525.9
Born_et_al,609420.5,-1569295.6
Born_et_al,609177.7,-1568070.2
Born_et_al,608934.9,-1566851.8
Born_et_al,608934.9,-1566851.8
Born_et_al,608934.9,-1566851.8
Born_et_al,608934.9,-1566851.8
Born_et_al,608934.9,-1566851.8
Born_et_al,608934.9,-1566851.8
