x_m,y_m
-182456.6,-1092911.3
-182596.4,-1092556.8
-182741.3,-1092188.5
-182880.5,-1091833.7
-183024.6,-1091465.1
-183168.4,-1091096.4
-183306.5,-1090741.1
-183450.2,-1090372.4
-183589.0,-1090017.4
-183733.6,-1089649.0
-183873.0,-1089294.3
-184017.8,-1088926.0
-184157.1,-1088571.2
-184301.5,-1088202.7
-184445.6,-1087834.1
-184584.2,-1087479.1
-184728.2,-1087110.4
-184867.0,-1086755.5
-185011.2,-1086386.9
-185149.9,-1086032.0
-185294.1,-1085663.5
-185433.4,-1085308.7
-185578.4,-1084940.5
-185723.7,-1084572.4
-185863.9,-1084218.0
-186009.7,-1083850.1
-186150.2,-1083495.8
-186296.0,-1083127.9
-186435.7,-1082773.3
-186580.3,-1082405.0
-204052.9,-1054880.4
-204331.0,-1054972.9
-204609.1,-1055065.6
-204873.1,-1055153.8
-205151.1,-1055246.7
-159991.0,-1088413.9
-160267.2,-1088512.0
-160543.1,-1088610.8
-160833.0,-1088714.1
-161109.3,-1088812.0
-161385.8,-1088909.2
-161662.9,-1089004.7
-161940.5,-1089099.0
-162218.3,-1089192.4
-162496.5,-1089285.0
-162774.7,-1089377.3
-163053.2,-1089468.8
-163331.8,-1089559.9
-163624.4,-1089655.6
-163902.6,-1089748.0
-164180.3,-1089841.8
-164457.6,-1089936.9
-164734.2,-1090033.8
-165010.4,-1090132.1
-165286.2,-1090231.3
-165561.9,-1090330.9
436730.2,-1100822.3
436852.0,-1101089.4
436973.5,-1101356.7
437094.6,-1101624.1
437215.6,-1101891.5
437336.1,-1102159.2
437456.5,-1102426.9
437576.8,-1102694.7
438142.5,-1103953.1
438263.4,-1104220.6
438384.6,-1104488.0
438506.2,-1104755.1
438628.2,-1105022.2
438750.4,-1105289.1
438866.8,-1105542.5
438989.5,-1105809.2
439112.4,-1106075.8
439235.1,-1106342.5
439357.9,-1106609.2
439480.5,-1106875.9
439602.8,-1107142.8
439724.5,-1107410.0
-186221.5,-1081200.4
-186499.4,-1081293.7
-186763.7,-1081381.4
-187042.1,-1081473.2
-187320.5,-1081564.9
-187599.0,-1081656.6
-187877.4,-1081748.4
-188141.7,-1081835.9
-188419.7,-1081928.9
-188697.1,-1082023.6
-188974.0,-1082119.8
-189237.0,-1082211.6
-189513.6,-1082308.5
-189790.4,-1082405.2
-190067.2,-1082501.7
-190343.8,-1082598.7
-190606.9,-1082690.0
293571.0,-1273894.6
293277.7,-1273915.3
292999.0,-1273934.4
292705.6,-1273954.4
292412.2,-1273974.5
292118.9,-1273995.7
291825.7,-1274018.0
291532.5,-1274040.0
291239.2,-1274061.0
290945.9,-1274081.0
290652.5,-1274101.1
290359.2,-1274122.5
290066.0,-1274145.4
289787.5,-1274167.3
289494.3,-1274189.6
289201.0,-1274211.1
288907.8,-1274232.7
288614.5,-1274254.7
288321.3,-1274277.4
288028.2,-1274300.6
287735.1,-1274324.6
287442.1,-1274348.7
287148.9,-1274372.1
286870.4,-1274393.8
286577.3,-1274416.9
286284.2,-1274440.6
285991.1,-1274464.4
285698.0,-1274488.1
285404.9,-1274511.5
285111.7,-1274534.7
284818.6,-1274558.1
284525.6,-1274582.8
284232.8,-1274609.8
283940.2,-1274639.5
283662.5,-1274669.8
283370.3,-1274703.0
283078.3,-1274737.6
282786.4,-1274773.1
282494.5,-1274808.9
282202.5,-1274843.7
281910.3,-1274876.6
281617.8,-1274906.8
281325.0,-1274933.6
281031.9,-1274957.9
280753.4,-1274979.1
280460.0,-1274999.6
280166.6,-1275019.0
279873.2,-1275038.3
279579.8,-1275058.3
279286.5,-1275079.2
278993.2,-1275099.9
278699.8,-1275119.5
278406.3,-1275138.3
278112.9,-1275156.7
277819.4,-1275175.2
277540.6,-1275193.2
324038.6,-1270578.1
323762.5,-1270679.2
323486.5,-1270780.6
323210.5,-1270882.2
322948.4,-1270978.9
322672.7,-1271081.4
322397.3,-1271184.7
322122.4,-1271289.1
321848.0,-1271394.9
321573.9,-1271501.5
321299.9,-1271608.4
321025.9,-1271715.2
320751.9,-1271822.1
320478.0,-1271929.1
320217.9,-1272031.0
319944.1,-1272138.5
319669.9,-1272244.9
319394.8,-1272348.9
319118.5,-1272449.4
318840.6,-1272545.6
318561.3,-1272637.8
318281.3,-1272727.8
318001.2,-1272817.4
317721.0,-1272906.9
317440.9,-1272996.4
317174.9,-1273081.6
316894.9,-1273171.4
316614.8,-1273260.9
316334.2,-1273348.8
316052.4,-1273432.9
315768.8,-1273510.6
315482.6,-1273578.3
315193.7,-1273633.7
314902.8,-1273677.0
314610.6,-1273709.8
314332.2,-1273733.5
184503.4,-1204493.2
184232.5,-1204606.6
183961.9,-1204720.6
183691.4,-1204834.7
183420.6,-1204948.4
183149.3,-1205060.8
182890.9,-1205165.8
182617.9,-1205273.9
182343.8,-1205379.4
182068.9,-1205482.7
181793.4,-1205584.2
181517.3,-1205684.1
181240.8,-1205783.1
180964.2,-1205881.7
180687.8,-1205980.7
180411.8,-1206081.0
180136.5,-1206183.1
179862.0,-1206287.5
179588.5,-1206394.4
179315.9,-1206503.7
179044.1,-1206614.7
178772.6,-1206726.7
178501.5,-1206839.5
178230.5,-1206952.5
177959.3,-1207065.2
177687.6,-1207176.6
177415.2,-1207286.3
177155.7,-1207388.7
176881.7,-1207494.4
176607.0,-1207598.0
176331.6,-1207700.0
176055.7,-1207800.5
175779.4,-1207900.0
175503.0,-1207999.1
175226.6,-1208098.2
174950.5,-1208198.2
174675.0,-1208299.8
-126037.6,-1135470.7
-125928.3,-1135742.9
-125819.7,-1136015.4
-125717.4,-1136274.6
-125609.9,-1136547.5
-125502.2,-1136820.3
-125394.9,-1137093.3
-125293.1,-1137352.7
-125185.7,-1137625.6
-125078.1,-1137898.5
-124975.8,-1138157.7
-135329.4,-1112024.5
-135220.6,-1112296.8
-135117.6,-1112555.6
-135009.5,-1112828.2
-134901.4,-1113100.8
-134799.0,-1113359.8
-134691.2,-1113632.5
-134583.6,-1113905.3
-134475.9,-1114178.0
-134373.1,-1114436.9
-134265.2,-1114709.6
-134158.1,-1114982.5
-134056.3,-1115241.8
-133949.1,-1115514.8
-133841.8,-1115787.7
-133739.7,-1116046.9
-133631.9,-1116319.5
-133523.7,-1116592.1
-133415.1,-1116864.5
-133311.3,-1117123.0
-133202.0,-1117395.1
-133092.5,-1117667.2
-132988.4,-1117925.5
-132879.5,-1118197.8
-127680.8,-1131310.8
-127573.0,-1131583.6
-127470.7,-1131842.7
-127362.9,-1132115.5
-127255.3,-1132388.4
-127153.2,-1132647.6
-127046.2,-1132920.7
-126939.4,-1133193.8
-126832.3,-1133466.8
-126730.1,-1133726.0
-126622.5,-1133998.8
-126514.4,-1134271.5
-126411.7,-1134530.5
-126303.6,-1134803.2
-126195.4,-1135075.8
-126092.1,-1135334.6
-125982.9,-1135606.8
-125873.9,-1135879.1
-125765.8,-1136151.8
-125663.6,-1136411.0
-125556.0,-1136683.9
-125448.4,-1136956.7
-125346.7,-1137216.2
-125239.4,-1137489.2
-125131.9,-1137762.1
-125024.3,-1138034.9
-124921.9,-1138294.1
-124814.3,-1138567.0
-124706.1,-1138839.6
-124603.3,-1139098.6
-124495.0,-1139371.2
-124386.4,-1139643.7
-124282.7,-1139902.3
-124173.0,-1140174.4
-124063.5,-1140446.5
-123953.7,-1140718.5
-123849.7,-1140977.0
-123740.7,-1141249.4
-123632.3,-1141521.9
-123529.7,-1141780.9
-123422.4,-1142053.9
-130912.2,-1123174.8
-130810.2,-1123434.1
-130702.8,-1123707.0
-130595.3,-1123979.8
-130487.6,-1124252.6
-130385.1,-1124511.6
-130276.3,-1124784.0
-130167.2,-1125056.2
-130063.4,-1125314.8
-129954.4,-1125587.0
-129845.5,-1125859.3
-129736.7,-1126131.6
-129633.6,-1126390.5
-129525.9,-1126663.3
-129418.7,-1126936.3
-129317.1,-1127195.7
-129210.0,-1127468.7
-129102.3,-1127741.5
-128999.9,-1128000.6
-128892.0,-1128273.3
-128783.9,-1128545.9
-128675.5,-1128818.4
-128571.7,-1129077.0
-128462.2,-1129349.0
-128352.6,-1129621.1
-128248.9,-1129879.7
-128140.1,-1130152.0
-128031.5,-1130424.5
-122556.3,-1135584.1
-122741.6,-1135702.6
-122927.0,-1135821.1
-123124.7,-1135947.4
-123310.2,-1136065.8
-123495.7,-1136184.0
-123693.6,-1136310.0
-123879.2,-1136428.1
-124064.9,-1136545.9
-124263.1,-1136671.6
-124448.8,-1136789.5
-124634.4,-1136907.6
-124832.4,-1137033.6
-125017.8,-1137151.9
-125215.3,-1137278.3
-125400.5,-1137396.8
-125585.6,-1137515.7
-125782.9,-1137642.6
-125967.9,-1137761.6
-126153.0,-1137880.4
-126350.4,-1138007.1
-126535.6,-1138125.9
-126720.6,-1138244.9
-126918.1,-1138371.6
-127103.4,-1138490.2
-127289.0,-1138608.3
-127487.1,-1138734.0
-127672.8,-1138851.8
-127858.6,-1138969.6
-128056.7,-1139095.3
-226582.2,-1038164.9
-226317.4,-1038079.3
-226052.6,-1037993.3
-225788.0,-1037907.0
-225537.4,-1037825.1
-225272.8,-1037738.6
-231289.3,-1039703.0
-231038.8,-1039620.5
-230774.4,-1039533.6
-230509.8,-1039446.8
-230245.3,-1039360.1
-229994.7,-1039277.9
-229730.2,-1039191.1
-229465.8,-1039104.2
-229215.3,-1039021.8
-228950.9,-1038934.8
-242570.4,-1043390.7
-242319.7,-1043308.7
-242055.0,-1043222.3
-241790.3,-1043136.1
-241539.4,-1043054.6
-241274.6,-1042968.8
-241009.7,-1042883.0
-240744.9,-1042797.1
-240494.0,-1042715.8
-240229.2,-1042629.9
-239964.3,-1042544.2
-239713.4,-1042462.9
-239448.5,-1042377.1
-254531.8,-1047309.8
-254267.4,-1047222.4
-254017.0,-1047139.6
-253752.7,-1047052.3
-253488.3,-1046965.1
-253237.8,-1046882.7
-252820.2,-1046745.4
-252555.8,-1046658.5
-252291.2,-1046571.7
-252040.6,-1046489.6
-251775.9,-1046403.3
-153971.2,-1110614.5
-153693.8,-1110519.3
-153430.5,-1110428.4
-153153.5,-1110332.1
-152876.4,-1110236.4
-152598.9,-1110141.9
-152321.3,-1110047.4
-152043.9,-1109952.7
-151766.3,-1109858.2
-151488.8,-1109763.6
-151211.7,-1109667.8
-150935.2,-1109570.3
-150658.8,-1109472.3
-150382.5,-1109374.1
-161478.2,-1113220.3
-161200.8,-1113125.2
-160923.3,-1113030.2
-160645.7,-1112935.8
-160367.9,-1112841.8
-160090.4,-1112747.1
-159827.1,-1112656.2
-159550.2,-1112559.4
-159273.6,-1112462.2
-158996.8,-1112365.4
-158720.0,-1112268.7
-158443.3,-1112171.5
-158166.8,-1112073.9
-157890.1,-1111976.8
-157613.0,-1111880.8
-145147.8,-1107556.8
-144871.2,-1107459.5
-144594.5,-1107362.5
-144317.6,-1107266.0
-144040.9,-1107168.9
-143764.4,-1107071.4
-143501.6,-1106979.1
-143224.5,-1106883.3
-142946.9,-1106788.9
-142669.1,-1106695.1
-142391.5,-1106600.6
-140050.5,-1105789.7
-139774.0,-1105692.1
-139497.5,-1105594.5
-139220.9,-1105497.3
-138944.4,-1105399.8
-138667.7,-1105302.9
-138390.7,-1105206.8
-138113.5,-1105111.4
-137835.6,-1105017.8
-137557.4,-1104925.2
-137279.6,-1104831.4
-137002.3,-1104736.3
-136738.9,-1104645.8
-136461.6,-1104550.6
-136184.4,-1104455.1
-135907.6,-1104358.4
-135631.1,-1104260.8
-156132.2,-1111362.7
-155855.5,-1111265.9
-155579.0,-1111168.3
-155302.3,-1111071.5
-155024.9,-1110976.5
-154747.6,-1110881.3
-154470.3,-1110785.9
-154193.1,-1110690.6
-153915.7,-1110595.5
-205144.3,-1060268.9
-205000.0,-1060637.3
-204854.6,-1061005.3
-204703.1,-1061386.6
-204556.5,-1061754.1
-204404.6,-1062135.2
-204258.6,-1062502.9
-204113.2,-1062870.9
-203963.1,-1063252.7
-203818.9,-1063621.1
-203669.8,-1064003.4
-203526.6,-1064372.3
-203384.3,-1064741.5
-203236.8,-1065124.4
-203094.5,-1065493.6
-202946.1,-1065876.1
-202801.7,-1066244.5
-202650.6,-1066625.9
-202504.5,-1066993.6
-202358.7,-1067361.4
-202207.9,-1067743.1
-202063.2,-1068111.3
-141582.3,-1155127.3
-141306.4,-1155027.5
-141030.4,-1154928.2
-140754.2,-1154829.1
-140478.1,-1154729.8
-140202.0,-1154630.6
-139925.6,-1154532.1
-139649.0,-1154434.1
-139372.3,-1154336.7
-139095.6,-1154239.1
-138818.9,-1154141.5
-138542.1,-1154044.2
-138265.4,-1153946.7
-138002.6,-1153853.8
-137725.9,-1153756.3
-137449.3,-1153658.4
-137172.8,-1153560.3
-136896.3,-1153462.3
-136619.8,-1153364.0
-136329.7,-1153260.3
-136053.5,-1153161.4
-135777.3,-1153062.5
-135501.3,-1152963.1
-135225.5,-1152863.1
395121.3,-1162021.1
395408.0,-1161907.3
395681.0,-1161799.1
395954.1,-1161691.0
396227.2,-1161582.8
396500.3,-1161474.5
396773.3,-1161366.2
397059.9,-1161252.2
397332.7,-1161143.5
397605.6,-1161034.8
397878.5,-1160926.2
398151.4,-1160817.7
398424.5,-1160709.6
398711.4,-1160596.2
398984.5,-1160488.3
399257.7,-1160380.3
399530.9,-1160272.5
399804.2,-1160164.8
400077.4,-1160056.9
400364.0,-1159943.2
400636.9,-1159834.5
400909.8,-1159725.8
401182.7,-1159617.1
401455.6,-1159508.6
401728.6,-1159400.2
402015.3,-1159286.7
402288.3,-1159178.4
402561.4,-1159070.1
402834.4,-1158961.7
403107.4,-1158853.4
403380.3,-1158744.7
403666.6,-1158630.0
403939.2,-1158520.7
404211.8,-1158411.3
404484.6,-1158302.4
404757.6,-1158193.9
405030.5,-1158085.4
405317.1,-1157971.4
405590.1,-1157863.1
385907.6,-1165679.0
386180.3,-1165569.9
386453.0,-1165460.8
386725.7,-1165351.6
387012.1,-1165237.3
387285.0,-1165128.5
387557.8,-1165019.7
387830.7,-1164911.0
388103.5,-1164802.2
388376.4,-1164693.5
388663.0,-1164579.6
388936.0,-1164471.3
389209.1,-1164363.1
389482.2,-1164255.2
389755.4,-1164147.3
390028.8,-1164039.7
390315.8,-1163926.8
390589.2,-1163819.5
390862.6,-1163712.1
391136.0,-1163604.8
391409.4,-1163497.5
391682.8,-1163389.9
391969.6,-1163276.7
392242.7,-1163168.5
392515.6,-1163059.9
495454.4,-1559196.4
495183.4,-1559315.2
494912.6,-1559434.3
494641.9,-1559553.9
494371.9,-1559674.9
494116.3,-1559791.8
493847.8,-1559916.1
493579.3,-1560040.4
493310.8,-1560164.8
493042.0,-1560288.4
492772.5,-1560410.5
492502.4,-1560531.3
492232.4,-1560652.4
491962.6,-1560773.7
491692.9,-1560895.4
491436.8,-1561011.5
491167.5,-1561133.9
490897.8,-1561255.7
490627.8,-1561376.6
490357.2,-1561496.1
490086.4,-1561615.4
489815.8,-1561734.9
489545.5,-1561855.4
489275.4,-1561976.1
489004.9,-1562095.9
488734.0,-1562215.1
488476.4,-1562327.6
488204.9,-1562445.3
487933.3,-1562562.5
487661.9,-1562680.3
487390.6,-1562798.4
487118.6,-1562915.0
486846.0,-1563030.0
486573.0,-1563144.0
486300.0,-1563258.1
486027.0,-1563372.2
485767.7,-1563480.8
485495.0,-1563595.6
485223.2,-1563712.5
484952.3,-1563831.5
470467.7,-1570250.6
470198.1,-1570372.6
469928.9,-1570495.4
469659.4,-1570617.4
473221.4,-1569052.5
472948.8,-1569167.5
472675.9,-1569281.8
472402.9,-1569395.9
472130.7,-1569511.9
471859.6,-1569630.4
511143.8,-1551874.8
510899.5,-1552013.9
510641.3,-1552158.2
510381.1,-1552298.9
510119.6,-1552436.8
509856.8,-1552572.2
509593.0,-1552705.4
509327.5,-1552835.7
509061.9,-1552965.9
508798.0,-1553099.5
508534.6,-1553234.0
508284.4,-1553362.0
508021.0,-1553496.8
507757.8,-1553631.8
507494.6,-1553767.0
507231.6,-1553902.4
506968.5,-1554037.8
506704.0,-1554170.3
506438.4,-1554300.7
506171.5,-1554428.3
505904.7,-1554556.2
505638.8,-1554686.1
505386.1,-1554809.1
-239933.0,-1027006.7
-239528.6,-1027271.3
-239161.5,-1027562.5
-238822.5,-1027886.0
-238503.0,-1028248.5
-238213.3,-1028617.1
-237927.6,-1029007.1
-237654.5,-1029388.1
-237384.5,-1029771.4
-237114.7,-1030172.6
-236855.9,-1030563.5
-236586.3,-1030964.8
-236319.4,-1031350.2
-236051.1,-1031734.7
-235785.2,-1032138.5
-235550.0,-1032544.0
-235339.1,-1032978.9
-235165.6,-1033414.4
-235016.9,-1033859.0
-234880.4,-1034322.9
-168850.3,-1156620.2
-169126.6,-1156718.9
-169402.2,-1156819.5
-169676.8,-1156922.9
-169936.7,-1157023.9
-170209.9,-1157131.0
-170483.4,-1157237.0
-170757.7,-1157341.2
-171033.0,-1157442.9
-171309.4,-1157541.3
-171586.9,-1157636.5
-171865.3,-1157729.2
-172144.2,-1157820.4
-172423.4,-1157910.7
-172688.8,-1157996.0
-172967.9,-1158086.7
-173246.5,-1158178.8
-173524.2,-1158273.6
-173800.8,-1158371.6
-175928.5,-1159174.4
-176204.6,-1159273.5
