t_s,lat,lon,elevacion_m,dist_acum_m,temp_aire_c
30,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
31,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
32,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
33,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
34,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
35,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
36,36.43201597966254,128.1621091067791,72.5999984741211,10.8,18.0
37,36.43201572820544,128.16210852004588,72.5999984741211,10.8,18.0
38,36.43201547674835,128.16211086697876,72.5999984741211,11.1,18.0
39,36.43201597966254,128.1621091067791,72.5999984741211,11.2,18.0
40,36.43201597966254,128.1621091067791,72.5999984741211,11.2,18.0
41,36.43201597966254,128.1621091067791,72.5999984741211,11.2,18.0
42,36.43201597966254,128.1621091067791,72.5999984741211,11.2,18.0
43,36.43201597966254,128.1621091067791,72.5999984741211,11.2,18.0
44,36.43201597966254,128.1621091067791,72.5999984741211,11.2,18.0
45,36.43201597966254,128.1621091067791,72.5999984741211,11.2,18.0
46,36.43201597966254,128.1621091067791,72.4000015258789,11.2,18.0
47,36.43201597966254,128.1621091067791,72.4000015258789,11.2,18.0
48,36.43201597966254,128.1621091067791,72.4000015258789,11.2,18.0
49,36.43201597966254,128.1621091067791,72.4000015258789,11.2,18.0
50,36.43201597966254,128.1621091067791,72.4000015258789,11.2,18.0
51,36.43201597966254,128.1621091067791,72.4000015258789,11.2,18.0
52,36.43201597966254,128.1621091067791,72.4000015258789,11.2,18.0
53,36.43202478066087,128.16211614757776,72.4000015258789,12.4,18.0
54,36.43201597966254,128.1621091067791,72.4000015258789,13.6,18.0
55,36.43201597966254,128.1621091067791,72.4000015258789,13.6,18.0
56,36.43201597966254,128.1621091067791,72.4000015258789,13.6,18.0
57,36.43201597966254,128.1621091067791,72.4000015258789,13.6,18.0
58,36.43201597966254,128.1621091067791,72.4000015258789,13.6,18.0
59,36.43201597966254,128.1621091067791,72.4000015258789,13.6,18.0
60,36.43201597966254,128.1621091067791,72.4000015258789,13.6,18.0
61,36.43201597966254,128.1621091067791,72.4000015258789,13.6,18.0
62,36.43202737905085,128.16211505793035,72.4000015258789,14.9,18.0
63,36.43201597966254,128.1621091067791,72.4000015258789,16.3,18.0
64,36.43202494829893,128.16211606375873,72.4000015258789,17.5,18.0
65,36.43201597966254,128.1621091067791,72.4000015258789,18.7,18.0
66,36.43201597966254,128.1621091067791,72.4000015258789,18.7,18.0
67,36.43202620558441,128.1621157284826,72.4000015258789,19.9,18.0
68,36.43201597966254,128.1621091067791,72.4000015258789,21.2,18.0
69,36.43201597966254,128.1621091067791,72.4000015258789,21.2,18.0
70,36.43201597966254,128.1621091067791,72.4000015258789,21.2,18.0
71,36.43201597966254,128.1621091067791,72.4000015258789,21.2,18.0
72,36.43201597966254,128.1621091067791,72.4000015258789,21.2,18.0
73,36.43201597966254,128.1621091067791,72.4000015258789,21.2,18.0
74,36.43201597966254,128.1621091067791,72.19999694824219,21.2,18.0
75,36.43201597966254,128.1621091067791,72.19999694824219,21.2,18.0
76,36.43201597966254,128.1621091067791,72.19999694824219,21.2,18.0
77,36.43202343955636,128.16211505793035,72.19999694824219,22.2,18.0
78,36.43202310428023,128.16211405210197,72.19999694824219,22.3,18.0
79,36.43202159553766,128.16211245954037,72.19999694824219,22.5,18.0
80,36.43202058970928,128.16211271099746,72.19999694824219,22.6,18.0
81,36.43202033825219,128.16211136989295,72.19999694824219,22.8,18.0
82,36.43201380036771,128.16210265271366,72.19999694824219,23.8,18.0
83,36.43201363272965,128.16210298798978,72.19999694824219,23.9,18.0
84,36.43201363272965,128.16210315562785,72.19999694824219,23.9,18.0
85,36.43201405182481,128.16210298798978,72.19999694824219,23.9,18.0
86,36.43201354891062,128.16210256889462,72.19999694824219,24.0,18.0
87,36.43201321363449,128.16210290417075,72.19999694824219,24.0,18.0
88,36.4320129621774,128.16210298798978,72.19999694824219,24.1,18.0
89,36.43201262690127,128.1621024850756,72.19999694824219,24.1,18.0
90,36.43201229162514,128.16210214979947,72.19999694824219,24.2,18.0
91,36.43201178871095,128.16210030578077,72.0,24.3,18.0
92,36.43200307153165,128.1620847992599,72.0,26.0,18.0
93,36.432005083188415,128.16208228468895,72.0,26.4,18.0
94,36.432010028511286,128.16207516007125,72.0,27.2,18.0
95,36.432012459263206,128.16207884810865,72.0,27.6,18.0
96,36.43201841041446,128.16207893192768,72.0,28.3,18.0
97,36.432026624679565,128.16207666881382,72.0,29.2,18.0
98,36.43203224055469,128.16207750700414,72.0,29.9,18.0
99,36.432037856429815,128.16207675263286,72.0,30.5,18.0
100,36.43204556778073,128.1620781775564,72.0,31.3,18.0
101,36.432053530588746,128.1620795186609,72.0,32.2,18.0
102,36.43206300213933,128.16207759082317,72.0,33.3,18.0
103,36.43207088112831,128.16207708790898,72.0,34.2,18.0
104,36.43208068795502,128.1620774231851,72.0,35.3,18.0
105,36.43209057860077,128.16207692027092,71.80000305175781,36.4,18.0
106,36.4321009721607,128.16207800991833,71.80000305175781,37.5,18.0
107,36.43211455084384,128.1620796024799,71.80000305175781,39.1,18.0
108,36.43212595023215,128.16208236850798,71.80000305175781,40.3,18.0
109,36.43213810399175,128.16208513453603,71.80000305175781,41.7,18.0
110,36.43214967101813,128.16208655945957,71.80000305175781,43.0,18.0
111,36.43215830437839,128.16208815202117,71.80000305175781,44.0,18.0
112,36.43216366879642,128.162087732926,71.80000305175781,44.6,18.0
113,36.432169284671545,128.1620861403644,71.80000305175781,45.2,19.0
114,36.4321786724031,128.1620861403644,71.80000305175781,46.3,18.0
115,36.43219116143882,128.1620868947357,71.80000305175781,47.7,18.0
116,36.43220574595034,128.16208790056407,71.80000305175781,49.3,18.0
117,36.432219659909606,128.1620887387544,71.80000305175781,50.8,18.0
118,36.43223156221211,128.16208974458277,71.80000305175781,52.2,18.0
119,36.43224614672363,128.16208949312568,71.80000305175781,53.8,18.0
120,36.43226249143481,128.16208991222084,71.80000305175781,55.6,18.0
121,36.43228495493531,128.16209225915372,71.80000305175781,58.1,18.0
122,36.43230674788356,128.16209410317242,71.5999984741211,60.5,18.0
123,36.432329043746,128.16209971904755,71.5999984741211,63.1,18.0
124,36.43235092051327,128.16210533492267,71.5999984741211,65.5,18.0
125,36.43237288109958,128.16210843622684,71.5999984741211,68.0,18.0
126,36.43239450640976,128.1621122919023,71.5999984741211,70.4,18.0
127,36.43241780810058,128.16211715340614,71.5999984741211,73.1,18.0
128,36.432442953810096,128.1621236074716,71.5999984741211,75.9,18.0
129,36.43246893770993,128.16213056445122,71.5999984741211,78.9,18.0
130,36.43249383196235,128.16213651560247,71.5999984741211,81.7,18.0
131,36.43251797184348,128.16214154474437,71.5999984741211,84.4,18.0
132,36.43254462629557,128.16214615479112,71.5999984741211,87.4,18.0
133,36.43257086165249,128.16215151920915,71.5999984741211,90.4,18.0
134,36.43259818665683,128.16215646453202,71.5999984741211,93.4,18.0
135,36.43262534402311,128.1621630024165,71.5999984741211,96.5,18.0
136,36.43265266902745,128.16216736100614,71.5999984741211,99.6,18.0
137,36.43268041312695,128.16216920502484,71.5999984741211,102.7,18.0
138,36.432707319036126,128.16217037849128,71.4000015258789,105.6,18.0
139,36.43273305147886,128.16216685809195,71.4000015258789,108.5,18.0
140,36.432756185531616,128.16216350533068,71.4000015258789,111.1,18.0
141,36.43277454189956,128.16215713508427,71.4000015258789,113.2,18.0
142,36.43279398791492,128.1621474120766,71.4000015258789,115.6,18.0
143,36.43281837925315,128.16213886253536,71.4000015258789,118.4,18.0
144,36.43284184858203,128.16212687641382,71.4000015258789,121.2,18.0
145,36.43286523409188,128.16211321391165,71.4000015258789,124.1,18.0
146,36.43288778141141,128.16209795884788,71.4000015258789,126.9,18.0
147,36.43291066400707,128.16208035685122,71.4000015258789,129.9,18.0
148,36.432933462783694,128.16205973736942,71.4000015258789,133.1,18.0
149,36.43295341171324,128.16203861497343,71.4000015258789,136.0,18.0
150,36.43297109752893,128.16201564855874,71.4000015258789,138.8,18.0
151,36.43298702314496,128.16199326887727,71.4000015258789,141.5,18.0
152,36.43300311639905,128.16196896135807,71.4000015258789,144.3,18.0
153,36.43302029930055,128.16193979233503,71.4000015258789,147.5,18.0
154,36.4330352190882,128.16191121004522,71.4000015258789,150.6,18.0
155,36.43304569646716,128.16188321448865,71.4000015258789,153.4,18.0
156,36.43305692821741,128.16185521893203,71.4000015258789,156.2,18.0
157,36.43306698650122,128.16182546317577,71.4000015258789,159.0,18.0
158,36.43307536840439,128.1617935281247,71.4000015258789,162.0,18.0
159,36.43308199010789,128.1617613416165,71.4000015258789,165.0,18.0
160,36.433086935430765,128.16172840073705,71.19999694824219,168.0,18.0
161,36.43309070728719,128.16169504076242,71.19999694824219,171.0,18.0
162,36.433091294020414,128.16166335716844,71.19999694824219,173.9,18.0
163,36.433090204373,128.1616320926696,71.19999694824219,176.7,18.0
164,36.43308903090656,128.16160099580884,71.19999694824219,179.4,18.0
165,36.433086432516575,128.1615731678903,71.19999694824219,182.0,18.0
166,36.43308232538402,128.1615472678095,71.19999694824219,184.3,18.0
167,36.43307813443244,128.16151902079582,71.19999694824219,186.9,18.0
168,36.43307344056666,128.16148473881185,71.19999694824219,190.0,18.0
169,36.43306849524379,128.1614499539137,71.19999694824219,193.2,18.0
170,36.43306396901608,128.16141550429165,71.19999694824219,196.3,18.0
171,36.43306095153093,128.16138289868832,71.19999694824219,199.2,18.0
172,36.43305969424546,128.16134970635176,71.19999694824219,202.2,18.0
173,36.43306002952159,128.16131894476712,71.19999694824219,204.9,18.0
174,36.43306556157768,128.16128960810602,71.19999694824219,207.6,18.0
175,36.43307293765247,128.1612611934543,71.19999694824219,210.3,18.0
176,36.43308525905013,128.16123822703958,71.19999694824219,212.8,18.0
177,36.433098586276174,128.16121459007263,71.19999694824219,215.4,18.0
178,36.43310772255063,128.16119648516178,71.19999694824219,217.3,18.0
179,36.433119205757976,128.16117955371735,71.19999694824219,219.3,18.0
180,36.43313060514629,128.1611576769501,71.19999694824219,221.6,18.0
181,36.43314133398235,128.16113236360252,71.19999694824219,224.1,18.0
182,36.433148039504886,128.16110478714108,71.19999694824219,226.7,18.0
183,36.43314770422876,128.16107804886997,71.19999694824219,229.1,18.0
184,36.43314192071557,128.1610577646643,71.19999694824219,231.0,18.0
185,36.43313412554562,128.1610383186489,71.19999694824219,233.0,18.0
186,36.43312172032893,128.1610096525401,71.19999694824219,235.9,18.0
187,36.43310411833227,128.16098744049668,71.19999694824219,238.7,18.0
188,36.43308433704078,128.160969754681,71.19999694824219,241.4,18.0
189,36.433058101683855,128.16095491871238,71.19999694824219,244.6,18.0
190,36.43303404562175,128.160932790488,71.19999694824219,247.9,18.0
191,36.43300990574062,128.1609185412526,71.19999694824219,250.9,18.0
192,36.43298568204045,128.16089901141822,71.0,254.1,18.0
193,36.43296246416867,128.16087973304093,71.0,257.2,18.0
194,36.4329419285059,128.16085961647332,71.0,260.1,18.0
195,36.4329260867089,128.16084117628634,71.0,262.5,18.0
196,36.43290840089321,128.16081946715713,70.80000305175781,265.3,18.0
197,36.43289004452527,128.1608001049608,70.80000305175781,268.0,18.0
198,36.43287445418537,128.16078040748835,70.80000305175781,270.4,18.0
199,36.43285701982677,128.16075526177883,70.80000305175781,273.4,18.0
200,36.43284251913428,128.16073413938284,70.80000305175781,275.9,18.0
201,36.43282734788954,128.1607125978917,70.5999984741211,278.5,18.0
202,36.4328124281019,128.1606935709715,70.5999984741211,280.8,18.0
203,36.43279968760908,128.16067504696548,70.5999984741211,283.0,18.0
204,36.43278351053596,128.1606550142169,70.5999984741211,285.6,18.0
205,36.43276632763445,128.16063322126865,70.5999984741211,288.3,18.0
206,36.43274948000908,128.16061360761523,70.4000015258789,290.9,18.0
207,36.43273338675499,128.16059223376217,70.4000015258789,293.5,18.0
208,36.4327191375196,128.1605709437281,70.4000015258789,296.0,18.0
209,36.43270430155098,128.1605466362089,70.19999694824219,298.7,18.0
210,36.43269181251526,128.1605238374323,70.19999694824219,301.1,18.0
211,36.43267823383212,128.16049693152308,70.19999694824219,304.0,18.0
212,36.43266683444381,128.16047404892743,70.19999694824219,306.4,18.0
213,36.43265392631292,128.16045451909304,70.19999694824219,308.7,18.0
214,36.43263867124915,128.16043054684997,70.0,311.4,18.0
215,36.43262551166117,128.16040992736816,70.0,313.7,18.0
216,36.43261075951159,128.16038981080055,70.0,316.2,18.0
217,36.43259357661009,128.16037271171808,70.0,318.6,18.0
218,36.43257689662278,128.16035569645464,69.80000305175781,321.0,18.0
219,36.43256105482578,128.1603368371725,69.80000305175781,323.5,18.0
220,36.43254278227687,128.16031630150974,69.80000305175781,326.2,18.0
221,36.43252593465149,128.16029895097017,69.80000305175781,328.6,18.0
222,36.43250816501677,128.1602795049548,69.5999984741211,331.3,18.0
223,36.432485869154334,128.16025787964463,69.5999984741211,334.4,18.0
224,36.432466842234135,128.16023801453412,69.5999984741211,337.2,18.0
225,36.43244806677103,128.16021848469973,69.5999984741211,339.9,18.0
226,36.43242803402245,128.16020004451275,69.5999984741211,342.7,18.0
227,36.43240934237838,128.1601803470403,69.4000015258789,345.4,18.0
228,36.43238821998239,128.16015939228237,69.4000015258789,348.4,18.0
229,36.43237070180476,128.16013609059155,69.4000015258789,351.3,18.0
230,36.432353435084224,128.1601150520146,69.4000015258789,353.9,18.0
231,36.43233893439174,128.16010206006467,69.4000015258789,355.9,18.0
232,36.43232049420476,128.16008688881993,69.4000015258789,358.4,18.0
233,36.43230373039842,128.16007473506033,69.4000015258789,360.6,18.0
234,36.43228554166853,128.16006258130074,69.4000015258789,362.8,18.0
235,36.432267017662525,128.16004724241793,69.4000015258789,365.3,18.0
236,36.43224723637104,128.1600320711732,69.19999694824219,367.9,18.0
237,36.43222577869892,128.16001689992845,69.19999694824219,370.7,18.0
238,36.43220725469291,128.16000306978822,69.19999694824219,373.1,18.0
239,36.43218403682113,128.15998571924865,69.19999694824219,376.1,18.0
240,36.432165345177054,128.1599710509181,69.19999694824219,378.5,18.0
241,36.43214799463749,128.159957556054,69.19999694824219,380.8,18.0
242,36.43213164992631,128.15994556993246,69.19999694824219,382.9,18.0
243,36.43211455084384,128.15993584692478,69.19999694824219,385.0,18.0
244,36.43209619447589,128.15992310643196,69.0,387.3,18.0
245,36.43208286724985,128.15990106202662,69.0,389.8,18.0
246,36.43207783810794,128.1598761677742,69.0,392.1,18.0
247,36.43207280896604,128.15985471010208,69.0,394.1,18.0
248,36.43206627108157,128.15983040258288,68.80000305175781,396.4,18.0
249,36.43205772154033,128.159804251045,68.5999984741211,398.9,18.0
250,36.43205327913165,128.15977499820292,68.4000015258789,401.6,18.0
251,36.432050094008446,128.15974406898022,68.4000015258789,404.4,18.0
252,36.43204741179943,128.15971607342362,68.0,406.9,18.0
253,36.432044729590416,128.15968438982964,67.5999984741211,409.7,18.0
254,36.432042717933655,128.15965555608273,67.4000015258789,412.3,18.0
255,36.43204003572464,128.15962345339358,67.0,415.2,18.0
256,36.43203844316304,128.1595931109041,66.80000305175781,417.9,18.0
257,36.43203651532531,128.15956226550043,66.5999984741211,420.7,18.0
258,36.432035844773054,128.15953066572547,66.4000015258789,423.5,18.0
259,36.43203576095402,128.15949898213148,66.19999694824219,426.4,18.0
260,36.432033497840166,128.15946671180427,66.0,429.3,18.0
261,36.4320319890976,128.15943343564868,65.80000305175781,432.3,18.0
262,36.43202930688858,128.15939982421696,65.80000305175781,435.3,18.0
263,36.43202268518508,128.1593703199178,65.5999984741211,438.0,18.0
264,36.43201530911029,128.15933980979025,65.4000015258789,440.9,18.0
265,36.43200810067356,128.15931013785303,65.4000015258789,443.6,18.0
266,36.43200047314167,128.1592815555632,65.19999694824219,446.3,18.0
267,36.43199259415269,128.15925900824368,65.19999694824219,448.5,18.0
268,36.431981613859534,128.15923570655286,65.19999694824219,450.9,18.0
269,36.43196694552898,128.1592107284814,65.0,453.7,18.0
270,36.43194934353232,128.1591853313148,64.80000305175781,456.7,18.0
271,36.43192763440311,128.15916504710913,64.80000305175781,459.7,18.0
272,36.43190533854067,128.15914694219828,64.80000305175781,462.7,18.0
273,36.43188119865954,128.15913411788642,64.80000305175781,465.6,18.0
274,36.43185580149293,128.1591314356774,64.80000305175781,468.4,18.0
275,36.43182856030762,128.1591285020113,64.80000305175781,471.5,18.0
276,36.43180073238909,128.15912489779294,64.5999984741211,474.6,18.0
277,36.431774413213134,128.15912238322198,64.4000015258789,477.5,18.0
278,36.43174658529461,128.1591202877462,64.4000015258789,480.6,18.0
279,36.43171959556639,128.15911483950913,64.19999694824219,483.7,18.0
280,36.43169570714235,128.15910545177758,64.19999694824219,486.5,18.0
281,36.43166578374803,128.15909715369344,64.19999694824219,489.9,18.0
282,36.43163938075304,128.15908734686673,64.19999694824219,492.9,18.0
283,36.431614151224494,128.15907519310713,64.19999694824219,495.9,18.0
284,36.4315914362669,128.15906438045204,64.19999694824219,498.6,18.0
285,36.43157182261348,128.15905591472983,64.0,501.0,18.0
286,36.43154642544687,128.15904191695154,64.0,504.0,18.0
287,36.43152614124119,128.15903034992516,64.0,506.5,18.0
288,36.43150744959712,128.15901928581297,64.0,508.8,18.0
289,36.43148842267692,128.15900830551982,64.0,511.2,18.0
290,36.43146587535739,128.15899732522666,64.0,513.9,18.0
291,36.43144366331399,128.15898751839995,64.0,516.5,18.0
292,36.431421199813485,128.15897410735488,63.79999923706055,519.2,18.0
293,36.43139999359846,128.15896321088076,63.79999923706055,521.8,18.0
294,36.43137719482184,128.15894887782633,63.79999923706055,524.6,18.0
295,36.43135246820748,128.15893412567675,63.59999847412109,527.7,18.0
296,36.43133293837309,128.15892272628844,63.59999847412109,530.1,18.0
297,36.43131013959646,128.15891141071916,63.59999847412109,532.8,18.0
298,36.43128851428628,128.1588988378644,63.400001525878906,535.5,18.0
299,36.43126403912902,128.1588896177709,63.400001525878906,538.3,18.0
300,36.431240905076265,128.15887670964003,63.400001525878906,541.1,18.0
301,36.43121869303286,128.15886405296624,63.20000076293945,543.9,18.0
302,36.43119664862752,128.15885139629245,63.20000076293945,546.6,18.0
303,36.43117418512702,128.15883798524737,63.20000076293945,549.3,18.0
304,36.431152978912,128.15882465802133,63.0,552.0,18.0
305,36.43112816847861,128.15881309099495,63.0,554.9,18.0
306,36.43110486678779,128.15880009904504,63.0,557.8,18.0
307,36.43107879906893,128.15878635272384,63.0,560.9,18.0
308,36.43105549737811,128.15877419896424,62.79999923706055,563.7,18.0
309,36.43103202804923,128.15876187756658,62.79999923706055,566.5,18.0
310,36.43100989982486,128.15874829888344,62.79999923706055,569.3,18.0
311,36.43098391592503,128.15873413346708,62.59999847412109,572.4,18.0
312,36.43095633946359,128.15871921367943,62.59999847412109,575.8,18.0
313,36.43093043938279,128.15870630554855,62.59999847412109,578.9,18.0
314,36.43090847879648,128.15869574435055,62.59999847412109,581.5,18.0
315,36.4308852609247,128.15868434496224,62.400001525878906,584.3,18.0
316,36.43086304888129,128.15867269411683,62.400001525878906,587.0,18.0
317,36.430839244276285,128.1586588639766,62.20000076293945,589.9,18.0
318,36.43081451766193,128.15864402800798,62.20000076293945,592.9,18.0
319,36.43078953959048,128.1586274318397,62.20000076293945,596.1,18.0
320,36.43076875247061,128.1586134340614,62.20000076293945,598.7,18.0
321,36.43074620515108,128.15859918482602,62.0,601.5,18.0
322,36.43072382546961,128.15858719870448,62.0,604.2,18.0
323,36.43070144578815,128.15857278183103,62.0,607.0,18.0
324,36.43067973665893,128.15856113098562,61.79999923706055,609.7,18.0
325,36.43065425567329,128.15854872576892,61.79999923706055,612.7,18.0
326,36.43062952905893,128.15853397361934,61.79999923706055,615.8,18.0
327,36.43060555681586,128.15852181985974,61.79999923706055,618.6,18.0
328,36.43058150075376,128.1585098337382,61.59999847412109,621.5,18.0
329,36.43055677413941,128.15849826671183,61.59999847412109,624.5,18.0
330,36.43053330481053,128.15848636440933,61.59999847412109,627.3,18.0
331,36.43050899729133,128.1584738753736,61.59999847412109,630.2,18.0
332,36.43048653379083,128.1584587879479,61.400001525878906,633.0,18.0
333,36.43046339973807,128.15844462253153,61.400001525878906,635.9,18.0
334,36.43044009804726,128.15842794254422,61.20000076293945,638.9,18.0
335,36.43041637726128,128.15841344185174,61.20000076293945,641.8,18.0
336,36.43039324320853,128.15840003080666,61.20000076293945,644.7,18.0
337,36.43037052825093,128.15838653594255,61.20000076293945,647.5,18.0
338,36.43034781329334,128.15837220288813,61.20000076293945,650.3,18.0
339,36.430325685068965,128.1583583727479,61.20000076293945,653.1,18.0
340,36.43030271865428,128.1583443749696,61.20000076293945,655.9,18.0
341,36.43027790822089,128.1583292875439,61.20000076293945,659.0,18.0
342,36.43025427125394,128.15831361338496,61.20000076293945,662.0,18.0
343,36.43023004755378,128.15829819068313,61.0,665.0,18.0
344,36.43020540475845,128.15828260034323,61.0,668.1,18.0
345,36.430181097239256,128.1582680158317,61.0,671.1,18.0
346,36.43015645444393,128.15825410187244,61.0,674.1,18.0
347,36.43013063818216,128.15824278630316,61.0,677.1,18.0
348,36.43010415136814,128.1582323089242,61.0,680.2,18.0
349,36.43007732927799,128.15822317264974,61.0,683.3,18.0
350,36.43005235120654,128.15821914933622,61.0,686.1,18.0
351,36.43002703785896,128.15821638330817,61.0,688.9,18.0
352,36.43000147305429,128.15821386873722,61.0,691.8,18.0
353,36.42997615970671,128.15821244381368,61.0,694.6,18.0
354,36.429950846359134,128.1582116894424,61.0,697.4,18.0
355,36.42992553301156,128.15821286290884,61.0,700.2,18.0
356,36.42990021966398,128.1582162156701,61.0,703.1,18.0
357,36.42987440340221,128.15821873024106,61.0,705.9,18.0
358,36.42984917387366,128.15822183154523,61.0,708.8,18.0
359,36.42982218414545,128.15822451375425,61.0,711.8,18.0
360,36.42979620024562,128.15822903998196,61.0,714.7,18.0
361,36.42977063544095,128.15823566168547,61.0,717.6,18.0
362,36.42974431626499,128.15824169665575,61.0,720.6,18.0
363,36.429717829450965,128.1582463067025,61.0,723.5,18.0
364,36.42969377338886,128.15825125202537,61.0,726.3,18.0
365,36.429668460041285,128.15825594589114,61.0,729.1,18.0
366,36.42964356578887,128.1582603044808,61.0,731.9,18.0
367,36.42961976118386,128.1582655850798,61.0,734.6,18.0
368,36.4295950345695,128.15827053040266,61.0,737.4,18.0
369,36.4295709785074,128.15827480517328,61.0,740.1,18.0
370,36.429546754807234,128.15827874466777,61.0,742.8,18.0
371,36.42952370457351,128.15828218124807,61.20000076293945,745.4,18.0
372,36.42949730157852,128.1582886353135,61.20000076293945,748.4,18.0
373,36.429469641298056,128.1582936644554,61.20000076293945,751.5,18.0
374,36.42943904735148,128.15830028615892,61.20000076293945,754.9,18.0
375,36.42941205762327,128.158305818215,61.20000076293945,758.0,18.0
376,36.42938850447536,128.15830942243338,61.20000076293945,760.6,18.0
377,36.42937006428838,128.15831277519464,61.400001525878906,762.7,18.0
378,36.42934810370207,128.15831562504172,61.400001525878906,765.1,18.0
379,36.42932530492544,128.15832023508847,61.400001525878906,767.7,18.0
380,36.4293016679585,128.15832492895424,61.400001525878906,770.4,18.0
381,36.42927744425833,128.15833004191518,61.400001525878906,773.1,18.0
382,36.42925539985299,128.15833498723805,61.400001525878906,775.6,18.0
383,36.429231595247984,128.15834026783705,61.400001525878906,778.3,18.0
384,36.42920661717653,128.15834563225508,61.400001525878906,781.1,18.0
385,36.42917929217219,128.15835133194923,61.400001525878906,784.2,18.0
386,36.42915221862495,128.15835870802402,61.400001525878906,787.3,18.0
387,36.42912732437253,128.15836407244203,61.400001525878906,790.1,18.0
388,36.42910276539624,128.15836985595524,61.400001525878906,792.8,18.0
389,36.429076697677374,128.15837589092553,61.400001525878906,795.8,18.0
390,36.42905054613948,128.1583826802671,61.400001525878906,798.8,18.0
391,36.42902456223965,128.15838737413287,61.400001525878906,801.7,18.0
392,36.4289993327111,128.15839231945574,61.400001525878906,804.5,18.0
393,36.428973181173205,128.15839927643538,61.400001525878906,807.5,18.0
394,36.42894669435918,128.15840606577694,61.400001525878906,810.5,18.0
395,36.42892062664032,128.15841184929013,61.400001525878906,813.4,18.0
396,36.42889338545501,128.15841780044138,61.400001525878906,816.5,18.0
397,36.42886564135552,128.15842743963003,61.400001525878906,819.7,18.0
398,36.42884166911245,128.1584440357983,61.400001525878906,822.8,18.0
399,36.428820211440325,128.15846239216626,61.400001525878906,825.7,17.0
400,36.42880043014884,128.1584762223065,61.59999847412109,828.2,18.0
401,36.42878517508507,128.158490806818,61.59999847412109,830.3,18.0
402,36.42876950092614,128.15851628780365,61.59999847412109,833.2,18.0
403,36.42875717952848,128.1585449539125,61.59999847412109,836.1,18.0
404,36.4287474565208,128.15857529640198,61.59999847412109,839.0,18.0
405,36.42874075099826,128.15860580652952,61.59999847412109,841.9,18.0
406,36.428735218942165,128.15862868912518,61.59999847412109,844.0,18.0
407,36.42873127944768,128.1586570199579,61.59999847412109,846.6,18.0
408,36.428727926686406,128.15868627279997,61.400001525878906,849.2,18.0
409,36.42872390337288,128.15871267579496,61.400001525878906,851.6,18.0
410,36.42872096970677,128.15873991698027,61.400001525878906,854.1,18.0
411,36.428718119859695,128.1587677448988,61.20000076293945,856.6,18.0
412,36.42871485091746,128.1587968301028,61.20000076293945,859.2,18.0
413,36.42871015705168,128.15882465802133,61.20000076293945,861.8,18.0
414,36.42870537936688,128.15884762443602,61.0,863.9,18.0
415,36.428699009120464,128.15887394361198,61.0,866.3,17.0
416,36.42868819646537,128.15889850258827,61.0,868.9,17.0
417,36.42867838963866,128.15892163664105,61.0,871.2,18.0
418,36.42866958864033,128.15894946455956,61.0,873.9,17.0
