grupo,nombre,tipo,masa_kg,bateria_wh,autonomia_km,velocidad_mps,cot,cot_origen
robot_ruedas,Ascento,Wheeled Leg Robot,10.4,55.5,,,,
robot_ruedas,D-bot,Wheeled Robot,24.0,1065.0,150.0,4.16,0.04,paper
robot_ruedas,TITA,Wheeled Leg Robot,24.1,,,,,-
robot_ruedas,ANYmal wheel,Wheeled Leg Robot,66.0,932.4,19.306586270871982,1.68,0.16,paper
animal,human,walking,70.0,,,1.75,0.37650978758850473,
animal,human,running,70.0,,,3.5,0.4673052894627238,
animal,fruit fly,flying,2e-06,,,2.0555555555555554,6.004236072807501,
animal,Mosquito,flying,3.2e-06,,,0.6944444444444444,8.065998367346939,
animal,honey bee,flying,0.0001,,,8.333333333333334,6.408367346938775,
animal,hummingbird,flying,0.003,,,13.61111111111111,1.717616826322366,
animal,Laughing Gull,flying,0.31,,,8.61111111111111,0.6187864384463463,
animal,Pigeon,flying,0.384,,,16.11111111111111,0.4058632653061224,
animal,mouse,running,0.018,,,0.15,40.11163265306123,
animal,Rat,running,0.397,,,0.5833333333333334,3.6619241982507282,
animal,Lizard,running,0.9,,,0.10277777777777777,2.6672664092664093,
animal,Rabbit,running,2.54,,,0.5833333333333334,2.0344023323615157,
animal,Dog,running,10.7,,,1.6222222222222222,0.5808497344143135,
animal,Sheep,running,30.0,,,0.8,0.4272244897959183,
animal,Pony,running,270.0,,,0.09833333333333333,2.6792044275337252,
animal,Horse,running,707.0,,,1.3888888888888888,0.22301118367346934,
vehiculo_electrico,tesla model3 standard,Elec vehicle,1836.0,,,,0.0274109643857543,
vehiculo_electrico,Renault Megane E-Tech EV40 130hp,Elec vehicle,1588.0,,,,0.035624325296869375,
vehiculo_electrico,Mini Cooper E,Elec vehicle,1615.0,,,,0.03320907310292538,
vehiculo_electrico,Hyundai IONIQ 6 Standard Range 2WD,Elec vehicle,1850.0,,,,0.029586321014892437,
vehiculo_electrico,Citroen e-C4 X 54 kWh,Elec vehicle,1552.0,,,,0.035267199663370496,
vehiculo_electrico,BMW i4 eDrive40,Elec vehicle,2125.0,,,,0.02731332533013205,
vehiculo_gasolina,Mitsubishi Mirage,Gasoline Hatchback,950.0,,,,0.05425134264232008,
vehiculo_gasolina,Honda Civic,Gasoline Sedan,1300.0,,,,0.042923076923076925,
vehiculo_gasolina,Hyundai Elantra,Gasoline Sedan,1200.0,,,,0.0465,
vehiculo_gasolina,Nissan Versa,Gasoline Sedan,1150.0,,,,0.049799467613132205,
vehiculo_gasolina,Toyota Corolla,Gasoline Sedan,1300.0,,,,0.044053375196232335,
vehiculo_gasolina,Kia Forte,Gasoline Sedan,1250.0,,,,0.04716734693877551,
vehiculo_gasolina,Nissan Sentra,Gasoline Sedan,1300.0,,,,0.045353218210361056,
vehiculo_gasolina,Volkswagen Jetta,Gasoline Sedan,1300.0,,,,0.045353218210361056,
vehiculo_gasolina,Acura Integra,Gasoline Sedan,1350.0,,,,0.044979591836734695,
vehiculo_gasolina,Nissan Kicks,Gasoline Crossover,1250.0,,,,0.04857795918367347,
vehiculo_diesel,Skoda Octavia,,1400.0,,,,0.09812531152549803,
vehiculo_diesel,Volkswagen Golf 2.0 TDI,Diesel Hatchback,1350.0,,,,0.10784913213102858,
vehiculo_diesel,Mercedes-Benz C220d,Diesel Sedan,1600.0,,,,0.09395698020256531,
vehiculo_diesel,BMW 1 Series 116d,Diesel Hatchback,1350.0,,,,0.02459863945578231,
vehiculo_diesel,Vauxhall Corsa 1.5 Turbo D,Diesel Hatchback,1165.0,,,,0.024815625821143907,
vehiculo_diesel,Peugeot 208 1.5 BlueHDi,Diesel Hatchback,1090.0,,,,0.026152405916495036,
vehiculo_diesel,Skoda Octavia 2.0 TDI SE,Diesel Hatchback,1400.0,,,,0.021122448979591837,
vehiculo_diesel,Volkswagen Golf 2.0 TDI,Diesel Hatchback,1350.0,,,,0.021904761904761903,
