lat_banda_sur,n_celdas,inicio_media_dias_decada,inicio_pct_sig_local,fin_media_dias_decada,fin_pct_sig_local,temporada_media_dias_decada,temporada_pct_sig_local
7,1588,-4.613,15.491,8.335,17.443,12.948,25.63
8,1649,-4.094,12.554,8.396,16.919,12.491,27.228
9,1661,-4.714,13.606,7.172,18.363,11.886,30.043
10,1686,-3.181,12.634,7.367,21.647,10.548,28.175
11,1558,-2.938,16.429,6.6,24.197,9.539,29.204
12,1555,-5.282,25.591,3.367,24.115,8.649,29.258
13,1581,-7.938,34.408,1.748,27.767,9.686,33.904
14,1638,-7.517,31.138,3.471,26.314,10.988,34.92
15,1718,-7.122,28.292,3.757,19.792,10.879,32.077
16,1813,-4.794,18.206,6.241,22.392,11.035,35.19
17,1920,-1.95,7.294,9.052,30.673,11.002,34.585
18,2064,-1.569,5.716,9.467,30.28,11.036,31.444
19,2022,-2.268,6.774,9.821,33.383,12.089,35.46
20,2101,-1.802,7.378,10.452,39.885,12.254,40.6
21,2309,-1.665,8.488,10.681,39.628,12.346,39.926
22,2298,-1.678,5.962,10.723,38.338,12.401,45.823
23,2270,-1.255,7.225,10.326,38.146,11.582,43.922
24,2351,-0.887,9.441,10.582,40.45,11.469,46.196
25,2443,-0.366,9.866,10.309,40.655,10.675,43.149
26,2462,-0.648,7.84,10.107,40.45,10.756,42.04
27,2546,-1.015,9.424,10.173,43.362,11.188,44.067
28,2574,-1.506,10.447,9.55,38.663,11.057,41.845
29,2644,-2.91,13.658,8.726,37.56,11.636,46.935
30,2724,-3.19,9.362,8.027,33.336,11.216,45.996
31,2635,-3.157,8.917,8.068,30.896,11.225,46.869
32,2575,-3.459,8.895,7.684,25.674,11.143,44.902
33,2542,-3.688,10.382,7.064,22.462,10.752,42.122
34,2642,-3.915,13.358,7.046,21.196,10.961,44.252
35,2696,-4.069,13.465,6.436,21.145,10.505,39.66
36,2795,-4.244,14.922,6.337,22.249,10.581,38.245
37,2744,-4.142,10.502,7.512,24.741,11.654,44.605
38,2744,-4.16,9.109,7.988,24.272,12.148,49.048
39,2823,-4.032,6.947,7.819,24.33,11.851,46.44
40,2929,-3.792,8.976,7.613,22.67,11.404,44.22
41,2886,-3.604,10.224,7.384,20.311,10.988,39.75
42,2901,-3.829,9.409,6.004,13.762,9.833,38.273
43,3081,-3.39,7.831,5.972,13.198,9.362,38.222
44,3138,-3.24,7.262,7.064,18.924,10.304,42.324
45,3259,-2.709,8.864,7.394,19.571,10.103,37.197
46,3369,-2.709,9.947,7.64,21.779,10.349,38.141
47,3437,-1.917,6.228,7.662,25.81,9.58,35.062
48,3507,-1.517,6.583,7.132,24.008,8.649,30.067
49,3523,-0.506,5.374,7.983,30.108,8.489,30.568
50,3583,0.514,4.463,8.794,29.981,8.279,26.336
51,3753,0.635,2.929,8.043,26.629,7.408,20.582
52,3836,0.445,4.013,8.006,26.115,7.561,20.335
53,3762,0.105,3.798,7.575,26.933,7.469,19.799
54,3708,-1.283,4.852,6.832,22.253,8.115,27.524
55,3495,-2.454,5.465,6.555,22.547,9.009,30.673
56,3499,-3.199,5.518,6.612,20.929,9.811,39.344
57,3439,-3.681,7.024,6.09,16.757,9.771,39.442
58,3527,-4.104,9.606,5.75,14.203,9.854,33.995
59,3886,-4.444,13.472,5.283,13.869,9.727,31.38
60,4139,-4.543,16.737,4.793,16.184,9.336,31.399
61,4249,-5.062,20.343,4.027,16.273,9.089,32.892
62,4464,-5.09,20.844,4.266,17.062,9.357,36.002
63,4637,-4.845,19.996,4.46,19.824,9.305,36.3
64,4784,-5.289,24.262,3.805,15.393,9.095,34.961
65,4939,-5.514,21.975,3.461,15.6,8.975,30.322
66,4823,-5.26,17.728,3.385,15.847,8.645,26.95
67,4746,-5.136,14.239,3.926,14.183,9.062,30.738
68,4686,-4.276,16.093,4.88,17.514,9.156,35.681
69,4289,-3.842,15.818,5.005,18.349,8.847,32.962
70,3564,-3.591,19.623,6.482,23.1,10.073,39.446
71,2983,-3.565,21.851,7.362,29.798,10.927,39.412
72,2628,-3.69,24.044,8.834,38.896,12.525,48.642
73,2320,-2.458,23.035,10.883,43.691,13.341,52.072
74,2092,-1.749,20.298,11.513,48.889,13.262,52.314
75,2361,-0.475,16.534,11.714,53.423,12.189,45.675
76,2303,0.435,13.055,10.958,44.765,10.524,40.688
77,2044,0.821,3.239,9.88,27.023,9.059,29.992
78,2030,-0.952,4.225,9.91,35.833,10.861,38.835
79,2145,-1.106,4.808,10.0,36.331,11.106,38.502
80,2184,-0.79,6.591,10.36,37.711,11.15,37.932
81,1627,-3.627,4.694,9.998,36.11,13.625,52.513
82,995,-4.155,6.803,10.356,33.367,14.511,56.851
83,365,-3.399,8.545,5.592,10.934,8.991,26.989
