lat,lon,n_celdas_025,inicio_dias_decada,fin_dias_decada,temporada_dias_decada
83.5,-26.5,12,0.327,1.271,0.944
83.5,-25.5,12,-0.014,1.576,1.59
83.5,-24.5,10,2.234,3.197,0.963
83.5,-23.5,7,3.119,2.264,-0.856
83.5,-22.5,3,2.577,-0.456,-3.033
82.5,-89.5,3,-1.828,16.658,18.486
82.5,-88.5,4,-2.33,20.739,23.069
82.5,-87.5,10,-1.283,15.15,16.433
82.5,-86.5,12,-1.183,13.693,14.876
82.5,-85.5,12,-0.963,14.491,15.453
82.5,-84.5,12,-1.196,16.68,17.876
82.5,-83.5,12,-0.029,17.243,17.272
82.5,-82.5,13,1.335,18.881,17.546
82.5,-81.5,16,-0.603,15.463,16.066
82.5,-80.5,16,-1.913,14.695,16.608
82.5,-79.5,16,-3.149,14.763,17.912
82.5,-78.5,16,-3.92,13.105,17.025
82.5,-77.5,16,-5.305,12.807,18.112
82.5,-76.5,16,-6.559,15.128,21.688
82.5,-75.5,16,-5.664,15.681,21.345
82.5,-74.5,16,-7.113,14.337,21.45
82.5,-73.5,16,-6.583,14.012,20.595
82.5,-72.5,16,-5.937,13.607,19.543
82.5,-71.5,16,-4.749,14.947,19.696
82.5,-70.5,16,-5.809,16.584,22.393
82.5,-69.5,16,-3.648,19.378,23.026
82.5,-68.5,16,-1.735,20.802,22.537
82.5,-67.5,16,0.505,21.877,21.372
82.5,-66.5,16,0.671,20.411,19.741
82.5,-65.5,16,-0.789,17.47,18.259
82.5,-64.5,16,-2.827,14.251,17.077
82.5,-63.5,16,-5.427,13.165,18.592
82.5,-62.5,16,-7.546,10.772,18.318
82.5,-61.5,12,-7.712,11.343,19.055
82.5,-60.5,12,-6.947,10.751,17.698
82.5,-59.5,4,-7.063,9.901,16.964
82.5,-58.5,4,-5.293,10.371,15.664
82.5,-57.5,4,-6.983,12.623,19.606
82.5,-56.5,4,-7.286,15.946,23.233
82.5,-55.5,10,-5.004,9.299,14.303
82.5,-54.5,12,-6.465,8.983,15.448
82.5,-53.5,12,-9.327,7.687,17.014
82.5,-52.5,12,-10.66,9.247,19.907
82.5,-51.5,12,-11.393,8.577,19.97
82.5,-50.5,13,-8.953,7.46,16.414
82.5,-49.5,16,-8.679,8.009,16.688
82.5,-48.5,16,-7.087,7.848,14.935
82.5,-47.5,16,-6.216,8.793,15.009
82.5,-46.5,16,-7.598,11.58,19.178
82.5,-45.5,16,-5.254,11.366,16.619
82.5,-44.5,16,-3.165,8.589,11.754
82.5,-43.5,16,-3.327,8.973,12.3
82.5,-42.5,16,-1.467,9.414,10.881
82.5,-41.5,16,-2.071,9.002,11.074
82.5,-40.5,16,-4.592,7.115,11.707
82.5,-39.5,16,-4.568,6.949,11.517
82.5,-38.5,16,-8.057,5.731,13.788
82.5,-37.5,16,-7.48,4.985,12.465
82.5,-36.5,16,-4.494,4.383,8.877
82.5,-35.5,16,-3.0,3.59,6.59
82.5,-34.5,16,-2.397,3.582,5.979
82.5,-33.5,16,-1.241,4.585,5.827
82.5,-32.5,16,-4.147,4.379,8.527
82.5,-31.5,16,-4.712,5.293,10.005
82.5,-30.5,16,-5.822,4.776,10.598
82.5,-29.5,16,-5.827,5.461,11.288
82.5,-28.5,16,-5.596,3.965,9.561
82.5,-27.5,16,-5.99,3.645,9.635
82.5,-26.5,16,-6.246,2.136,8.382
82.5,-25.5,16,-4.846,0.778,5.624
82.5,-24.5,16,-4.556,0.051,4.607
82.5,-23.5,16,0.044,4.231,4.186
82.5,-22.5,16,3.353,6.315,2.963
82.5,-21.5,14,4.479,6.948,2.469
82.5,-20.5,12,0.372,7.666,7.294
82.5,-19.5,4,-3.174,6.15,9.324
82.5,-18.5,4,0.222,8.277,8.056
82.5,-17.5,4,3.409,12.545,9.137
81.5,-96.5,2,-0.898,9.413,10.311
81.5,-95.5,8,0.532,8.8,8.268
81.5,-94.5,8,2.873,12.693,9.821
81.5,-93.5,12,3.634,12.732,9.099
81.5,-92.5,16,-1.872,11.391,13.263
81.5,-91.5,16,-2.728,11.56,14.288
81.5,-90.5,16,-3.5,12.136,15.635
81.5,-89.5,16,-3.603,14.402,18.005
81.5,-88.5,16,-5.519,17.56,23.079
81.5,-87.5,16,-5.461,18.969,24.43
81.5,-86.5,16,-6.851,17.583,24.433
81.5,-85.5,16,-5.411,16.864,22.275
81.5,-84.5,16,-5.41,13.236,18.646
81.5,-83.5,16,-5.591,14.747,20.338
81.5,-82.5,16,-5.631,13.442,19.073
81.5,-81.5,16,-7.992,9.706,17.698
81.5,-80.5,16,-10.053,7.236,17.289
81.5,-79.5,16,-10.226,8.381,18.607
81.5,-78.5,16,-9.938,11.592,21.53
81.5,-77.5,16,-10.756,11.687,22.442
81.5,-76.5,16,-8.008,10.628,18.636
81.5,-75.5,16,-6.311,11.233,17.543
81.5,-74.5,16,-5.12,13.779,18.898
81.5,-73.5,16,-4.618,16.248,20.866
81.5,-72.5,16,-4.986,17.604,22.59
81.5,-71.5,16,-1.98,20.616,22.596
81.5,-70.5,16,-2.428,20.704,23.132
81.5,-69.5,16,-1.745,21.487,23.232
81.5,-68.5,16,-2.584,19.945,22.53
81.5,-67.5,16,-3.404,17.856,21.26
81.5,-66.5,16,-1.69,17.483,19.173
81.5,-65.5,16,-3.897,16.91,20.808
81.5,-64.5,16,-5.769,14.76,20.529
81.5,-63.5,16,-8.718,13.779,22.497
81.5,-62.5,16,-6.184,12.479,18.663
81.5,-61.5,16,-4.696,12.012,16.709
81.5,-60.5,16,-3.042,14.549,17.591
81.5,-59.5,16,-2.709,16.738,19.447
81.5,-58.5,16,-5.145,16.717,21.862
81.5,-57.5,16,-5.271,15.516,20.787
81.5,-56.5,16,-5.77,13.372,19.142
81.5,-55.5,16,-5.35,13.145,18.495
81.5,-54.5,16,-4.165,13.568,17.732
81.5,-53.5,16,-4.07,15.774,19.844
81.5,-52.5,16,-3.251,14.863,18.114
81.5,-51.5,16,-5.206,13.886,19.092
81.5,-50.5,16,-4.946,12.562,17.509
81.5,-49.5,16,-5.03,11.896,16.926
81.5,-48.5,16,-5.986,11.129,17.115
81.5,-47.5,16,-5.726,9.693,15.419
81.5,-46.5,16,-4.375,10.194,14.569
81.5,-45.5,16,-2.808,10.006,12.814
81.5,-44.5,16,-0.775,8.509,9.284
81.5,-43.5,16,0.542,8.816,8.275
81.5,-42.5,16,1.317,9.612,8.295
81.5,-41.5,16,1.569,9.609,8.04
81.5,-40.5,16,0.722,7.957,7.235
81.5,-39.5,16,-0.394,7.74,8.134
81.5,-38.5,16,-1.471,6.982,8.452
81.5,-37.5,16,-0.314,7.477,7.791
81.5,-36.5,16,-3.295,7.864,11.159
81.5,-35.5,16,-4.453,7.899,12.352
81.5,-34.5,16,-2.048,5.104,7.152
81.5,-33.5,16,-2.603,5.741,8.344
81.5,-32.5,16,-2.227,8.283,10.51
81.5,-31.5,16,-1.177,8.166,9.343
81.5,-30.5,16,-2.114,4.842,6.956
81.5,-29.5,16,-3.486,4.427,7.913
81.5,-28.5,16,-3.345,4.581,7.926
81.5,-27.5,16,-5.037,1.643,6.68
81.5,-26.5,16,-6.57,3.909,10.479
81.5,-25.5,16,-8.586,3.811,12.397
81.5,-24.5,16,-9.247,3.491,12.737
81.5,-23.5,16,-7.898,1.875,9.773
81.5,-22.5,16,-3.272,0.818,4.091
81.5,-21.5,16,-2.335,1.298,3.633
81.5,-20.5,16,-6.12,2.427,8.547
81.5,-19.5,16,-6.655,4.212,10.866
81.5,-18.5,16,-6.211,2.014,8.225
81.5,-17.5,16,-2.718,2.091,4.809
81.5,-16.5,16,-2.023,5.237,7.26
81.5,-15.5,16,-0.445,8.806,9.251
81.5,-14.5,16,-0.71,8.03,8.74
81.5,-13.5,16,1.886,9.343,7.457
81.5,-12.5,16,0.296,10.292,9.995
81.5,-11.5,15,-0.589,5.944,6.533
81.5,-10.5,8,4.111,5.144,1.033
81.5,48.5,2,0.089,13.537,13.449
81.5,49.5,4,0.07,13.532,13.462
81.5,50.5,4,0.686,14.454,13.768
81.5,51.5,4,2.016,15.466,13.45
81.5,52.5,8,-0.113,14.983,15.095
81.5,53.5,8,0.061,13.498,13.437
81.5,54.5,8,1.242,11.56,10.318
81.5,55.5,8,-0.56,10.122,10.682
81.5,56.5,14,-0.6,7.367,7.967
81.5,57.5,16,0.384,8.029,7.645
81.5,58.5,16,1.309,6.666,5.357
81.5,59.5,16,0.06,4.885,4.826
81.5,60.5,16,-0.708,2.609,3.317
81.5,61.5,14,-0.773,0.759,1.532
81.5,62.5,12,-1.958,1.065,3.024
81.5,63.5,12,-2.966,1.054,4.02
81.5,64.5,12,-4.04,1.624,5.663
81.5,65.5,12,-2.649,2.575,5.224
81.5,66.5,7,-2.811,3.8,6.612
81.5,78.5,2,-6.061,5.323,11.384
81.5,79.5,4,-5.759,7.016,12.775
81.5,80.5,4,-6.981,7.17,14.151
81.5,81.5,3,-7.965,7.009,14.974
81.5,88.5,2,-6.597,5.787,12.384
81.5,89.5,7,-7.814,7.365,15.179
81.5,90.5,8,-8.52,6.981,15.501
81.5,91.5,8,-7.009,9.215,16.224
81.5,92.5,7,-5.936,6.56,12.495
81.5,93.5,6,-8.039,6.3,14.339
81.5,94.5,8,-5.851,8.97,14.821
81.5,95.5,8,-3.713,8.055,11.769
81.5,96.5,8,-2.467,8.628,11.095
81.5,97.5,8,-3.282,7.445,10.727
81.5,98.5,2,-4.368,3.816,8.184
80.5,-101.5,3,2.125,13.481,11.356
80.5,-100.5,7,3.151,10.09,6.939
80.5,-99.5,8,1.235,10.253,9.018
80.5,-98.5,8,0.511,7.225,6.715
80.5,-97.5,12,0.239,6.707,6.467
80.5,-96.5,16,0.347,9.649,9.302
80.5,-95.5,16,2.932,14.552,11.62
80.5,-94.5,16,5.465,20.046,14.581
80.5,-93.5,16,7.147,21.338,14.19
80.5,-92.5,16,7.63,19.661,12.031
80.5,-91.5,16,5.203,20.293,15.09
80.5,-90.5,16,2.726,18.966,16.24
80.5,-89.5,16,1.901,16.465,14.564
80.5,-88.5,16,-2.943,15.27,18.213
80.5,-87.5,16,-2.238,17.682,19.92
80.5,-86.5,16,-1.107,17.75,18.857
80.5,-85.5,16,-2.074,17.032,19.106
80.5,-84.5,16,-0.144,17.207,17.351
80.5,-83.5,16,-0.888,16.511,17.4
80.5,-82.5,16,-4.085,15.879,19.964
80.5,-81.5,16,-2.648,14.579,17.227
80.5,-80.5,16,-4.558,15.204,19.763
80.5,-79.5,16,-7.972,12.588,20.56
80.5,-78.5,16,-5.548,12.546,18.094
80.5,-77.5,16,-4.855,10.877,15.732
80.5,-76.5,16,-3.755,10.683,14.438
80.5,-75.5,16,-3.291,8.744,12.035
80.5,-74.5,16,-3.681,8.905,12.586
80.5,-73.5,16,-5.876,7.767,13.643
80.5,-72.5,16,-7.519,11.595,19.114
80.5,-71.5,16,-3.949,12.766,16.715
80.5,-70.5,16,-4.067,14.081,18.148
80.5,-69.5,16,-2.949,14.442,17.391
80.5,-68.5,16,-0.852,14.237,15.089
80.5,-67.5,16,1.834,12.409,10.575
80.5,-66.5,16,-0.088,10.437,10.525
80.5,-65.5,16,-1.321,11.678,12.999
80.5,-64.5,16,-0.482,11.696,12.178
80.5,-63.5,16,-0.264,11.492,11.755
80.5,-62.5,16,-0.725,9.993,10.718
80.5,-61.5,16,-2.289,8.047,10.336
80.5,-60.5,16,-3.57,6.409,9.979
80.5,-59.5,16,-2.118,4.985,7.103
80.5,-58.5,16,-2.653,4.732,7.385
80.5,-57.5,16,-2.233,5.639,7.872
80.5,-56.5,16,-1.136,6.75,7.886
80.5,-55.5,16,0.111,6.58,6.469
80.5,-54.5,16,1.208,6.495,5.287
80.5,-53.5,16,0.77,7.526,6.757
80.5,-52.5,16,0.15,5.984,5.834
80.5,-51.5,16,0.743,6.413,5.67
80.5,-50.5,16,0.062,6.873,6.811
80.5,-49.5,16,0.42,5.456,5.035
80.5,-48.5,16,-0.44,6.19,6.63
80.5,-47.5,16,1.273,7.37,6.097
80.5,-46.5,16,1.862,7.042,5.181
80.5,-45.5,16,1.273,6.502,5.229
80.5,-44.5,16,0.88,5.747,4.866
80.5,-43.5,16,0.931,5.7,4.769
80.5,-42.5,16,1.185,6.453,5.268
80.5,-41.5,16,2.051,8.302,6.251
80.5,-40.5,16,2.305,7.05,4.744
80.5,-39.5,16,2.042,5.85,3.808
80.5,-38.5,16,1.74,4.003,2.262
80.5,-37.5,16,1.625,3.123,1.499
80.5,-36.5,16,2.644,2.57,-0.074
80.5,-35.5,16,1.167,3.113,1.946
80.5,-34.5,16,-1.717,4.512,6.229
80.5,-33.5,16,-2.753,4.815,7.568
80.5,-32.5,16,-3.853,5.16,9.013
80.5,-31.5,16,-4.246,6.336,10.582
80.5,-30.5,16,-4.597,6.438,11.035
80.5,-29.5,16,-4.047,4.738,8.785
80.5,-28.5,16,-4.278,3.214,7.492
80.5,-27.5,16,-6.282,1.805,8.087
80.5,-26.5,16,-6.183,2.056,8.24
80.5,-25.5,16,-7.496,2.222,9.718
80.5,-24.5,16,-6.046,2.745,8.792
80.5,-23.5,16,-6.609,3.316,9.925
80.5,-22.5,16,-9.329,1.957,11.286
80.5,-21.5,16,-6.961,6.277,13.237
80.5,-20.5,16,-6.431,7.062,13.493
80.5,-19.5,16,-5.18,6.852,12.032
80.5,-18.5,16,-4.402,6.97,11.371
80.5,-17.5,16,-3.527,10.444,13.971
80.5,-16.5,16,-0.472,11.826,12.298
80.5,-15.5,16,1.28,15.486,14.206
80.5,-14.5,15,1.316,17.102,15.786
80.5,-13.5,10,4.327,14.36,10.033
80.5,-12.5,8,3.748,13.49,9.743
80.5,-11.5,5,3.773,9.215,5.442
80.5,-10.5,2,5.651,10.491,4.84
80.5,16.5,5,8.379,29.147,20.767
80.5,17.5,12,7.072,24.848,17.776
80.5,18.5,12,6.343,21.701,15.358
80.5,19.5,13,5.057,17.549,12.492
80.5,20.5,16,4.502,16.252,11.749
80.5,21.5,16,4.864,14.769,9.906
80.5,22.5,16,3.642,15.396,11.754
80.5,23.5,16,2.316,13.444,11.129
80.5,24.5,16,1.713,12.482,10.769
80.5,25.5,16,1.394,12.754,11.359
80.5,26.5,15,3.806,15.061,11.255
80.5,27.5,8,4.409,15.059,10.65
80.5,28.5,8,6.779,19.799,13.02
80.5,29.5,4,7.828,22.793,14.965
80.5,30.5,5,8.45,23.456,15.006
80.5,31.5,8,8.606,23.754,15.148
80.5,32.5,8,6.774,21.511,14.737
80.5,33.5,8,4.729,19.694,14.965
80.5,34.5,8,5.152,21.866,16.714
80.5,35.5,8,5.723,22.279,16.556
80.5,36.5,8,7.327,24.36,17.033
80.5,37.5,8,6.471,25.636,19.165
80.5,38.5,6,5.59,26.108,20.518
80.5,43.5,9,6.796,20.073,13.277
80.5,44.5,16,7.298,19.551,12.253
80.5,45.5,16,5.699,16.971,11.272
80.5,46.5,16,4.701,14.304,9.603
80.5,47.5,16,4.684,13.832,9.149
80.5,48.5,16,4.419,10.847,6.428
80.5,49.5,16,4.437,9.931,5.494
80.5,50.5,16,5.351,12.825,7.475
80.5,51.5,16,4.98,15.433,10.453
80.5,52.5,16,3.847,15.872,12.025
80.5,53.5,16,4.105,14.601,10.496
80.5,54.5,16,3.485,12.899,9.415
80.5,55.5,16,2.651,11.754,9.103
80.5,56.5,16,1.245,10.308,9.063
80.5,57.5,16,-0.276,9.164,9.44
80.5,58.5,16,0.117,7.679,7.562
80.5,59.5,16,-0.309,7.456,7.765
80.5,60.5,16,0.65,6.878,6.228
80.5,61.5,16,-0.758,5.912,6.671
80.5,62.5,16,-0.998,5.522,6.52
80.5,63.5,13,-2.324,4.878,7.202
80.5,64.5,12,-1.554,4.698,6.252
80.5,65.5,10,-1.074,5.977,7.052
80.5,66.5,5,-2.043,6.203,8.246
80.5,76.5,2,-5.288,5.655,10.943
80.5,77.5,8,-2.59,2.952,5.542
80.5,78.5,8,-2.912,3.97,6.882
80.5,79.5,8,-2.776,4.539,7.315
80.5,80.5,8,-5.688,5.669,11.358
80.5,81.5,6,-5.264,6.735,11.998
80.5,88.5,2,-11.102,2.641,13.743
80.5,89.5,5,-9.462,2.961,12.424
80.5,90.5,16,-6.662,5.107,11.769
80.5,91.5,16,-7.984,5.245,13.229
80.5,92.5,16,-9.037,4.46,13.497
80.5,93.5,16,-11.253,4.218,15.471
80.5,94.5,16,-15.614,3.428,19.042
80.5,95.5,16,-15.905,4.802,20.707
80.5,96.5,16,-12.857,5.882,18.739
80.5,97.5,16,-11.264,5.757,17.022
80.5,98.5,16,-11.301,5.256,16.557
80.5,99.5,10,-10.586,6.357,16.943
79.5,-106.5,4,1.711,10.254,8.543
79.5,-105.5,8,1.033,12.97,11.936
79.5,-104.5,8,-2.591,13.188,15.778
79.5,-103.5,8,-0.833,13.863,14.696
79.5,-102.5,6,-1.573,13.867,15.44
79.5,-101.5,7,-2.029,14.25,16.278
79.5,-100.5,10,2.643,13.375,10.732
79.5,-99.5,11,3.145,14.217,11.072
79.5,-98.5,15,3.421,13.3,9.879
79.5,-97.5,16,2.018,11.64,9.622
79.5,-96.5,16,1.166,15.32,14.154
79.5,-95.5,16,3.803,18.842,15.039
79.5,-94.5,16,4.748,18.463,13.715
79.5,-93.5,16,2.781,16.626,13.845
79.5,-92.5,16,3.74,16.574,12.835
79.5,-91.5,16,5.57,16.487,10.917
79.5,-90.5,16,5.301,16.004,10.703
79.5,-89.5,16,5.943,19.29,13.347
79.5,-88.5,16,3.173,18.412,15.239
79.5,-87.5,16,2.473,17.241,14.768
79.5,-86.5,16,1.592,17.397,15.805
79.5,-85.5,16,1.244,18.242,16.998
79.5,-84.5,16,1.932,17.792,15.861
79.5,-83.5,16,2.511,17.034,14.523
79.5,-82.5,16,3.389,17.755,14.366
79.5,-81.5,16,0.185,16.005,15.821
79.5,-80.5,16,-3.74,13.383,17.123
79.5,-79.5,16,-5.933,12.325,18.258
79.5,-78.5,16,-3.772,12.458,16.23
79.5,-77.5,16,-1.625,13.825,15.45
79.5,-76.5,16,-2.322,14.421,16.743
79.5,-75.5,16,-6.737,10.241,16.978
79.5,-74.5,16,-9.188,7.681,16.869
79.5,-73.5,16,-10.015,9.798,19.813
79.5,-72.5,14,-5.459,12.157,17.616
79.5,-71.5,12,-3.439,14.085,17.524
79.5,-70.5,12,-2.905,8.92,11.825
79.5,-69.5,14,-0.814,8.319,9.132
79.5,-68.5,8,1.835,7.605,5.769
79.5,-67.5,13,2.099,8.013,5.914
79.5,-66.5,16,0.507,6.445,5.938
79.5,-65.5,16,1.118,5.124,4.006
79.5,-64.5,16,-0.744,4.976,5.719
79.5,-63.5,16,-1.626,4.901,6.527
79.5,-62.5,16,-1.051,5.154,6.205
79.5,-61.5,16,-0.96,7.906,8.866
79.5,-60.5,16,-0.081,7.471,7.552
79.5,-59.5,16,1.196,6.461,5.266
79.5,-58.5,16,1.974,7.614,5.641
79.5,-57.5,16,2.499,7.093,4.594
79.5,-56.5,16,1.524,6.897,5.373
79.5,-55.5,16,0.443,6.595,6.152
79.5,-54.5,16,-0.657,6.227,6.885
79.5,-53.5,16,-1.777,4.262,6.039
79.5,-52.5,16,-1.224,3.783,5.007
79.5,-51.5,16,-1.102,3.14,4.242
79.5,-50.5,16,-1.054,3.209,4.263
79.5,-49.5,16,-0.718,3.358,4.076
79.5,-48.5,16,-1.057,3.717,4.774
79.5,-47.5,16,-0.726,4.282,5.008
79.5,-46.5,16,-1.106,4.898,6.004
79.5,-45.5,16,-1.184,5.025,6.209
79.5,-44.5,16,-0.862,5.002,5.864
79.5,-43.5,16,-0.626,5.595,6.221
79.5,-42.5,16,-2.003,6.084,8.087
79.5,-41.5,16,-3.17,6.957,10.127
79.5,-40.5,16,-0.997,7.028,8.025
79.5,-39.5,16,-0.684,4.133,4.817
79.5,-38.5,16,-0.715,2.326,3.041
79.5,-37.5,16,-0.457,3.436,3.893
79.5,-36.5,16,-0.351,3.164,3.515
79.5,-35.5,16,-0.997,3.267,4.264
79.5,-34.5,16,-3.259,3.115,6.374
79.5,-33.5,16,-5.263,2.906,8.169
79.5,-32.5,16,-6.851,2.43,9.281
79.5,-31.5,16,-6.762,3.581,10.343
79.5,-30.5,16,-5.928,4.253,10.181
79.5,-29.5,16,-5.827,4.402,10.229
79.5,-28.5,16,-6.525,3.686,10.211
79.5,-27.5,16,-5.907,2.113,8.02
79.5,-26.5,16,-4.661,0.946,5.608
79.5,-25.5,16,-7.287,0.452,7.738
79.5,-24.5,16,-5.711,2.953,8.664
79.5,-23.5,16,-4.139,2.092,6.231
79.5,-22.5,16,-5.212,2.536,7.748
79.5,-21.5,16,-6.335,3.607,9.942
79.5,-20.5,16,-6.043,8.189,14.232
79.5,-19.5,16,-5.091,7.168,12.259
79.5,-18.5,16,1.708,15.508,13.801
79.5,-17.5,16,3.612,18.01,14.398
79.5,-16.5,13,4.812,18.879,14.066
79.5,-15.5,6,5.559,19.595,14.036
79.5,-14.5,1,6.076,24.958,18.882
79.5,9.5,11,1.604,26.535,24.932
79.5,10.5,16,1.792,23.785,21.992
79.5,11.5,16,-0.739,17.607,18.346
79.5,12.5,16,0.14,14.24,14.1
79.5,13.5,16,1.44,16.695,15.255
79.5,14.5,16,0.11,13.295,13.185
79.5,15.5,16,-0.139,10.986,11.125
79.5,16.5,16,0.234,8.132,7.898
79.5,17.5,16,-1.917,6.14,8.056
79.5,18.5,16,-3.431,5.541,8.972
79.5,19.5,16,0.587,9.342,8.756
79.5,20.5,16,0.617,11.192,10.575
79.5,21.5,16,1.371,9.582,8.211
79.5,22.5,16,1.954,8.899,6.945
79.5,23.5,16,2.353,10.144,7.791
79.5,24.5,16,0.681,10.178,9.497
79.5,25.5,16,1.209,9.101,7.892
79.5,26.5,16,1.697,12.506,10.809
79.5,27.5,16,3.622,14.705,11.084
79.5,28.5,12,5.181,18.548,13.367
79.5,29.5,8,3.853,17.608,13.755
79.5,30.5,7,3.287,18.233,14.946
79.5,31.5,11,2.477,19.819,17.342
79.5,32.5,8,2.072,22.919,20.847
79.5,33.5,8,3.054,25.198,22.145
79.5,34.5,6,3.785,26.459,22.674
79.5,35.5,4,5.775,25.572,19.797
79.5,36.5,4,5.443,26.003,20.56
79.5,37.5,4,6.267,25.713,19.446
79.5,38.5,4,7.51,27.083,19.573
79.5,45.5,3,4.501,18.187,13.686
79.5,46.5,5,6.281,14.687,8.406
79.5,47.5,8,6.558,14.364,7.805
79.5,48.5,8,7.947,16.528,8.581
79.5,49.5,8,8.937,16.121,7.184
79.5,50.5,8,9.425,15.252,5.827
79.5,51.5,8,7.953,17.076,9.123
79.5,52.5,8,7.208,21.465,14.256
79.5,53.5,4,6.88,21.861,14.981
79.5,54.5,4,6.638,18.72,12.082
79.5,55.5,7,8.016,16.005,7.99
79.5,56.5,8,7.521,13.567,6.046
79.5,57.5,10,5.67,11.905,6.235
79.5,58.5,12,1.731,8.447,6.716
79.5,59.5,10,1.162,6.991,5.829
79.5,60.5,8,-1.675,5.117,6.791
79.5,61.5,6,-2.076,3.778,5.854
79.5,62.5,4,-2.691,7.274,9.965
79.5,75.5,9,2.04,13.037,10.996
79.5,76.5,12,0.477,13.385,12.909
79.5,77.5,12,0.16,12.728,12.568
79.5,78.5,12,0.83,13.099,12.268
79.5,79.5,3,0.659,11.151,10.491
79.5,89.5,5,-1.541,5.246,6.788
79.5,90.5,15,-3.454,6.803,10.257
79.5,91.5,16,-5.685,6.54,12.225
79.5,92.5,16,-6.118,6.784,12.902
79.5,93.5,16,-8.053,5.481,13.533
79.5,94.5,16,-7.343,6.049,13.392
79.5,95.5,16,-9.965,6.234,16.199
79.5,96.5,16,-13.163,4.956,18.119
79.5,97.5,16,-15.883,3.606,19.489
79.5,98.5,16,-15.245,2.99,18.235
79.5,99.5,16,-14.665,3.405,18.07
79.5,100.5,16,-9.979,8.71,18.689
79.5,101.5,16,-8.859,9.408,18.267
79.5,102.5,8,-8.694,9.998,18.692
79.5,103.5,8,-8.342,10.442,18.784
79.5,104.5,8,-5.547,11.676,17.223
79.5,105.5,3,-5.732,16.596,22.328
78.5,-115.5,1,5.291,7.979,2.688
78.5,-114.5,8,4.085,10.081,5.996
78.5,-113.5,12,3.63,10.825,7.195
78.5,-112.5,12,1.924,10.488,8.564
78.5,-111.5,13,2.273,8.804,6.531
78.5,-110.5,16,3.857,8.407,4.549
78.5,-109.5,14,3.872,10.098,6.227
78.5,-108.5,9,4.924,9.426,4.502
78.5,-107.5,3,6.846,8.746,1.9
78.5,-106.5,7,3.676,13.941,10.266
78.5,-105.5,16,3.611,11.918,8.307
78.5,-104.5,16,0.164,13.041,12.877
78.5,-103.5,16,-2.223,14.216,16.439
78.5,-102.5,16,-1.1,15.887,16.986
78.5,-101.5,16,-0.685,16.337,17.022
78.5,-100.5,16,-0.035,13.968,14.003
78.5,-99.5,16,1.77,11.424,9.654
78.5,-98.5,16,3.714,10.912,7.198
78.5,-97.5,16,3.533,12.517,8.984
78.5,-96.5,14,2.452,13.154,10.703
78.5,-95.5,15,4.756,12.538,7.782
78.5,-94.5,16,5.258,13.778,8.519
78.5,-93.5,16,5.87,15.906,10.036
78.5,-92.5,16,5.934,18.381,12.447
78.5,-91.5,16,5.215,20.168,14.953
78.5,-90.5,16,5.856,19.661,13.806
78.5,-89.5,16,6.912,21.315,14.402
78.5,-88.5,16,6.491,20.459,13.968
78.5,-87.5,16,5.764,19.255,13.491
78.5,-86.5,16,5.211,17.271,12.06
