anio_centro_ventana15,zona,inicio_dia_del_anio,fin_dia_del_anio,temporada_dias
2001,Global,173.803,217.648,44.845
2002,Global,173.787,218.628,45.841
2003,Global,173.193,219.061,46.868
2004,Global,173.412,220.256,47.844
2005,Global,172.425,219.833,48.408
2006,Global,172.304,219.503,48.2
2007,Global,171.953,219.811,48.858
2008,Global,171.541,221.094,50.553
2009,Global,171.063,221.612,51.549
2010,Global,171.097,222.081,51.984
2011,Global,170.298,222.669,53.371
2012,Global,169.655,223.752,55.098
2013,Global,168.837,223.806,55.97
2014,Global,167.937,224.092,57.156
2015,Global,168.016,224.965,57.949
2016,Global,167.274,226.956,60.681
