estacion,anio,n_olas,dias_ola,inicio_dia_del_anio,fin_dia_del_anio,temporada_dias,tipo_primera_ola_1rap_2mod_3len
Calif,1995,,,,,,
Calif,1996,1.0,7.0,153.0,159.0,7.0,2.0
Calif,1997,,,,,,
Calif,1998,1.0,3.0,216.0,218.0,3.0,1.0
Calif,1999,,,,,,
Calif,2000,2.0,7.0,141.0,167.0,27.0,2.0
Calif,2001,2.0,11.0,127.0,145.0,19.0,2.0
Calif,2002,1.0,3.0,156.0,158.0,3.0,2.0
Calif,2003,,,,,,
Calif,2004,1.0,3.0,123.0,125.0,3.0,2.0
Calif,2005,,,,,,
Calif,2006,3.0,17.0,135.0,208.0,74.0,3.0
Calif,2007,3.0,13.0,164.0,247.0,84.0,3.0
Calif,2008,3.0,13.0,135.0,192.0,58.0,1.0
Calif,2009,3.0,11.0,136.0,271.0,136.0,2.0
Calif,2010,2.0,7.0,236.0,273.0,38.0,2.0
Calif,2011,1.0,3.0,265.0,267.0,3.0,2.0
Calif,2012,1.0,3.0,222.0,224.0,3.0,2.0
Calif,2013,4.0,17.0,122.0,186.0,65.0,1.0
Calif,2014,6.0,27.0,121.0,261.0,141.0,2.0
Calif,2015,4.0,13.0,228.0,265.0,38.0,2.0
Calif,2016,5.0,22.0,152.0,271.0,120.0,2.0
Calif,2017,6.0,34.0,141.0,247.0,107.0,2.0
Calif,2018,4.0,15.0,198.0,232.0,35.0,2.0
Calif,2019,4.0,15.0,161.0,258.0,98.0,2.0
Calif,2020,6.0,26.0,128.0,273.0,146.0,1.0
Calif,2021,9.0,40.0,151.0,266.0,116.0,2.0
Calif,2022,10.0,53.0,144.0,270.0,127.0,2.0
Calif,2023,4.0,23.0,135.0,230.0,96.0,2.0
CHI,1979,,,,,,
CHI,1980,1.0,3.0,200.0,202.0,3.0,2.0
CHI,1981,,,,,,
CHI,1982,2.0,7.0,124.0,135.0,12.0,2.0
CHI,1983,5.0,27.0,173.0,253.0,81.0,3.0
CHI,1984,,,,,,
CHI,1985,,,,,,
CHI,1986,1.0,3.0,270.0,272.0,3.0,2.0
CHI,1987,4.0,17.0,129.0,206.0,78.0,2.0
CHI,1988,8.0,42.0,148.0,230.0,83.0,3.0
CHI,1989,,,,,,
CHI,1990,,,,,,
CHI,1991,6.0,25.0,180.0,259.0,80.0,3.0
CHI,1992,,,,,,
CHI,1993,,,,,,
CHI,1994,2.0,10.0,166.0,259.0,94.0,2.0
CHI,1995,4.0,15.0,193.0,238.0,46.0,2.0
CHI,1996,1.0,4.0,137.0,140.0,4.0,2.0
CHI,1997,,,,,,
CHI,1998,,,,,,
CHI,1999,3.0,12.0,202.0,248.0,47.0,2.0
CHI,2000,,,,,,
CHI,2001,3.0,13.0,121.0,222.0,102.0,2.0
CHI,2002,2.0,7.0,182.0,253.0,72.0,2.0
CHI,2003,,,,,,
CHI,2004,,,,,,
CHI,2005,3.0,14.0,155.0,256.0,102.0,2.0
CHI,2006,1.0,3.0,212.0,214.0,3.0,1.0
CHI,2007,2.0,7.0,142.0,268.0,127.0,2.0
CHI,2008,1.0,3.0,243.0,245.0,3.0,3.0
CHI,2009,1.0,3.0,174.0,176.0,3.0,2.0
CHI,2010,,,,,,
CHI,2011,5.0,18.0,130.0,246.0,117.0,3.0
CHI,2012,6.0,25.0,122.0,237.0,116.0,2.0
CHI,2013,1.0,3.0,252.0,254.0,3.0,2.0
CHI,2014,,,,,,
CHI,2015,2.0,7.0,225.0,251.0,27.0,2.0
CHI,2016,1.0,4.0,161.0,164.0,4.0,2.0
CHI,2017,3.0,14.0,161.0,269.0,109.0,2.0
CHI,2018,5.0,17.0,145.0,240.0,96.0,2.0
CHI,2019,,,,,,
CHI,2020,1.0,3.0,144.0,146.0,3.0,1.0
CHI,2021,,,,,,
CHI,2022,4.0,15.0,130.0,182.0,53.0,2.0
CHI,2023,2.0,8.0,150.0,237.0,88.0,3.0
