age_ka_bp,charcoal_acc_rate_n_per_cm2_yr,year_ce
4.798,0.3782,-2848.0
4.842,0.3645,-2892.0
4.889,0.2214,-2939.0
4.932,0.2808,-2982.0
4.975,0.1269,-3025.0
5.022,0.0544,-3072.0
5.068,0.0327,-3118.0
5.114,0.0,-3164.0
5.158,0.805,-3208.0
5.197,0.171,-3247.0
5.241,0.3864,-3291.0
5.285,0.2692,-3335.0
5.324,0.2862,-3374.0
5.371,0.5579,-3421.0
5.413,0.3285,-3463.0
5.442,0.1563,-3492.0
5.471,0.2253,-3521.0
5.498,0.409,-3548.0
5.527,0.1954,-3577.0
5.555,0.1895,-3605.0
5.592,0.1675,-3642.0
5.628,0.4786,-3678.0
5.662,0.1872,-3712.0
5.7,0.0262,-3750.0
5.738,0.0586,-3788.0
5.781,0.0796,-3831.0
5.825,0.2258,-3875.0
5.869,0.428,-3919.0
5.905,0.789,-3955.0
5.944,0.3542,-3994.0
5.985,0.0736,-4035.0
6.026,0.2644,-4076.0
6.07,0.1457,-4120.0
6.1,0.1049,-4150.0
6.129,0.2871,-4179.0
6.162,0.6685,-4212.0
6.192,1.0799,-4242.0
6.217,0.1581,-4267.0
6.258,0.1627,-4308.0
6.295,0.2067,-4345.0
6.331,0.1518,-4381.0
6.374,0.1758,-4424.0
6.431,0.1316,-4481.0
6.488,0.0711,-4538.0
6.537,0.1291,-4587.0
6.595,0.1836,-4645.0
6.658,0.1324,-4708.0
6.722,0.1278,-4772.0
6.785,0.2903,-4835.0
6.838,0.0924,-4888.0
6.903,0.2605,-4953.0
6.965,0.1891,-5015.0
7.025,0.1433,-5075.0
7.085,0.1472,-5135.0
7.139,0.2662,-5189.0
7.205,0.1784,-5255.0
7.272,0.0963,-5322.0
7.34,0.0318,-5390.0
7.402,0.0423,-5452.0
7.462,0.1277,-5512.0
7.532,0.2465,-5582.0
7.607,0.1936,-5657.0
7.669,0.0761,-5719.0
7.728,0.1295,-5778.0
7.786,0.0358,-5836.0
7.842,0.0831,-5892.0
7.896,0.1921,-5946.0
7.951,0.3639,-6001.0
8.003,0.0798,-6053.0
8.053,0.1744,-6103.000000000001
8.113,0.367,-6163.0
8.151,0.4076,-6201.0
8.193,0.1417,-6243.0
8.253,0.1091,-6303.0
8.326,0.0553,-6376.0
8.417,0.1376,-6467.0
8.511,0.0766,-6561.0
8.596,0.0185,-6646.0
8.677,0.1955,-6727.0
8.757,0.2086,-6807.0
8.831,0.0365,-6881.0
8.899,0.1236,-6949.0
8.972,0.1171,-7022.0
9.045,0.1035,-7095.0
9.117,0.0558,-7167.0
9.189,0.1023,-7239.0
9.257,0.1621,-7307.0
9.319,0.1275,-7369.0
9.382,0.1196,-7432.0
9.482,0.0469,-7532.0
9.546,0.2819,-7596.0
9.615,0.0571,-7665.0
9.685,0.1362,-7735.0
9.751,0.1489,-7801.0
9.815,0.2636,-7865.0
9.893,0.0304,-7943.0
9.975,0.249,-8025.0
10.061,0.0237,-8111.0
10.146,0.0529,-8196.0
10.231,0.0236,-8281.0
10.316,0.0943,-8366.0
10.401,0.1027,-8451.0
10.483,0.1199,-8533.0
10.554,0.0396,-8604.0
10.617,0.1071,-8667.0
10.673,0.1813,-8723.0
10.726,0.0594,-8776.0
10.785,0.178,-8835.0
10.841,0.2244,-8891.0
10.894,0.1003,-8944.0
10.954,0.1437,-9004.0
11.027,0.2106,-9077.0
11.101,0.3416,-9151.0
11.171,0.1419,-9221.0
11.245,0.1735,-9295.0
11.32,0.2633,-9370.0
11.394,0.1427,-9444.0
11.478,0.1842,-9528.0
11.56,0.1487,-9610.0
11.63,0.0834,-9680.0
11.702,0.5522,-9752.0
11.769,0.5224,-9819.0
11.836,1.0682,-9886.0
11.902,0.8248,-9952.0
11.971,0.7175,-10021.0
12.039,1.0263,-10089.0
12.107,0.5628,-10157.0
12.173,0.4742,-10223.0
12.236,0.5645,-10286.0
12.297,0.6878,-10347.0
12.364,0.6251,-10414.0
12.436,0.8531,-10486.0
