anio,fertilizante_molH_ha,estiercol_molH_ha,deposicion_N_molH_ha,deposicion_S_molH_ha,mineralizacion_N_suelo_molH_ha,fijacion_biologica_N_molH_ha,acidez_total_molH_ha,acidez_total_sd_molH_ha,cal_alcalinidad_mol_ha,cal_alcalinidad_sd_mol_ha,exceso_acidez_molH_ha,acidez_acumulada_Tmol,exceso_acidez_acumulado_Tmol,fraccion_acidez_neutralizada_acum
1932,3.240764452015656,158.1278687834997,75.45936161653879,276.8552660259538,49.7370694921141,184.845380093368,748.26571046349,80.12019790396411,52.83872643155182,7.331709845900987,695.4269840319382,6.704320702819465,6.077615355595478,0.09347782944816896
1933,3.81830338042723,163.4494799509202,73.49286739989087,272.2923901490999,49.7370694921141,181.9340759490829,744.7241863215352,78.25137999769223,53.06074506748218,7.253710703788576,691.6634412540529,6.945581601913184,6.301686692034069,0.0927056864038213
1934,6.112289441258785,168.7710906418247,71.47901247847747,269.0044821516444,49.7370694921141,165.463270826061,730.5672150313804,74.09299967137557,78.35841513744722,10.55374238321595,652.2087998939332,7.182256207605077,6.512976300119,0.09318518974266003
1935,6.949489219659091,168.0108606112194,69.41637821658867,265.5556780296009,49.7370694921141,176.8498323743876,736.5193079435697,74.78065190302642,102.8555082447353,13.64841937228076,633.6637996988344,7.420859053729951,6.718258068653475,0.09467919818842628
1936,8.081941089537715,167.2506304474567,68.98516151600623,261.9312063802535,49.7370694921141,173.9761587458937,729.9621676712619,73.61580931836536,175.9200132847027,22.99873826669003,554.0421543865591,7.657337648237061,6.897745603445868,0.09919793010121145
1937,9.518655383411843,170.2915507985307,68.61956544091544,258.7588885400024,49.7370694921141,174.2555154974185,731.1812451523929,73.37657740377959,216.813004549463,27.92595575097506,514.3682406029299,7.8942111751695805,7.06438037437506,0.1051189007211598
1938,8.803483022280833,173.3324710809509,68.31247099492877,255.9743953729244,49.7370694921141,170.4909763892704,726.6508663524694,72.40849432389504,195.9594761721877,24.86697433905907,530.6913901802817,8.12961704027161,7.236303193974356,0.1098838779086461
1939,9.418660683945326,176.3733920201355,68.05775277007665,253.5250394656607,49.7370694921141,164.5763663217206,721.6882807536529,71.17111373424845,232.6113677601085,29.08181898526226,489.0769129935443,8.363415225798583,7.394744584655682,0.1158223781780975
1940,10.69142882059563,183.215463384761,67.85011188752618,251.3672751109452,49.7370694921141,166.4415715373589,729.3029202333009,71.57949593813264,360.4830856937319,44.40271068328605,368.819834539569,8.599680250459933,7.514227483853742,0.1262201308645329
1941,12.14977650123363,190.0575348815928,74.35354160422081,277.317641020767,49.7370694921141,166.6646499848084,770.2802134847367,74.00262214191845,484.9560096492731,58.85195506994202,285.3242038354635,8.849220281887346,7.606661132733279,0.1404145347921045
