anio,potencial_cdr_GtCO2,potencial_cdr_sd_GtCO2,scepter_P_cdr_GtCO2,scepter_PET_cdr_GtCO2,scepter_incert_min_GtCO2,scepter_incert_max_GtCO2,rio_cdr_GtCO2,rio_cdr_sd_GtCO2,IPCC_emision_acum_GtCO2,EEUU_emision_acum_GtCO2
1932,0.01379049,0.00226678,0.00443565632739404,-0.0038034330361038,-0.0044683,0.00537764,,,0.01379049448932701,0.006782210404587055
1933,0.01416875,0.00231849,0.00548702272555659,-0.0030805973221909,-0.0036254,0.00659669,,,0.01416874651816244,0.006968235992538906
1934,0.01472734,0.00239372,0.00609230970310724,-0.00297607780954925,-0.0035019,0.00730253,,,0.01472733704425425,0.007242952644715207
1935,0.01546056,0.00249102,0.00667227334149898,-0.0027317934549216,-0.003213,0.00797969,0.0019800230397776,0.0032918238434888,0.01546055902636158,0.007603553619522086
1936,0.01671463,0.00265497,0.00651146142263869,-0.0030793517477181,-0.0035945,0.00781451,-0.0030017431136842,0.0043345504844712,0.01671463304761905,0.008220311334894613
1937,0.01826022,0.00285404,0.00622272885050839,-0.0036973251017815,-0.0042801,0.00750678,-0.0026705648828317,0.0056664970253554,0.01826021931378324,0.00898043572809012
1938,0.01965715,0.00303131,0.00639518566986584,-0.00396687532796295,-0.0045713,0.00772384,-0.0027057966095181,0.0069335905945614,0.01965714785930952,0.009667449766873533
1939,0.02131536,0.00323862,0.00626316234978399,-0.004645771503778,-0.0053223,0.00759807,-0.0038402582088214,0.0080983370732984,0.02131535529068928,0.01048296161837178
1940,0.02388512,0.00355516,0.00577851370752409,-0.0057600273762187,-0.0065578,0.00708452,-0.0108372791287473,0.0089897217346331,0.02388511676597761,0.01174677873736604
1941,0.0273422,0.00397469,0.00477015128470649,-0.008067524123799,-0.0091406,0.0059919,-0.0143534054520535,0.0101524943966408,0.02734220343734796,0.01344698529705637
1942,0.0313188,0.00445014,0.00387715007084604,-0.0104609015025857,-0.0118184,0.00503947,-0.0160374819876651,0.0112767569997264,0.03131880369536165,0.01540269034198114
1943,0.03550197,0.0049429,0.00299972042150219,-0.0132649665750382,-0.0149434,0.0041143,-0.0155230987780432,0.0125506989560041,0.03550197448403725,0.01745998745116586
1944,0.04092174,0.00557188,0.00232233721748099,-0.0161361549104849,-0.0181311,0.00343752,-0.0128102558231877,0.0138258405190938,0.04092173529065025,0.0201254435855657
1945,0.0458467,0.006135,0.00347460661241509,-0.0178515573335135,-0.0200217,0.00482471,-0.0042348535477094,0.0151850001088061,0.04584669982554642,0.02254755729125234
1946,0.05224851,0.00685616,0.00342254983010874,-0.0210047291906237,-0.0235145,0.0048747,-0.0015220105928539,0.0162108979650654,0.05224851083327327,0.02569598893439669
1947,0.0585681,0.00755753,0.00330122329186079,-0.0243624022182647,-0.0272174,0.00484713,0.0019236522770793,0.0173010230952748,0.0585680999932017,0.02880398360321395
1948,0.06442982,0.00819848,0.00466052951747949,-0.0264161981933661,-0.0294574,0.00647796,0.003537265359318,0.0183697219880135,0.06442982241911063,0.03168679791103802
1949,0.07050388,0.00885283,0.00608852970514749,-0.0288827256369075,-0.0321557,0.00819255,0.0071661332080208,0.0194784545608977,0.07050387945133674,0.03467403907442791
1950,0.07597888,0.00943392,0.00985070871565484,-0.0290941904834346,-0.0323269,0.01251124,0.0153751255259601,0.0206065425256772,0.07597887809209393,0.03736666135676751
1951,0.08145915,0.01000699,0.0143614365449697,-0.028380085523764,-0.031441,0.01766333,0.0255993726103635,0.021671238462496,0.0814591523676135,0.04006187821358041
1952,0.0874147,0.01062054,0.0166524912201234,-0.029509150914224,-0.0326154,0.02032404,0.0292282404590663,0.0226845337916723,0.08741470302591871,0.04299083755373051
1953,0.09264733,0.01115165,0.0192952108641509,-0.0302244101066502,-0.0333446,0.02335975,0.0262617290720685,0.0236795328013856,0.0926473349415047,0.04556426308598592
1954,0.09778829,0.01166575,0.0234716866245839,-0.0299732156267857,-0.0329831,0.02809723,0.0196311181096815,0.0246322336541396,0.0977882879869441,0.04809260064931677
1955,0.10316671,0.01221166,0.0272890641411779,-0.0299880492884168,-0.0329447,0.03241563,0.0186187931628912,0.0256943527014126,0.1031667117919221,0.05073772711078137
1956,0.10924453,0.01283781,0.0305343095539147,-0.030187397078526,-0.0331055,0.0360858,0.0138202319881988,0.0267035700424721,0.109244528228494,0.05372681716155443
1957,0.11523582,0.01345505,0.0359294153536553,-0.0276286448319095,-0.0301863,0.04213261,0.0167162799218237,0.0278862760103445,0.1152358244777567,0.05667335630053606
1958,0.1217952,0.01412082,0.038203552961849,-0.0302027386361927,-0.0329816,0.04472653,0.0185130979828319,0.029220824146278,0.121795197261195,0.05989927734157131
1959,0.12879824,0.01482113,0.041886909052245,-0.029195743425705,-0.0317568,0.04888925,0.0177450463410676,0.0302243683361485,0.1287982442439186,0.06334339880848454
1960,0.13604314,0.01555649,0.0441602785406303,-0.0308601259214452,-0.0335263,0.05148643,0.0186258395082285,0.0312954117806768,0.136043138201755,0.06690646141069917
1961,0.14289422,0.0162623,0.0496412256798958,-0.0282595250456797,-0.0305687,0.05762563,0.0228043222932397,0.032352213220738,0.1428942187438936,0.07027584528388212
1962,0.14969913,0.01696336,0.0532851828859507,-0.0294260143061493,-0.0318041,0.06173676,0.0266163951207119,0.0333151394530234,0.149699133406463,0.07362252462612935
1963,0.15704965,0.01770944,0.055082554961152,-0.0320019539348768,-0.0345958,0.06382164,0.0227338588398668,0.0344429989846456,0.1570496515687825,0.0772375335584176
1964,0.16433539,0.01843801,0.060021249824094,-0.030680046022951,-0.0330466,0.06940205,0.0188513225590217,0.0354538355333748,0.1643353916357731,0.08082068441103596
1965,0.17118731,0.01913348,0.0672050563664205,-0.0270432813378915,-0.0293164,0.07744527,0.0197321157261826,0.036513864547364,0.1711873103834023,0.08419048051642739
1966,0.1777327,0.01980781,0.0723191599023144,-0.0248485628641095,-0.0275898,0.08317208,0.0186434553715717,0.0376772442355091,0.1777327032201627,0.08740952617385053
1967,0.18355499,0.02040763,0.0800478497453038,-0.020425824953317,-0.024036,0.09176665,0.0187608944605265,0.0388809902497072,0.1835549921425972,0.09027294695537566
1968,0.19020573,0.02108268,0.0872537538668686,-0.0171543538834447,-0.0214935,0.09977651,0.0200844329930469,0.0399366180323173,0.1902057325728386,0.09354380290467472
1969,0.19558995,0.0216211,0.0938165118693145,-0.013785521784979,-0.0187978,0.1070608,0.0249957356931359,0.0409357470414866,0.1955899532353917,0.09619178027970085
1970,0.20125139,0.02219574,0.101020680964752,-0.00959848949218671,-0.015358,0.11503105,0.0277085786479914,0.0419353180376508,0.2012513885827038,0.09897609274559205
1971,0.20582867,0.0226673,0.107913487820763,-0.00530732611019881,-0.0117725,0.12264401,0.027673346921305,0.0429465456213343,0.2058286657653045,0.1012272126714612
1972,0.2096233,0.02305823,0.116448585886635,0.00197361544553298,-0.0054828,0.13204369,0.0300197799186215,0.0439539776719267,0.2096232956859613,0.1030934241078498
1973,0.21336246,0.02343776,0.12620553574687,0.01116194798102,0.00248394,0.14277665,0.0431753066633363,0.0452683678210466,0.2133624647055732,0.1049323596912655
1974,0.2174144,0.02384295,0.134062474958887,0.0176138228335537,0.00805677,0.15140689,0.0521171188963535,0.0465293144527532,0.2174143955821421,0.1069251125813813
1975,0.22244705,0.02435377,0.140593479099265,0.0231046244744363,0.01278754,0.15855691,0.0573948315539814,0.0477465840657223,0.2224470473011889,0.109400187197306
1976,0.22935013,0.02506494,0.142846000693372,0.023161087549496,0.01268132,0.1610082,0.054977935103292,0.0488273069817929,0.2293501309363934,0.1127951463621607
1977,0.23565686,0.02570507,0.147649007490351,0.0260521812541652,0.01509574,0.16626587,0.0514618087799858,0.049942099049796,0.2356568555742243,0.1158968142168316
1978,0.243055,0.02644489,0.151664364766148,0.0291674793277465,0.0176879,0.17069016,0.0561899065013054,0.0509868611766372,0.243054998140548,0.1195352449871547
1979,0.25013733,0.02716374,0.1571548526369,0.0341042392338039,0.02191242,0.17673518,0.0656813336706309,0.0519510271764138,0.2501373347920409,0.1230183613731349
1980,0.25710104,0.02788116,0.16090987094528,0.0343521850424022,0.02197566,0.18089261,0.0672949467528696,0.0531514569902105,0.2571010432910349,0.1264431360447713
1981,0.2629837,0.02847825,0.167371885309354,0.0372938710076425,0.02442209,0.18805332,0.0668933050686443,0.054190233209211,0.2629837007756082,0.129336246283086
1982,0.26808715,0.0289886,0.175756985924003,0.0437271344406689,0.02991429,0.19733943,0.0752855023653531,0.055342341217399,0.2680871511823229,0.1318461399257326
1983,0.27269467,0.02945626,0.182870224953851,0.0503572411447728,0.03566183,0.20520449,0.0873417992374511,0.0566391953720139,0.2726946741707675,0.1341121348380824
1984,0.27800459,0.0300033,0.190072122538555,0.0572728738448275,0.04166766,0.21314394,0.0984820712157018,0.0580700325711993,0.2780045866325927,0.1367235671963571
