paso_modelo,anio,P|solo_acidez|acid_best|sin_cal,P|acidez_cal|acid_best|cal_best,PET|solo_acidez|acid_best|sin_cal,PET|acidez_cal|acid_best|cal_best,P|solo_acidez|acid_+1sd|sin_cal,P|solo_acidez|acid_-1sd|sin_cal,PET|solo_acidez|acid_+1sd|sin_cal,PET|solo_acidez|acid_-1sd|sin_cal,P|acidez_cal|acid_+1sd|cal_best,P|acidez_cal|acid_-1sd|cal_best,PET|acidez_cal|acid_+1sd|cal_best,PET|acidez_cal|acid_-1sd|cal_best,P|acidez_cal|acid_+1sd|cal_+1sd,P|acidez_cal|acid_-1sd|cal_-1sd,PET|acidez_cal|acid_+1sd|cal_+1sd,PET|acidez_cal|acid_-1sd|cal_-1sd,P|acidez_cal|acid_+1sd|cal_-1sd,P|acidez_cal|acid_-1sd|cal_+1sd,PET|acidez_cal|acid_+1sd|cal_-1sd,PET|acidez_cal|acid_-1sd|cal_+1sd
11,1910,6.173511297085051,6.319084028776551,3.40183132023974,3.6594440201571152,7.02358217229595,5.319788124960265,3.8501584336441903,2.9504207925618253,7.170246625649201,5.464736455146905,4.106041028576805,3.2043391752947152,7.197126101119551,5.438156669408325,4.158180791675595,3.157921587238845,7.1434012707442,5.4915399856235805,4.059795669058615,3.2544485050991305
12,1911,7.347176667407551,7.455914627053651,5.34375659425359,5.601132867215255,8.35223048242085,6.339701404374466,6.04525164391769,4.633731872833356,8.4630454572166,6.447163718736605,6.2993271577292855,4.888973277076955,8.48134137261835,6.429271706682435,6.3518936043730445,4.842287652682096,8.4439498495913,6.465453092126181,6.2530359077450655,4.937061727609351
13,1912,7.0760041190276,7.155281032339051,4.48968466312482,4.768791239763821,8.029542006484801,6.12058439679287,5.07874523680362,3.891008369732875,8.10988408172475,6.198052702733841,5.359905986341485,4.169498484180815,8.1228256781299,6.18637510757914,5.410934617388551,4.11642884567681,8.097960574686901,6.20976335782494,5.306921586757365,4.219590482604035
14,1913,6.9337896114507,7.02480675423725,4.90145054024998,5.197409341131971,7.8575888802558,6.00601700215045,5.54764120489214,4.253760767246566,7.950360461759851,6.0956903940716005,5.843041307372105,4.546314213360215,7.963827610812101,6.082518790816601,5.89528215017021,4.49362334701891,7.936785489432601,6.1086816816032,5.789676012607005,4.597355026676976
15,1914,7.170588236190101,7.313733984787,4.84971361106792,5.2333766269596405,8.120244965450851,6.21797007246675,5.47682939391871,4.218583767932105,8.265784007870101,6.3593955381191005,5.85956833881817,4.597664329843925,8.2879627274236,6.337560713199551,5.929081651694575,4.530574624973565,8.2430516576085,6.38118836917375,5.792736983795851,4.664549843837135
16,1915,8.409477463496401,8.396812928898502,6.20146100261792,6.51374738257169,9.51991140572575,7.29748974826575,7.01515395167931,5.376802971766735,9.5098998121983,7.2820995512996,7.3324665844525,5.688393755167306,9.5022657922998,7.29032883929415,7.385956318279325,5.632247509779295,9.517298363668,7.27358068959695,7.281742269855941,5.741032536705455
17,1916,7.799341756887051,7.879144891790001,5.538385851688606,5.943983275436096,8.80506145323915,6.790143672881551,6.230463025906716,4.843569946481221,8.887233571116651,6.867276676603351,6.63501198977105,5.24176378319202,8.89536764455795,6.860239047043151,6.70187966319315,5.175608851984226,8.87982713314455,6.8738148027395,6.56292655354971,5.307225213579005
18,1917,7.52940300163675,7.4390720637761,5.757137968143896,5.992309702498695,8.493434989576551,6.562086408673951,6.475360489201526,5.02858627704596,8.405554663511051,6.469363021973351,6.71586398988465,5.26043803946337,8.38360164227735,6.49221168054155,6.7517578564238505,5.222386475598266,8.427795198808251,6.4458913165127,6.674796269704551,5.295739367815806
19,1918,8.64376945234715,8.43681625731635,6.915766152262026,7.10409006564981,9.746854371398102,7.5377016309995,7.76493872096225,6.053315093994056,9.5435990746048,7.3274151124292,7.960600851875901,6.2403264183231055,9.498769752435951,7.373110079458301,7.987825889940251,6.215989567510031,9.5874472005702,7.282228375908,7.932030025306301,6.2626892828666
20,1919,9.11227843786065,8.951594481022552,7.788927339565055,8.04753245986876,10.2831978750392,7.940402242954001,8.76443983975675,6.809359562431205,10.125488731551702,7.7761200165845,9.024929601323802,7.0461223176677255,10.088091108807951,7.813956207198601,9.062846096072551,7.0123733126436605,10.162391815143,7.736928667842601,8.9834762787066,7.087110346765511
