age_ka,co2_ppm
265.71,199.9
266.64,211.7
268.06,188.7
268.67,187.2
269.79,194.2
271.1,198.8
272.38,184.7
273.59,190.4
274.62,193.9
275.65,194.1
276.82,198.4
278.19,193.2
279.41,202.2
280.53,204.5
281.62,211.0
282.47,215.3
283.42,223.7
285.35,231.3
286.8,228.0
287.45,226.4
288.21,231.4
288.56,230.4
289.06,231.0
290.73,234.9
291.42,220.4
292.05,217.1
293.29,207.6
294.15,206.0
295.08,206.7
295.91,212.7
297.57,213.1
299.55,217.1
300.28,224.4
301.12,231.0
301.96,236.1
302.84,239.0
303.82,236.0
304.75,240.2
305.77,240.7
306.35,250.2
307.15,248.6
307.79,244.8
308.95,225.8
309.9,227.8
310.38,226.2
311.08,233.2
311.99,237.8
312.85,239.0
313.53,241.9
314.19,251.6
314.92,256.7
315.69,257.1
316.35,246.8
317.04,272.6
317.92,251.6
318.92,245.2
319.83,233.4
320.85,255.8
321.73,249.2
323.21,257.2
323.96,260.4
324.79,260.3
325.55,260.5
326.28,266.2
327.07,264.0
327.68,266.1
328.31,270.1
328.95,271.9
329.58,275.1
330.72,265.0
331.7,271.7
332.3,272.6
332.9,273.1
333.33,282.4
333.64,289.1
333.82,288.4
334.35,298.6
334.94,278.1
335.6,285.8
336.12,278.6
336.79,270.5
337.51,255.7
338.29,241.9
339.28,239.6
340.03,234.2
342.11,250.1
343.23,200.7
344.24,205.2
345.65,204.8
347.19,211.9
349.03,220.3
351.95,221.1
353.56,216.2
354.93,209.4
356.81,209.2
360.44,193.0
362.36,186.1
364.42,185.8
367.34,201.2
370.56,206.3
374.08,201.9
376.24,199.9
378.14,214.7
379.95,224.6
381.66,229.6
385.68,227.0
387.21,240.0
388.93,239.1
390.49,246.8
392.07,245.8
394.95,258.1
395.59,259.5
396.55,273.6
397.49,260.7
400.89,276.3
402.5,277.1
403.28,283.2
404.7,283.1
405.37,275.7
406.8,276.5
407.55,280.5
408.98,279.6
409.69,285.6
411.11,284.5
411.83,274.7
412.6,282.6
413.44,283.5
415.24,274.9
416.14,264.9
417.02,271.6
417.66,276.4
418.06,271.7
418.91,273.4
419.36,271.8
419.86,274.6
420.85,273.7
421.37,271.2
421.91,273.8
423.05,268.6
423.63,266.4
424.26,270.6
425.35,267.7
425.89,268.3
426.42,270.8
426.85,270.0
427.19,265.4
427.66,255.3
428.33,252.1
429.1,248.2
429.39,242.5
431.05,219.7
432.12,227.2
433.62,211.5
434.09,207.6
435.39,209.8
436.76,207.5
438.24,200.3
439.59,201.7
440.97,201.3
442.45,202.0
443.87,199.1
445.8,201.1
447.13,203.5
448.36,208.1
449.56,201.7
450.7,201.2
451.82,204.9
452.97,201.9
454.17,198.4
455.36,193.3
456.62,192.5
457.31,199.1
457.81,204.3
458.46,203.3
458.93,208.3
460.22,202.4
461.52,195.5
462.88,190.7
464.12,194.4
465.3,199.9
466.02,205.2
466.41,210.0
467.82,208.1
469.11,204.4
470.34,203.4
471.57,205.5
472.31,206.5
472.78,215.5
473.4,218.7
473.86,229.2
474.45,232.7
474.78,243.7
475.37,243.9
475.68,245.6
476.71,241.2
477.88,233.1
478.86,232.8
479.77,236.6
480.69,239.1
481.24,236.5
481.66,231.3
482.25,220.8
482.63,218.8
483.52,223.8
484.47,223.4
485.26,227.3
486.05,231.4
486.81,231.4
487.55,231.2
488.31,233.0
489.06,232.9
489.75,231.3
490.43,237.1
491.12,242.0
491.54,240.9
491.86,252.8
492.32,249.3
492.56,242.6
493.32,243.3
494.05,246.7
494.76,243.7
495.51,239.7
496.25,239.1
497.0,238.3
497.75,238.5
498.46,237.6
499.17,236.4
499.92,236.5
500.66,232.8
501.43,230.6
502.21,230.8
502.97,228.2
503.71,230.8
504.41,231.2
505.14,232.0
505.85,232.2
506.52,234.1
507.24,233.9
507.96,235.5
508.7,236.0
509.44,238.2
510.24,237.0
511.05,240.3
511.86,233.4
512.67,236.4
513.48,235.2
514.26,242.0
515.03,238.2
515.77,239.2
516.51,241.5
517.27,243.0
517.98,247.2
518.71,246.2
519.43,245.5
520.11,245.3
520.82,247.7
521.52,245.5
522.24,243.5
524.46,241.9
525.26,236.8
526.15,235.8
526.98,233.7
527.82,230.3
528.69,227.8
529.47,224.7
530.33,222.7
531.15,221.2
532.01,220.3
532.83,220.7
533.35,214.5
533.76,211.4
534.37,204.4
534.77,200.0
535.59,195.1
535.99,193.8
536.71,190.5
537.25,199.8
538.48,199.4
539.6,205.0
540.68,206.4
541.75,212.9
542.85,211.2
543.96,205.0
545.02,203.6
546.08,208.1
547.1,210.3
548.11,209.6
549.02,209.7
549.98,204.6
550.84,202.5
551.33,208.8
551.67,213.6
552.54,215.2
553.32,219.9
554.0,221.7
554.42,222.3
554.7,226.3
555.08,222.1
555.26,220.3
555.84,223.6
556.44,224.3
557.05,226.7
557.6,233.9
558.15,241.0
558.46,243.0
558.69,249.1
559.03,244.0
559.24,250.5
559.58,245.6
559.73,240.4
560.21,238.1
560.77,234.5
561.1,229.7
561.36,230.2
561.98,230.3
562.52,228.3
563.03,231.6
563.49,231.9
563.91,234.6
564.27,234.1
564.75,240.1
565.15,242.3
565.55,245.7
565.91,245.8
566.31,247.6
566.71,251.4
567.1,252.4
567.45,252.6
567.8,251.4
568.15,253.7
568.48,254.3
568.83,253.9
569.17,254.5
569.54,253.2
569.85,253.9
570.17,252.8
570.56,253.0
570.93,250.2
571.3,251.3
571.66,250.0
572.03,251.3
572.4,251.8
572.8,251.8
573.21,249.6
573.58,251.6
573.96,250.3
574.31,246.31
574.68,247.66
575.1,249.19
575.52,248.72
575.99,251.77
576.45,251.86
576.9,252.08
577.34,248.86
577.82,252.54
578.3,252.9
578.81,251.3
579.34,251.34
579.86,251.08
580.41,249.06
580.96,252.92
581.55,251.47
581.96,244.14
582.16,243.81
582.62,236.17
582.95,230.26
583.38,225.21
583.74,219.41
584.23,215.45
584.61,209.88
585.33,206.68
585.76,210.64
588.82,223.96
589.36,225.99
590.09,234.4
590.46,238.78
591.08,246.35
591.56,250.2
592.17,248.1
592.64,243.56
593.29,237.38
594.88,225.68
595.26,229.39
596.02,233.16
596.5,238.15
597.34,237.98
597.95,232.92
598.86,221.22
599.53,216.44
600.7,216.27
601.29,219.02
602.25,225.97
602.92,229.38
604.46,232.45
606.02,237.86
607.51,239.14
608.91,244.53
610.3,248.48
611.65,254.58
612.97,259.22
614.2,257.74
615.44,257.82
615.5,259.68
616.75,258.14
617.97,256.19
619.21,252.75
620.4,252.9
620.46,252.73
621.79,252.64
623.15,248.29
624.44,245.89
625.79,243.53
627.13,243.89
627.24,239.19
628.66,237.93
629.47,235.02
630.07,228.51
630.98,215.71
631.87,205.76
633.23,199.52
633.99,205.27
634.11,200.78
635.96,200.46
636.76,196.5
638.27,193.1
639.04,195.95
639.16,194.86
640.55,194.0
641.62,195.33
643.28,188.85
644.27,190.18
645.78,191.38
646.4,191.56
647.59,195.31
648.35,195.82
649.45,189.89
650.27,191.85
651.82,193.48
652.47,196.17
653.57,189.25
654.13,193.44
655.27,187.27
655.85,186.79
656.8,192.87
657.48,194.82
658.65,200.0
659.35,200.35
660.39,192.93
660.83,189.23
660.89,190.88
661.85,184.1
662.34,187.38
662.45,185.68
663.47,188.43
664.11,193.97
664.21,191.59
665.49,189.69
666.22,193.91
666.34,190.86
667.54,191.02
667.96,192.55
668.05,187.77
668.99,180.17
669.5,180.54
670.39,174.77
671.01,173.71
671.99,177.71
672.54,180.67
673.64,187.66
674.25,191.51
675.11,194.88
675.51,196.83
676.2,194.79
676.77,197.13
677.7,201.12
678.36,204.67
679.28,211.69
679.69,216.12
680.78,222.57
681.39,219.96
681.86,216.59
682.65,218.21
683.17,220.09
683.98,229.16
684.24,232.7
684.84,233.61
685.18,233.11
685.8,225.81
686.25,227.9
686.93,221.31
687.37,219.14
688.24,220.24
688.61,222.7
689.18,225.64
689.49,224.36
690.02,221.82
690.41,220.62
691.01,220.63
691.32,222.62
691.88,222.7
692.16,222.97
692.67,226.73
692.95,227.65
693.43,227.64
693.77,230.67
694.27,232.07
694.52,232.27
695.08,235.8
695.34,236.45
695.74,239.29
695.93,238.42
696.38,239.38
696.7,243.56
697.16,239.3
697.38,238.47
697.88,243.7
698.14,237.76
698.53,239.34
698.75,240.46
699.11,239.31
699.38,239.8
699.79,236.8
700.01,238.74
700.44,238.05
700.64,238.13
701.03,239.44
701.24,238.42
701.59,239.88
701.84,241.03
702.24,240.9
702.45,241.83
702.89,238.86
703.1,239.01
703.47,239.73
703.68,237.21
704.01,236.72
704.29,236.61
704.68,235.42
704.91,232.46
705.33,230.88
705.51,232.16
705.93,232.18
706.16,230.59
706.55,233.35
706.84,232.28
707.22,232.83
707.51,233.54
707.95,234.04
708.12,235.09
708.55,237.18
708.83,237.66
709.21,236.05
709.39,236.05
709.9,238.85
710.22,233.51
710.74,233.58
710.93,233.11
711.37,234.84
711.77,231.43
712.14,230.51
712.6,227.03
713.05,224.9
713.45,225.39
714.02,224.12
714.2,224.0
715.1,223.89
715.75,227.64
716.05,227.08
716.67,223.14
717.07,227.58
717.61,213.6
717.8,210.51
718.38,198.43
718.9,189.88
719.61,193.46
720.05,200.82
720.83,212.03
721.33,217.04
722.08,219.2
722.31,218.96
723.01,216.1
723.42,212.11
724.06,212.55
724.36,214.01
725.16,210.48
725.66,211.49
726.29,211.08
726.55,211.43
727.68,210.07
728.32,210.24
728.67,211.08
729.51,210.01
729.91,212.17
730.41,210.16
730.63,210.7
731.22,211.62
731.63,213.73
732.25,208.11
732.59,207.72
733.25,210.6
733.73,216.15
734.34,214.66
734.58,217.88
735.22,217.19
735.62,213.14
736.37,206.92
736.76,204.52
737.7,191.74
738.32,185.61
739.27,185.4
739.64,183.39
740.64,184.77
741.28,189.14
742.15,188.65
742.59,187.33
743.56,188.18
744.17,188.97
745.45,187.29
746.5,190.24
747.14,187.92
748.01,187.95
748.46,187.54
749.5,188.68
750.17,190.17
751.47,192.08
751.87,191.3
752.86,193.55
753.45,197.5
754.39,195.43
754.85,203.9
756.1,199.05
756.62,203.3
757.72,208.1
758.02,209.45
758.85,213.61
759.35,218.35
760.2,222.72
760.73,226.94
761.14,223.02
761.43,225.37
761.91,225.62
762.43,222.71
763.65,216.64
764.0,214.69
765.03,214.0
765.71,219.95
766.58,223.89
767.05,222.93
767.44,233.66
767.69,229.41
768.03,232.12
768.69,230.62
769.86,224.86
770.29,223.82
771.36,221.64
772.06,225.87
773.15,230.63
773.6,229.56
774.11,236.32
774.4,234.24
774.76,239.71
775.05,243.89
775.31,246.49
775.56,243.85
775.84,246.03
776.3,237.78
776.72,239.23
777.79,238.39
778.46,241.74
779.35,245.32
779.83,248.92
780.8,247.3
781.4,252.46
782.33,254.93
782.66,254.69
783.53,254.43
784.1,252.52
785.0,257.21
785.36,251.51
786.33,257.44
786.93,255.02
788.14,260.92
788.94,255.85
789.48,259.66
790.2,262.23
790.59,264.35
791.46,269.36
791.98,266.0
792.76,257.2
793.01,257.02
793.99,238.64
794.51,235.49
795.23,227.38
795.68,230.55
796.73,224.69
797.41,214.45
798.5,213.36
798.9,218.39
800.45,208.79
801.19,204.62
802.77,198.79
803.47,197.91
805.11,200.49
807.85,198.68
