participante_id,grupo,valencia,precision_percepcion,precision_comprension,precision_proyeccion
E050,experimental,sorprendente,0.916667,0.5,0.833333
C000,control,rutinario,0.875,1.0,1.0
C001,control,rutinario,0.833333,1.0,0.833333
C002,control,rutinario,0.916667,1.0,1.0
C003,control,rutinario,0.916667,1.0,0.833333
C004,control,rutinario,0.875,1.0,1.0
C005,control,rutinario,0.875,1.0,1.0
C006,control,rutinario,0.875,1.0,1.0
C007,control,rutinario,0.916667,1.0,0.5
C008,control,rutinario,0.833333,0.833333,0.5
C009,control,rutinario,0.875,1.0,1.0
C010,control,rutinario,0.875,1.0,1.0
C011,control,rutinario,0.875,0.666667,0.666667
C012,control,rutinario,0.875,0.833333,0.833333
C013,control,rutinario,0.875,1.0,0.833333
C014,control,rutinario,0.875,1.0,0.833333
C015,control,rutinario,0.916667,0.833333,0.666667
C016,control,rutinario,0.875,1.0,0.833333
C017,control,rutinario,0.833333,0.666667,0.833333
C018,control,rutinario,0.833333,0.833333,0.666667
C019,control,rutinario,0.916667,0.833333,0.666667
C020,control,rutinario,0.875,0.833333,0.5
C021,control,rutinario,0.875,1.0,0.666667
C022,control,rutinario,0.875,1.0,1.0
C023,control,rutinario,0.875,1.0,0.666667
C024,control,rutinario,0.875,1.0,1.0
C025,control,rutinario,0.875,0.833333,1.0
C026,control,rutinario,0.875,1.0,0.833333
C027,control,rutinario,0.875,1.0,0.666667
C028,control,rutinario,0.791667,1.0,0.333333
C029,control,rutinario,0.916667,0.833333,0.833333
C030,control,rutinario,0.916667,1.0,0.833333
C031,control,rutinario,0.875,0.833333,0.833333
C032,control,rutinario,0.875,1.0,1.0
C033,control,rutinario,0.916667,1.0,0.5
C034,control,rutinario,0.875,1.0,0.833333
C035,control,rutinario,0.875,1.0,0.833333
C036,control,rutinario,0.791667,1.0,1.0
C037,control,rutinario,0.875,1.0,0.166667
C038,control,rutinario,0.875,1.0,1.0
C039,control,rutinario,0.916667,1.0,1.0
C040,control,rutinario,0.875,1.0,0.833333
C041,control,rutinario,0.875,1.0,1.0
C042,control,rutinario,0.875,1.0,1.0
C043,control,rutinario,0.875,0.833333,0.666667
C044,control,rutinario,0.833333,1.0,1.0
C045,control,rutinario,0.791667,0.5,0.5
C046,control,rutinario,0.875,1.0,1.0
C047,control,rutinario,0.875,1.0,1.0
E000,experimental,rutinario,1.0,1.0,1.0
E001,experimental,rutinario,1.0,1.0,1.0
E002,experimental,rutinario,0.916667,1.0,1.0
E003,experimental,rutinario,0.541667,0.666667,1.0
E004,experimental,rutinario,1.0,0.833333,1.0
E005,experimental,rutinario,0.958333,0.833333,0.833333
E006,experimental,rutinario,1.0,0.833333,0.666667
E007,experimental,rutinario,0.958333,1.0,0.833333
E008,experimental,rutinario,1.0,1.0,0.5
E009,experimental,rutinario,0.958333,1.0,1.0
E010,experimental,rutinario,0.875,1.0,1.0
E011,experimental,rutinario,1.0,0.833333,0.5
E012,experimental,rutinario,0.916667,0.666667,0.5
E013,experimental,rutinario,0.875,1.0,0.5
E014,experimental,rutinario,0.916667,1.0,0.833333
E015,experimental,rutinario,0.916667,0.666667,0.833333
E016,experimental,rutinario,0.833333,0.333333,1.0
E017,experimental,rutinario,0.875,0.333333,0.166667
E018,experimental,rutinario,0.916667,0.666667,0.666667
E019,experimental,rutinario,0.833333,0.833333,1.0
E020,experimental,rutinario,0.708333,0.833333,0.833333
E021,experimental,rutinario,0.916667,0.833333,1.0
E022,experimental,rutinario,1.0,0.833333,1.0
E023,experimental,rutinario,0.875,1.0,0.833333
E024,experimental,rutinario,1.0,1.0,1.0
E025,experimental,rutinario,0.875,1.0,0.666667
E026,experimental,rutinario,0.833333,1.0,1.0
E027,experimental,rutinario,0.875,1.0,0.5
E028,experimental,rutinario,0.708333,1.0,0.5
E029,experimental,rutinario,0.916667,0.666667,0.833333
E030,experimental,rutinario,0.958333,1.0,0.833333
E031,experimental,rutinario,0.958333,0.833333,0.666667
E032,experimental,rutinario,0.75,1.0,1.0
E033,experimental,rutinario,1.0,0.833333,0.333333
E034,experimental,rutinario,0.875,0.333333,0.666667
E035,experimental,rutinario,0.875,1.0,0.833333
E036,experimental,rutinario,0.958333,1.0,0.833333
E037,experimental,rutinario,0.833333,0.833333,0.166667
E038,experimental,rutinario,0.375,0.5,0.5
E039,experimental,rutinario,1.0,0.5,0.666667
E040,experimental,rutinario,0.791667,0.833333,0.833333
E041,experimental,rutinario,0.916667,1.0,1.0
E042,experimental,rutinario,0.875,1.0,1.0
E043,experimental,rutinario,0.875,0.833333,1.0
E044,experimental,rutinario,0.958333,1.0,1.0
E045,experimental,rutinario,0.916667,1.0,0.666667
E046,experimental,rutinario,0.416667,1.0,0.333333
E047,experimental,rutinario,0.958333,0.666667,0.666667
E048,experimental,rutinario,0.916667,1.0,1.0
E049,experimental,rutinario,0.875,1.0,1.0
E050,experimental,rutinario,0.875,1.0,0.833333
