participante_id,grupo,escenario,delta_modelo_mental,delta_prediccion,categoria_modelo_mental,cambio_prediccion
N012,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N013,no_expertos,ASV,14.0,14.0,mejoro,mejoro
N014,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N015,no_expertos,ASV,11.0,12.0,mejoro,mejoro
N016,no_expertos,ASV,-1.0,0.0,empeoro,sin_cambio
N017,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N018,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N019,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N020,no_expertos,ASV,13.0,12.0,mejoro,mejoro
N021,no_expertos,ASV,1.0,-2.0,mejoro,sin_cambio
N022,no_expertos,ASV,12.0,2.0,mejoro,sin_cambio
N023,no_expertos,ASV,7.0,6.0,mejoro,mejoro
N024,no_expertos,ASV,0.0,13.0,sin_cambio,mejoro
N025,no_expertos,ASV,11.0,0.0,mejoro,sin_cambio
N026,no_expertos,ASV,1.0,11.0,mejoro,mejoro
N027,no_expertos,ASV,-1.0,-1.0,empeoro,sin_cambio
N028,no_expertos,ASV,0.0,0.0,sin_cambio,sin_cambio
N029,no_expertos,ASV,12.0,0.0,mejoro,sin_cambio
N000,no_expertos,BIKE,7.0,7.0,mejoro,mejoro
N001,no_expertos,BIKE,2.0,1.0,mejoro,sin_cambio
N002,no_expertos,BIKE,12.0,2.0,mejoro,sin_cambio
N003,no_expertos,BIKE,3.0,9.0,mejoro,mejoro
N004,no_expertos,BIKE,10.0,10.0,mejoro,mejoro
N005,no_expertos,BIKE,1.0,1.0,mejoro,sin_cambio
N006,no_expertos,BIKE,0.0,-1.0,sin_cambio,sin_cambio
N007,no_expertos,BIKE,2.0,1.0,mejoro,sin_cambio
N008,no_expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
N009,no_expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
N010,no_expertos,BIKE,1.0,1.0,mejoro,sin_cambio
N011,no_expertos,BIKE,3.0,1.0,mejoro,sin_cambio
N012,no_expertos,BIKE,7.0,0.0,mejoro,sin_cambio
N013,no_expertos,BIKE,10.0,1.0,mejoro,sin_cambio
N014,no_expertos,BIKE,9.0,10.0,mejoro,mejoro
N015,no_expertos,BIKE,-1.0,0.0,empeoro,sin_cambio
N016,no_expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
N017,no_expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
N018,no_expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
N019,no_expertos,BIKE,3.0,0.0,mejoro,sin_cambio
N020,no_expertos,BIKE,6.0,12.0,mejoro,mejoro
N021,no_expertos,BIKE,2.0,2.0,mejoro,sin_cambio
N022,no_expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
N023,no_expertos,BIKE,3.0,2.0,mejoro,sin_cambio
N024,no_expertos,BIKE,0.0,12.0,sin_cambio,mejoro
N025,no_expertos,BIKE,-3.0,-10.0,empeoro,empeoro
N026,no_expertos,BIKE,11.0,10.0,mejoro,mejoro
N027,no_expertos,BIKE,9.0,9.0,mejoro,mejoro
N028,no_expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
N029,no_expertos,BIKE,0.0,0.0,sin_cambio,sin_cambio
N000,no_expertos,CLOSE,1.0,3.0,mejoro,sin_cambio
N001,no_expertos,CLOSE,1.0,10.0,mejoro,mejoro
N002,no_expertos,CLOSE,10.0,10.0,mejoro,mejoro
N003,no_expertos,CLOSE,11.0,9.0,mejoro,mejoro
N004,no_expertos,CLOSE,11.0,9.0,mejoro,mejoro
N005,no_expertos,CLOSE,11.0,10.0,mejoro,mejoro
N006,no_expertos,CLOSE,3.0,-3.0,mejoro,sin_cambio
N007,no_expertos,CLOSE,4.0,3.0,mejoro,sin_cambio
N008,no_expertos,CLOSE,13.0,1.0,mejoro,sin_cambio
N009,no_expertos,CLOSE,5.0,3.0,mejoro,sin_cambio
N010,no_expertos,CLOSE,0.0,10.0,sin_cambio,mejoro
N011,no_expertos,CLOSE,10.0,10.0,mejoro,mejoro
N012,no_expertos,CLOSE,13.0,3.0,mejoro,sin_cambio
N013,no_expertos,CLOSE,13.0,0.0,mejoro,sin_cambio
N014,no_expertos,CLOSE,3.0,2.0,mejoro,sin_cambio
N015,no_expertos,CLOSE,12.0,0.0,mejoro,sin_cambio
N016,no_expertos,CLOSE,14.0,0.0,mejoro,sin_cambio
N017,no_expertos,CLOSE,0.0,0.0,sin_cambio,sin_cambio
N018,no_expertos,CLOSE,13.0,1.0,mejoro,sin_cambio
N019,no_expertos,CLOSE,8.0,3.0,mejoro,sin_cambio
N020,no_expertos,CLOSE,12.0,10.0,mejoro,mejoro
N021,no_expertos,CLOSE,9.0,5.0,mejoro,sin_cambio
N022,no_expertos,CLOSE,-2.0,-9.0,empeoro,empeoro
N023,no_expertos,CLOSE,8.0,0.0,mejoro,sin_cambio
N024,no_expertos,CLOSE,1.0,1.0,mejoro,sin_cambio
N025,no_expertos,CLOSE,-11.0,-14.0,empeoro,empeoro
N026,no_expertos,CLOSE,1.0,1.0,mejoro,sin_cambio
N027,no_expertos,CLOSE,12.0,10.0,mejoro,mejoro
N028,no_expertos,CLOSE,0.0,0.0,sin_cambio,sin_cambio
N029,no_expertos,CLOSE,14.0,14.0,mejoro,mejoro
