case,log10_Ljet,beta,halfOpenAngle_deg,inclination_deg
1,36.8488,0.5036,0.6842,27.293
1,36.866,0.4088,0.662,27.7864
1,37.1344,0.4243,1.3285,27.4607
1,35.9796,0.6207,0.0815,27.6038
1,37.102,0.4725,1.2431,28.2143
1,37.0491,0.4793,0.9835,27.1876
1,36.0915,0.3945,0.116,26.9528
1,37.1605,0.5124,1.2757,27.236
1,37.1415,0.5111,1.2485,26.2041
1,36.9295,0.4816,0.7501,28.2579
1,37.1839,0.4976,1.3957,27.1331
1,37.0365,0.5141,0.9513,27.5986
1,37.1326,0.5056,1.1758,25.6527
1,36.7843,0.4258,0.6152,26.8644
1,36.6558,0.4968,0.4443,28.5047
1,36.8116,0.5236,0.6103,27.4792
1,35.9529,0.5684,0.0734,27.0094
1,37.0741,0.5011,1.1731,27.8025
1,37.2671,0.5682,1.6331,26.4557
1,37.2148,0.5285,1.6827,28.1868
1,36.9623,0.4555,0.8506,27.5584
1,37.0856,0.4032,1.1272,25.9097
1,36.343,0.5183,0.1913,26.9482
1,36.9561,0.5739,0.916,29.117
1,36.9059,0.4103,0.7578,27.5803
1,36.764,0.4096,0.5496,27.6225
1,37.0039,0.4274,1.0988,29.2166
1,35.8366,0.5438,0.0597,26.9692
1,36.7697,0.6083,0.5432,25.7752
1,36.9471,0.4146,0.8886,28.3155
1,37.1579,0.444,1.3407,28.3511
1,36.5902,0.4066,0.3694,27.0983
1,36.9533,0.3881,0.866,27.2609
1,36.6962,0.4622,0.4576,27.884
1,36.8949,0.3974,0.7507,27.0777
1,37.0599,0.4587,1.0437,26.694
1,37.0958,0.5519,1.1771,28.944
1,36.646,0.5781,0.4201,29.0119
1,36.1651,0.4011,0.1353,28.5044
1,37.0986,0.5255,1.0948,26.4248
1,36.9195,0.407,0.787,27.3747
1,36.9404,0.5223,0.8292,27.9864
1,37.0918,0.3774,1.2918,29.0763
1,36.7654,0.5436,0.5581,26.8237
1,36.9517,0.4242,0.8437,25.5025
1,36.978,0.4239,0.9282,27.8864
1,37.152,0.5259,1.3602,27.8101
1,36.9601,0.3913,0.8031,26.8871
1,36.4746,0.5186,0.2819,28.0011
1,37.1815,0.3855,1.3786,28.0526
1,37.1184,0.4987,1.2117,27.0101
1,37.24,0.4833,1.5346,28.1685
1,37.1321,0.3746,1.2679,26.0918
1,37.0005,0.4973,0.965,27.91
1,37.0386,0.5061,1.1189,27.7938
1,37.16,0.3841,1.3073,26.3277
1,36.8508,0.531,0.688,27.3908
1,36.5071,0.4591,0.2788,26.0833
1,36.5659,0.4873,0.3541,25.5596
1,36.0994,0.4329,0.1244,27.0092
1,36.9617,0.5311,0.8953,28.6122
1,36.4895,0.5698,0.28,27.1925
1,36.9483,0.465,0.9148,28.2389
1,36.6304,0.568,0.3883,25.4057
1,37.2033,0.549,1.6028,28.9626
1,37.0701,0.4132,1.172,27.102
1,37.0189,0.4819,1.0293,26.9388
1,37.0321,0.4395,1.0062,27.5217
1,36.0006,0.5477,0.0801,27.8681
1,35.866,0.445,0.0659,26.4478
1,36.6571,0.5089,0.4168,27.0355
1,36.9724,0.4094,0.876,26.9317
1,36.7745,0.4371,0.542,27.0237
1,36.3969,0.3759,0.2209,29.0482
1,36.2227,0.3833,0.152,26.7829
1,36.9981,0.5657,0.9031,28.5715
1,35.8138,0.4791,0.0651,27.246
1,36.7944,0.4816,0.5732,25.7398
1,36.2932,0.5063,0.1586,25.4728
1,37.15,0.4818,1.2723,26.3068
1,37.1434,0.6007,1.1503,26.5295
1,36.7618,0.4502,0.5516,28.0377
1,36.8204,0.506,0.6234,28.9661
1,36.3237,0.5304,0.2067,27.8896
1,36.9534,0.4219,0.8228,26.9112
1,36.7426,0.5023,0.4982,26.1777
1,37.1084,0.5976,1.2028,27.6051
1,36.7473,0.5209,0.5135,26.9145
1,37.2099,0.4448,1.4483,26.2484
1,36.9189,0.5081,0.7845,28.2172
1,36.8554,0.4863,0.6799,28.391
1,37.1252,0.5125,1.1331,26.9188
1,37.0042,0.5836,0.9071,27.9593
1,36.7492,0.4795,0.5609,27.4853
1,37.0115,0.4437,0.9785,26.7441
1,37.128,0.5189,1.2921,26.8405
1,37.0772,0.4003,1.137,29.6291
1,36.6196,0.562,0.4049,28.2737
1,36.8097,0.4506,0.6509,28.8039
1,37.0342,0.3851,1.0113,27.5575
1,37.1314,0.4922,1.2839,27.4046
1,36.6548,0.4538,0.4133,26.9401
1,37.2982,0.6954,1.7437,26.7355
1,35.8396,0.4383,0.064,26.544
1,37.1093,0.4742,1.0787,26.3973
1,36.8448,0.4029,0.8265,28.7187
1,37.0524,0.4557,1.0859,27.1967
1,35.9425,0.4579,0.0845,26.6866
1,37.0821,0.4215,1.0484,25.9307
1,37.1052,0.4194,1.2907,27.8558
1,36.9363,0.4906,0.766,26.1794
1,36.6672,0.4108,0.4259,26.3462
1,36.6747,0.4812,0.4537,27.2273
1,37.1111,0.3583,1.2157,27.9483
1,37.1667,0.472,1.3307,28.1788
1,37.2138,0.5794,1.5635,27.0198
1,37.2182,0.4305,1.5544,27.0183
1,35.8976,0.4148,0.0701,26.3507
1,36.8184,0.5166,0.6284,27.9114
1,36.8979,0.4673,0.8344,29.9516
1,36.9225,0.4623,0.7633,27.1211
1,36.3424,0.4808,0.2288,28.0224
1,37.1552,0.437,1.3034,28.233
1,36.1523,0.4069,0.1333,27.3142
1,36.9268,0.5196,0.7583,27.2601
1,36.7876,0.4377,0.5838,28.4989
1,37.0954,0.4244,1.1229,27.3534
1,36.934,0.4953,0.8486,27.4943
1,37.0297,0.4993,0.9638,27.0907
1,37.1124,0.4534,1.2789,27.2763
1,37.0048,0.4951,0.8681,26.2697
1,37.0314,0.4039,0.9941,27.1465
1,36.985,0.4934,0.8757,27.5589
1,36.6162,0.5255,0.4259,29.2965
1,37.1204,0.4982,1.1967,27.5277
1,36.6671,0.5496,0.394,28.7017
1,37.1733,0.4886,1.4942,27.1269
1,36.6737,0.4808,0.4423,27.6896
1,36.9094,0.5033,0.7214,27.1112
1,37.1797,0.4863,1.4743,28.613
1,36.8632,0.5192,0.724,28.1164
1,37.1957,0.549,1.374,28.1908
1,36.9088,0.4546,0.7855,27.5427
1,36.9104,0.4172,0.7268,26.416
1,37.0176,0.5067,0.8478,26.7126
1,36.9879,0.7375,0.7739,25.9167
1,36.7812,0.41,0.6448,29.329
1,36.8564,0.4811,0.6372,27.749
1,37.1978,0.4755,1.439,26.6015
1,36.143,0.4873,0.1174,26.6926
1,37.2646,0.425,1.6146,27.9515
1,36.6333,0.5413,0.3847,28.5743
1,37.1923,0.5731,1.511,26.6647
1,36.5767,0.4458,0.3673,27.4874
1,36.4087,0.434,0.232,26.8402
1,37.2634,0.546,1.5915,26.2851
1,36.7824,0.3806,0.5067,27.6233
1,36.6052,0.613,0.3927,28.369
1,37.283,0.4501,1.5083,27.2469
1,37.2306,0.5038,1.581,26.9863
1,37.1205,0.5103,1.2722,28.2309
1,37.1468,0.5069,1.3242,27.1487
1,37.0113,0.4268,1.0577,28.1721
1,36.7413,0.4793,0.5669,28.2467
1,36.9867,0.5105,0.9107,28.9012
1,37.1641,0.4953,1.4403,27.0358
1,35.9872,0.5507,0.0926,27.2085
1,36.6638,0.4275,0.4346,27.4376
1,36.8057,0.5076,0.6344,28.4897
1,35.8761,0.5193,0.0596,25.2141
1,36.9908,0.6277,0.8539,27.3102
1,36.8246,0.4476,0.6637,27.8159
1,37.0968,0.5165,1.1568,27.1693
1,36.8379,0.4483,0.6192,28.0196
1,36.2496,0.4167,0.1688,26.6007
1,36.8884,0.4209,0.734,27.5145
1,37.0069,0.4391,1.02,29.0891
1,36.7623,0.4012,0.5866,28.2986
1,37.202,0.4851,1.5295,26.9502
1,36.8576,0.4478,0.65,28.5715
1,36.4513,0.5773,0.2812,27.8941
1,36.7246,0.5058,0.4891,27.0726
1,36.9172,0.4918,0.7334,27.0249
1,37.1903,0.4257,1.3527,26.8289
1,37.0192,0.5891,0.9413,27.7222
1,36.9492,0.5519,0.8594,29.8578
1,37.2435,0.5217,1.7942,26.4849
1,37.2304,0.5216,1.5162,26.3139
1,36.7258,0.5148,0.4772,28.0331
1,37.0622,0.5055,1.0061,27.335
1,37.0504,0.4436,1.0171,25.3554
1,37.2693,0.5929,1.7081,26.4992
1,36.5219,0.438,0.3177,26.7004
1,37.0023,0.46,0.933,27.1232
1,36.9089,0.5004,0.8143,28.5989
1,35.8318,0.5722,0.0573,26.665
1,36.8074,0.4959,0.6172,27.5945
1,36.8301,0.5815,0.5716,27.4192
1,36.9009,0.3974,0.71,26.216
1,37.2887,0.529,1.7593,26.5983
1,36.9816,0.4494,0.9902,27.4139
1,36.4848,0.4522,0.2419,26.3482
1,36.7629,0.4662,0.5268,27.6874
1,36.9216,0.476,0.8588,28.6762
1,36.7707,0.512,0.5298,27.1096
1,37.0534,0.4496,0.9912,28.1236
1,36.566,0.3992,0.3246,26.8687
1,37.2412,0.5419,1.4856,26.0957
1,36.4537,0.4363,0.2615,26.8746
1,36.4278,0.554,0.2503,27.0984
1,37.0176,0.4412,1.039,29.3725
1,37.3089,0.6284,1.8392,27.0192
1,35.844,0.6012,0.0559,25.6064
1,37.165,0.4725,1.346,27.4802
1,37.2998,0.6267,1.8281,28.5823
1,37.1367,0.4844,1.2304,27.347
1,36.9145,0.356,0.7182,25.9468
1,36.976,0.4389,0.9104,27.1306
1,37.1626,0.4742,1.301,27.8851
1,36.2691,0.4113,0.1765,29.0864
1,36.6779,0.3676,0.457,28.0406
1,37.1573,0.485,1.3312,27.8855
1,37.2033,0.4995,1.3451,28.1008
1,36.65,0.4315,0.4133,27.9309
1,37.1627,0.6022,1.3202,30.3326
1,35.8973,0.5555,0.0739,26.6592
1,36.1447,0.5944,0.1188,27.3371
1,36.7303,0.4388,0.5089,26.7703
1,37.0281,0.4796,1.0344,28.6481
1,36.9101,0.5268,0.7163,26.9849
1,37.1383,0.4651,1.0866,26.0194
1,36.7416,0.4939,0.5146,26.6502
1,37.0458,0.4551,0.9983,27.5649
1,37.0952,0.5055,1.103,26.5968
1,37.1405,0.3855,1.4869,27.8578
1,36.9361,0.524,0.7789,27.0358
1,36.4549,0.4687,0.2764,28.3272
1,37.1699,0.5147,1.4055,28.3926
1,36.8798,0.4791,0.6964,27.9231
1,35.8875,0.4319,0.0713,26.3174
1,37.042,0.4469,0.9911,26.8345
1,37.2018,0.5208,1.619,28.9485
1,35.8307,0.4758,0.0623,27.0158
1,37.1187,0.5353,1.2185,27.8663
1,36.4609,0.5254,0.252,27.1722
1,36.9983,0.4551,0.9952,30.0379
1,37.1329,0.4957,1.2688,27.295
1,36.8591,0.4758,0.6706,28.1077
1,36.6995,0.4092,0.5348,26.7491
1,37.0302,0.5015,0.8934,27.4804
1,36.8214,0.4879,0.645,27.1798
1,35.8692,0.55,0.0575,25.9683
1,36.9817,0.4258,1.0073,27.8732
1,36.4144,0.508,0.2313,26.7767
1,36.59,0.5795,0.3338,26.7708
1,37.0721,0.5012,1.1858,27.2495
1,37.2577,0.5316,1.5219,26.4839
1,35.8706,0.5874,0.0641,26.4655
1,36.2778,0.4471,0.1832,27.2954
1,37.125,0.4202,1.3973,27.4157
1,36.7142,0.4561,0.5091,28.1444
1,36.5524,0.4612,0.3333,28.1489
1,36.9394,0.3833,0.8824,26.9003
1,37.2132,0.5547,1.3924,25.5338
1,37.0241,0.5239,0.9811,27.1617
1,36.9863,0.4051,0.9085,28.951
1,37.1692,0.4913,1.4928,28.4571
1,36.7736,0.4472,0.5455,27.3257
1,37.0519,0.4368,1.1059,27.2009
1,37.0255,0.4461,0.8506,27.8035
1,37.1776,0.49,1.4677,28.1733
1,37.1226,0.4678,1.1699,27.9997
1,36.991,0.417,0.9714,28.1553
1,37.1243,0.386,1.3475,29.9974
1,36.6329,0.5117,0.3867,27.9947
1,36.9249,0.5692,0.7305,27.382
1,36.6672,0.4108,0.4259,26.3462
1,36.7207,0.4538,0.4983,27.3059
1,36.9337,0.4686,0.8487,27.4224
1,37.0063,0.4695,0.8573,25.1039
1,36.8625,0.5338,0.6944,27.924
1,36.7493,0.3715,0.5971,27.4953
1,36.62,0.5211,0.341,25.6295
1,36.8531,0.5247,0.6682,26.7878
1,36.7886,0.4481,0.5745,26.4798
1,37.0981,0.5029,1.1498,27.6394
1,35.8135,0.4368,0.0575,25.7136
1,36.5379,0.4692,0.355,27.7585
1,36.8706,0.5324,0.6951,26.819
1,37.0105,0.4335,1.0478,27.4925
1,36.9932,0.5669,0.8539,26.5156
1,37.12,0.4542,1.2406,28.607
1,36.7564,0.4565,0.5005,25.1604
1,36.6422,0.428,0.4277,28.8168
1,37.0354,0.4083,1.0907,29.3241
1,37.0882,0.4542,1.1716,27.3947
1,36.3923,0.5102,0.2335,27.8917
1,36.8671,0.4158,0.7031,25.7858
1,36.8405,0.4873,0.6327,28.0244
1,36.4537,0.4363,0.2615,26.8746
1,36.8165,0.5147,0.5839,27.0036
1,36.3961,0.4607,0.1956,25.2992
1,37.2725,0.567,1.6848,27.1609
1,35.923,0.5631,0.0724,26.9864
1,36.8404,0.4336,0.7163,27.6466
1,35.8976,0.4859,0.0585,25.621
1,36.8631,0.4737,0.6644,29.4697
1,37.055,0.4504,1.1649,28.1957
1,36.77,0.4441,0.4902,25.8933
1,37.0545,0.4794,1.0369,26.9646
1,37.0981,0.4749,1.0218,27.0713
1,37.2,0.5058,1.4567,28.6612
1,36.8441,0.5132,0.6487,27.0258
1,37.1794,0.4735,1.3113,25.6793
1,37.1195,0.5085,1.3209,28.2326
1,36.5556,0.4304,0.3355,27.982
1,37.0696,0.5516,1.072,28.2548
1,36.9222,0.4574,0.8,26.8804
1,36.8325,0.365,0.6289,27.7713
1,37.1719,0.4603,1.4249,27.8118
1,36.9773,0.4892,0.9021,27.6707
1,37.1262,0.4981,1.2232,26.7776
1,36.944,0.4116,0.8317,26.9097
1,37.1753,0.4592,1.381,26.8024
1,36.4198,0.5257,0.2227,25.5929
1,37.1884,0.4129,1.5329,28.1724
1,36.9427,0.4354,0.7782,26.1337
1,36.8868,0.457,0.6828,27.2903
1,36.8128,0.4279,0.622,27.4252
1,36.3566,0.6774,0.2048,27.4299
1,37.0567,0.4559,0.9833,27.2915
1,36.9167,0.3869,0.82,29.3618
1,36.8416,0.6087,0.5807,27.0827
1,36.4174,0.4448,0.2485,27.1395
1,36.3568,0.6568,0.2193,26.6534
1,36.833,0.4444,0.6088,26.8509
1,37.0062,0.4379,0.9456,27.889
1,36.878,0.4671,0.8092,29.5783
1,35.8499,0.5695,0.0595,26.4666
1,36.9203,0.4274,0.8164,27.4306
1,36.6537,0.4538,0.4194,27.9525
1,37.1369,0.4541,1.2824,26.8464
1,37.2005,0.5875,1.4005,29.8547
1,36.8985,0.4404,0.7416,26.9528
1,36.2019,0.4134,0.1526,27.5316
1,36.9755,0.4226,0.8532,27.2455
1,36.6927,0.4249,0.4587,28.6669
1,37.1014,0.4175,1.1316,27.183
1,37.0266,0.4868,0.9987,27.9418
1,36.6097,0.4739,0.4173,26.5142
1,37.0172,0.428,1.0343,29.5143
1,36.8197,0.5002,0.58,26.019
1,37.2705,0.598,1.6483,26.2796
1,37.0305,0.4916,1.1103,27.6116
1,37.097,0.5044,1.166,26.132
1,36.9929,0.4529,0.8656,24.6754
1,37.2316,0.4614,1.3455,27.3229
1,36.9148,0.5048,0.7756,27.7949
1,37.0211,0.3889,1.0776,26.7399
1,36.8538,0.434,0.7017,28.1095
1,37.0552,0.5528,0.9942,27.4154
1,36.8679,0.534,0.7082,27.6341
1,36.7511,0.4327,0.5846,27.6686
1,36.1919,0.4467,0.1379,27.8572
1,36.8011,0.4296,0.5643,26.8535
1,37.2104,0.4306,1.3981,26.1748
1,36.8612,0.4354,0.6435,27.4872
1,37.3069,0.532,1.5997,27.3732
1,36.7518,0.4536,0.6036,28.7942
1,36.778,0.4641,0.513,25.8982
1,36.1596,0.4149,0.1337,27.9236
1,36.9753,0.396,0.9097,26.2109
1,36.9026,0.4874,0.7391,26.7721
1,36.9434,0.5309,0.8932,28.4295
1,37.0516,0.4422,1.0625,26.145
1,37.1064,0.4842,1.2079,27.832
1,36.7788,0.5107,0.5909,28.6943
1,37.123,0.4561,1.2783,26.5597
1,36.5814,0.6263,0.3403,25.8516
1,36.9608,0.4268,0.9182,27.9013
1,37.1473,0.3871,1.359,27.588
1,37.1829,0.4928,1.5126,28.68
1,36.9522,0.4234,0.8907,27.3876
1,36.7116,0.4502,0.4892,26.984
1,36.7929,0.4314,0.5976,27.7775
1,37.1654,0.4622,1.4373,27.5662
1,37.0409,0.4752,0.9279,26.3556
1,36.8662,0.4675,0.6348,28.0139
1,37.2829,0.5958,1.8991,29.1179
1,36.8517,0.4781,0.6835,27.2097
1,36.388,0.4204,0.2307,27.3722
1,36.7529,0.5229,0.5582,28.4677
1,37.2364,0.5597,1.65,27.0114
1,36.9417,0.4933,0.755,27.0749
1,37.0967,0.4693,1.0887,26.6128
1,37.267,0.5111,1.6229,26.4271
1,37.0133,0.4073,0.9893,27.8589
1,37.073,0.6147,1.084,27.9814
1,37.0902,0.4711,1.0856,25.0128
1,36.6797,0.5728,0.4354,27.7324
1,36.5404,0.4476,0.3054,28.5228
1,36.7939,0.545,0.539,27.9352
1,35.9689,0.6122,0.0788,27.4766
1,36.1151,0.4355,0.1242,25.698
1,36.7402,0.4267,0.4887,27.9236
1,37.2112,0.5166,1.4292,26.2529
1,37.1895,0.4732,1.4456,27.4988
1,35.8552,0.4868,0.0628,24.7797
1,37.1371,0.4445,1.1792,27.4368
1,37.2165,0.5666,1.4688,25.457
1,37.1695,0.4912,1.4319,27.3116
1,36.3196,0.3946,0.2046,27.6523
1,36.8168,0.5038,0.634,27.2854
1,36.7429,0.512,0.546,27.8938
1,37.1814,0.5327,1.3373,26.3212
1,37.0266,0.5143,0.8504,27.4886
1,36.827,0.4563,0.574,25.8932
1,37.0048,0.5335,0.8755,28.1231
1,35.9536,0.5035,0.0883,26.8653
1,36.4744,0.518,0.2616,27.1738
1,35.8333,0.4621,0.0642,26.9929
1,36.509,0.4371,0.3498,29.3735
1,36.9403,0.476,0.7798,28.2801
1,36.6028,0.4874,0.377,27.3726
1,36.3648,0.6056,0.2041,26.7337
1,36.3499,0.4198,0.2092,27.1769
1,37.0072,0.488,0.9232,27.7603
1,36.6746,0.3974,0.4473,29.4453
1,36.6916,0.4369,0.454,27.0698
1,36.6234,0.4959,0.3936,26.188
1,36.8052,0.4441,0.6306,27.9703
1,37.0817,0.5515,0.9826,26.6234
1,36.6452,0.4682,0.3593,28.2932
1,36.6677,0.5144,0.3851,26.7801
1,36.806,0.4317,0.6176,27.023
1,36.356,0.4872,0.2096,27.1573
1,37.1238,0.4895,1.1954,27.2663
1,37.0878,0.4244,1.0757,27.1483
1,37.0934,0.4752,1.1133,25.6046
1,37.074,0.4912,1.128,27.2072
1,37.1644,0.4909,1.3494,28.28
1,36.029,0.4961,0.0916,27.161
1,37.1291,0.5147,1.2922,28.8171
1,37.1329,0.4957,1.2688,27.295
1,37.1218,0.5119,1.2395,26.5373
1,36.992,0.4188,1.0135,30.3694
1,37.0564,0.4077,1.1165,27.983
1,36.9745,0.4993,0.924,27.7767
1,37.1564,0.4497,1.3839,26.5161
1,36.7311,0.4479,0.4837,28.9225
1,37.2608,0.5813,1.6847,27.2198
