lat,lon,mean_degree,trend
-5.0,37.0,2.143,2.364
-5.0,39.0,2.591,2.713
-5.0,105.0,2.36,2.281
-5.0,139.0,1.594,0.462
-5.0,141.0,1.735,1.216
-5.0,143.0,1.746,1.831
-5.0,145.0,1.95,nan
-5.0,279.0,8.256,-7.551
-5.0,281.0,1.668,1.274
-5.0,283.0,2.166,1.509
-5.0,285.0,1.96,1.774
-5.0,287.0,1.888,1.363
-5.0,289.0,1.915,1.056
-5.0,291.0,1.868,0.405
-5.0,293.0,1.845,1.071
-5.0,295.0,1.672,0.389
-5.0,297.0,1.541,0.012
-5.0,299.0,1.521,-0.162
-5.0,301.0,1.633,0.466
-5.0,303.0,1.83,0.718
-5.0,305.0,1.788,0.216
-5.0,307.0,1.694,0.543
-5.0,309.0,1.696,0.487
-5.0,311.0,1.679,0.523
-5.0,313.0,1.835,1.108
-5.0,315.0,1.783,1.097
-5.0,317.0,1.742,1.519
-5.0,319.0,1.898,0.722
-5.0,321.0,1.834,2.044
-5.0,323.0,2.363,nan
-3.0,11.0,2.063,1.837
-3.0,13.0,2.015,1.642
-3.0,15.0,1.869,1.869
-3.0,17.0,1.68,1.058
-3.0,19.0,1.65,0.837
-3.0,21.0,1.723,0.699
-3.0,23.0,1.801,1.2
-3.0,25.0,1.776,1.121
-3.0,27.0,1.907,1.543
-3.0,29.0,2.683,2.66
-3.0,31.0,2.084,2.46
-3.0,33.0,1.648,1.144
-3.0,35.0,1.979,1.655
-3.0,37.0,2.135,2.282
-3.0,39.0,2.115,2.099
-3.0,103.0,2.226,1.114
-3.0,105.0,2.456,2.501
-3.0,111.0,2.381,2.048
-3.0,115.0,2.02,2.541
-3.0,119.0,1.982,1.851
-3.0,129.0,2.08,2.06
-3.0,133.0,2.103,2.117
-3.0,137.0,1.635,1.366
-3.0,139.0,1.786,2.075
-3.0,141.0,2.007,2.465
-3.0,281.0,1.634,0.28
-3.0,283.0,2.089,1.639
-3.0,285.0,1.83,1.579
-3.0,287.0,1.885,0.708
-3.0,289.0,2.069,1.288
-3.0,291.0,1.825,1.047
-3.0,293.0,1.839,0.776
-3.0,295.0,1.709,0.449
-3.0,297.0,1.619,-0.102
-3.0,299.0,1.615,-0.076
-3.0,301.0,1.723,-0.139
-3.0,303.0,1.81,-0.329
-3.0,305.0,1.989,0.514
-3.0,307.0,1.676,0.486
-3.0,309.0,1.716,0.564
-3.0,311.0,1.662,0.644
-3.0,313.0,1.74,0.521
-3.0,315.0,1.68,0.628
-3.0,317.0,1.534,0.724
-3.0,319.0,1.816,1.074
-1.0,9.0,2.262,1.894
-1.0,11.0,1.859,1.156
-1.0,13.0,1.75,1.078
-1.0,15.0,1.818,1.216
-1.0,17.0,1.692,1.045
-1.0,19.0,1.874,1.139
-1.0,21.0,1.77,0.608
-1.0,23.0,1.837,1.334
-1.0,25.0,1.926,1.378
-1.0,27.0,2.075,1.833
-1.0,29.0,1.584,0.98
-1.0,31.0,2.028,1.581
-1.0,33.0,2.343,2.109
-1.0,35.0,1.741,1.332
-1.0,37.0,1.865,1.99
-1.0,39.0,2.293,1.688
-1.0,41.0,2.67,2.834
-1.0,101.0,1.952,1.628
-1.0,103.0,2.559,2.053
-1.0,111.0,2.33,2.365
-1.0,113.0,2.349,2.635
-1.0,115.0,2.049,2.266
-1.0,117.0,1.785,1.868
-1.0,131.0,2.165,2.404
-1.0,133.0,1.935,2.239
-1.0,281.0,1.739,1.067
-1.0,283.0,2.132,1.169
-1.0,285.0,2.013,1.606
-1.0,287.0,1.974,1.041
-1.0,289.0,2.132,1.555
-1.0,291.0,1.712,0.533
-1.0,293.0,1.663,0.306
-1.0,295.0,1.638,0.121
-1.0,297.0,1.679,-0.085
-1.0,299.0,1.727,-0.392
-1.0,301.0,1.597,-0.328
-1.0,303.0,1.629,0.228
-1.0,305.0,1.629,0.557
-1.0,307.0,1.683,0.867
-1.0,309.0,1.757,0.431
-1.0,311.0,1.716,0.308
-1.0,313.0,1.757,0.467
1.0,11.0,2.083,1.864
1.0,13.0,2.244,2.423
1.0,15.0,1.955,2.205
1.0,17.0,2.111,2.087
1.0,19.0,2.025,1.956
1.0,21.0,2.001,1.675
1.0,23.0,1.91,0.944
1.0,25.0,1.916,1.595
1.0,27.0,2.133,1.865
1.0,29.0,2.201,1.549
1.0,31.0,1.684,-0.323
1.0,33.0,1.563,-0.122
1.0,35.0,1.535,0.431
1.0,37.0,2.002,-0.2
1.0,39.0,2.106,-1.421
1.0,41.0,2.384,-3.238
1.0,43.0,2.355,-1.84
1.0,99.0,1.697,0.783
1.0,101.0,1.65,1.707
1.0,103.0,1.765,1.536
1.0,111.0,1.72,1.697
1.0,113.0,1.868,1.966
1.0,115.0,1.809,1.652
1.0,117.0,1.712,1.402
1.0,121.0,2.072,2.187
1.0,281.0,2.166,1.506
1.0,283.0,1.767,0.53
1.0,285.0,1.815,1.406
1.0,287.0,1.849,1.427
1.0,289.0,1.947,0.653
1.0,291.0,1.9,0.903
1.0,293.0,1.689,0.85
1.0,295.0,1.524,-0.062
1.0,297.0,1.655,0.28
1.0,299.0,1.614,0.398
1.0,301.0,1.627,0.806
1.0,303.0,1.587,0.381
1.0,305.0,1.624,0.525
1.0,307.0,2.04,1.138
1.0,309.0,2.096,1.123
3.0,11.0,2.413,2.388
3.0,13.0,2.192,2.441
3.0,15.0,1.909,1.762
3.0,17.0,1.872,1.538
3.0,19.0,2.035,1.041
3.0,21.0,1.745,1.012
3.0,23.0,1.737,-0.37
3.0,25.0,1.814,-0.203
3.0,27.0,1.97,0.91
3.0,29.0,1.951,0.852
3.0,31.0,1.534,0.307
3.0,33.0,1.502,0.118
3.0,35.0,2.194,0.522
3.0,37.0,1.997,0.035
3.0,39.0,2.271,-0.804
3.0,41.0,2.582,-2.152
3.0,43.0,2.686,-2.8
3.0,45.0,2.631,-2.388
3.0,99.0,1.56,1.2
3.0,103.0,1.668,1.385
