nup,condicion,intensidad_relativa
Nup214,-VS,1.204
Nup214,-VS,1.171
Nup214,-VS,0.883
Nup214,-VS,0.94
Nup214,-VS,0.557
Nup214,-VS,0.927
Nup214,-VS,1.119
Nup214,-VS,1.22
Nup214,-VS,1.02
Nup214,-VS,0.802
Nup214,-VS,1.062
Nup214,-VS,1.283
Nup214,-VS,0.85
Nup214,-VS,0.628
Nup214,-VS,1.0
Nup214,-VS,0.358
Nup214,-VS,1.305
Nup214,-VS,1.047
Nup214,-VS,0.876
Nup214,-VS,1.055
Nup214,-VS,0.85
Nup214,-VS,0.813
Nup214,-VS,0.881
Nup214,-VS,0.791
Nup214,-VS,1.0
Nup214,-VS,0.927
Nup214,-VS,1.229
Nup214,-VS,1.267
Nup214,-VS,1.073
Nup214,-VS,0.534
Nup214,+VS,0.634
Nup214,+VS,0.876
Nup214,+VS,0.617
Nup214,+VS,0.957
Nup214,+VS,1.575
Nup214,+VS,0.97
Nup214,+VS,0.915
Nup214,+VS,0.617
Nup214,+VS,0.934
Nup214,+VS,1.073
Nup214,+VS,1.292
Nup214,+VS,0.879
Nup214,+VS,1.078
Nup214,+VS,0.891
Nup214,+VS,0.988
Nup214,+VS,0.47
Nup214,+VS,0.551
Nup214,+VS,0.64
Nup214,+VS,1.226
Nup214,+VS,0.752
Nup214,+VS,0.95
Nup214,+VS,1.571
Nup214,+VS,1.081
Nup214,+VS,0.803
Nup214,+VS,0.89
Nup214,+VS,0.675
Nup214,+VS,0.767
Nup214,+VS,1.173
Nup214,+VS,1.073
Nup214,+VS,0.42
Nup214,+VS,0.42
Nup214,+VS,1.266
Nup214,+VS,1.083
Nup214,+VS,1.301
Nup214,+VS,0.472
Nup214,+VS,0.5
Nup214,+VS,1.216
Nup214,+VS,0.367
Nup214,+VS,1.415
Nup214,+VS,0.727
Nup214,+VS,1.041
Nup214,+VS,0.938
Nup214,+VS,0.631
Nup214,+VS,0.784
Nup214,+VS,0.996
Nup214,+VS,0.395
Nup214,+VS,1.249
Nup214,+VS,1.148
Nup214,+VS,0.483
Nup214,+VS,1.248
hCG1,-VS,0.922
hCG1,-VS,1.119
hCG1,-VS,0.62
hCG1,-VS,1.636
hCG1,-VS,0.123
hCG1,-VS,0.729
hCG1,-VS,0.837
hCG1,-VS,0.754
hCG1,-VS,1.175
hCG1,-VS,0.888
hCG1,-VS,0.557
hCG1,-VS,0.535
hCG1,-VS,1.131
hCG1,-VS,0.188
hCG1,-VS,0.754
hCG1,-VS,1.058
hCG1,-VS,1.501
hCG1,-VS,1.609
hCG1,-VS,1.03
hCG1,-VS,0.052
hCG1,-VS,1.449
hCG1,-VS,0.991
hCG1,-VS,1.634
hCG1,-VS,0.796
hCG1,-VS,0.818
hCG1,-VS,0.962
hCG1,-VS,1.245
hCG1,-VS,0.746
hCG1,-VS,1.272
hCG1,-VS,1.008
hCG1,-VS,0.723
hCG1,-VS,1.465
hCG1,-VS,0.869
hCG1,-VS,0.758
hCG1,-VS,1.994
hCG1,-VS,1.319
hCG1,-VS,1.091
hCG1,-VS,0.526
hCG1,-VS,1.715
hCG1,-VS,0.992
hCG1,-VS,0.855
hCG1,-VS,1.062
hCG1,-VS,1.576
hCG1,-VS,1.16
hCG1,-VS,1.84
hCG1,-VS,1.18
hCG1,-VS,1.424
hCG1,-VS,0.776
hCG1,-VS,1.318
hCG1,-VS,0.675
hCG1,+VS,0.912
hCG1,+VS,1.452
hCG1,+VS,0.639
hCG1,+VS,0.728
hCG1,+VS,0.804
hCG1,+VS,0.951
hCG1,+VS,1.12
hCG1,+VS,1.259
hCG1,+VS,0.945
hCG1,+VS,0.518
hCG1,+VS,0.767
hCG1,+VS,1.374
hCG1,+VS,0.487
hCG1,+VS,0.886
hCG1,+VS,1.338
hCG1,+VS,1.079
hCG1,+VS,0.992
hCG1,+VS,0.5
hCG1,+VS,1.104
hCG1,+VS,0.089
hCG1,+VS,0.906
hCG1,+VS,0.95
hCG1,+VS,0.399
hCG1,+VS,1.045
hCG1,+VS,0.606
hCG1,+VS,1.392
hCG1,+VS,1.182
hCG1,+VS,0.906
hCG1,+VS,1.022
hCG1,+VS,1.175
hCG1,+VS,1.041
hCG1,+VS,1.183
hCG1,+VS,1.366
hCG1,+VS,0.64
hCG1,+VS,0.961
hCG1,+VS,0.47
hCG1,+VS,0.541
hCG1,+VS,1.837
hCG1,+VS,1.326
hCG1,+VS,0.584
hCG1,+VS,1.099
hCG1,+VS,1.137
hCG1,+VS,0.786
hCG1,+VS,0.981
hCG1,+VS,0.96
hCG1,+VS,0.631
hCG1,+VS,1.089
hCG1,+VS,1.571
hCG1,+VS,0.69
hCG1,+VS,0.787
Nup98,-VS,0.484
Nup98,-VS,1.385
Nup98,-VS,1.103
Nup98,-VS,0.959
Nup98,-VS,1.278
Nup98,-VS,1.172
Nup98,-VS,0.815
Nup98,-VS,0.496
Nup98,-VS,1.036
Nup98,-VS,1.399
Nup98,-VS,1.126
Nup98,-VS,1.205
Nup98,-VS,1.449
Nup98,-VS,0.61
Nup98,-VS,0.781
Nup98,-VS,0.965
Nup98,-VS,0.691
Nup98,-VS,0.89
Nup98,-VS,0.978
Nup98,-VS,0.601
Nup98,-VS,0.775
Nup98,-VS,0.926
Nup98,-VS,0.363
Nup98,-VS,0.951
Nup98,-VS,0.42
Nup98,-VS,0.982
Nup98,-VS,0.647
Nup98,-VS,1.157
Nup98,-VS,1.422
Nup98,-VS,1.165
Nup98,-VS,1.311
Nup98,-VS,1.285
Nup98,-VS,0.37
Nup98,-VS,1.307
Nup98,-VS,0.835
Nup98,-VS,0.381
Nup98,-VS,1.213
Nup98,-VS,0.926
Nup98,-VS,1.089
Nup98,-VS,0.563
Nup98,-VS,1.54
Nup98,-VS,1.157
Nup98,-VS,0.437
Nup98,-VS,1.018
Nup98,-VS,1.243
Nup98,-VS,0.784
Nup98,-VS,1.885
Nup98,-VS,1.505
Nup98,-VS,1.031
Nup98,-VS,1.884
Nup98,+VS,0.931
Nup98,+VS,1.17
Nup98,+VS,0.525
Nup98,+VS,0.547
Nup98,+VS,1.054
Nup98,+VS,0.632
Nup98,+VS,0.809
Nup98,+VS,1.023
Nup98,+VS,0.651
Nup98,+VS,0.656
Nup98,+VS,1.594
Nup98,+VS,1.126
Nup98,+VS,1.22
Nup98,+VS,0.393
Nup98,+VS,0.411
Nup98,+VS,1.11
Nup98,+VS,0.998
Nup98,+VS,0.782
Nup98,+VS,1.715
Nup98,+VS,1.328
Nup98,+VS,0.54
Nup98,+VS,1.258
Nup98,+VS,0.816
Nup98,+VS,1.395
Nup98,+VS,1.175
Nup98,+VS,0.708
Nup98,+VS,1.054
Nup98,+VS,0.786
Nup98,+VS,0.998
Nup98,+VS,1.575
Nup98,+VS,0.938
Nup98,+VS,1.824
Nup98,+VS,0.482
Nup98,+VS,1.181
Nup98,+VS,1.027
Nup98,+VS,0.892
Nup98,+VS,0.792
Nup98,+VS,1.093
Nup98,+VS,0.636
Nup98,+VS,1.031
Nup98,+VS,1.344
Nup98,+VS,1.607
Nup98,+VS,0.42
Nup98,+VS,0.726
Nup98,+VS,0.849
Nup98,+VS,0.956
Nup98,+VS,0.983
Nup98,+VS,1.006
Nup98,+VS,1.089
Nup98,+VS,1.336
Nup54,-VS,0.765
Nup54,-VS,0.965
Nup54,-VS,0.619
Nup54,-VS,0.537
Nup54,-VS,1.268
Nup54,-VS,1.434
Nup54,-VS,0.633
Nup54,-VS,1.144
Nup54,-VS,0.586
Nup54,-VS,0.209
Nup54,-VS,0.77
Nup54,-VS,1.051
Nup54,-VS,1.902
Nup54,-VS,0.73
Nup54,-VS,0.745
Nup54,-VS,0.197
Nup54,-VS,0.696
Nup54,-VS,0.685
Nup54,-VS,0.822
Nup54,-VS,0.531
Nup54,-VS,1.02
Nup54,-VS,1.292
Nup54,-VS,0.761
Nup54,-VS,1.118
Nup54,-VS,1.912
Nup54,-VS,0.747
Nup54,-VS,1.698
Nup54,-VS,2.121
Nup54,-VS,0.933
Nup54,-VS,0.91
Nup54,-VS,1.392
Nup54,-VS,1.321
Nup54,-VS,1.375
Nup54,-VS,0.98
Nup54,-VS,1.792
Nup54,-VS,1.352
Nup54,-VS,1.553
Nup54,-VS,1.407
Nup54,-VS,0.933
Nup54,-VS,1.456
Nup54,-VS,0.279
Nup54,-VS,1.33
Nup54,-VS,0.36
Nup54,-VS,1.226
Nup54,-VS,0.971
Nup54,-VS,1.679
Nup54,-VS,1.209
Nup54,-VS,1.305
Nup54,-VS,1.499
Nup54,-VS,0.974
Nup54,+VS,2.029
Nup54,+VS,1.436
Nup54,+VS,1.583
Nup54,+VS,1.23
Nup54,+VS,1.666
Nup54,+VS,1.55
Nup54,+VS,1.156
Nup54,+VS,1.637
Nup54,+VS,1.368
Nup54,+VS,2.285
Nup54,+VS,0.879
Nup54,+VS,1.036
Nup54,+VS,1.318
Nup54,+VS,1.507
Nup54,+VS,1.501
Nup54,+VS,1.097
Nup54,+VS,2.154
Nup54,+VS,1.122
Nup54,+VS,0.85
Nup54,+VS,1.186
Nup54,+VS,0.901
Nup54,+VS,1.108
Nup54,+VS,1.531
Nup54,+VS,2.087
Nup54,+VS,2.304
Nup54,+VS,2.292
Nup54,+VS,1.613
Nup54,+VS,1.443
Nup54,+VS,1.525
Nup54,+VS,1.225
Nup54,+VS,1.782
Nup54,+VS,1.4
Nup54,+VS,1.136
Nup54,+VS,1.008
Nup54,+VS,1.127
Nup54,+VS,0.422
Nup54,+VS,1.133
Nup54,+VS,0.888
Nup54,+VS,1.605
Nup54,+VS,0.743
Nup54,+VS,2.7
Nup54,+VS,0.739
Nup54,+VS,0.759
Nup54,+VS,1.104
Nup54,+VS,0.413
Nup54,+VS,1.455
Nup54,+VS,2.091
Nup54,+VS,2.166
Nup54,+VS,1.398
Nup54,+VS,1.524
Nup58,-VS,1.44
Nup58,-VS,1.186
Nup58,-VS,0.788
Nup58,-VS,1.374
Nup58,-VS,1.028
Nup58,-VS,0.903
Nup58,-VS,1.275
Nup58,-VS,1.129
Nup58,-VS,1.181
Nup58,-VS,1.11
Nup58,-VS,1.17
Nup58,-VS,0.709
Nup58,-VS,0.696
Nup58,-VS,1.975
Nup58,-VS,0.82
Nup58,-VS,0.851
Nup58,-VS,1.367
Nup58,-VS,1.146
Nup58,-VS,0.724
Nup58,-VS,0.969
Nup58,-VS,0.888
Nup58,-VS,0.637
Nup58,-VS,0.54
Nup58,-VS,0.975
Nup58,-VS,1.056
Nup58,-VS,1.431
Nup58,-VS,0.383
Nup58,-VS,1.176
Nup58,-VS,0.952
Nup58,-VS,1.264
Nup58,-VS,1.094
Nup58,-VS,0.436
Nup58,-VS,0.387
Nup58,-VS,0.104
Nup58,-VS,0.393
Nup58,-VS,1.113
Nup58,-VS,0.669
Nup58,-VS,1.14
Nup58,-VS,1.025
Nup58,-VS,0.87
Nup58,-VS,0.918
Nup58,-VS,1.066
Nup58,-VS,0.838
Nup58,-VS,1.171
Nup58,-VS,0.846
Nup58,-VS,1.468
Nup58,-VS,1.077
Nup58,-VS,1.283
Nup58,-VS,0.928
Nup58,-VS,0.285
Nup58,+VS,1.161
Nup58,+VS,1.239
Nup58,+VS,1.174
Nup58,+VS,1.048
Nup58,+VS,0.56
Nup58,+VS,0.463
Nup58,+VS,1.325
Nup58,+VS,1.094
Nup58,+VS,1.173
Nup58,+VS,1.298
Nup58,+VS,1.262
Nup58,+VS,0.475
Nup58,+VS,0.693
Nup58,+VS,0.881
Nup58,+VS,1.359
Nup58,+VS,0.495
Nup58,+VS,1.364
Nup58,+VS,1.38
Nup58,+VS,0.99
Nup58,+VS,0.721
Nup58,+VS,1.421
Nup58,+VS,0.796
Nup58,+VS,0.916
Nup58,+VS,1.345
Nup58,+VS,0.803
Nup58,+VS,0.721
Nup58,+VS,0.808
Nup58,+VS,1.118
Nup58,+VS,0.728
Nup58,+VS,0.795
Nup58,+VS,0.568
Nup58,+VS,0.527
Nup58,+VS,1.03
Nup58,+VS,0.553
Nup58,+VS,0.877
Nup58,+VS,1.187
Nup58,+VS,1.026
Nup58,+VS,1.264
Nup58,+VS,0.793
Nup58,+VS,0.933
Nup58,+VS,1.143
Nup58,+VS,0.982
Nup58,+VS,1.268
Nup58,+VS,1.25
Nup58,+VS,0.708
Nup58,+VS,1.002
Nup58,+VS,0.851
Nup58,+VS,0.944
Nup58,+VS,1.584
Nup58,+VS,1.128
Nup62,-VS,0.719
Nup62,-VS,0.777
Nup62,-VS,0.732
Nup62,-VS,1.364
Nup62,-VS,1.426
Nup62,-VS,0.908
Nup62,-VS,0.837
Nup62,-VS,1.252
Nup62,-VS,1.021
Nup62,-VS,1.313
Nup62,-VS,0.75
Nup62,-VS,0.751
Nup62,-VS,1.494
Nup62,-VS,0.577
Nup62,-VS,1.384
Nup62,-VS,1.124
Nup62,-VS,0.851
Nup62,-VS,1.175
Nup62,-VS,1.43
Nup62,-VS,0.87
Nup62,-VS,1.316
Nup62,-VS,1.175
Nup62,-VS,0.819
Nup62,-VS,1.125
Nup62,-VS,0.79
Nup62,-VS,0.498
Nup62,-VS,1.365
Nup62,-VS,0.927
Nup62,-VS,0.872
Nup62,-VS,0.991
Nup62,-VS,0.939
Nup62,-VS,1.503
Nup62,-VS,1.398
Nup62,-VS,0.946
Nup62,-VS,1.245
Nup62,-VS,1.24
Nup62,-VS,1.088
Nup62,-VS,0.777
Nup62,-VS,1.543
Nup62,-VS,0.763
Nup62,-VS,0.81
Nup62,-VS,1.047
Nup62,-VS,0.868
Nup62,-VS,0.837
Nup62,-VS,1.009
Nup62,-VS,0.595
Nup62,-VS,0.84
Nup62,-VS,1.01
Nup62,-VS,1.377
Nup62,-VS,1.418
Nup62,+VS,0.904
Nup62,+VS,1.426
Nup62,+VS,1.34
Nup62,+VS,0.62
Nup62,+VS,1.385
Nup62,+VS,1.276
Nup62,+VS,1.383
Nup62,+VS,1.222
Nup62,+VS,1.431
Nup62,+VS,1.384
Nup62,+VS,1.265
Nup62,+VS,1.444
Nup62,+VS,1.303
Nup62,+VS,1.113
Nup62,+VS,0.789
Nup62,+VS,1.254
Nup62,+VS,0.966
Nup62,+VS,1.081
Nup62,+VS,0.856
Nup62,+VS,0.905
Nup62,+VS,0.76
Nup62,+VS,1.284
Nup62,+VS,1.45
Nup62,+VS,1.62
Nup62,+VS,1.034
Nup62,+VS,1.235
Nup62,+VS,1.027
Nup62,+VS,1.073
Nup62,+VS,1.16
Nup62,+VS,1.178
Nup62,+VS,1.05
Nup62,+VS,1.218
Nup62,+VS,1.287
Nup62,+VS,1.597
Nup62,+VS,1.188
Nup62,+VS,1.718
Nup62,+VS,1.109
Nup62,+VS,1.122
Nup62,+VS,1.158
Nup62,+VS,1.149
Nup62,+VS,1.099
Nup62,+VS,0.986
Nup62,+VS,1.256
Nup62,+VS,1.01
Nup62,+VS,1.363
Nup62,+VS,1.249
Nup62,+VS,1.446
Nup62,+VS,1.799
Nup62,+VS,1.497
Nup62,+VS,0.675
Nup153,-VS,1.253
Nup153,-VS,0.849
Nup153,-VS,1.057
Nup153,-VS,1.2
Nup153,-VS,1.099
Nup153,-VS,0.951
Nup153,-VS,1.118
Nup153,-VS,0.926
Nup153,-VS,0.987
Nup153,-VS,1.128
Nup153,-VS,0.753
Nup153,-VS,0.806
Nup153,-VS,1.047
Nup153,-VS,1.104
Nup153,-VS,0.955
Nup153,-VS,0.887
Nup153,-VS,0.995
Nup153,-VS,0.889
Nup153,-VS,1.025
Nup153,-VS,1.039
Nup153,-VS,1.044
Nup153,-VS,0.969
Nup153,-VS,0.864
Nup153,-VS,0.869
Nup153,-VS,0.913
Nup153,-VS,1.083
Nup153,-VS,1.043
Nup153,-VS,1.036
Nup153,-VS,0.962
Nup153,-VS,1.144
Nup153,-VS,0.908
Nup153,-VS,1.215
Nup153,-VS,0.953
Nup153,-VS,0.914
Nup153,-VS,1.005
Nup153,-VS,1.019
Nup153,-VS,1.043
Nup153,-VS,1.067
Nup153,-VS,1.175
Nup153,-VS,1.069
Nup153,-VS,0.872
Nup153,-VS,1.046
Nup153,-VS,1.054
Nup153,-VS,1.008
Nup153,-VS,0.903
Nup153,-VS,0.99
Nup153,-VS,0.994
Nup153,-VS,0.821
Nup153,-VS,1.117
Nup153,-VS,0.973
Nup153,+VS,0.912
Nup153,+VS,0.84
Nup153,+VS,1.028
Nup153,+VS,1.018
Nup153,+VS,0.963
Nup153,+VS,0.89
Nup153,+VS,0.851
Nup153,+VS,0.949
Nup153,+VS,0.942
Nup153,+VS,1.005
Nup153,+VS,0.784
Nup153,+VS,0.847
Nup153,+VS,1.151
Nup153,+VS,0.872
Nup153,+VS,0.866
Nup153,+VS,1.272
Nup153,+VS,0.859
Nup153,+VS,0.986
Nup153,+VS,1.026
Nup153,+VS,0.886
Nup153,+VS,1.095
Nup153,+VS,1.143
Nup153,+VS,1.014
Nup153,+VS,1.025
Nup153,+VS,0.924
Nup153,+VS,0.777
Nup153,+VS,0.809
Nup153,+VS,0.889
Nup153,+VS,0.988
Nup153,+VS,0.881
Nup153,+VS,0.913
Nup153,+VS,1.116
Nup153,+VS,0.943
Nup153,+VS,1.129
Nup153,+VS,1.016
Nup153,+VS,1.044
Nup153,+VS,0.844
Nup153,+VS,0.995
Nup153,+VS,0.933
Nup153,+VS,1.149
Nup153,+VS,1.028
Nup153,+VS,1.102
Nup153,+VS,0.993
Nup153,+VS,1.02
Nup153,+VS,0.982
Nup153,+VS,0.954
Nup153,+VS,1.015
Nup153,+VS,0.808
Nup153,+VS,0.959
Nup153,+VS,1.072
Nup50,-VS,1.01
Nup50,-VS,1.247
Nup50,-VS,1.029
Nup50,-VS,1.159
Nup50,-VS,1.106
Nup50,-VS,1.118
Nup50,-VS,1.143
Nup50,-VS,1.297
Nup50,-VS,1.402
Nup50,-VS,1.199
Nup50,-VS,1.255
Nup50,-VS,1.137
Nup50,-VS,0.939
Nup50,-VS,1.1
Nup50,-VS,1.183
Nup50,-VS,1.202
Nup50,-VS,0.917
Nup50,-VS,1.348
Nup50,-VS,1.249
Nup50,-VS,1.258
Nup50,-VS,0.84
Nup50,-VS,0.944
Nup50,-VS,0.673
Nup50,-VS,0.99
Nup50,-VS,0.767
Nup50,-VS,0.841
Nup50,-VS,0.924
Nup50,-VS,0.826
Nup50,-VS,0.791
Nup50,-VS,0.791
Nup50,-VS,0.737
Nup50,-VS,0.697
Nup50,-VS,0.795
Nup50,-VS,0.852
Nup50,-VS,0.725
Nup50,-VS,0.716
Nup50,+VS,0.852
Nup50,+VS,0.955
Nup50,+VS,1.249
Nup50,+VS,1.136
Nup50,+VS,1.181
Nup50,+VS,1.237
Nup50,+VS,1.254
Nup50,+VS,0.801
Nup50,+VS,0.948
Nup50,+VS,1.313
Nup50,+VS,1.083
Nup50,+VS,1.152
Nup50,+VS,1.276
Nup50,+VS,1.17
Nup50,+VS,1.053
Nup50,+VS,1.305
Nup50,+VS,1.322
Nup50,+VS,0.943
Nup50,+VS,1.287
Nup50,+VS,1.048
Nup50,+VS,1.224
Nup50,+VS,0.915
Nup50,+VS,1.027
Nup50,+VS,1.012
Nup50,+VS,1.015
Nup50,+VS,0.834
Nup50,+VS,1.08
Nup50,+VS,0.768
Nup50,+VS,0.85
Nup50,+VS,1.069
Nup50,+VS,0.901
Nup50,+VS,0.799
Nup50,+VS,0.609
Nup50,+VS,0.795
Nup50,+VS,0.722
Nup50,+VS,0.653
Nup50,+VS,0.714
Nup50,+VS,0.725
Nup50,+VS,0.614
Nup50,+VS,0.797
Nup50,+VS,0.596
Nup50,+VS,0.653
Tpr,-VS,0.933
Tpr,-VS,1.083
Tpr,-VS,0.872
Tpr,-VS,0.975
Tpr,-VS,0.922
Tpr,-VS,1.113
Tpr,-VS,1.1
Tpr,-VS,1.02
Tpr,-VS,1.017
Tpr,-VS,0.984
Tpr,-VS,0.935
Tpr,-VS,0.839
Tpr,-VS,0.951
Tpr,-VS,1.012
Tpr,-VS,0.967
Tpr,-VS,0.992
Tpr,-VS,1.071
Tpr,-VS,1.029
Tpr,-VS,0.928
Tpr,-VS,0.991
Tpr,-VS,1.144
Tpr,-VS,1.028
Tpr,-VS,0.998
Tpr,-VS,1.002
Tpr,-VS,0.987
Tpr,-VS,1.273
Tpr,-VS,1.078
Tpr,-VS,0.977
Tpr,-VS,0.917
Tpr,-VS,1.074
Tpr,-VS,0.98
Tpr,-VS,0.904
Tpr,-VS,1.128
Tpr,-VS,0.811
Tpr,-VS,1.063
Tpr,-VS,0.912
Tpr,-VS,1.091
Tpr,-VS,1.019
Tpr,-VS,0.986
Tpr,-VS,0.996
Tpr,-VS,1.082
Tpr,-VS,1.021
Tpr,-VS,0.819
Tpr,-VS,1.055
Tpr,-VS,1.155
Tpr,-VS,0.927
Tpr,-VS,1.091
Tpr,-VS,1.167
Tpr,-VS,1.057
Tpr,-VS,0.932
Tpr,+VS,1.491
Tpr,+VS,1.13
Tpr,+VS,1.086
Tpr,+VS,1.052
Tpr,+VS,1.031
Tpr,+VS,1.058
Tpr,+VS,1.089
Tpr,+VS,1.323
Tpr,+VS,1.009
Tpr,+VS,1.134
Tpr,+VS,1.211
Tpr,+VS,0.928
Tpr,+VS,1.154
Tpr,+VS,0.995
Tpr,+VS,0.974
Tpr,+VS,0.949
Tpr,+VS,1.097
Tpr,+VS,1.04
Tpr,+VS,1.282
Tpr,+VS,1.139
Tpr,+VS,1.359
Tpr,+VS,0.944
Tpr,+VS,0.984
Tpr,+VS,1.145
Tpr,+VS,1.255
Tpr,+VS,1.08
Tpr,+VS,1.272
Tpr,+VS,0.959
Tpr,+VS,1.346
Tpr,+VS,1.105
Tpr,+VS,1.068
Tpr,+VS,0.996
Tpr,+VS,1.372
Tpr,+VS,1.158
Tpr,+VS,1.209
Tpr,+VS,1.166
Tpr,+VS,1.03
Tpr,+VS,1.027
Tpr,+VS,1.179
Tpr,+VS,1.001
Tpr,+VS,1.121
Tpr,+VS,1.445
Tpr,+VS,1.042
Tpr,+VS,1.131
Tpr,+VS,1.397
Tpr,+VS,1.228
Tpr,+VS,1.241
Tpr,+VS,0.857
Tpr,+VS,1.137
Tpr,+VS,1.049
