anio,mes,dia,periodo,fuerza,inclinacion,latitud
1725,12,3,1725-1754,-1.051,0.348,-0.216
1725,12,4,1725-1754,-0.295,1.803,-0.381
1725,12,5,1725-1754,0.797,1.39,-0.732
1725,12,6,1725-1754,-1.823,2.088,-0.448
1725,12,7,1725-1754,-0.681,1.583,0.169
1725,12,8,1725-1754,1.549,1.503,0.016
1725,12,9,1725-1754,-1.165,1.83,0.089
1725,12,10,1725-1754,-1.069,1.568,0.507
1725,12,11,1725-1754,0.536,1.07,0.089
1725,12,12,1725-1754,0.941,0.691,-0.778
1725,12,13,1725-1754,-0.038,1.655,-0.925
1725,12,14,1725-1754,1.333,-0.755,-0.942
1725,12,15,1725-1754,1.119,-0.9,-1.557
1725,12,16,1725-1754,-0.68,1.051,-1.083
1725,12,17,1725-1754,0.882,-0.006,-1.601
1725,12,18,1725-1754,-0.392,-1.305,-3.293
1725,12,19,1725-1754,-2.516,0.9,-3.726
1725,12,20,1725-1754,-1.926,1.863,-2.064
1725,12,21,1725-1754,0.613,0.243,-1.217
1725,12,22,1725-1754,0.705,-0.184,-1.48
1725,12,23,1725-1754,0.637,-0.226,-1.623
1725,12,24,1725-1754,0.648,0.758,-0.651
1725,12,25,1725-1754,0.141,0.442,-0.023
1725,12,26,1725-1754,0.801,-0.062,0.743
1725,12,27,1725-1754,1.47,0.518,0.248
1725,12,28,1725-1754,1.178,1.456,0.1
1725,12,29,1725-1754,0.744,1.774,0.276
1725,12,30,1725-1754,0.424,1.034,0.643
1725,12,31,1725-1754,1.277,-0.116,0.425
1726,1,1,1725-1754,1.212,0.654,-0.01
1726,1,2,1725-1754,0.906,-0.232,-0.474
1726,1,3,1725-1754,-1.652,0.921,-0.315
1726,1,4,1725-1754,-0.469,0.248,-0.164
1726,1,5,1725-1754,-1.725,0.397,-0.082
1726,1,6,1725-1754,-1.835,0.369,0.267
1726,1,7,1725-1754,-0.263,0.419,0.16
1726,1,8,1725-1754,1.045,0.598,-0.106
1726,1,9,1725-1754,1.38,-0.086,-0.298
1726,1,10,1725-1754,1.304,0.284,-0.399
1726,1,11,1725-1754,0.827,-1.108,-0.767
1726,1,12,1725-1754,0.048,-1.009,-0.737
1726,1,13,1725-1754,-2.302,-0.729,-1.607
1726,1,14,1725-1754,-1.728,0.094,-0.704
1726,1,15,1725-1754,-2.488,0.106,-0.555
1726,1,16,1725-1754,-2.991,1.08,0.09
1726,1,17,1725-1754,-2.683,1.325,0.367
1726,1,18,1725-1754,-2.279,1.382,-0.01
1726,1,19,1725-1754,-2.306,1.055,0.025
1726,1,20,1725-1754,-1.45,0.322,-0.138
1726,1,21,1725-1754,-1.0,-0.031,-0.045
1726,1,22,1725-1754,-0.597,-1.121,-0.068
1726,1,23,1725-1754,-1.074,-1.083,-0.168
1726,1,24,1725-1754,-1.188,-2.232,-0.383
1726,1,25,1725-1754,-0.949,-3.33,-0.839
1726,1,26,1725-1754,-0.892,-1.293,-0.168
1726,1,27,1725-1754,-0.107,-1.302,0.697
1726,1,28,1725-1754,0.575,-0.552,0.367
1726,1,29,1725-1754,0.365,-1.06,-0.164
1726,1,30,1725-1754,-0.435,-0.777,0.031
1726,1,31,1725-1754,-1.144,-0.265,0.357
1726,2,1,1725-1754,-1.569,-1.436,-0.203
1726,2,2,1725-1754,-1.871,-1.481,-0.13
1726,2,3,1725-1754,-2.267,0.076,0.615
1726,2,4,1725-1754,-0.9,0.726,1.039
1726,2,5,1725-1754,0.351,0.842,1.007
1726,2,6,1725-1754,2.07,0.306,0.461
1726,2,7,1725-1754,2.702,-0.884,0.131
1726,2,8,1725-1754,1.893,-0.709,-0.305
1726,2,9,1725-1754,1.032,-1.428,-0.826
1726,2,10,1725-1754,1.225,-2.271,-1.333
1726,2,11,1725-1754,0.737,-1.742,-1.35
1726,2,12,1725-1754,-0.744,0.074,-1.117
1726,2,13,1725-1754,0.496,-1.37,-0.884
1726,2,14,1725-1754,0.578,0.04,-0.448
1726,2,15,1725-1754,-0.198,0.21,-0.1
1726,2,16,1725-1754,0.929,0.219,0.709
1726,2,17,1725-1754,0.329,-0.613,1.143
1726,2,18,1725-1754,0.809,0.045,0.219
1726,2,19,1725-1754,2.242,-0.484,-0.232
1726,2,20,1725-1754,0.816,-0.595,-1.188
1726,2,21,1725-1754,-0.605,-0.178,-1.451
1726,2,22,1725-1754,-0.404,-0.633,-2.437
1726,2,23,1725-1754,-2.808,-0.746,-1.197
1726,2,24,1725-1754,-4.094,0.486,-0.617
1726,2,25,1725-1754,-4.079,0.186,-0.594
1726,2,26,1725-1754,-1.99,0.429,-0.282
1726,2,27,1725-1754,-0.952,0.864,-0.124
1726,2,28,1725-1754,2.395,-0.037,-0.598
1726,3,1,1725-1754,1.764,-0.212,-1.681
1726,3,2,1725-1754,-0.359,0.83,-1.566
1726,3,3,1725-1754,-2.941,1.442,-1.213
1726,3,4,1725-1754,-4.072,1.641,-1.205
1726,3,5,1725-1754,-2.647,1.196,-0.797
1726,3,6,1725-1754,-2.953,0.996,-0.535
1726,3,7,1725-1754,-2.162,1.072,0.63
1726,3,8,1725-1754,0.276,0.63,1.306
1726,3,9,1725-1754,2.465,1.143,0.806
1726,3,10,1725-1754,1.123,1.462,0.767
1726,3,11,1725-1754,0.324,2.133,0.151
1726,3,12,1725-1754,0.582,0.986,1.499
1726,3,13,1725-1754,1.765,1.29,1.269
1726,3,14,1725-1754,2.326,1.763,0.732
1726,3,15,1725-1754,-0.185,2.155,-0.041
1726,3,16,1725-1754,-0.922,2.333,0.145
1726,3,17,1725-1754,1.433,1.522,0.736
1726,3,18,1725-1754,2.112,-0.293,-0.288
1726,3,19,1725-1754,-0.808,1.328,-0.172
1726,3,20,1725-1754,-0.625,0.792,0.231
1726,3,21,1725-1754,0.058,0.767,1.253
1726,3,22,1725-1754,2.739,0.429,0.781
1726,3,23,1725-1754,0.962,-0.194,-0.825
1726,3,24,1725-1754,-0.315,1.836,-0.403
1726,3,25,1725-1754,1.288,1.362,-0.079
1726,3,26,1725-1754,1.379,2.202,-1.129
1726,3,27,1725-1754,1.277,1.841,-1.343
1726,3,28,1725-1754,0.564,0.68,-0.084
1726,3,29,1725-1754,2.789,1.09,-0.157
1726,3,30,1725-1754,1.325,1.104,0.866
1726,3,31,1725-1754,0.806,0.318,1.144
1726,4,1,1725-1754,1.454,0.844,0.849
1726,4,2,1725-1754,1.39,2.244,-0.13
1726,4,3,1725-1754,-1.107,1.797,-0.174
1726,4,4,1725-1754,-2.215,1.341,-0.249
1726,4,5,1725-1754,0.127,0.497,0.138
1726,4,6,1725-1754,-0.777,0.36,0.027
1726,4,7,1725-1754,-3.852,0.411,-0.395
1726,4,8,1725-1754,-3.482,-0.269,-0.5
1726,4,9,1725-1754,-0.868,-1.44,-0.024
1726,4,10,1725-1754,-0.932,-1.713,0.134
1726,4,11,1725-1754,-0.729,-0.818,0.749
1726,4,12,1725-1754,-0.119,0.064,0.609
1726,4,13,1725-1754,0.245,0.583,0.664
1726,4,14,1725-1754,-0.283,0.382,0.784
1726,4,15,1725-1754,-1.116,0.947,0.585
1726,4,16,1725-1754,-0.751,1.082,0.651
1726,4,17,1725-1754,0.245,0.557,0.78
1726,4,18,1725-1754,-0.193,0.272,0.346
1726,4,19,1725-1754,-1.069,0.864,0.115
1726,4,20,1725-1754,-1.093,0.999,0.847
1726,4,21,1725-1754,0.849,0.495,1.099
1726,4,22,1725-1754,0.506,-0.75,0.794
1726,4,23,1725-1754,-0.456,-0.815,0.088
1726,4,24,1725-1754,-0.49,-0.09,-0.192
1726,4,25,1725-1754,0.108,0.373,-0.056
1726,4,26,1725-1754,-0.945,0.601,0.094
1726,4,27,1725-1754,0.962,-0.083,0.803
1726,4,28,1725-1754,1.632,-0.114,0.731
1726,4,29,1725-1754,0.03,0.377,0.718
1726,4,30,1725-1754,1.112,0.283,0.749
1726,11,1,1725-1754,0.922,-0.398,-0.695
1726,11,2,1725-1754,-0.772,-0.144,-0.8
1726,11,3,1725-1754,0.105,1.466,-0.041
1726,11,4,1725-1754,-0.238,0.521,0.264
1726,11,5,1725-1754,-2.112,0.708,0.494
1726,11,6,1725-1754,-0.893,0.522,1.022
1726,11,7,1725-1754,-0.68,0.709,0.876
1726,11,8,1725-1754,-0.228,0.594,0.616
1726,11,9,1725-1754,0.878,1.081,-0.229
1726,11,10,1725-1754,1.769,0.305,-0.905
1726,11,11,1725-1754,2.044,-0.602,-1.558
1726,11,12,1725-1754,0.83,0.068,-1.103
1726,11,13,1725-1754,-0.104,0.128,-0.707
1726,11,14,1725-1754,-0.466,1.063,0.059
1726,11,15,1725-1754,-0.416,0.427,0.373
1726,11,16,1725-1754,-0.715,-1.067,-0.317
1726,11,17,1725-1754,-0.167,-0.652,-0.235
1726,11,18,1725-1754,-0.331,-1.218,-0.194
1726,11,19,1725-1754,-1.744,0.117,0.091
1726,11,20,1725-1754,-1.234,-0.79,-0.146
1726,11,21,1725-1754,-0.889,-0.472,-0.225
1726,11,22,1725-1754,-2.151,0.122,0.05
1726,11,23,1725-1754,-2.628,0.131,0.903
1726,11,24,1725-1754,-2.007,-0.95,0.824
1726,11,25,1725-1754,-1.511,-0.553,1.203
1726,11,26,1725-1754,-0.403,-0.846,1.427
1726,11,27,1725-1754,0.206,-0.251,1.253
1726,11,28,1725-1754,0.286,-1.384,0.917
1726,11,29,1725-1754,-0.357,-0.398,0.872
1726,11,30,1725-1754,0.734,0.73,0.279
1726,12,1,1725-1754,0.264,1.705,-0.211
1726,12,2,1725-1754,-0.111,1.099,-0.189
1726,12,3,1725-1754,-0.48,1.032,0.023
1726,12,4,1725-1754,0.109,1.043,0.485
1726,12,5,1725-1754,1.679,0.02,0.517
1726,12,6,1725-1754,1.79,-0.219,0.53
1726,12,7,1725-1754,0.849,0.358,1.073
1726,12,8,1725-1754,0.717,0.363,1.38
1726,12,9,1725-1754,1.247,0.406,1.57
1726,12,10,1725-1754,1.71,0.721,1.177
1726,12,11,1725-1754,0.944,1.087,0.65
1726,12,12,1725-1754,0.283,0.679,-0.068
1726,12,13,1725-1754,-0.254,-0.019,-0.744
1726,12,14,1725-1754,0.173,0.24,-1.032
1726,12,15,1725-1754,0.389,0.332,-1.103
1726,12,16,1725-1754,0.25,-0.905,-1.336
1726,12,17,1725-1754,-0.66,-0.748,-1.488
1726,12,18,1725-1754,-1.248,1.72,-1.219
1726,12,19,1725-1754,-0.466,1.406,-0.166
1726,12,20,1725-1754,-0.057,-0.676,-0.299
1726,12,21,1725-1754,-2.222,1.605,-1.023
1726,12,22,1725-1754,-1.443,-0.355,-1.863
1726,12,23,1725-1754,-0.043,-0.162,-0.906
1726,12,24,1725-1754,0.578,1.313,-0.171
1726,12,25,1725-1754,-0.559,1.684,0.586
1726,12,26,1725-1754,0.256,1.716,1.487
1726,12,27,1725-1754,2.986,2.039,1.274
1726,12,28,1725-1754,1.309,1.216,0.289
1726,12,29,1725-1754,-0.44,1.387,0.773
1726,12,30,1725-1754,0.891,1.48,1.221
1726,12,31,1725-1754,1.631,1.917,0.926
1727,1,1,1725-1754,0.438,1.513,0.564
1727,1,2,1725-1754,1.141,0.49,0.12
1727,1,3,1725-1754,3.071,-0.407,-0.958
1727,1,4,1725-1754,2.031,0.358,-1.631
1727,1,5,1725-1754,1.482,-0.148,-0.593
1727,1,6,1725-1754,0.991,0.392,-0.688
1727,1,7,1725-1754,0.559,0.45,0.721
1727,1,8,1725-1754,0.64,-0.281,0.581
1727,1,9,1725-1754,1.169,-0.967,-0.289
1727,1,10,1725-1754,2.035,-2.306,-1.182
1727,1,11,1725-1754,1.543,-2.187,-1.027
1727,1,12,1725-1754,1.372,-0.657,-0.698
1727,1,13,1725-1754,1.131,-0.315,-0.613
1727,1,14,1725-1754,-0.086,-0.569,-0.275
1727,1,15,1725-1754,-1.022,-0.341,-0.553
1727,1,16,1725-1754,-1.123,-1.065,-0.718
1727,1,17,1725-1754,-1.487,-0.707,-0.528
1727,1,18,1725-1754,-1.572,-1.868,-0.872
1727,1,19,1725-1754,-1.606,-3.36,-1.274
1727,1,20,1725-1754,0.409,-3.17,-0.969
1727,1,21,1725-1754,1.314,-0.569,-0.517
1727,1,22,1725-1754,0.863,-0.655,-0.296
1727,1,23,1725-1754,0.389,-0.807,-0.059
1727,1,24,1725-1754,0.293,-1.04,0.107
1727,1,25,1725-1754,0.471,-0.724,0.072
1727,1,26,1725-1754,0.627,-1.659,-0.529
1727,1,27,1725-1754,-0.404,-1.156,-0.233
1727,1,28,1725-1754,-1.451,-0.253,-0.313
1727,1,29,1725-1754,-1.706,-0.233,-0.372
1727,1,30,1725-1754,-1.672,0.057,-0.565
1727,1,31,1725-1754,-2.034,-0.056,-0.617
1727,2,1,1725-1754,-4.942,-0.952,-0.886
1727,2,2,1725-1754,-4.41,-1.981,-0.669
1727,2,3,1725-1754,-3.966,-1.526,-0.532
1727,2,4,1725-1754,-3.109,0.293,-0.063
1727,2,5,1725-1754,-1.772,0.852,0.347
1727,2,6,1725-1754,-1.035,1.199,0.515
1727,2,7,1725-1754,-0.43,-0.324,0.355
1727,2,8,1725-1754,-0.94,-2.275,-0.593
1727,2,9,1725-1754,-0.859,-1.807,-0.77
1727,2,10,1725-1754,-0.549,-0.582,-0.537
1727,2,11,1725-1754,0.401,-0.672,-0.522
1727,2,12,1725-1754,0.296,-0.184,-0.364
1727,2,13,1725-1754,-0.883,-0.776,-0.333
1727,2,14,1725-1754,-1.597,-0.28,-0.096
1727,2,15,1725-1754,-0.344,-0.826,0.094
1727,2,16,1725-1754,-0.053,-0.685,0.003
1727,2,17,1725-1754,0.272,-0.459,0.149
1727,2,18,1725-1754,0.093,-1.691,-0.287
1727,2,19,1725-1754,0.236,-1.758,-0.516
1727,2,20,1725-1754,-0.315,-0.821,-0.186
1727,2,21,1725-1754,0.045,0.226,0.48
1727,2,22,1725-1754,-0.15,0.44,0.664
1727,2,23,1725-1754,-0.979,1.521,-0.988
1727,2,24,1725-1754,-1.237,-1.279,0.571
1727,2,25,1725-1754,-0.17,-1.014,0.476
1727,2,26,1725-1754,-0.351,-1.965,0.156
1727,2,27,1725-1754,-0.054,-1.434,0.558
1727,2,28,1725-1754,1.053,-0.912,-0.383
1727,3,1,1725-1754,1.98,-0.512,-0.391
1727,3,2,1725-1754,0.373,-0.926,-0.761
1727,3,3,1725-1754,-1.355,-0.885,-0.961
1727,3,4,1725-1754,1.742,-1.092,-0.874
1727,3,5,1725-1754,0.61,-1.132,-1.229
1727,3,6,1725-1754,-1.058,-0.437,-0.539
1727,3,7,1725-1754,-1.423,0.589,0.716
1727,3,8,1725-1754,0.495,-0.285,1.005
1727,3,9,1725-1754,1.818,0.65,0.838
1727,3,10,1725-1754,1.838,1.919,0.08
1727,3,11,1725-1754,0.777,2.581,-0.164
1727,3,12,1725-1754,1.307,1.56,0.463
1727,3,13,1725-1754,4.131,1.297,-0.403
1727,3,14,1725-1754,2.08,2.163,-0.46
1727,3,15,1725-1754,0.873,2.127,-0.356
1727,3,16,1725-1754,1.177,1.246,-0.082
1727,3,17,1725-1754,-1.141,1.416,-0.22
1727,3,18,1725-1754,-1.393,0.793,-0.123
1727,3,19,1725-1754,0.252,0.679,0.541
1727,3,20,1725-1754,-1.16,1.338,0.697
1727,3,21,1725-1754,0.687,1.09,0.841
1727,3,22,1725-1754,-1.585,0.863,0.905
1727,3,23,1725-1754,-2.378,0.937,1.185
1727,3,24,1725-1754,-1.986,0.874,1.4
1727,3,25,1725-1754,-0.581,0.064,1.724
1727,3,26,1725-1754,-0.956,0.237,1.639
1727,3,27,1725-1754,-0.316,0.316,1.521
1727,3,28,1725-1754,0.463,-0.014,1.443
1727,3,29,1725-1754,-1.071,0.405,0.759
1727,3,30,1725-1754,1.788,0.08,-0.258
1727,3,31,1725-1754,0.983,0.072,-0.185
1727,4,1,1725-1754,-0.728,0.769,-0.313
1727,4,2,1725-1754,-0.292,0.155,-0.273
1727,4,3,1725-1754,-0.488,-0.04,-0.25
1727,4,4,1725-1754,0.296,-0.832,-0.467
1727,4,5,1725-1754,-1.135,-1.902,-1.148
1727,4,6,1725-1754,-1.074,-1.046,-1.622
1727,4,7,1725-1754,-1.126,-1.314,-1.188
1727,4,8,1725-1754,-1.219,-0.997,-1.064
1727,4,9,1725-1754,0.869,0.032,-0.053
1727,4,10,1725-1754,0.911,-1.28,0.077
1727,4,11,1725-1754,0.483,-0.784,-0.004
1727,4,12,1725-1754,-0.14,-1.349,-0.214
1727,4,13,1725-1754,-0.881,0.041,-0.065
1727,4,14,1725-1754,-0.614,0.626,-0.488
1727,4,15,1725-1754,-0.567,1.903,-0.539
1727,4,16,1725-1754,-0.759,1.807,-0.539
1727,4,17,1725-1754,-1.2,1.623,0.023
1727,4,18,1725-1754,-1.119,1.594,0.487
1727,4,19,1725-1754,-0.287,0.631,1.105
1727,4,20,1725-1754,0.145,0.007,1.093
1727,4,21,1725-1754,0.214,0.132,0.926
1727,4,22,1725-1754,0.018,0.356,0.766
1727,4,23,1725-1754,0.063,0.585,0.551
1727,4,24,1725-1754,-1.121,1.016,0.263
1727,4,25,1725-1754,-1.545,0.834,0.223
1727,4,26,1725-1754,0.148,0.982,0.466
1727,4,27,1725-1754,0.692,0.526,0.266
1727,4,28,1725-1754,2.026,0.933,0.458
1727,4,29,1725-1754,1.355,-0.055,0.338
1727,4,30,1725-1754,0.752,-0.186,0.351
1727,11,1,1725-1754,0.391,1.03,1.055
1727,11,2,1725-1754,-0.304,1.03,1.16
1727,11,3,1725-1754,0.966,0.894,0.911
1727,11,4,1725-1754,0.396,0.723,0.752
1727,11,5,1725-1754,0.553,0.236,0.149
1727,11,6,1725-1754,1.254,-0.378,-1.076
1727,11,7,1725-1754,1.244,0.394,-1.241
1727,11,8,1725-1754,-1.552,1.256,-1.857
1727,11,9,1725-1754,-0.889,-0.177,-2.107
1727,11,10,1725-1754,-0.337,2.152,-2.296
1727,11,11,1725-1754,0.782,1.589,-1.837
1727,11,12,1725-1754,1.108,1.005,-1.112
1727,11,13,1725-1754,0.09,0.99,-0.299
1727,11,14,1725-1754,-0.269,0.952,0.315
1727,11,15,1725-1754,1.255,1.221,0.357
1727,11,16,1725-1754,0.92,0.91,0.607
1727,11,17,1725-1754,1.083,0.438,0.731
1727,11,18,1725-1754,1.273,0.261,0.658
1727,11,19,1725-1754,2.467,0.621,0.558
1727,11,20,1725-1754,2.467,1.219,0.724
1727,11,21,1725-1754,1.362,0.235,0.578
1727,11,22,1725-1754,1.211,-0.668,0.387
1727,11,23,1725-1754,0.578,-1.196,0.016
1727,11,24,1725-1754,0.325,0.704,0.18
1727,11,25,1725-1754,0.262,-0.148,-0.411
1727,11,26,1725-1754,-1.117,0.756,-0.022
1727,11,27,1725-1754,-1.0,0.536,0.288
1727,11,28,1725-1754,1.163,0.86,0.62
1727,11,29,1725-1754,0.98,1.267,1.074
1727,11,30,1725-1754,1.019,-0.414,0.772
1727,12,1,1725-1754,1.748,-0.106,0.62
1727,12,2,1725-1754,1.208,0.211,1.621
1727,12,3,1725-1754,1.4,0.15,1.431
1727,12,4,1725-1754,2.433,0.509,1.429
1727,12,5,1725-1754,2.592,0.367,1.288
1727,12,6,1725-1754,1.161,0.812,0.883
1727,12,7,1725-1754,0.63,0.827,0.93
1727,12,8,1725-1754,0.223,0.862,0.857
1727,12,9,1725-1754,0.806,0.98,1.025
1727,12,10,1725-1754,0.381,0.789,0.805
1727,12,11,1725-1754,0.078,0.498,0.814
1727,12,12,1725-1754,0.795,0.188,0.226
1727,12,13,1725-1754,0.937,-0.991,-0.25
1727,12,14,1725-1754,1.765,-0.675,-0.799
1727,12,15,1725-1754,1.242,-0.568,-1.454
1727,12,16,1725-1754,0.582,0.316,-0.901
1727,12,17,1725-1754,-0.378,1.019,-0.652
