anio,fuerza,inclinacion,latitud,n_dias
1882,0.4355,-0.0528,0.0671,181
1883,-0.1475,0.0168,0.1031,181
1884,-0.0286,-0.0854,0.099,182
1885,0.0052,-0.0494,-0.0059,181
1886,-0.3567,-0.1357,-0.165,181
1887,0.019,0.0394,0.1099,181
1888,-0.1503,-0.1343,-0.0503,182
1889,-0.1418,0.1553,0.1754,181
1890,-0.2722,-0.1294,0.0857,181
1891,0.1189,0.033,0.2387,181
1892,-0.2107,0.1105,-0.0371,182
1893,0.21,0.1576,0.1157,181
1894,0.341,-0.0635,0.1012,181
1895,-0.4568,0.0025,-0.3285,181
1896,0.0948,0.1941,0.3454,182
1897,0.1379,-0.1489,0.0765,181
1898,0.3674,0.1457,0.0629,181
1899,0.4343,0.0322,0.0143,181
1900,-0.383,-0.0367,-0.2412,181
1901,0.0768,0.0378,-0.1255,181
1902,-0.0928,-0.0251,0.0792,181
1903,0.4487,-0.0085,-0.0118,181
1904,-0.0703,-0.0169,-0.1036,182
1905,0.2291,0.0708,0.1277,181
1906,0.3277,0.2202,-0.1426,181
1907,-0.0534,0.0663,0.1549,181
1908,0.043,0.0626,0.1295,182
1909,-0.155,0.0913,-0.1702,181
1910,0.1123,-0.0725,-0.393,181
1911,0.2878,0.0026,0.0868,181
1912,0.3942,-0.1083,-0.1038,182
1913,0.6064,-0.0973,0.0436,181
1914,0.294,-0.1571,-0.2045,181
1915,-0.2911,0.0331,-0.4886,181
1916,-0.2168,-0.0922,-0.3916,182
1917,-0.2093,0.3761,-0.037,181
1918,0.1924,-0.0835,0.2053,181
1919,-0.436,-0.0505,-0.3967,181
1920,0.2369,-0.1958,0.1934,182
1921,0.3334,0.2245,0.285,181
1922,0.0975,0.0238,-0.23,181
1923,-0.4111,0.0124,-0.2129,181
1924,-0.0999,-0.0529,0.053,182
1925,0.3659,0.1031,-0.1337,181
1926,-0.13,-0.0835,-0.0515,181
1927,-0.2188,-0.0951,-0.1451,181
1928,-0.0509,-0.1523,-0.0914,182
1929,-0.1988,-0.0844,0.2655,181
1930,-0.161,-0.1625,-0.1803,181
1931,-0.2115,0.0616,-0.0732,181
1932,0.2117,-0.0083,0.4213,182
1933,-0.459,0.0682,0.2304,181
1934,-0.0527,-0.1051,-0.0215,181
1935,-0.1981,0.0149,-0.2623,181
1936,-0.126,-0.1064,-0.3261,182
1937,-0.7258,-0.2273,-0.3941,181
1938,0.5347,0.1722,0.2115,181
1939,0.0562,0.0037,-0.147,181
1940,-0.2579,-0.0378,-0.0065,182
1941,-0.558,-0.1196,-0.1039,181
