radio_px,intensidad_300K,intensidad_500K,intensidad_900K
37,9.913327322707179e-06,9.256305958989568e-06,5.957190251074192e-06
38,9.222128523855748e-06,8.5305455762483e-06,5.419065856458152e-06
39,8.641042966930179e-06,8.062917417180776e-06,5.043147682659101e-06
40,8.203555529963515e-06,7.602389527890448e-06,4.82319583833007e-06
41,7.467234813681868e-06,7.023098051665107e-06,4.494310942786743e-06
42,6.873510576817159e-06,6.618429016555168e-06,4.27886655683387e-06
43,6.255534093070664e-06,6.135340537488573e-06,4.063505395207304e-06
44,5.72865045928222e-06,5.671577087348376e-06,3.8086879448245806e-06
45,5.264045970436263e-06,5.226809272740658e-06,3.4443023997252335e-06
46,4.879447482157448e-06,4.8372740148766395e-06,3.2143460002221194e-06
47,4.553711647925058e-06,4.478574289814581e-06,2.9887063672007563e-06
48,4.222303407765431e-06,4.133766174751024e-06,2.7205931328930327e-06
49,4.016604514771034e-06,3.861096748154829e-06,2.580157931103831e-06
50,3.7997842446281986e-06,3.6225778893990347e-06,2.446938401704508e-06
51,3.583776094335139e-06,3.4510403482132536e-06,2.2941463216707522e-06
52,3.3989369843540086e-06,3.2830009685466533e-06,2.174292760795358e-06
53,3.2374275325122746e-06,3.1076381502533342e-06,2.0626739035741364e-06
54,3.1004614577465965e-06,3.0371443086508227e-06,1.961733059811283e-06
55,2.9787216288534235e-06,2.888010150361633e-06,1.910089849300835e-06
56,2.9105747308689797e-06,2.793786724333359e-06,1.810096250101647e-06
57,2.750297363919059e-06,2.711942673489399e-06,1.754100915120938e-06
58,2.6222618547855e-06,2.5923208182392674e-06,1.6490415884338343e-06
59,2.538657548663805e-06,2.450041508429894e-06,1.5623430058792794e-06
60,2.419137845010083e-06,2.3365027064293215e-06,1.4994850366748633e-06
61,2.3469345019268853e-06,2.2350883705749443e-06,1.4227861740591921e-06
62,2.2248892719329977e-06,2.129494144166995e-06,1.3297525488843763e-06
63,2.095477966547638e-06,2.03417116683921e-06,1.2754230383060595e-06
64,1.96797124941432e-06,1.93049641717083e-06,1.2005934029260168e-06
65,1.8684656024407383e-06,1.8278317620743281e-06,1.1683750967623104e-06
66,1.7816621872894273e-06,1.7263092961239151e-06,1.1115871405466687e-06
67,1.702086682156966e-06,1.6405970900343663e-06,1.0433017128713266e-06
68,1.6169576627493723e-06,1.5811305426532532e-06,9.799803270279917e-07
69,1.5260194598907122e-06,1.5147946288318076e-06,9.488576349392935e-07
70,1.4796504984754434e-06,1.4285940655970792e-06,9.046571669970404e-07
71,1.439955975337954e-06,1.3875336514837827e-06,8.485980918386734e-07
72,1.3822179412030514e-06,1.3060348963798022e-06,8.215920146106626e-07
73,1.3269973308883226e-06,1.2701817868019243e-06,7.907314106750582e-07
74,1.3023184308079387e-06,1.2223310827426988e-06,7.64949790018285e-07
75,1.2330843602072913e-06,1.1547669628534521e-06,7.399844076738763e-07
76,1.18647882518733e-06,1.0974204058393953e-06,7.153122330404023e-07
77,1.1608954597812593e-06,1.0760060800927264e-06,6.803049230542069e-07
78,1.1324803024165546e-06,1.0442461643660333e-06,6.349590176621523e-07
79,1.0754894833521321e-06,1.0034643515062553e-06,5.945322493072976e-07
80,1.034176740672114e-06,9.62591438231604e-07,5.743504437197894e-07
81,1.001434157526014e-06,9.073923800694046e-07,5.660996467296023e-07
82,9.550831306257962e-07,8.959436248308373e-07,5.411705403531332e-07
83,9.264382143754971e-07,8.632315624864274e-07,5.186564225311853e-07
84,8.874972447894578e-07,8.291616794045121e-07,4.99875921420199e-07
85,8.632117885673565e-07,7.987071422842805e-07,4.832975633849585e-07
86,8.263855838469091e-07,7.772980923782705e-07,4.530923672373175e-07
87,8.011306725566061e-07,7.318137788376961e-07,4.250784322118647e-07
88,7.679693402221782e-07,6.960563775888726e-07,4.227046203497057e-07
89,7.436927999173321e-07,6.80774480414056e-07,4.139341369542009e-07
