rho_x,rho_y,mse
0.76,0.02,0.0018822274214145341
0.78,0.02,0.001870488010088273
0.8,0.02,0.0019595955121275753
0.0,0.04,0.001678971662975264
0.02,0.04,0.0016710396972889586
0.04,0.04,0.001648786135068811
0.06,0.04,0.0016335817030931074
0.08,0.04,0.0016247832485073387
0.1,0.04,0.0016148074068804313
0.12,0.04,0.0016353194366945645
0.14,0.04,0.0015975529879498837
0.16,0.04,0.001602380141014433
0.18,0.04,0.0015856393013693832
0.2,0.04,0.001591776182511835
0.22,0.04,0.0015635306736214414
0.24,0.04,0.0015621891415984863
0.26,0.04,0.001576885743194471
0.28,0.04,0.0015475267749694122
0.3,0.04,0.0015378831640455557
0.32,0.04,0.001531049168730037
0.34,0.04,0.0015407899871241156
0.36,0.04,0.001531890490622692
0.38,0.04,0.0015242669692730555
0.4,0.04,0.0015179115665301661
0.42,0.04,0.0015179790997305372
0.44,0.04,0.0015208973223939846
0.46,0.04,0.0015300633980686723
0.48,0.04,0.0015247743292378464
0.5,0.04,0.0015384838878312868
0.52,0.04,0.0015367200754132328
0.54,0.04,0.001530530566507513
0.56,0.04,0.001576854743950179
0.58,0.04,0.0015668278013046741
0.6,0.04,0.0016146192397387146
0.62,0.04,0.0016053220606811053
0.64,0.04,0.001627253617754947
0.66,0.04,0.0016637442390895995
0.68,0.04,0.0016679838945480778
0.7,0.04,0.0017332964421827297
0.72,0.04,0.0017350850453434548
0.74,0.04,0.0018365331830847366
0.76,0.04,0.001811199154430051
0.78,0.04,0.0019178010504769416
0.8,0.04,0.0019094893360293735
0.0,0.06,0.0016677723472783756
0.02,0.06,0.0016462723375887302
0.04,0.06,0.001640154386923179
0.06,0.06,0.0016185318378662634
0.08,0.06,0.0016482888847924038
0.1,0.06,0.0016212709949652185
0.12,0.06,0.0016099671993611438
0.14,0.06,0.0015848090915977517
0.16,0.06,0.0015891923268316782
0.18,0.06,0.0016116289467287255
0.2,0.06,0.0015614242598118015
0.22,0.06,0.0015547404196495495
0.24,0.06,0.0015782501230733124
0.26,0.06,0.0015497652586028904
0.28,0.06,0.001562826330636936
0.3,0.06,0.0015280318253319478
0.32,0.06,0.0015239110874303427
0.34,0.06,0.0015235507129481443
0.36,0.06,0.001529877756949828
0.38,0.06,0.0015291760963542164
0.4,0.06,0.0015319290165873134
0.42,0.06,0.0015258031420337195
0.44,0.06,0.0015275477918760608
0.46,0.06,0.0015038586357967283
0.48,0.06,0.0015177045155975652
0.5,0.06,0.001503347599024664
0.52,0.06,0.0015318130936999587
0.54,0.06,0.001586457841244331
0.56,0.06,0.0015703921727203219
0.58,0.06,0.0015589490146516796
0.6,0.06,0.0015961142471982025
0.62,0.06,0.0016183256527042779
0.64,0.06,0.001637162708569192
0.66,0.06,0.0016244636504832853
0.68,0.06,0.001677012842196917
0.7,0.06,0.001730320435327442
0.72,0.06,0.0017376541347131115
0.74,0.06,0.0017831731203656017
0.76,0.06,0.0018305479326919123
0.78,0.06,0.0019373825121654317
0.8,0.06,0.0019440652767021489
0.0,0.08,0.0016636137008549487
0.02,0.08,0.001648888989788064
0.04,0.08,0.0016345346936853583
0.06,0.08,0.001636723227210608
0.08,0.08,0.0016102532476417388
0.1,0.08,0.0016252196218899508
0.12,0.08,0.0016184158616647146
0.14,0.08,0.0016172305081370631
0.16,0.08,0.0015666495931669572
0.18,0.08,0.0015754222611871838
0.2,0.08,0.0015667915331614673
0.22,0.08,0.0015806144444601598
0.24,0.08,0.001576266514635878
0.26,0.08,0.0015527697736850575
0.28,0.08,0.0015549678342096761
0.3,0.08,0.001522513579012962
0.32,0.08,0.001539039537655826
0.34,0.08,0.0015308504680805843
0.36,0.08,0.0015104890256256195
0.38,0.08,0.001516752541647153
0.4,0.08,0.001518628376298238
0.42,0.08,0.0015147976736992412
0.44,0.08,0.0015100098940956455
0.46,0.08,0.0015219064277272245
0.48,0.08,0.0015151529600635893
0.5,0.08,0.0015330527960853773
0.52,0.08,0.0015475016251928816
0.54,0.08,0.001562480243862854
0.56,0.08,0.0015717384482202732
0.58,0.08,0.0015923431720330974
0.6,0.08,0.0016229874257198639
0.62,0.08,0.0016301097925324039
0.64,0.08,0.0016376703149940562
0.66,0.08,0.0016779912546600042
0.68,0.08,0.001695093750021691
0.7,0.08,0.0017380887550105602
0.72,0.08,0.0017599029885270278
0.74,0.08,0.0018043693833789045
0.76,0.08,0.0018058162339241238
0.78,0.08,0.0018757998907077676
0.8,0.08,0.0018816640750196306
0.0,0.1,0.0016945578104130212
0.02,0.1,0.0016586004889002576
0.04,0.1,0.001637830944474184
0.06,0.1,0.0016140261828647903
0.08,0.1,0.0016046244478196145
0.1,0.1,0.001604522321560379
0.12,0.1,0.0016074225015133572
0.14,0.1,0.0015998668045577934
0.16,0.1,0.0015664867968331498
0.18,0.1,0.001574507340716655
0.2,0.1,0.0015619303508916662
0.22,0.1,0.0015480727313990968
0.24,0.1,0.0015444877330298202
0.26,0.1,0.0015494546490298598
0.28,0.1,0.001549565582342257
0.3,0.1,0.0015542751772330487
0.32,0.1,0.0015440799685640233
0.34,0.1,0.0015201721149532468
0.36,0.1,0.001514654425817277
0.38,0.1,0.0015169913781121701
0.4,0.1,0.0015127603264350805
0.42,0.1,0.0015070640647002601
0.44,0.1,0.001501672019090106
0.46,0.1,0.001512089202085493
0.48,0.1,0.0015088768923966584
0.5,0.1,0.001538154290028751
0.52,0.1,0.0015146027740935153
0.54,0.1,0.0015331547491753328
0.56,0.1,0.0015547330374899471
0.58,0.1,0.0015691538987588583
0.6,0.1,0.0016170891351400232
0.62,0.1,0.0015843408435034208
0.64,0.1,0.0016416761701118876
0.66,0.1,0.0017007290197755694
0.68,0.1,0.0016954196071968272
0.7,0.1,0.001686979639898224
0.72,0.1,0.0017194649954665883
0.74,0.1,0.0018088758118132656
0.76,0.1,0.0018727605479018962
0.78,0.1,0.0018808140025388751
0.8,0.1,0.0019098298763676892
0.0,0.12,0.0016544509158679225
0.02,0.12,0.001651734080388806
0.04,0.12,0.0016242983419855234
0.06,0.12,0.0016267102893093805
0.08,0.12,0.001631406124155306
0.1,0.12,0.0015885267890184502
0.12,0.12,0.0016104164367890597
0.14,0.12,0.0015891835123966556
0.16,0.12,0.0015902593726341784
0.18,0.12,0.0015695780209165858
0.2,0.12,0.001579231439346835
0.22,0.12,0.0015714878909812739
0.24,0.12,0.0015550166407284527
0.26,0.12,0.001545535933238414
0.28,0.12,0.001535863124499775
0.3,0.12,0.0015275222348634554
0.32,0.12,0.001512970406462672
0.34,0.12,0.0015333576213479862
0.36,0.12,0.0015371581465116698
0.38,0.12,0.0015083898930892772
0.4,0.12,0.001505686062494189
0.42,0.12,0.0015029522546320037
0.44,0.12,0.0015157019255730175
0.46,0.12,0.0015086102762327824
0.48,0.12,0.0015249669076295874
0.5,0.12,0.0015136415357107891
0.52,0.12,0.0015177860843928837
0.54,0.12,0.0015453808796597752
0.56,0.12,0.0015349820126524093
0.58,0.12,0.0015649991659016547
0.6,0.12,0.0015949871535062877
0.62,0.12,0.0015864630092080863
0.64,0.12,0.0016269445525801615
0.66,0.12,0.0016274519676427155
0.68,0.12,0.0016796135380213518
0.7,0.12,0.0017489195196618247
0.72,0.12,0.0017739421781852952
0.74,0.12,0.0017459552451368145
0.76,0.12,0.0018624328729916297
0.78,0.12,0.0018645069784695451
0.8,0.12,0.0019041156969260972
0.0,0.14,0.0016711822428637402
0.02,0.14,0.001647669595559564
0.04,0.14,0.0016310254858349096
0.06,0.14,0.00162742637363707
0.08,0.14,0.0016226836447828627
0.1,0.14,0.0015744681969692034
0.12,0.14,0.0015734199747842233
0.14,0.14,0.001592719936965471
0.16,0.14,0.001584440430618944
0.18,0.14,0.0015636933788579109
0.2,0.14,0.0015357151576566197
0.22,0.14,0.0015672860809655283
0.24,0.14,0.0015638123904553889
0.26,0.14,0.0015400692025710322
0.28,0.14,0.0015427393632831336
0.3,0.14,0.001543197666190313
0.32,0.14,0.0015239367167867099
0.34,0.14,0.0015417042165328564
0.36,0.14,0.001506836017176934
0.38,0.14,0.001496080991933255
0.4,0.14,0.00149491014795047
0.42,0.14,0.001492186295740833
0.44,0.14,0.0014970304969493733
0.46,0.14,0.001506855248843275
0.48,0.14,0.0015240670849549485
0.5,0.14,0.0015158501968613111
0.52,0.14,0.0015363849839388588
0.54,0.14,0.0015512682879746107
0.56,0.14,0.0015411747927027333
0.58,0.14,0.0015713563415120553
0.6,0.14,0.0015741668627970704
0.62,0.14,0.00162986423844418
0.64,0.14,0.0016428738679058654
0.66,0.14,0.0016384328159272784
0.68,0.14,0.0016892540075265658
0.7,0.14,0.0017553296258067655
0.72,0.14,0.0017624302828638126
0.74,0.14,0.0017832969268792983
0.76,0.14,0.0018952505610743227
0.78,0.14,0.0018901930020787233
0.8,0.14,0.0018944644411750182
0.0,0.16,0.0016284298667612993
0.02,0.16,0.001661622495018017
0.04,0.16,0.001644827055657056
0.06,0.16,0.0015949303804713203
0.08,0.16,0.0016190320071716748
0.1,0.16,0.0016116330814985725
0.12,0.16,0.0015821290202080909
0.14,0.16,0.0015923642784481723
0.16,0.16,0.0015688900706498784
0.18,0.16,0.0015800167599872453
0.2,0.16,0.001550473058142606
0.22,0.16,0.0015557656418880366
0.24,0.16,0.001545920674258198
0.26,0.16,0.0015526366427446227
0.28,0.16,0.0015179718953387445
