pipeline,wl_um,half_width_um,profundidad_pct,profundidad_err_pct
FIREFLy,4.24419,0.01407,54.5258,0.3481
FIREFLy,4.27219,0.01397,54.9816,0.3673
FIREFLy,4.3,0.01387,54.3631,0.3793
FIREFLy,4.32762,0.01378,54.8779,0.3858
FIREFLy,4.35506,0.01369,54.3772,0.3516
FIREFLy,4.38231,0.0136,54.9606,0.3954
FIREFLy,4.40939,0.01351,54.6355,0.3792
FIREFLy,4.43628,0.01342,54.4096,0.4195
FIREFLy,4.46301,0.01333,54.2509,0.3931
FIREFLy,4.48956,0.01325,54.0795,0.4159
FIREFLy,4.51595,0.01317,54.4085,0.4077
FIREFLy,4.54218,0.01308,54.9786,0.4544
FIREFLy,4.56824,0.013,53.4404,0.4175
FIREFLy,4.59414,0.01293,53.772,0.4354
FIREFLy,4.61989,0.01285,54.1495,0.3993
FIREFLy,4.64549,0.01277,53.5006,0.4495
FIREFLy,4.67093,0.0127,53.6804,0.4678
FIREFLy,4.69622,0.01262,53.7048,0.4569
FIREFLy,4.72137,0.01255,53.4793,0.4584
FIREFLy,4.74638,0.01248,52.5559,0.4555
FIREFLy,4.77124,0.01241,53.2771,0.4631
FIREFLy,4.79596,0.01234,52.4809,0.4899
FIREFLy,4.82054,0.01227,52.8439,0.4835
FIREFLy,4.84499,0.0122,53.1035,0.4746
FIREFLy,4.86931,0.01213,52.7325,0.4892
FIREFLy,4.89349,0.01207,52.2216,0.5287
FIREFLy,4.91755,0.01201,52.2603,0.5202
FIREFLy,4.94147,0.01194,52.1788,0.5262
FIREFLy,4.96527,0.01188,53.0263,0.5341
FIREFLy,4.98895,0.01182,51.3818,0.5665
Juniper,0.556,0.0055,56.2722,0.3213
Juniper,0.567,0.0055,55.92,0.2416
Juniper,0.578,0.006,55.7633,0.2309
Juniper,0.59,0.006,55.8003,0.2234
Juniper,0.602,0.007,55.6597,0.3422
Juniper,0.616,0.007,55.6654,0.1686
Juniper,0.63,0.0075,55.7719,0.1631
Juniper,0.645,0.008,55.9013,0.1398
Juniper,0.661,0.0085,55.831,0.1336
Juniper,0.678,0.0095,55.8168,0.1178
Juniper,0.697,0.01,55.7862,0.1042
Juniper,0.717,0.011,55.7274,0.1046
Juniper,0.739,0.0115,55.829,0.0887
Juniper,0.762,0.0125,55.7923,0.0936
Juniper,0.787,0.0135,55.9054,0.0872
Juniper,0.814,0.015,55.6813,0.088
Juniper,0.844,0.016,55.8116,0.0835
Juniper,0.876,0.0175,55.7879,0.0779
Juniper,0.911,0.0185,55.7549,0.0755
Juniper,0.948,0.02,55.7505,0.0724
Juniper,0.988,0.022,55.7827,0.0688
Juniper,1.032,0.023,55.5927,0.0691
Juniper,1.078,0.0245,55.7927,0.0617
Juniper,1.127,0.026,55.621,0.0649
Juniper,1.179,0.027,55.7595,0.0521
Juniper,1.233,0.028,55.464,0.0611
Juniper,1.289,0.029,55.7015,0.0574
Juniper,1.347,0.0295,55.6762,0.0565
Juniper,1.406,0.03,55.5459,0.0665
Juniper,1.466,0.03,55.6617,0.0659
Juniper,1.526,0.03,55.5772,0.0676
Juniper,1.586,0.03,55.7415,0.0709
Juniper,1.646,0.03,55.6464,0.0767
Juniper,1.706,0.0295,55.6961,0.0755
Juniper,1.765,0.0295,55.6427,0.0804
Juniper,1.824,0.0285,55.7966,0.0955
Juniper,1.881,0.0285,55.6152,0.0927
Juniper,1.938,0.028,55.7467,0.0988
Juniper,1.994,0.0275,55.6085,0.0973
Juniper,2.049,0.027,55.4074,0.1014
Juniper,2.103,0.0265,55.7439,0.1115
Juniper,2.156,0.026,55.7154,0.1089
Juniper,2.208,0.0255,55.3849,0.1309
Juniper,2.259,0.0255,55.5511,0.125
Juniper,2.31,0.0245,55.8446,0.1165
Juniper,2.359,0.0245,55.8505,0.1145
Juniper,2.408,0.024,55.5223,0.1072
Juniper,2.456,0.0235,55.5768,0.1334
Juniper,2.503,0.0235,55.5142,0.1253
Juniper,2.55,0.023,55.8001,0.1346
Juniper,2.596,0.0225,55.5919,0.1482
Juniper,2.641,0.022,55.5157,0.1459
Juniper,2.685,0.022,55.7099,0.1524
Juniper,2.729,0.0215,55.2308,0.1809
Juniper,2.772,0.0215,55.7158,0.1653
Juniper,2.815,0.021,55.4462,0.1643
Juniper,2.857,0.0205,55.8429,0.1658
Juniper,2.898,0.0205,55.2632,0.1627
Juniper,2.939,0.0205,55.581,0.187
Juniper,2.98,0.0195,55.6557,0.191
Juniper,3.019,0.02,55.8362,0.1935
Juniper,3.059,0.0195,55.6613,0.1814
Juniper,3.098,0.019,55.5537,0.1831
Juniper,3.136,0.019,55.7193,0.1946
Juniper,3.174,0.019,55.3248,0.1975
Juniper,3.212,0.0185,55.9318,0.2237
Juniper,3.249,0.018,55.5529,0.2208
Juniper,3.285,0.0185,55.6069,0.2064
Juniper,3.322,0.018,55.6715,0.224
Juniper,3.358,0.0175,55.8573,0.2101
Juniper,3.393,0.0175,55.8719,0.2186
Juniper,3.428,0.0175,56.0666,0.2284
Juniper,3.463,0.0175,55.9137,0.2131
Juniper,3.498,0.017,55.8101,0.2214
Juniper,3.532,0.017,55.7612,0.2216
Juniper,3.566,0.0165,55.5637,0.2413
Juniper,3.599,0.0165,55.7666,0.2657
Juniper,3.632,0.0165,55.4627,0.255
Juniper,3.665,0.0165,55.5565,0.2728
Juniper,3.698,0.016,55.6321,0.2842
Juniper,3.73,0.016,55.0343,0.2515
Juniper,3.762,0.016,55.0963,0.2649
Juniper,3.794,0.0155,55.1914,0.2858
Juniper,3.825,0.0155,55.3696,0.2634
Juniper,3.856,0.0155,54.8965,0.2953
Juniper,3.887,0.0155,55.1491,0.3035
Juniper,3.918,0.015,55.7584,0.303
Juniper,3.948,0.0155,54.9985,0.2779
Juniper,3.979,0.0145,54.5299,0.3134
Juniper,4.008,0.015,55.2369,0.2877
Juniper,4.038,0.015,54.504,0.3294
Juniper,4.068,0.0145,54.9561,0.286
Juniper,4.097,0.0145,54.9942,0.3546
Juniper,4.126,0.0145,55.3365,0.3204
Juniper,4.155,0.014,54.4822,0.3361
Juniper,4.183,0.0145,54.1671,0.3459
Juniper,4.212,0.014,54.5378,0.3429
Juniper,4.24,0.014,54.3339,0.3653
Juniper,4.268,0.014,54.4476,0.37
Juniper,4.296,0.014,54.0894,0.3631
Juniper,4.324,0.0135,54.7705,0.4481
Juniper,4.351,0.0135,53.7937,0.4437
Juniper,4.378,0.0135,54.5806,0.409
Juniper,4.405,0.0135,54.5495,0.5418
Juniper,4.432,0.0135,54.0839,0.4266
Juniper,4.459,0.0135,54.084,0.4575
Juniper,4.486,0.013,53.7596,0.4165
Juniper,4.512,0.013,54.1676,0.455
Juniper,4.538,0.0135,54.2093,0.607
Juniper,4.565,0.0125,52.9929,0.426
Juniper,4.59,0.013,53.6482,0.4433
Juniper,4.616,0.013,53.7695,0.4292
Juniper,4.642,0.0125,52.6166,0.5404
Juniper,4.667,0.013,53.559,0.4695
Juniper,4.693,0.0125,53.0331,0.4955
Juniper,4.718,0.0125,52.9984,0.5036
Juniper,4.743,0.0125,52.2374,0.5003
Juniper,4.768,0.012,52.438,0.4955
Juniper,4.792,0.0125,51.7538,0.5817
Juniper,4.817,0.0125,52.4752,0.5216
Juniper,4.842,0.012,52.7349,0.4975
Juniper,4.866,0.012,52.0177,0.5362
Juniper,4.89,0.012,51.6619,0.5517
Juniper,4.914,0.012,51.8383,0.5837
Juniper,4.938,0.012,51.4894,0.5509
Juniper,4.962,0.012,52.3247,0.5289
Juniper,4.986,0.0115,50.5806,0.6326
