year,cluster,region_name,n_individuals,all_members
2009,0,West,27,"Abrams, Amelia, Basie, Berg, Brownface, Buckner, Carson, Carter, Cecilia, Corea, Garbo, Garett, Garrison, Herbie, Hutcherson, Ingrid, Jackson, Ma Rainey, Parker, Peterson, Pincer, Rahsaan, Richmond, Rollins, Wayne, Wes, YoYo"
2010,2,Central,17,"Bartok, Berg, Bessie, Cecilia, Clara, Django, Dolphy, Garett, Hare, Ingrid, Jolie, Marlene, Miles, Morton, Mweya, Porkpie, Taylor"
2010,1,East,29,"Abrams, Amelia, Anderson, Atwood, Barron, Bosko, Cash, Dexter, Dizzy, Erroll, Evans, Fitzgerald, Haden, Hawkins, Hicks, Kanawa, Lofty, Lovano, Lucy, Mingus, Mitchell, Monk, Mulligan, Scarlet, Shire, Southpaw, Violetta, Webster, Wilson"
2010,0,West,41,"Aretha, Basie, Benny, Binoche, Bronte, Brownface, Buckner, Callas, Carson, Carter, Charlize, Dahlia, Fiona, Fleming, Garbo, Garrison, Geraldine, Herbie, Hutcherson, Jackson, Larson, Leonora, Lucia, Ma Rainey, Mansfield, Murray, Ornette, Penelope, Peterson, Pincer, Pizan, Quinton, Rahsaan, Richmond, Rollins, Rosa, Rusalka, Senta, Sutherland, Wayne, Wes"
2010,3,Bartoli,3,"Bartoli, Ellen, Lilah"
2011,0,Central-East,49,"Abrams, Amelia, Anderson, Aretha, Barron, Bartok, Bartoli, Berg, Bessie, Bronte, Carter, Cash, Dexter, Dizzy, Django, Dolphy, Ellen, Elton, Erroll, Evans, Fiona, Fitzgerald, Garett, Haden, Hare, Hawkins, Hicks, Ingrid, Kidman, Leonora, Lofty, Lovano, Marlene, Miles, Mingus, Mitchell, Monk, Morton, Mulligan, Mweya, PeeWee, Peterson, Porkpie, Sarah, Southpaw, Taylor, Wangari, Webster, Wilson"
2011,1,West,38,"Bacall, Basie, Benny, BillyBragg, Binoche, Booker, Brownface, Buckner, Carson, Cecilia, Charlize, Chopin, Emmy Lou, Garbo, Garrison, Herbie, Hutcherson, Jackson, Kanawa, Lucia, Ma Rainey, Ornette, Penelope, Pincer, Pizan, Rahsaan, Richmond, Ripley, Rollins, Rusalka, Sabin, Senta, Shire, Sills, Tori, Wayne, Wes, YoYo"
2011,2,West-Fem,10,"Anna, Dahlia, Fleming, Jolie, Larson, Miliah, Orff, Renee, Scarlet, Sutherland"
2011,3,Central-Fem,3,"Callas, Halle, Jarman"
2012,0,Central,37,"Amelia, Anderson, Atwood, Bartok, Berg, Bessie, Booker, Bosko, Bronte, Cannonball, Cecilia, Chopin, Django, Dolphy, Elton, Fleck, Hare, Ingrid, Jolie, Kidman, Leonora, Lofty, Marlene, Miles, Monk, Morton, Mweya, Nelson, PeeWee, Porkpie, Ripley, Scarlet, Shire, Sigourney, Sutherland, Taylor, YoYo"
2012,2,East,23,"Aretha, Barron, Cash, Clara, Dexter, Dizzy, Dylan, Erroll, Evans, Fitzgerald, Florence, Haden, Harper, Hawkins, Hicks, Jarman, Mingus, Mitchell, Mulligan, Orff, Southpaw, Webster, Wilson"
2012,1,West,31,"Abrams, Basie, Benny, BillyBragg, Brownface, Buckner, Callas, Carmen, Carson, Carter, Garett, Garrison, Herbie, Hutcherson, Jackson, Leigh, Lita, Lovano, Ma Rainey, Ornette, Penelope, Peterson, Pincer, Rahsaan, Richmond, Rollins, Sabin, Susanna, Tori, Wayne, Wes"
2013,0,Central1,26,"Abrams, Bartok, Basie, Berg, Booker, Brownface, Dolphy, Ellen, Fleck, Florence, Gus, Hare, Kidman, Marlene, Miles, Monk, Morton, Penelope, Pincer, Porkpie, Rahsaan, Renee, Sarah, Sills, Stella, Tori"
2013,2,Central2,19,"Amelia, Barron, Beryl, Bessie, Christine, Dizzy, Django, Dylan, Erroll, Evans, Fitzgerald, Garett, Jolie, Lovano, Mweya, Scarlet, Webster, Wilson, Zawinul"
2013,3,East,19,"Anderson, Atwood, Bosko, Bronte, Cash, Chopin, Dexter, Elton, Haden, Hawkins, Hicks, Lofty, Mingus, Mitchell, Mulligan, Ornette, PeeWee, Shire, Southpaw"
2013,1,West,20,"Bartoli, Benny, Bobi Wine, Buckner, Carson, Carter, Garrison, Herbie, Hutcherson, Jackson, Leigh, Lucia, Peterson, Richmond, Rollins, Sabin, Taylor, Wayne, Wes, YoYo"
2014,0,Central,31,"Amelia, Aretha, Bartok, Basie, Beryl, Booker, Brownface, Django, Dylan, Erroll, Fleck, Florence, Fricka, Garett, Haden, Hare, Jackson, Jarman, Leonora, Lovano, Lucia, Miles, Monk, Morton, Mweya, Ornette, Porkpie, Rahsaan, Stella, Susanna, Wilson"
2014,1,East,30,"Abrams, Anderson, Ava, Barron, Bessie, Bosko, Bronte, Carter, Cash, Cate, Chopin, Dexter, Dizzy, Elton, Evans, Gus, Harper, Hawkins, Hicks, Kidman, Lucy, Miliah, Mitchell, Mulligan, Nelson, PeeWee, Peterson, Shire, Sills, Southpaw"
2014,2,West,24,"Bacall, Benny, BillyBragg, Binoche, Buckner, Carson, Cecilia, Freddie, Garbo, Garrison, Herbie, Hutcherson, Leigh, Marlene, Murray, Orff, Renee, Richmond, Rollins, Rusalka, Sabin, Wayne, Wes, YoYo"
2015,0,Central,50,"Abrams, Barron, Bartok, Bartoli, Basie, Beryl, Booker, Callas, Cannonball, Carter, Clayton, Damien, Dizzy, Django, Dylan, Elton, Erroll, Evans, Fiona, Fitzgerald, Fleck, Florence, Frida, Garett, Gus, Haden, Hare, Ingrid, Jackie, Jackson, Jarman, Jolie, Lovano, Miles, Monk, Morton, Mweya, Naidu, Orff, Ornette, PeeWee, Peterson, Pilar, Porkpie, Rahsaan, Ruth, Sigourney, Sills, Sutherland, Wilson"
2015,2,East,15,"Aretha, Bosko, Bronte, Cash, Chopin, Dexter, Hawkins, Hicks, Kanawa, Khutulun, Lucy, Mitchell, Mulligan, Nelson, Southpaw"
2015,1,West,32,"Bacall, Baez, Benny, BillyBragg, Binoche, Brownface, Buckner, Carmen, Carson, Cecilia, Cedar, Etta James, Garbo, Garrison, Hutcherson, Joya, Leigh, Murray, Penelope, Renata, Rich Bergl, Richmond, Rollins, Rosa, Samantha, Senta, Struhsaker, Tori, Wayne, Wes, Williams, YoYo"
2016,0,Central-East,48,"Abrams, Amelia, Amina, Anderson, Barron, Bartok, Basie, Booker, Bosko, Cash, Chopin, Dexter, Dizzy, Django, Dylan, Elton, Erroll, Etta James, Evans, Fiona, Fleck, Florence, Garett, Gus, Haden, Hicks, Jackson, Jarman, Kanawa, Khutulun, Kidman, Lovano, Miles, Mitchell, Monk, Morton, Mulligan, Mweya, Nelson, Orff, PeeWee, Porkpie, Shire, Sigourney, Southpaw, Sutherland, Violetta, Wilson"
2016,1,West,40,"Anna, Bacall, Bach, Bartoli, Benny, BillyBragg, Binoche, Brownface, Buckner, Cannonball, Carson, Carter, Cecilia, Charlize, Damien, Eleanor, Ellen, Freddie, Garbo, Garrison, Hutcherson, Kundry, Larson, Leigh, Miliah, Murray, Penelope, Peterson, Rahsaan, Renee, Rich Bergl, Richmond, Rollins, Rusalka, Sabin, Senta, Tori, Wayne, Wes, YoYo"
2017,0,Central-East,57,"Abrams, Amelia, Atwood, Baez, Barron, Basie, Booker, Bosko, Bronte, Callas, Cannonball, Carter, Cash, Chopin, Clayton, Dexter, Django, Dylan, Elton, Erroll, Evans, Fisher, Fitzgerald, Fleck, Florence, Garett, Gus, Haden, Herzog, Hicks, Jackie, Jackson, Jarman, Julianne, Khutulun, Kidman, Lovano, Lucy, Mitchell, Monk, Morton, Mulligan, Nelson, Orff, PeeWee, Peterson, Porkpie, Powell, Puccini, Ruth, Sarah, Sigourney, Sills, Strayhorn, Taylor, Violetta, Wilson"
2017,1,West,41,"Anna, Bacall, Bach, BillyBragg, Binoche, Brownface, Buckner, Charlize, Damien, Etta James, Flanagan, Fleming, Freddie, Garbo, Garrison, Holland, Hutcherson, Kozena, Larson, Leonora, Marlene, Maya, Miliah, Murray, Penelope, Pizan, Renee, Rich Bergl, Richmond, Rollins, Rusalka, Sabin, Senta, Shire, Silver, Sonia, Struhsaker, Wayne, Wes, Williams, YoYo"
2017,2,Central-Fem1,4,"Aretha, Emmy Lou, Fricka, Frida"
2017,3,East-Fem1,4,"Cedar, Christine, Harper, Nadine"
2017,4,Sutherland,2,"Fiona, Sutherland"
2017,5,Jolie,2,"Jolie, Zawinul"
2018,0,Central-East,51,"Abrams, Aretha, Barron, Bartok, Basie, Booker, Bosko, Brownface, Cannonball, Carter, Cash, Chopin, Clayton, Dexter, Django, Dylan, Elton, Emmy Lou, Evans, Fitzgerald, Fleck, Fricka, Garett, Gus, Haden, Hester, Hicks, Ingrid, Jackson, Jarman, Jolie, Josipa, Julianne, Khutulun, Kidman, Lovano, Miles, Mitchell, Monk, Morton, Mulligan, PeeWee, Peterson, Porkpie, Powell, Puccini, Shire, Sigourney, Sills, Sutherland, Wilson"
2018,1,West,33,"Bacall, Bach, BillyBragg, Buckner, Carson, Charlize, Dahlia, Damien, Ellen, Etta James, Fleming, Garbo, Garrison, Geraldine, Holland, Hutcherson, Joya, Larson, Leigh, Maya, Miliah, Murray, Ntwiga, Penelope, Renata, Renee, Rich Bergl, Richmond, Rollins, Senta, Wayne, Wes, YoYo"
2018,2,Central-West-Fem,6,"Bartoli, Christine, Fiona, Leonora, Natalie, Ruth"
2018,3,East-Fem1,4,"Amina, Bronte, Harper, Nelson"
2019,0,Central-East,77,"Abrams, Amelia, Amina, Aretha, Atwood, Baez, Barron, Bartok, Bartoli, Basie, Beryl, Bobi Wine, Booker, Bosko, Bronte, Brownface, Callas, Cannonball, Carter, Cash, Cedar, Chopin, Christine, Clayton, Dexter, Django, Dylan, Elton, Emmy Lou, Evans, Fisher, Fitzgerald, Fleck, Fricka, Garett, Gus, Haden, Halle, Harper, Herzog, Hester, Hicks, Ingrid, Jackie, Jackson, Jarman, Jolie, Julianne, Khutulun, Leonora, Lita, Lovano, Lucy, Marjorie, Miles, Mitchell, Monk, Morton, Mulligan, Natalie, Nelson, PeeWee, Peterson, Phillip Valentine Tobias, Porkpie, Puccini, Ruth, Salonen, Sarah, Shire, Sigourney, Sills, Strayhorn, Susanna, Toshi, Violetta, Wilson"
2019,1,West,47,"Anna, Bacall, Bach, BillyBragg, Binoche, Bowie, Buckner, Carson, Charlize, Dahlia, Damien, Ellen, Etta James, Fleming, Freddie, Garbo, Garrison, Geraldine, Hermione, Holland, Hutcherson, Joya, Junot, Kozena, Larson, Leigh, Miliah, Murray, Ntwiga, Penelope, Pizan, Renata, Renee, Rich Bergl, Richmond, Rollins, Rusalka, Sabin, Senta, Silver, Struhsaker, Valentina, Vigilant, Wayne, Wes, Williams, YoYo"
2020,0,Central-East,77,"Abrams, Amelia, Amina, Aretha, Atwood, Baez, Barron, Bartok, Bartoli, Basie, Beryl, Bobi Wine, Booker, Bosko, Bronte, Brownface, Callas, Cannonball, Carter, Cash, Cedar, Chopin, Christine, Clayton, Dexter, Django, Dylan, Elton, Emmy Lou, Evans, Fisher, Fitzgerald, Fleck, Fricka, Garett, Gus, Haden, Halle, Harper, Herzog, Hester, Hicks, Ingrid, Jackie, Jackson, Jarman, Jolie, Julianne, Khutulun, Leonora, Lita, Lovano, Lucy, Marjorie, Miles, Mitchell, Monk, Morton, Mulligan, Natalie, Nelson, PeeWee, Peterson, Phillip Valentine Tobias, Porkpie, Puccini, Ruth, Salonen, Sarah, Shire, Sigourney, Sills, Strayhorn, Susanna, Toshi, Violetta, Wilson"
2020,1,West,47,"Anna, Bacall, Bach, BillyBragg, Binoche, Bowie, Buckner, Carson, Charlize, Dahlia, Damien, Ellen, Etta James, Fleming, Freddie, Garbo, Garrison, Geraldine, Hermione, Holland, Hutcherson, Joya, Junot, Kozena, Larson, Leigh, Miliah, Murray, Ntwiga, Penelope, Pizan, Renata, Renee, Rich Bergl, Richmond, Rollins, Rusalka, Sabin, Senta, Silver, Struhsaker, Valentina, Vigilant, Wayne, Wes, Williams, YoYo"
2021,0,Central,46,"Abrams, Amelia, Aretha, Biko, Booker, Bosko, Brownface, Callas, Cannonball, Carter, Cedar, Chopin, Christine, Clayton, Django, Dylan, Elton, Emmy Lou, Evans, Fitzgerald, Fleck, Garett, Gus, Haden, Jackson, Jarman, Jolie, Kabacwezi, Khutulun, Leonora, Lovano, Lucrezia, Marjorie, Miles, Mitchell, Morton, Mulligan, Nelson, PeeWee, Peterson, Phillip Valentine Tobias, Porkpie, Puccini, Sills, Toshi, Wilson"
2021,1,West,43,"Anna, Bacall, Bach, BillyBragg, Binoche, Bowie, Buckner, Carson, Chimamanda, Dahlia, Damien, Etta James, Fleming, Freddie, Garbo, Garrison, Geraldine, Holland, Hutcherson, Ilithyia, Joya, Justine, Larson, Leigh, Louis, Maya, Murray, Penelope, Renata, Renee, Rich Bergl, Richmond, Rollins, Rosalind, Rusalka, Sabin, Senta, Sonia, Struhsaker, Valentina, Wayne, Wes, YoYo"
2022,1,Central1,27,"Abrams, Amelia, Booker, Brownface, Callas, Cannonball, Carter, Django, Dylan, Emmy Lou, Evans, Fleck, Garett, Haden, Herzog, Jarman, Jolie, Kabacwezi, Lita, Lovano, Miles, Morton, Muhammad Ali, Peterson, Sarah, Shire, Wilson"
2022,0,West,27,"Anna, Bacall, BillyBragg, Bowie, Buckner, Carson, Damien, Ellen, Etta James, Garrison, Hutcherson, Justine, Kozena, Leigh, Murray, Ntwiga, Penelope, Rich Bergl, Richmond, Rollins, Senta, Silver, Struhsaker, Wayne, Wes, Williams, YoYo"
2022,2,East,19,"Amina, Atwood, Bobi Wine, Bosko, Bronte, Cedar, Chopin, Elton, Fricka, Hubble, Leonora, Marjorie, Mitchell, Mulligan, Naidu, Nelson, Puccini, Sigourney, Violetta"
2022,3,Central2,5,"Clayton, Gus, Jackson, PeeWee, Toshi"
