t_dias,n_antiprotones,B_mT
1.058,91.487,993
1.062,90.89,993
1.065,90.553,993
1.068,91.25,993
1.071,90.998,993
1.075,91.215,993
1.078,91.223,993
1.081,91.602,993
1.084,91.42,993
1.087,91.823,993
1.091,90.779,993
1.094,91.171,993
1.097,92.095,993
1.101,91.622,993
1.103,92.013,993
1.107,91.911,993
1.11,91.468,993
1.113,92.109,993
1.117,91.32,993
1.12,91.244,993
1.123,91.195,993
1.126,91.535,993
1.129,91.751,993
1.133,91.736,993
1.136,91.804,993
1.139,91.567,993
1.142,91.057,993
1.145,91.07,993
1.149,91.326,993
1.152,91.957,993
1.155,91.461,993
1.159,91.835,993
1.161,91.16,993
1.165,91.561,993
1.168,91.411,993
1.172,91.509,993
1.176,91.853,993
1.391,91.424,993
1.82,92.659,136
1.824,92.036,136
1.828,91.949,136
1.832,92.718,136
1.836,91.888,136
1.84,92.226,136
1.844,92.073,136
1.848,92.004,136
1.852,92.789,136
1.856,92.258,136
1.86,92.411,136
1.864,92.175,136
1.993,92.113,136
2.246,92.128,136
2.25,92.486,136
2.254,92.199,136
2.258,92.099,136
2.262,91.844,136
2.266,91.872,136
2.27,92.174,136
2.274,92.432,136
2.278,92.231,136
2.282,92.112,136
2.286,91.985,136
2.29,92.403,136
2.294,91.816,136
2.298,92.044,136
2.302,92.536,136
2.306,92.369,136
2.31,92.36,136
2.314,91.898,136
2.318,92.628,136
2.323,92.351,136
2.327,91.682,136
2.331,92.155,136
2.335,91.905,136
2.339,92.259,136
2.343,92.055,136
2.347,92.371,136
2.351,92.003,136
2.355,92.567,136
2.359,92.038,136
2.363,92.21,136
2.367,92.571,136
2.371,91.601,136
2.375,92.254,136
2.379,92.46,136
2.383,92.312,136
2.387,92.209,136
2.391,92.295,136
2.395,92.174,136
2.399,91.469,136
2.403,92.822,136
2.407,92.751,136
2.411,92.565,136
2.415,92.817,136
2.419,92.474,136
2.423,91.639,136
2.427,91.994,136
2.431,91.843,136
2.435,91.961,136
2.439,91.928,136
2.443,92.612,136
2.447,92.687,136
2.451,92.723,136
2.455,92.268,136
2.459,91.812,136
2.463,92.073,136
2.467,91.853,136
2.471,92.644,136
2.475,92.444,136
2.479,92.593,136
2.483,92.287,136
2.487,92.176,136
2.491,92.073,136
2.495,92.11,136
2.499,92.348,136
2.503,92.464,136
2.507,92.207,136
2.511,91.735,136
2.515,92.451,136
2.519,92.155,136
2.523,92.172,136
2.527,91.844,136
2.531,92.076,136
2.535,92.065,136
2.539,92.667,136
2.543,92.195,136
2.547,91.876,136
2.551,92.438,136
2.555,92.653,136
2.559,93.12,136
2.563,92.48,136
2.567,91.872,136
2.571,92.516,136
2.575,92.308,136
2.579,92.783,136
2.583,92.762,136
2.587,92.58,136
2.591,92.334,136
2.595,92.106,136
2.599,92.237,136
2.603,92.042,136
2.607,92.619,136
2.611,92.094,136
2.615,92.406,136
2.619,92.151,136
2.623,92.096,136
2.627,92.091,136
2.631,92.143,136
2.635,92.102,136
2.639,92.136,136
2.643,91.951,136
2.647,92.152,136
2.651,92.419,136
2.655,92.016,136
2.659,92.324,136
2.663,92.164,136
2.667,92.408,136
2.671,92.665,136
2.675,92.555,136
2.679,92.257,136
2.683,92.13,136
2.687,92.159,136
2.691,92.891,136
2.695,91.964,136
2.699,92.422,136
2.703,92.325,136
2.707,91.898,136
2.711,92.056,136
2.715,92.185,136
2.719,92.133,136
2.723,92.319,136
2.727,92.458,136
2.731,92.01,136
2.735,92.594,136
2.739,92.202,136
2.743,92.252,136
2.747,92.511,136
2.751,92.477,136
2.755,91.705,136
2.759,92.161,136
2.763,92.427,136
2.767,92.465,136
2.771,91.68,136
2.775,92.48,136
2.779,92.407,136
2.783,92.857,136
2.787,92.707,136
2.791,92.013,136
2.795,92.952,136
2.799,92.266,136
2.803,92.432,136
2.807,92.503,136
2.811,92.259,136
2.815,92.402,136
2.819,91.985,136
2.823,92.58,136
2.827,91.997,136
2.831,92.306,136
2.835,91.764,136
2.839,91.939,136
2.843,91.568,136
2.847,91.285,136
2.851,91.545,136
2.855,92.068,136
2.859,92.065,136
2.863,91.745,136
2.867,92.092,136
2.872,92.172,136
2.876,92.324,136
2.88,92.159,136
2.884,92.346,136
2.888,92.262,136
2.892,92.088,136
2.896,92.607,136
2.9,92.264,136
2.904,92.333,136
2.908,92.455,136
2.912,92.288,136
2.916,92.204,136
2.92,92.192,136
2.924,92.562,136
2.928,91.658,136
2.932,92.164,136
2.936,92.154,136
2.94,92.679,136
2.944,92.482,136
2.948,92.569,136
2.952,91.944,136
2.956,92.1,136
2.96,92.494,136
2.964,91.962,136
2.968,92.072,136
2.972,91.572,136
2.976,91.782,136
2.98,92.068,136
2.984,91.746,136
2.988,91.916,136
2.992,91.925,136
2.996,92.02,136
3.0,91.742,136
3.004,91.105,136
3.008,92.049,136
3.013,92.028,136
3.017,92.307,136
3.021,92.008,136
3.025,92.556,136
3.029,92.164,136
3.033,92.649,136
3.037,92.053,136
3.041,92.062,136
3.045,92.511,136
3.049,92.698,136
3.053,91.866,136
3.057,91.478,136
3.061,92.45,136
3.065,91.947,136
3.069,92.172,136
3.073,92.514,136
3.077,91.919,136
3.081,92.044,136
3.085,92.433,136
3.089,92.425,136
3.093,91.832,136
3.097,92.099,136
3.101,92.165,136
3.105,92.083,136
3.109,92.164,136
3.113,92.174,136
3.117,92.394,136
3.121,92.647,136
3.125,91.919,136
3.129,92.021,136
3.133,92.519,136
3.137,92.095,136
3.141,92.882,136
3.145,91.949,136
3.149,92.366,136
3.153,92.584,136
3.157,92.054,136
3.161,92.357,136
3.165,92.19,136
3.169,92.162,136
3.173,92.169,136
3.177,92.386,136
3.181,91.636,136
3.185,91.874,136
3.189,91.965,136
3.927,92.283,136
4.298,91.996,136
4.3,92.435,136
4.303,92.114,136
4.306,92.933,136
4.309,92.958,136
4.312,92.157,136
4.314,92.732,136
4.317,92.633,136
4.32,92.0,136
4.322,92.178,136
4.326,92.488,136
4.328,92.701,136
4.331,92.056,136
4.334,92.022,136
4.337,92.468,136
4.34,92.438,136
4.342,92.435,136
4.345,92.286,136
4.348,92.171,136
4.351,92.373,136
4.353,92.608,136
4.357,92.465,136
4.359,92.292,136
4.362,92.702,136
4.365,92.505,136
4.367,92.886,136
4.371,92.377,136
4.373,91.848,136
4.376,92.555,136
4.379,92.119,136
4.381,93.1,136
4.385,91.928,136
4.387,91.168,136
4.39,90.512,136
4.393,92.602,136
4.396,92.544,136
4.398,92.849,136
4.402,91.94,136
4.404,92.557,136
4.407,91.577,136
4.41,91.489,136
4.412,91.758,136
4.416,91.579,136
4.418,90.971,136
4.421,92.233,136
4.424,91.616,136
4.426,91.057,136
4.43,91.683,136
4.432,91.959,136
4.435,91.725,136
4.438,91.47,136
4.441,90.714,136
4.443,91.014,136
4.446,91.468,136
4.449,92.218,136
4.452,91.684,136
4.455,91.981,136
4.457,92.165,136
4.461,91.87,136
4.463,91.804,136
4.466,91.969,136
4.469,91.52,136
4.471,92.366,136
4.474,91.906,136
4.477,91.363,136
4.48,91.947,136
4.483,92.408,136
4.485,92.332,136
4.488,92.158,136
4.491,92.123,136
4.494,92.208,136
4.497,92.405,136
4.5,92.315,136
4.502,91.866,136
4.506,91.923,136
4.508,92.598,136
4.511,92.083,136
4.514,91.721,136
4.516,92.125,136
4.519,91.756,136
4.522,91.931,136
4.524,92.113,136
4.528,92.075,136
4.53,92.307,136
4.533,91.95,136
4.536,92.035,136
4.539,92.319,136
4.542,91.719,136
4.545,91.824,136
4.547,92.25,136
4.55,92.138,136
4.553,92.416,136
4.556,91.756,136
4.559,92.665,136
4.561,92.444,136
4.564,91.967,136
4.567,91.929,136
4.569,91.674,136
4.573,91.396,136
4.575,91.851,136
4.578,91.941,136
4.581,91.852,136
4.584,91.57,136
4.587,92.017,136
4.589,91.946,136
4.592,92.097,136
4.595,91.56,136
4.598,91.316,136
4.6,92.408,136
4.604,92.017,136
4.606,92.365,136
4.609,92.263,136
4.612,92.238,136
4.614,92.304,136
4.618,91.735,136
4.62,91.976,136
4.623,92.089,136
4.626,91.772,136
4.628,92.139,136
4.632,91.818,136
4.634,91.599,136
4.637,92.26,136
4.64,91.908,136
4.643,92.123,136
4.645,92.334,136
4.649,91.574,136
4.651,91.739,136
4.654,92.025,136
4.657,92.125,136
4.659,92.891,136
4.663,91.827,136
4.665,92.189,136
4.668,91.932,136
4.671,91.382,136
4.673,91.51,136
4.677,91.856,136
4.679,92.665,136
4.682,92.205,136
4.685,91.99,136
4.688,92.654,136
4.69,91.926,136
4.693,91.834,136
4.696,92.262,136
4.699,92.398,136
4.702,92.059,136
4.704,92.099,136
4.708,91.635,136
4.71,92.34,136
4.713,91.942,136
4.716,91.626,136
4.718,91.698,136
4.721,92.427,136
4.724,91.668,136
4.727,92.191,136
4.73,92.364,136
4.732,92.563,136
4.735,91.391,136
4.738,91.883,136
4.741,92.556,136
4.744,91.632,136
4.747,92.069,136
4.749,92.047,136
4.753,91.147,136
4.755,91.836,136
4.758,92.321,136
4.761,92.003,136
4.763,92.33,136
4.766,92.149,136
4.769,91.97,136
4.771,92.245,136
4.775,91.344,136
4.777,91.628,136
4.78,91.606,136
4.783,91.488,136
4.786,91.662,136
4.789,91.491,136
4.792,91.761,136
4.794,92.267,136
4.797,91.899,136
4.8,91.942,136
4.803,92.043,136
4.806,91.526,136
4.808,91.658,136
4.811,91.832,136
4.814,92.151,136
4.816,92.301,136
4.82,91.815,136
4.822,91.848,136
4.825,92.12,136
4.828,91.981,136
4.831,92.222,136
4.834,92.081,136
4.836,92.482,136
4.839,92.616,136
4.842,91.607,136
4.845,91.907,136
4.847,92.042,136
4.851,92.152,136
4.853,92.446,136
4.856,92.294,136
4.859,91.912,136
4.861,92.396,136
4.865,91.991,136
4.867,92.039,136
4.87,91.967,136
4.873,91.852,136
4.875,91.921,136
4.879,92.26,136
4.881,91.672,136
4.884,92.007,136
4.887,92.483,136
4.89,91.452,136
4.892,92.175,136
4.896,91.851,136
4.898,91.877,136
4.901,91.636,136
4.904,91.494,136
4.906,91.788,136
4.91,91.563,136
4.912,91.674,136
4.915,92.06,136
4.918,91.868,136
4.92,91.424,136
4.924,91.408,136
4.926,91.066,136
4.929,91.954,136
4.932,91.738,136
4.935,92.395,136
4.937,92.009,136
4.94,91.624,136
4.943,92.007,136
4.949,92.072,136
4.953,92.692,136
4.955,92.32,136
4.959,91.161,136
4.961,91.543,136
4.964,91.707,136
4.967,92.443,136
4.969,93.094,136
4.972,91.917,136
4.975,92.555,136
4.977,92.954,136
4.981,91.449,136
4.983,92.245,136
4.986,91.991,136
4.989,92.572,136
4.991,92.241,136
4.994,92.303,136
4.997,91.675,136
4.999,91.935,136
5.003,91.934,136
5.005,91.719,136
5.008,92.072,136
5.011,91.617,136
5.013,92.395,136
5.016,92.372,136
5.019,91.95,136
5.021,92.03,136
5.024,92.571,136
5.027,92.356,136
5.03,92.146,136
5.033,91.532,136
5.035,92.342,136
5.038,91.982,136
5.041,91.869,136
5.043,92.959,136
5.046,92.192,136
5.049,91.786,136
5.051,92.571,136
5.055,92.522,136
5.057,92.313,136
5.06,92.774,136
5.063,92.755,136
5.065,92.646,136
5.068,92.404,136
5.071,92.556,136
5.073,93.22,136
5.076,92.244,136
5.079,92.691,136
5.082,92.673,136
5.085,92.518,136
5.087,92.9,136
5.09,92.706,136
5.093,92.753,136
5.095,92.29,136
5.098,92.245,136
5.101,92.362,136
5.104,92.776,136
5.107,91.816,136
5.109,91.834,136
5.112,91.579,136
5.115,91.809,136
5.117,92.276,136
5.12,90.712,136
5.123,91.929,136
5.126,92.2,136
5.128,92.181,136
5.131,91.346,136
5.134,92.117,136
5.137,92.67,136
5.139,92.445,136
5.142,91.84,136
5.145,92.024,136
5.148,91.805,136
5.15,92.262,136
5.153,92.577,136
5.538,91.792,136
5.54,91.812,136
5.543,92.169,136
5.546,92.194,136
5.548,92.53,136
5.551,91.805,136
5.554,92.216,136
5.557,92.401,136
5.56,92.217,136
5.562,92.58,136
5.565,92.837,136
5.568,92.272,136
5.57,92.544,136
5.573,92.047,136
5.576,92.453,136
5.578,92.124,136
5.582,92.099,136
5.584,92.871,136
5.587,92.252,136
5.59,92.006,136
5.592,92.348,136
5.595,92.146,136
5.598,91.802,136
5.6,92.13,136
5.604,92.21,136
5.606,92.631,136
5.609,92.751,136
5.612,92.259,136
5.614,92.683,136
5.617,91.878,136
5.62,92.327,136
5.622,92.43,136
5.626,92.092,136
5.628,92.369,136
5.631,92.617,136
5.634,91.974,136
5.636,91.947,136
5.639,91.451,136
5.642,91.123,136
5.644,91.625,136
5.648,91.47,136
5.65,92.446,136
5.653,92.296,136
5.656,92.018,136
5.658,92.011,136
5.661,91.35,136
5.664,91.169,136
5.666,91.623,136
5.67,91.235,136
5.672,91.989,136
5.675,91.383,136
5.678,91.667,136
5.68,92.277,136
5.683,91.611,136
5.686,91.388,136
5.688,91.863,136
5.692,91.922,136
5.694,91.963,136
5.697,92.307,136
5.7,91.453,136
5.702,91.556,136
5.705,91.342,136
5.708,91.615,136
5.71,92.448,136
5.713,91.177,136
5.716,91.455,136
5.718,91.712,136
5.722,91.928,136
5.724,91.947,136
5.727,91.721,136
5.73,92.091,136
5.732,92.111,136
5.735,92.039,136
5.738,91.651,136
5.74,92.311,136
5.743,91.776,136
5.746,92.358,136
5.749,91.912,136
5.752,91.709,136
5.754,92.281,136
5.757,92.089,136
5.76,91.716,136
5.762,92.273,136
5.765,92.146,136
5.768,92.551,136
5.771,92.126,136
5.774,91.502,136
5.776,91.932,136
5.779,91.954,136
5.782,92.101,136
5.784,91.583,136
5.787,91.739,136
5.79,92.248,136
5.793,91.424,136
5.795,92.105,136
5.798,91.945,136
5.801,91.492,136
5.804,92.031,136
5.806,91.438,136
5.809,91.094,136
5.812,91.384,136
5.815,91.456,136
5.817,91.621,136
5.82,91.628,136
5.823,91.492,136
5.825,91.564,136
5.828,91.965,136
5.831,92.01,136
5.834,91.594,136
5.837,91.466,136
5.839,91.021,136
5.842,91.738,136
5.845,91.673,136
5.847,92.261,136
5.85,91.792,136
5.853,91.699,136
5.855,91.806,136
5.859,91.669,136
5.861,91.759,136
5.864,92.111,136
5.867,91.658,136
5.869,91.855,136
5.872,91.931,136
5.875,92.006,136
5.877,92.034,136
5.88,91.895,136
5.883,91.712,136
5.885,92.364,136
5.889,91.631,136
5.891,91.444,136
5.894,91.83,136
5.897,91.647,136
5.899,92.087,136
5.902,91.713,136
5.905,92.122,136
5.907,91.673,136
5.911,92.232,136
5.913,92.298,136
5.916,91.946,136
5.919,91.371,136
5.921,91.86,136
5.924,91.754,136
5.927,92.017,136
5.929,92.161,136
5.933,92.012,136
5.935,92.862,136
5.938,92.262,136
5.941,92.453,136
5.943,92.198,136
6.082,92.04,136
6.153,92.089,136
6.155,92.403,136
6.159,91.577,136
6.161,91.89,136
6.164,92.251,136
6.167,91.417,136
6.169,92.543,136
6.172,92.028,136
6.175,91.998,136
6.177,92.316,136
6.181,92.385,136
6.183,92.281,136
6.186,92.296,136
6.189,91.999,136
6.191,92.205,136
6.194,92.535,136
6.197,92.383,136
6.199,92.116,136
6.202,92.177,136
6.205,92.069,136
6.208,91.979,136
6.211,91.925,136
6.213,92.388,136
6.216,91.711,136
6.219,91.5,136
6.221,91.895,136
6.224,91.555,136
6.227,91.922,136
6.229,92.184,136
6.233,91.58,136
6.235,91.513,136
6.238,91.831,136
6.241,92.044,136
6.243,92.515,136
6.246,92.015,136
6.249,91.927,136
6.251,92.293,136
6.254,91.553,136
6.257,91.84,136
6.26,91.797,136
6.263,91.513,136
6.265,92.18,136
6.268,90.981,136
6.271,91.944,136
6.273,91.636,136
6.276,91.814,136
6.279,92.013,136
6.282,91.838,136
6.284,91.412,136
6.287,92.504,136
6.29,91.224,136
6.293,91.916,136
6.295,91.86,136
6.298,92.165,136
6.301,92.228,136
6.304,91.504,136
6.306,92.048,136
6.309,92.53,136
6.312,91.229,136
6.314,92.343,136
6.317,91.845,136
6.32,91.613,136
6.323,91.672,136
6.326,91.836,136
6.328,92.05,136
6.331,92.141,136
6.334,92.008,136
6.336,92.229,136
6.339,91.908,136
6.342,91.637,136
6.345,92.142,136
6.348,91.696,136
6.35,91.412,136
6.353,91.996,136
6.356,91.137,136
6.358,92.264,136
6.361,92.112,136
6.364,91.793,136
6.366,91.838,136
6.369,91.435,136
6.372,92.285,136
6.375,91.492,136
6.378,91.695,136
6.38,92.05,136
6.383,91.87,136
6.386,91.884,136
6.388,92.36,136
6.391,91.957,136
6.394,91.71,136
6.396,92.371,136
6.4,91.467,136
6.402,91.384,136
6.405,91.605,136
6.408,91.404,136
6.41,91.951,136
6.413,91.718,136
6.416,91.954,136
6.418,92.225,136
6.422,91.696,136
6.424,92.483,136
6.427,92.462,136
6.43,92.429,136
6.432,92.402,136
6.435,91.63,136
6.438,91.717,136
6.44,92.264,136
6.444,92.056,136
6.446,92.49,136
6.449,92.136,136
6.452,92.28,136
6.454,91.957,136
6.457,92.322,136
6.46,91.832,136
6.462,92.139,136
6.466,92.105,136
6.468,91.546,136
6.471,91.524,136
6.474,92.176,136
6.476,92.258,136
6.479,91.852,136
6.482,91.535,136
6.484,91.925,136
6.488,92.078,136
6.49,92.279,136
6.493,92.264,136
6.496,91.527,136
6.498,92.591,136
6.501,91.649,136
6.504,91.874,136
6.506,92.518,136
6.51,92.198,136
6.512,92.109,136
6.515,92.391,136
6.518,91.683,136
6.52,91.91,136
6.523,91.871,136
6.526,91.552,136
6.528,92.038,136
6.531,91.576,136
6.534,91.515,136
6.537,91.701,136
6.54,90.994,136
6.542,92.447,136
6.545,91.901,136
6.548,92.04,136
6.55,91.838,136
6.553,91.921,136
6.556,92.138,136
6.558,91.663,136
6.562,91.866,136
6.564,92.12,136
6.567,92.099,136
6.57,91.985,136
6.572,92.409,136
6.575,91.355,136
6.578,91.608,136
6.58,91.614,136
6.583,91.907,136
6.586,92.622,136
6.589,92.09,136
6.592,91.821,136
6.594,93.322,136
6.597,92.008,136
6.6,91.791,136
6.602,92.233,136
6.605,92.406,136
6.608,92.581,136
6.611,91.312,136
6.613,91.67,136
6.616,92.306,136
6.619,91.913,136
6.622,92.112,136
6.624,92.07,136
6.627,92.108,136
6.63,92.31,136
6.633,92.036,136
6.635,92.136,136
6.638,92.555,136
6.641,91.753,136
6.643,92.277,136
6.646,91.858,136
6.649,92.427,136
6.652,92.145,136
6.655,92.011,136
6.657,91.924,136
6.66,92.385,136
6.663,91.448,136
6.665,92.103,136
6.668,92.425,136
6.671,91.619,136
6.673,92.298,136
6.677,92.435,136
6.679,91.873,136
6.682,92.322,136
6.685,91.874,136
6.687,91.818,136
6.69,92.362,136
6.693,92.08,136
6.695,92.193,136
6.698,91.586,136
6.701,92.068,136
6.704,92.236,136
6.707,91.313,136
6.709,91.944,136
6.712,91.378,136
6.715,92.007,136
6.717,92.03,136
6.72,92.102,136
6.723,91.695,136
6.725,92.055,136
6.729,91.579,136
6.731,91.858,136
6.734,92.097,136
6.737,91.654,136
6.739,91.682,136
6.742,91.566,136
6.745,92.549,136
6.747,91.948,136
6.751,91.81,136
6.753,92.485,136
6.756,92.252,136
6.759,91.541,136
6.761,91.988,136
6.764,91.875,136
6.767,92.137,136
6.769,92.382,136
6.773,91.982,136
6.775,91.823,136
6.778,91.891,136
6.781,91.695,136
6.783,91.881,136
6.786,91.877,136
6.789,91.75,136
6.791,92.276,136
6.795,91.954,136
6.797,92.255,136
6.8,92.069,136
6.803,91.763,136
6.805,92.279,136
6.808,91.872,136
6.811,91.5,136
6.813,92.351,136
6.817,91.195,136
6.819,91.602,136
6.822,91.406,136
6.825,91.619,136
6.827,92.062,136
6.83,91.765,136
6.833,91.925,136
6.835,92.443,136
6.839,91.804,136
6.841,92.237,136
6.844,92.48,136
6.847,91.985,136
6.849,92.368,136
6.852,91.765,136
6.855,92.301,136
6.857,92.116,136
6.86,91.819,136
6.863,91.92,136
6.865,91.957,136
6.869,91.806,136
6.871,91.801,136
6.874,92.102,136
6.877,91.619,136
6.879,92.05,136
6.986,90.92,880
6.989,92.157,880
6.991,91.748,880
6.994,91.451,880
6.997,92.968,880
7.0,91.332,880
7.002,91.639,880
7.005,92.013,880
7.008,91.746,880
7.011,92.545,880
7.013,91.875,880
7.016,92.077,880
7.019,92.275,880
7.022,91.637,880
7.024,92.009,880
7.027,92.181,880
7.03,91.808,880
7.032,92.099,880
7.035,92.027,880
7.038,91.931,880
7.041,92.241,880
7.044,90.929,880
7.046,91.761,880
7.049,92.42,880
7.052,91.343,880
7.054,92.734,880
7.057,91.354,880
7.06,91.58,880
7.062,92.316,880
7.066,91.753,880
7.068,91.613,880
7.071,92.682,880
7.074,90.907,880
7.076,92.667,880
7.079,92.225,880
7.082,91.248,880
7.084,92.16,880
7.087,91.039,880
7.09,91.593,880
7.093,92.161,880
7.096,91.72,880
7.098,92.055,880
7.101,92.172,880
7.104,91.647,880
7.106,92.915,880
7.109,92.143,880
7.112,92.007,880
7.114,92.29,880
7.118,91.383,880
7.12,91.68,880
7.123,92.336,880
7.126,91.658,880
7.128,92.465,880
7.131,92.007,880
7.134,91.956,880
7.136,92.708,880
7.14,91.461,880
7.142,92.174,880
7.145,91.737,880
7.148,91.571,880
7.15,92.775,880
7.153,91.422,880
7.156,91.769,880
7.158,92.346,880
7.162,90.705,880
7.164,91.969,880
7.167,92.306,880
7.17,92.193,880
7.172,92.184,880
7.175,91.346,880
7.178,92.201,880
7.18,92.502,880
7.184,91.56,880
7.186,92.323,880
7.189,91.718,880
7.192,91.671,880
7.194,92.502,880
7.197,91.417,880
7.2,91.8,880
7.202,92.596,880
7.206,91.029,880
7.208,92.213,880
7.211,92.051,880
7.214,92.096,880
7.216,92.227,880
7.219,92.123,880
7.222,91.84,880
7.224,92.065,880
7.228,90.67,880
7.23,92.391,880
7.233,91.704,880
7.236,91.196,880
7.238,92.484,880
7.241,91.35,880
7.244,91.605,880
7.246,92.748,880
7.249,91.665,880
7.252,92.176,880
7.254,91.775,880
7.258,91.699,880
7.26,91.491,880
7.263,91.953,880
7.266,91.908,880
7.268,93.012,880
7.271,91.701,880
7.274,92.519,880
7.276,92.279,880
7.279,91.759,880
7.282,92.277,880
7.285,91.346,880
7.288,91.892,880
7.29,92.486,880
7.293,92.097,880
7.296,92.288,880
7.298,92.127,880
7.301,91.316,880
7.304,92.152,880
7.307,91.913,880
7.31,91.661,880
7.312,92.681,880
7.315,91.456,880
7.318,92.262,880
7.32,92.101,880
7.323,91.892,880
7.326,92.074,880
7.329,91.716,880
7.331,91.716,880
7.334,92.354,880
7.337,90.475,880
7.34,92.132,880
7.342,92.007,880
7.345,91.354,880
7.348,92.045,880
7.351,91.843,880
7.353,92.251,880
7.356,92.449,880
7.359,90.958,880
7.361,91.747,880
7.364,91.441,880
7.367,91.453,880
7.37,92.755,880
7.373,91.724,880
7.375,92.583,880
7.378,92.714,880
7.381,91.583,880
7.383,92.597,880
7.386,92.352,880
7.389,91.389,880
7.391,92.606,880
7.395,91.597,880
7.397,91.524,880
7.4,92.178,880
7.403,91.452,880
7.405,92.006,880
7.408,92.286,880
7.411,91.749,880
7.413,92.19,880
7.416,91.791,880
7.419,92.169,880
7.422,92.836,880
7.425,91.184,880
7.427,92.152,880
7.43,92.504,880
7.433,92.206,880
7.435,92.245,880
7.438,91.286,880
7.441,91.858,880
7.443,92.448,880
7.447,91.694,880
7.449,92.345,880
7.452,91.713,880
7.455,90.88,880
7.457,92.147,880
7.46,91.785,880
7.463,91.854,880
7.465,92.217,880
7.469,91.414,880
7.471,92.613,880
7.474,92.243,880
7.477,91.209,880
7.479,92.443,880
7.482,92.069,880
7.485,92.321,880
7.487,92.75,880
7.491,91.53,880
7.493,92.097,880
7.496,92.023,880
7.499,92.069,880
7.501,92.103,880
7.504,92.046,880
7.507,91.99,880
