source_id,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot
505544623134481920,27.47556391527387,56.3012748882736,131.0196220064296,-5.6496593444017975,0.4742105125055725,0.13611461,1.311591707903373,0.08639771,-1.1234040569500858,0.10542994,17.862291,18.516628,17.025208,1.4914207,1.0430636,841.5891
504821007045480192,28.01045210644449,56.38070499929346,131.29119853048113,-5.504260957177459,0.1478136921829106,0.22805156,-1.0665024374255032,0.18706428,-1.7072053887640093,0.21919784,19.185734,19.61189,18.583965,1.0279255,0.9664465,
504814551717688832,27.97299692891858,56.30593736609527,131.28845322468678,-5.581808595516063,0.3855229920239419,0.06752873,-0.0386117192512432,0.046516515,-1.995174837112962,0.056927565,16.935308,17.44098,16.268038,1.1729431,1.0617597,1176.1436
505545383344438656,27.4355451531171,56.363481468118415,130.9838160338476,-5.594052826930143,-3.241027444385348,2.8782709,-1.7791190794472822,1.8875949,-1.8002637384204518,2.6596406,20.933212,20.793795,19.491869,1.3019257,1.1583607,
505570294156118784,27.463774440057293,56.45673953231704,130.97799915860432,-5.499673492557258,-1.2576775983267945,0.7590503,1.3313046036856735,0.52643836,0.6411208418812779,0.5970461,20.412807,20.469912,19.261328,1.2085838,1.1437194,
504812829427612288,27.874544991395386,56.24894254719121,131.2483468945662,-5.6499464217811655,0.418881303779633,0.21275575,-1.7533268326037523,0.14286481,-0.2587520111772348,0.1881168,18.875507,19.4787,18.204704,1.2739964,0.98466,1057.1742
505569911905859200,27.45145698051264,56.44127726971037,130.9748365031068,-5.516272129323698,0.3703248910290854,0.09889023,1.3764246479658555,0.06749923,-3.447292980406659,0.090702824,16.976187,17.271528,16.133736,1.1377926,1.4355087,1156.7635
505574309954588800,27.77534064830273,56.541761427832576,131.12675151105395,-5.377717542928269,0.8344093228870497,0.7117863,-0.8809435749417147,0.66874856,-1.108161467328145,0.71257716,20.53055,21.096828,19.670269,1.4265594,1.0494912,
505573554040333952,27.802226520461705,56.53823411091232,131.1420564049208,-5.3777361786234055,1.437577537408704,0.81337553,-1.6198788729191755,0.53122616,0.7420502025910493,0.89507717,20.55208,21.061464,19.529804,1.5316601,1.0461584,
505571320651892352,27.54462345358008,56.51108234915881,131.00934524318055,-5.436646213820243,2.189355825039438,0.508611,-7.201935441386547,0.35270482,-2.410870375076692,0.39112905,20.034924,21.01246,18.90191,2.11055,1.0546329,
505570289859536768,27.46565244185786,56.458909471838766,130.97852332156265,-5.497325468670113,1.0135913494098414,0.15323447,-1.9526669254428648,0.10039223,2.7773235836346286,0.13222533,18.251165,19.35173,17.254248,2.0974827,1.022222,552.137
505571217576017664,27.536519059363336,56.507519822847975,131.00578066873484,-5.441129348676031,0.6274556694314608,0.96055484,4.082039085032188,0.7206028,-0.4346052026662063,0.807282,20.640797,21.43709,19.802372,1.634718,1.0815794,
504815067114765568,27.9979851715438,56.337520288093,131.294586915528,-5.547864218408038,0.7718962036055076,0.47611168,-0.608839582970423,0.3569566,0.1747040104614653,0.41230634,19.985783,20.371492,19.292057,1.0794353,0.99692386,
505540572987459200,27.581732856311785,56.24454236307412,131.09023387358778,-5.69156645670443,0.3469603012143888,0.10772116,1.3134966370537602,0.06767992,-0.8075897893626091,0.08625036,17.599989,18.196732,16.86753,1.3292007,1.0017785,914.2266
504814517355501568,27.955403182107315,56.290336093951645,131.28256719524464,-5.599255229157803,,,,,,,20.884405,,,,,
504812936810054400,27.88749737187054,56.25340606588121,131.25434112717858,-5.643936539491423,0.4391166791473154,0.0630763,1.595066764304775,0.042482726,-4.381409472446621,0.05248148,16.75207,17.316847,16.047071,1.2697754,1.0086268,1028.9447
504821217506826496,28.006447994802414,56.41342576125314,131.28135346494466,-5.47296366682331,0.3794354803506009,0.056820627,-2.049858683778037,0.04345526,0.6194912468744443,0.053228427,16.862429,17.283691,16.274221,1.00947,1.030333,1366.9089
505574550467451904,27.73558066171351,56.544558957872034,131.10467803363937,-5.380032027554961,0.4776468228882325,0.41300935,-1.1069782393517145,0.32254538,-1.3772012712560695,0.3821303,19.880117,20.40764,19.36489,1.0427513,1.0550523,
505545069814976384,27.45088549211376,56.32858259430991,131.00003491911403,-5.626141208356946,0.2956884697903708,0.8301216,-5.92082791451997,0.5681213,-2.864130741089184,0.6856387,20.450104,21.371843,19.31811,2.0537338,1.0243937,
504814409975599872,27.938540410337204,56.27864440734466,131.2761551141028,-5.612804507015844,0.697576165511213,0.38758978,-0.9610962508763964,0.30499813,-1.828257296139248,0.34691757,19.76306,20.718561,18.799793,1.9187679,1.0504913,
505570294162058752,27.463631929934422,56.457262689569305,130.97780359934825,-5.499181555334697,0.1785028474042063,0.06762283,-2.390032702016233,0.04748171,0.7675512778651777,0.06277227,17.038376,17.444584,16.443481,1.0011024,1.0220169,1332.23
504813276106984832,27.76404931939473,56.22606921222198,131.19361092974887,-5.686379208571568,1.3753422056013087,1.079581,-0.5798704833068744,0.90196246,0.2064946921619491,0.7872453,20.60675,21.326368,19.752644,1.5737247,1.040697,
504814414276112640,27.937868478574277,56.278158419740265,131.27590417889436,-5.613363942439055,,,,,,,20.969967,20.563608,20.878754,-0.3151455,,
504812833730840960,27.882872156341985,56.25154912232642,131.2522621398294,-5.646338627542554,0.622810452949693,0.044563208,3.361814860379809,0.029037446,-2.562774236586726,0.03773295,16.007822,16.498795,15.343557,1.1552372,0.9943212,1048.2466
504821423665246080,28.000419231144758,56.42831856299061,131.2746020867434,-5.459261604692574,0.1807151794364486,0.019016813,-0.3189108771613856,0.013377008,0.6263496095086685,0.017414596,14.482433,15.181178,13.670311,1.5108671,1.0501162,
504814379919044864,27.92286747678833,56.26941575184896,131.2698071524275,-5.623803670946223,0.2141840050287603,0.09511225,-2.48818070326107,0.06544619,0.6983852869813474,0.07868137,17.5387,18.082647,16.831356,1.2512913,1.005014,1171.2891
505544627436539008,27.47501091054597,56.30092771820089,131.0194003688154,-5.650066800090856,-0.1919106935901158,0.6045481,-1.7458962866427896,0.38648522,0.4399549374596646,0.4620217,20.039885,,,,1.003622,
505545482128145280,27.43269356983209,56.375170805074426,130.97962689726262,-5.583018680366256,0.567889381012493,0.14992508,-1.001987963812185,0.09167454,-1.741117814680335,0.12343152,18.10933,18.792898,17.312263,1.4806347,0.96215504,717.6874
504789877122345472,27.742770931943056,56.22465247252659,131.18236882826335,-5.69047738315752,0.1855983419810491,0.32808203,-2.3833487890148115,0.27458563,-2.105687982752554,0.26681015,19.30821,19.93488,18.580769,1.3541107,0.96008223,
505541393318992384,27.529622949783736,56.26473805059761,131.0572972642967,-5.67846564823896,0.361031179226888,0.24068162,-0.132687420991336,0.15323207,1.105439211596862,0.1918694,18.931793,19.7927,18.07183,1.7208691,1.0070976,752.7009
504812657631678336,27.814279616494854,56.23256134768432,131.21941186413815,-5.6736280358540006,,,,,,,20.90177,21.229353,19.473772,1.7555809,,
504813005529548160,27.849426541530963,56.24058595395533,131.23664678457197,-5.661307170696303,0.9004384200335034,0.0739429,-11.750308300071408,0.04637016,4.011199193700308,0.06416296,16.95072,17.628817,16.164984,1.4638329,0.9796216,1110.4905
504822656315715456,27.963551833578503,56.47329806216004,131.24416131176193,-5.420274718618638,,,,,,,20.916224,21.615194,19.479479,2.1357155,,
505544627436535168,27.468527374633886,56.30670141768667,131.01457001892288,-5.64525352038534,0.5426111463498867,0.5922423,1.1030889002300064,0.3658659,-0.064925951469757,0.4211832,20.054144,20.68434,19.410738,1.2736015,1.0229224,
505573867574939904,27.847293494424846,56.52931442732824,131.1684122622002,-5.380678086677715,0.7607774489219105,0.07826789,-3.027466732981332,0.05966848,0.5018572064078937,0.07540138,17.386938,18.126423,16.543797,1.5826263,0.9872816,976.1402
505574314251537536,27.7896368469848,56.54064410642526,131.1347140993441,-5.376990385194681,0.1145396574901413,0.021476142,-1.8727813241897688,0.015741007,1.114982474405296,0.02020442,14.742656,15.492671,13.895592,1.5970793,1.0145065,3918.0806
