estuary,country,period_h,period_m,mouth_h,mouth_m,mouth_chg_pct,maxtr_h,maxtr_m,maxtr_chg_m,maxtr_chg_pct,maxchg_tr_h,maxchg_tr_m,maxchg_tr_chg_m,maxchg_tr_chg_pct,loc_max_tr_km,loc_max_chg_km,wave_h,wave_m,wave_chg_pct,asym_h,asym_m,depth_m,intertidal_h,intertidal_m,intertidal_chg_pct,supratidal_h,supratidal_m
Rhine-Meuse,Netherlands,1879-1890,2006-2022,1.67,1.58,-5.4,1.67,1.58,-0.09,-5.4,1.3,1.5,0.2,15.4,0,19,3.1,5.4,74.2,0.71,0.55,13.2,7,0,-100.0,24,0
Scheldt,NL/Belgium,1799-1890,2013-2022,3.62,3.76,3.9,4.19,5.2,1.01,24.1,3.4,4.83,1.43,42.1,78,107,6.7,10.4,55.2,0.71,0.74,13.2,216,80,-63.0,40,34
Thames,United Kingdom,1900-1929,1975-2004,4.37,4.41,0.9,5.57,5.76,0.19,3.4,5.34,5.55,0.21,3.9,68,55,7.1,6.0,-15.5,0.52,0.38,7.8,41,46,12.2,,
Cape Fear,USA,1855-1939,1934-2024,1.31,1.37,4.6,1.37,1.37,0.0,0.0,0.73,1.3,0.57,78.1,4,44,3.4,4.2,23.5,0.87,0.99,4.2,10,15,50.0,22,30
Columbia,USA,1874-1925,1983-2023,1.88,1.78,-5.3,1.98,2.07,0.09,4.5,0.24,0.74,0.5,208.3,15,166,6.1,7.1,16.4,0.83,0.73,6.5,60,79,31.7,280,50
Connecticut,USA,1895-1934,1969-2024,0.96,0.97,1.0,0.96,1.01,0.05,5.2,0.25,0.59,0.34,136.0,0,73,4.1,4.1,0.0,0.73,0.68,,4,3,-25.0,18,15
Coos Bay,USA,1895-1899,1983-2024,1.48,1.76,18.9,1.48,2.05,0.57,38.5,1.27,1.97,0.7,55.1,0,54,9.9,16.8,69.7,0.86,1.27,8.6,19,21,10.5,12,4
Delaware,USA,1847-1922,1983-2024,1.3,1.24,-4.6,1.98,2.49,0.51,25.8,1.36,2.49,1.13,83.1,112,212,6.3,8.0,27.0,0.82,0.79,8.5,45,32,-28.9,560,460
Hudson,USA,1863-1955,1983-2024,1.4,1.43,2.1,1.6,1.52,-0.08,-5.0,0.7,1.52,0.82,117.1,13,264,6.7,7.8,16.4,0.86,0.9,9.4,21,27,28.6,170,41
James,USA,1882-1928,1919-2024,0.76,0.74,-2.6,1.22,1.01,-0.21,-17.2,1.13,0.94,-0.19,-16.8,168,149,5.3,5.3,0.0,0.86,0.88,4.5,10,7,-30.0,107,82
Potomac,USA,1884-1905,1953-2024,0.43,0.38,-11.6,0.94,0.85,-0.09,-9.6,0.61,0.5,-0.11,-18.0,179,58,6.8,6.9,1.5,0.96,0.91,5.6,4,9,125.0,32,19
St. Johns,USA,1884-1898,1983-2024,1.5,1.47,-2.0,1.5,1.47,-0.03,-2.0,0.54,0.93,0.39,72.2,0,21,5.5,5.8,5.5,0.99,0.92,8.6,2,19,850.0,64,34
San Francisco North,USA,1850-1899,1970-2011,1.13,1.25,10.6,1.5,1.39,-0.11,-7.3,1.5,1.13,-0.37,-24.7,59,59,5.2,5.4,3.8,0.86,0.82,9.3,86,50,-41.9,507,366
San Francisco South,USA,1850-1899,1970-2001,1.13,1.25,10.6,1.86,2.32,0.46,24.7,1.84,2.1,0.26,14.1,45,55,5.6,7.0,25.0,0.63,0.63,7.0,118,68,-42.4,262,55
Savannah,USA,1855-1939,1937-2023,2.06,2.11,2.4,2.06,2.48,0.42,20.4,1.17,2.44,1.27,108.5,0,33,3.4,5.4,58.8,0.75,0.72,5.2,7,8,14.3,72,59
