time_s,disp_mm
804,4.87342
805,4.87424
806,4.87496
807,4.8754
808,4.87544
809,4.87508
810,4.87441
811,4.8736
812,4.87284
813,4.87232
814,4.87217
815,4.87241
816,4.87299
817,4.87377
818,4.87454
819,4.87511
820,4.87535
821,4.87519
822,4.87467
823,4.87392
824,4.87313
825,4.87248
826,4.87215
827,4.87221
828,4.87264
829,4.87334
830,4.87414
831,4.87484
832,4.87526
833,4.87531
834,4.87498
835,4.87435
836,4.87357
837,4.87286
838,4.87236
839,4.87223
840,4.87248
841,4.87305
842,4.8738
843,4.87456
844,4.87513
845,4.87537
846,4.87524
847,4.87476
848,4.87407
849,4.87333
850,4.87273
851,4.87243
852,4.87248
853,4.8729
854,4.87356
855,4.87431
856,4.87496
857,4.87536
858,4.87539
859,4.87506
860,4.87445
861,4.87371
862,4.87301
863,4.87255
864,4.87242
865,4.87268
866,4.87323
867,4.87396
868,4.87469
869,4.87524
870,4.87546
871,4.87532
872,4.87485
873,4.87417
874,4.87343
875,4.87284
876,4.87252
877,4.87256
878,4.87294
879,4.87357
880,4.8743
881,4.87493
882,4.87531
883,4.87536
884,4.87506
885,4.87448
886,4.87377
887,4.87311
888,4.87266
889,4.87253
890,4.87275
891,4.87327
892,4.87395
893,4.87463
894,4.87515
895,4.87536
896,4.87524
897,4.87479
898,4.87414
899,4.87345
900,4.8729
901,4.8726
902,4.87265
903,4.87303
904,4.87364
905,4.87433
906,4.87494
907,4.8753
908,4.87534
909,4.87504
910,4.87448
911,4.87379
912,4.87316
913,4.87273
914,4.8726
915,4.87282
916,4.87333
917,4.874
918,4.87466
919,4.87516
920,4.87537
921,4.87524
922,4.87482
923,4.87419
924,4.87354
925,4.873
926,4.87273
927,4.87278
928,4.87314
929,4.87372
930,4.87436
931,4.8749
932,4.87518
933,4.87513
934,4.87472
935,4.87405
936,4.87324
937,4.87248
938,4.87192
939,4.87168
940,4.87179
941,4.87221
942,4.87284
943,4.8735
944,4.87405
945,4.87434
946,4.87434
947,4.87404
948,4.87355
949,4.87299
950,4.8725
951,4.87222
952,4.8722
953,4.87242
954,4.8728
955,4.8732
956,4.87346
957,4.87344
958,4.87309
959,4.87238
960,4.8714
961,4.87029
962,4.86923
963,4.86839
964,4.86788
965,4.86778
966,4.86806
967,4.86863
968,4.86937
969,4.87013
970,4.87078
971,4.87128
972,4.8716
973,4.8718
974,4.87195
975,4.87215
976,4.87246
977,4.87289
978,4.87339
979,4.87384
980,4.87413
981,4.87413
982,4.87372
983,4.8729
984,4.87172
985,4.8703
986,4.86883
987,4.86751
988,4.86651
989,4.86593
990,4.86581
991,4.86608
992,4.8666
993,4.86722
994,4.86773
995,4.86803
996,4.86803
997,4.86776
998,4.8673
999,4.8668
1000,4.8664
1001,4.86625
1002,4.86641
1003,4.86687
1004,4.86758
1005,4.86841
1006,4.86921
1007,4.86986
1008,4.8703
1009,4.87051
1010,4.87056
1011,4.87058
1012,4.8707
1013,4.87107
1014,4.87176
1015,4.87278
1016,4.87408
1017,4.87553
1018,4.87698
1019,4.87826
1020,4.87926
1021,4.87992
1022,4.88024
1023,4.88032
1024,4.88029
1025,4.88026
1026,4.88035
1027,4.88061
1028,4.881
1029,4.88144
1030,4.8818
1031,4.88192
1032,4.88168
1033,4.88102
1034,4.87996
1035,4.87859
1036,4.87708
1037,4.87561
1038,4.87437
1039,4.87352
1040,4.87308
1041,4.87307
1042,4.87337
1043,4.87384
1044,4.87435
1045,4.87472
1046,4.87488
1047,4.87482
1048,4.87457
1049,4.87424
1050,4.87393
1051,4.87375
1052,4.87375
1053,4.87395
1054,4.8743
1055,4.87468
1056,4.875
1057,4.87516
1058,4.87508
1059,4.87479
1060,4.87435
1061,4.87384
1062,4.87341
1063,4.87318
1064,4.87322
1065,4.87354
1066,4.8741
1067,4.87478
1068,4.87546
1069,4.876
1070,4.87629
1071,4.8763
1072,4.87604
1073,4.87561
1074,4.87513
1075,4.87472
1076,4.87452
1077,4.87455
1078,4.87484
1079,4.87529
1080,4.87581
1081,4.87626
1082,4.87653
1083,4.87654
1084,4.87628
1085,4.87581
1086,4.87524
1087,4.87468
1088,4.87427
1089,4.87409
1090,4.87415
1091,4.87444
1092,4.87485
1093,4.87525
1094,4.87554
1095,4.87562
1096,4.87544
1097,4.87503
1098,4.87448
1099,4.8739
1100,4.87342
1101,4.87314
1102,4.87313
1103,4.87336
1104,4.87378
1105,4.87426
1106,4.87467
1107,4.87492
1108,4.87491
1109,4.87466
1110,4.8742
1111,4.87366
1112,4.87312
1113,4.87274
1114,4.87259
1115,4.87269
1116,4.87299
1117,4.87343
1118,4.87387
1119,4.87418
1120,4.87428
1121,4.87414
1122,4.87376
1123,4.87323
1124,4.87269
1125,4.87224
1126,4.87198
1127,4.87199
1128,4.87225
1129,4.87269
1130,4.87321
1131,4.87368
1132,4.874
1133,4.87408
1134,4.87393
1135,4.87357
1136,4.87313
1137,4.87271
1138,4.87242
1139,4.87236
1140,4.87255
1141,4.87293
1142,4.87344
1143,4.87395
1144,4.87434
1145,4.87453
1146,4.87448
1147,4.87421
1148,4.8738
1149,4.87334
1150,4.87298
1151,4.87279
1152,4.87283
1153,4.8731
1154,4.87354
1155,4.87403
1156,4.87447
1157,4.87473
1158,4.87477
1159,4.87456
1160,4.87416
1161,4.87367
1162,4.87322
1163,4.8729
1164,4.8728
1165,4.87295
1166,4.87331
1167,4.8738
1168,4.87429
1169,4.87468
1170,4.87487
1171,4.87481
1172,4.87454
1173,4.87412
1174,4.87365
1175,4.87325
1176,4.87302
1177,4.87301
1178,4.87323
1179,4.87361
1180,4.87405
1181,4.87444
1182,4.87468
1183,4.87471
1184,4.8745
1185,4.87411
1186,4.87363
1187,4.87316
1188,4.87281
1189,4.87266
1190,4.87273
1191,4.87299
1192,4.87337
1193,4.87375
1194,4.87403
1195,4.87412
1196,4.87399
1197,4.87366
1198,4.8732
1199,4.87271
1200,4.8723
1201,4.87206
1202,4.87205
1203,4.87225
1204,4.87263
1205,4.87307
1206,4.87347
1207,4.87373
1208,4.87379
1209,4.87364
1210,4.87333
1211,4.87295
1212,4.8726
1213,4.87237
1214,4.87234
1215,4.87253
1216,4.87291
1217,4.87339
1218,4.87386
1219,4.87421
1220,4.87437
1221,4.87429
1222,4.874
1223,4.87356
1224,4.87309
1225,4.87268
1226,4.87244
1227,4.87241
1228,4.8726
1229,4.87295
1230,4.87337
1231,4.87377
1232,4.87404
1233,4.87412
1234,4.874
1235,4.87371
1236,4.87335
1237,4.873
1238,4.87277
1239,4.87273
1240,4.87289
1241,4.87322
1242,4.87365
1243,4.87408
1244,4.8744
1245,4.87454
1246,4.87447
1247,4.87419
1248,4.87377
1249,4.87331
1250,4.87291
1251,4.87266
1252,4.8726
1253,4.87273
1254,4.87301
1255,4.87335
1256,4.87366
1257,4.87384
1258,4.87385
1259,4.87368
1260,4.87338
1261,4.87303
1262,4.87272
1263,4.87255
1264,4.8726
1265,4.87284
1266,4.87327
1267,4.8738
1268,4.8743
1269,4.8747
1270,4.87491
1271,4.87488
1272,4.87465
1273,4.87428
1274,4.87386
1275,4.8735
1276,4.87329
1277,4.87327
1278,4.87346
1279,4.87379
1280,4.87417
1281,4.87452
1282,4.87473
1283,4.87475
1284,4.87457
1285,4.87423
1286,4.8738
1287,4.87339
1288,4.87309
1289,4.87296
1290,4.87301
1291,4.87323
1292,4.87352
1293,4.87382
1294,4.87401
1295,4.87404
1296,4.87386
1297,4.8735
1298,4.87303
1299,4.87253
1300,4.8721
1301,4.87184
1302,4.87178
1303,4.87193
1304,4.87222
1305,4.87258
1306,4.8729
1307,4.8731
1308,4.87313
1309,4.87297
1310,4.87267
1311,4.87232
1312,4.872
1313,4.87181
1314,4.87181
1315,4.87202
1316,4.87239
1317,4.87287
1318,4.87336
1319,4.87374
1320,4.87395
1321,4.87395
1322,4.87375
1323,4.87341
1324,4.87302
1325,4.87267
1326,4.87246
1327,4.87242
1328,4.87257
1329,4.87285
1330,4.8732
1331,4.87351
1332,4.87371
1333,4.87375
1334,4.8736
1335,4.87333
1336,4.87298
1337,4.87265
1338,4.87243
1339,4.87237
1340,4.87249
1341,4.87276
1342,4.87312
1343,4.87347
1344,4.87374
1345,4.87384
1346,4.87376
1347,4.8735
1348,4.87313
1349,4.87274
1350,4.87242
1351,4.87224
1352,4.87225
1353,4.87244
1354,4.87277
1355,4.87315
1356,4.87348
1357,4.87369
1358,4.87373
1359,4.87358
1360,4.87329
1361,4.87293
1362,4.87258
1363,4.87234
1364,4.87226
1365,4.87237
1366,4.87264
1367,4.873
1368,4.87336
1369,4.87366
1370,4.87379
1371,4.87375
1372,4.87355
1373,4.87323
1374,4.87288
1375,4.8726
1376,4.87245
1377,4.87248
1378,4.87267
1379,4.87299
1380,4.87335
1381,4.87368
1382,4.87388
1383,4.87391
1384,4.87377
1385,4.87348
1386,4.87312
1387,4.87279
1388,4.87256
1389,4.8725
1390,4.87261
1391,4.87289
1392,4.87325
1393,4.87362
1394,4.8739
1395,4.87404
1396,4.874
1397,4.8738
1398,4.87348
1399,4.87315
1400,4.87287
1401,4.87272
1402,4.87275
1403,4.87294
1404,4.87326
1405,4.87362
1406,4.87394
1407,4.87415
1408,4.87418
1409,4.87404
1410,4.87375
1411,4.87339
1412,4.87305
1413,4.8728
1414,4.87271
1415,4.87279
1416,4.87303
1417,4.87335
1418,4.87368
1419,4.87395
1420,4.87406
1421,4.87401
1422,4.8738
1423,4.87349
1424,4.87314
1425,4.87287
1426,4.87272
1427,4.87273
1428,4.87291
1429,4.8732
1430,4.87355
1431,4.87385
1432,4.87404
1433,4.87406
1434,4.87392
1435,4.87365
1436,4.87331
1437,4.87299
1438,4.87277
1439,4.8727
1440,4.8728
1441,4.87306
1442,4.87338
1443,4.87372
1444,4.87397
1445,4.87408
1446,4.87402
1447,4.8738
1448,4.87348
1449,4.87314
1450,4.87284
1451,4.87268
1452,4.87268
1453,4.87285
1454,4.87314
1455,4.87347
1456,4.87378
1457,4.87397
1458,4.87401
1459,4.87388
1460,4.87362
1461,4.8733
1462,4.87299
1463,4.87277
1464,4.8727
1465,4.87279
1466,4.87303
1467,4.87335
1468,4.87368
1469,4.87394
1470,4.87407
1471,4.87404
1472,4.87386
1473,4.87358
1474,4.87327
1475,4.87302
1476,4.87289
1477,4.8729
1478,4.87308
1479,4.87336
1480,4.87369
1481,4.87396
1482,4.87415
1483,4.87417
1484,4.87403
1485,4.87377
1486,4.87345
1487,4.87314
1488,4.87293
1489,4.87285
1490,4.87294
1491,4.87317
1492,4.87348
1493,4.87378
1494,4.87401
1495,4.87411
1496,4.87405
1497,4.87385
1498,4.87354
1499,4.87321
1500,4.87294
1501,4.87279
1502,4.87279
1503,4.87295
1504,4.87322
1505,4.87354
1506,4.87383
1507,4.87401
1508,4.87405
1509,4.87393
1510,4.87369
1511,4.87339
1512,4.8731
1513,4.87289
1514,4.87282
1515,4.87291
1516,4.87312
1517,4.87341
1518,4.87371
1519,4.87394
1520,4.87404
1521,4.87399
1522,4.8738
1523,4.87352
1524,4.87321
1525,4.87296
1526,4.87283
1527,4.87285
1528,4.87302
1529,4.87329
1530,4.87361
1531,4.87389
1532,4.87406
1533,4.8741
1534,4.87397
1535,4.87373
1536,4.87343
1537,4.87314
1538,4.87293
1539,4.87287
1540,4.87295
1541,4.87317
1542,4.87346
1543,4.87376
1544,4.87399
1545,4.87409
1546,4.87405
1547,4.87386
1548,4.87358
1549,4.87327
1550,4.87301
1551,4.87286
1552,4.87286
1553,4.873
1554,4.87325
1555,4.87355
