station,lat,lon,step_mm,p2p_mm,rise_time_s,dist_km
0264,35.7469,138.695,0.1868,0.4395,,588.1
0265,36.8017,138.436,0.2957,0.6752,125.0,531.7
0266,36.7065,137.872,0.2567,0.6183,130.0,579.6
0267,36.6652,138.247,0.265,0.6696,125.0,554.2
0268,36.3862,138.323,0.2206,0.591,128.0,566.8
0269,36.346,138.638,0.2969,0.6562,125.0,547.4
0270,36.3224,137.903,0.1823,0.5267,,601.2
0271,36.2085,138.216,0.1869,0.5027,,586.5
0272,36.1306,138.461,0.1863,0.5221,,574.9
0273,36.1211,137.983,0.1697,0.5024,,608.9
0274,35.7836,137.696,0.1274,0.4323,,652.5
0275,35.5561,138.038,0.0875,0.4125,,645.8
0276,35.5211,137.815,0.1135,0.4005,,663.3
0277,35.3171,137.925,0.1145,0.3843,,671.4
0278,35.247,137.588,0.0927,0.3679,,699.1
0279,36.3355,137.147,0.1571,0.4631,,656.4
0280,36.033,136.953,0.1634,0.4667,,689.5
0281,35.9735,137.535,0.1394,0.4476,,650.9
0282,35.8669,136.863,0.1088,0.4063,,706.7
0283,35.7578,136.975,0.0876,0.3686,,705.6
0284,35.6572,137.425,0.171,0.4519,,680.4
0285,35.6362,136.489,0.0995,0.3779,,749.1
0286,35.6329,136.611,0.1174,0.3778,,740.4
0287,35.6121,137.174,0.0982,0.3971,,701.2
0288,35.4883,136.687,0.0339,0.3532,,744.5
0289,35.4787,137.125,0.0899,0.353,,714.0
0291,35.3717,136.55,0.0884,0.3474,,762.2
0292,35.3674,137.11,0.1091,0.3624,,722.9
0293,35.262,137.406,0.0907,0.351,,710.2
0294,35.2279,136.593,0.1023,0.3451,,769.0
0295,35.0315,137.98,0.1483,0.3915,,690.2
0296,34.9865,138.516,0.0679,0.332,,660.8
0297,34.8656,138.922,0.1026,0.3181,,647.6
0298,35.3348,136.93,0.0928,0.3494,,737.8
0299,35.1901,136.829,0.0853,0.3475,,755.1
0300,35.1388,137.254,0.1209,0.372,,729.6
0301,35.0395,137.313,0.0795,0.3377,,733.1
0302,34.995,137.06,0.0983,0.3262,,753.4
0303,34.9197,137.3,0.0655,0.3202,,743.1
0304,34.8234,136.868,0.0554,0.3388,,779.2
0305,34.7949,137.119,0.0749,0.333,,764.6
0306,34.6487,137.278,0.0479,0.3036,,765.5
0307,34.6092,137.068,0.0827,0.3063,,782.3
0309,34.9138,136.637,0.0708,0.3425,,788.3
0310,34.7429,136.183,0.0624,0.3266,,832.2
0311,34.547,136.551,0.0474,0.2915,,821.4
0312,34.4331,136.334,0.0351,0.3169,,844.6
0314,34.2534,136.821,0.0651,0.2844,,826.2
0315,33.8751,136.086,0.0406,0.2736,,903.9
0316,33.7413,136.011,0.0453,0.2863,,919.3
0317,35.5573,136.198,0.1085,0.3602,,775.6
0318,35.4663,136.054,0.0745,0.3684,,792.1
0319,35.3513,135.913,0.0742,0.3412,,809.9
0320,35.319,136.063,0.0701,0.3449,,801.0
0321,35.2694,136.236,0.0905,0.3521,,791.7
0322,35.137,135.871,0.0749,0.3319,,827.1
0323,34.9864,136.145,0.0732,0.3263,,817.6
0324,34.9396,135.906,0.0587,0.3237,,837.9
0326,34.8693,136.055,0.0592,0.3308,,832.2
