forecast_hours,aod,tsaod,suaod,susmc,duaod,dusmc,bcaod,bcsmc,ocaod,ocsmc,ssaod,sssmc
54,4.674737480740079,5.132208748716439,7.751279610202194,14.38969522763843,2.2245510126711,2.591894724592795,1.221375194211513,21.45975006869602,1.62441298056114,11.0210985622107,6.236571537873258,0.2405268845109098
57,4.151647362858732,4.616487825028432,8.156068598121182,14.3748058104193,2.437202158473583,4.016095370508098,0.5175603235604508,9.221435050683192,1.142931610725589,-1.887248242210666,5.506780125187771,-0.2394243733522693
60,4.874543872806333,5.334125826256658,8.286758659647935,14.49444466467711,2.560576316526196,4.477020744852809,1.249048821586595,4.426318012320706,2.422592036453295,-9.4213057430663,4.81561595958584,-0.841705140916201
63,5.17294458432898,5.573761707480382,7.400320782550467,13.83064192427154,2.576015814212307,5.164283775248301,2.375366059765118,5.216190779495059,2.231555072939671,-14.18095642681211,3.668145069815255,-2.00929162076848
66,5.589066334654206,5.979392121053373,7.454165271704674,13.5128188233002,2.285076750401417,4.897721666201072,3.442455214644599,18.41897243401166,2.573220686314868,-3.181933519167589,3.64717144402851,-2.160739817167317
69,6.783008097490358,7.119419027192017,7.237762074887666,13.43689366984776,2.259806219004829,3.629062866393728,5.7383212285563,32.09259340332917,3.854111723409413,5.518086959699202,3.496062842157213,-2.36460265669644
72,6.410758833312754,6.804262160530692,7.309275453507684,13.85417047503151,1.779020256808895,2.600049105997812,3.973325386312295,27.66397677759707,3.394359679502102,4.925916692408514,3.497143646828852,-2.371033170490259
75,5.805384353218659,6.206877187989697,6.767097216540654,13.74625579621346,1.523605601959923,1.653490736061443,2.85291423678006,38.63791098365446,2.711547956359097,24.73235488058606,2.594164498278545,-3.235229890816157
78,5.245172399689241,5.630071590758994,6.37930497168003,13.88448322713254,1.497554697737897,1.618069466950292,2.170361600711153,30.24270190069795,1.897011720668345,14.35936470321382,1.777701474153141,-3.62582988438124
81,4.914506751020169,5.337533988083165,6.732000728921296,13.04264805997804,1.688020364433478,2.947377883772475,1.453054974700981,16.75320274166933,1.983270031786218,-0.3263257480743366,1.558263815280393,-3.664692417995768
84,6.518304348542669,6.941689782219719,7.506379314390675,14.33717867825966,1.804756318550099,3.110207242598704,3.256597071757495,14.02432241873668,4.448024126132313,-5.33977834422431,1.316613425560179,-3.987182941217118
87,7.480372364937414,7.880574874385612,7.040258917918411,13.82869913001199,1.706136233896169,3.608852299853703,4.704760557948219,11.65317138868966,5.346268798689536,-12.95219726441357,0.506252411612025,-4.793042049879801
90,7.740490441664047,8.122398220771231,7.374540776524288,13.3824845684881,1.548424775461031,3.232125129646906,5.964656535262356,36.17697509512824,5.477198034118161,7.251222112304196,0.5040067656728799,-4.922521588518854
93,8.359526043205143,8.670593562992188,7.22136456306623,13.24894663334732,1.361151366200322,2.055314007698569,7.915198739442646,48.31239212344904,6.030041813852413,17.88714544221304,0.317574136269074,-5.119755221120119
96,8.38321743261988,8.833593910898502,7.503660761866807,13.78844707255115,0.8150985838965303,1.229320092044834,5.820011356038815,41.48077157534347,6.008845799671465,16.65585845359373,0.4226651578684258,-5.032070268719917
99,7.755506817777142,8.23236190327071,7.074218818542458,13.65280973703731,0.504562278846872,0.2314072184528108,4.583367128613776,46.44398718617326,5.268544254255965,32.64268002655263,-0.5124593141234987,-5.88455411518438
102,7.560747755500061,8.077191931986585,7.365456110529797,14.61516930435288,0.4494447526808955,0.1833097354338769,3.824046340099649,37.97917045634615,4.694674278747422,19.13406736724524,-1.092392815210991,-6.182656529823053
105,7.107725897005985,7.662289539210315,8.345185384518093,15.37728832325989,0.776783691503298,1.535904836620493,2.847836157189146,25.19977436008271,4.374873814172261,4.264377174428751,-1.384804069511428,-6.451152203725464
108,7.977394741564312,8.534136837182418,8.210217512296783,14.29708706296368,0.9603082296354123,1.895214204482566,3.573200537309883,20.71770087678824,6.048289836940954,-2.20595512911833,-1.630762365564992,-6.692921753698422
111,8.545403645710492,9.081715316505088,7.843208639771808,14.09371133350807,0.905965912912094,2.261098271580403,4.676339734894943,19.3551771733966,6.49552355920399,-8.210641272680935,-2.39749068021915,-7.559174328369703
114,8.392483547145615,8.91482544276346,7.965237892598785,13.30245430040523,0.8367025972488009,1.679572299196302,5.527904676114987,41.3848402872356,6.062584099990498,16.29382783239578,-2.543295281514489,-7.633568356548154
117,9.341836990733455,9.831452005076644,7.495301709396303,13.32037175429516,0.6557534910153429,0.8658181771798749,7.482012008882884,50.20929603570294,7.152175195381465,23.52798973198087,-2.496733754240327,-7.425852615897549
120,8.616536211627022,9.209644864000966,6.71344147813205,13.11634878360413,0.2175063787228789,0.03208541874197821,4.923607721645943,41.18181536930548,5.884879242502568,21.21115674119968,-1.711786902419707,-6.703902597465111
