forecast_hours,r_aod_cams,r_aod_gamfs,r_aod_op_gamfs,r_duaod_cams,r_duaod_gamfs,r_duaod_op_gamfs,rmse_aod_cams,rmse_aod_gamfs,rmse_aod_op_gamfs,rmse_duaod_cams,rmse_duaod_gamfs,rmse_duaod_op_gamfs
45,0.7159870450390357,0.8158867426971129,0.788312573608077,0.7749821227856493,0.9232528270436297,0.9018043059766582,0.1154633281814896,0.08676774416188344,0.09409909237427293,0.05157432815834449,0.0283212376767191,0.03138584178389169
48,0.7138247622429482,0.8115123429453414,0.7848054571860162,0.7874608626251769,0.923446552000008,0.9039540245483944,0.1156633464659113,0.0871093225814532,0.09403703099828868,0.04983280941590341,0.02796271320404118,0.03069433533924273
51,0.7112921779655937,0.8044413110919144,0.7772932876457649,0.7992485500794324,0.9234526331729767,0.904952996420169,0.1150674706251222,0.08704591862072647,0.09394251133493825,0.04806518224787083,0.02762156991553038,0.03010777801951153
54,0.7099463482980294,0.7935733919731599,0.7669893571977818,0.8069398932552381,0.9230418370656378,0.9056474265514097,0.1145111418296119,0.08892463574217362,0.09562398265685917,0.04677749505576517,0.02734797306965052,0.02960628174384496
57,0.7035049577409369,0.784236580925285,0.7602366622077018,0.8058452076911603,0.9178871653305986,0.9015147255319208,0.1166908205820219,0.09188249893239536,0.09802643535385704,0.04706963943502345,0.02827075273694026,0.03029648036786297
60,0.6950229304700171,0.7745167867123312,0.7528269334970136,0.787122170583111,0.9060959535707608,0.8931829318760414,0.1200807370379598,0.0955357622082731,0.1011682917755012,0.05014814689913048,0.0309144428566942,0.03227367570372967
63,0.6886432935681955,0.7630384582182671,0.7418147952847439,0.767320395537835,0.8961213806541491,0.8838376800036742,0.1219899829758558,0.0977120107691802,0.1031242252136934,0.05279534874162917,0.03290846388194767,0.03404971304995594
66,0.6860732208819869,0.7570758543562763,0.7363613972175866,0.7615840542772413,0.8952023046545069,0.8842661345977977,0.1223678125664432,0.09880619409482588,0.1040565332584508,0.05349124046212864,0.03313323172063997,0.03390314517367823
69,0.6846771822758522,0.7535151918227994,0.7356285132522616,0.7676249610260972,0.8942000322372131,0.8841246453614299,0.1218332536322149,0.09881644289833362,0.1033332465966995,0.05253650621911887,0.03312959930805505,0.03368165894906709
72,0.6826440130195149,0.7497635621598228,0.7318482873759866,0.7797388847567113,0.8945826624401972,0.8845000205296617,0.122165339442322,0.09875171306454349,0.103126112194192,0.05078703555020209,0.03268178724028842,0.03321961502960735
75,0.680476239619961,0.7421930751679343,0.7238847368481628,0.790737015135137,0.8940314386440689,0.8844361960786762,0.1213591053248232,0.09847819527879628,0.1029597001066188,0.04904957241780936,0.03238887118662667,0.03280731529574104
