lon,lat,rmse_aod,diff_lon,diff_lat,rmse_aod_diff_vs_cams,du_lon,du_lat,rmse_duaod,du_diff_lon,du_diff_lat,rmse_duaod_diff_vs_cams
-117.02717,46.413153,0.142222958278086,-117.02717,46.413153,0.0108248849836679,16.008611,69.278333,0.0261268571584343,16.008611,69.278333,0.001220715603251699
-73.8157,40.734167,0.1739361250200493,-73.8157,40.734167,0.0105301187326613,-85.939167,79.990278,0.0183058177886554,-85.939167,79.990278,0.0008314116703494988
-75.3209,-12.0402,0.0796351778780249,-75.3209,-12.0402,0.0100598874281078,-3.605,37.164,0.0609757371592049,-3.605,37.164,0.0004200623010989016
-63.594,44.638,0.1748487621781787,-63.594,44.638,0.0100394830793897,-73.29733,41.8214,0.017691132302503,-73.29733,41.8214,0.0002041779967627
12.631667,35.516667,0.1066134497488141,12.631667,35.516667,0.009656528475870091,11.385694,47.264167,0.0251909453527337,11.385694,47.264167,0.0001734388552483979
102.71671,17.8772,0.1289238991477314,102.71671,17.8772,0.009424468002880396,-68.769001,76.516102,0.0326326752062847,-68.769001,76.516102,7.140097290229963e-05
-79.47,43.79,0.2790762372755171,-79.47,43.79,0.009185400876419003,-4.515694,41.988572,0.0421607941321245,-4.515694,41.988572,1.64527017934013e-05
-70.948344,43.108772,0.1523953689232949,-70.948344,43.108772,0.009184441534743376,21.72297,57.75092,0.0223107746058093,21.72297,57.75092,1.029565190690043e-05
11.385694,47.264167,0.0746263360232255,11.385694,47.264167,0.00820437423563991,10.721,59.942,0.018647692885243,10.721,59.942,-0.0002192466869936002
141.3407,43.0755,0.1413866267782386,141.3407,43.0755,0.007374823797907493,146.3861,-18.5198,0.0637503286053772,146.3861,-18.5198,-0.0003058241153088004
-74.0855,41.134722,0.2003717254707561,-74.0855,41.134722,0.007193259919525213,13.1515,58.755333,0.0197669200163382,13.1515,58.755333,-0.0004702277894967008
40.1945,-2.996,0.0893979937201985,40.1945,-2.996,0.007015953477861187,-90.2175,51.449444,0.0388618441713599,-90.2175,51.449444,-0.0004836307627320985
39.102833,22.304833,0.1471780828310737,39.102833,22.304833,0.006736988735202093,-71.287203,44.063881,0.0224745867660043,-71.287203,44.063881,-0.0004895814467002005
2.6251,39.5533,0.0979676392579679,2.6251,39.5533,0.006355160540508303,-116.791667,35.233333,0.014800882493849,-116.791667,35.233333,-0.0005829105216708999
-56.625244,-64.239996,0.0326401947611885,-56.625244,-64.239996,0.006154303972651497,-70.387045,-24.640915,0.008514698049508,-70.387045,-24.640915,-0.0006210852017051998
1.37432,43.57261,0.111614625509313,1.37432,43.57261,0.006144632109881101,-170.5644,-14.2472,0.0463050014007157,-170.5644,-14.2472,-0.000649404312476197
100.30231,5.35838,0.1350201986547775,100.30231,5.35838,0.005993489329590485,-87.412,46.7208,0.0358545983462624,-87.412,46.7208,-0.0009190637366452981
-1.1707,38.001,0.1058538381297636,-1.1707,38.001,0.005963338058545098,-68.1315,-16.350139,0.0234832561165748,-68.1315,-16.350139,-0.001094000559793001
-59.021861,-2.181583,0.1681107793060789,-59.021861,-2.181583,0.005893226439482313,1.37432,43.57261,0.073959028344969,1.37432,43.57261,-0.001195691580342204
76.7441,10.9353,0.1972671772755632,76.7441,10.9353,0.005859617989699001,-8.28367,-70.665278,0.0285580311694857,-8.28367,-70.665278,-0.001197088151816898
-0.4202,39.507,0.0907628150297313,-0.4202,39.507,0.005791687693283892,70.3,-90,0.0298992603972043,70.3,-90,-0.001213105138028199
-116.236917,47.536739,0.1083823663856785,-116.236917,47.536739,0.005573814271706695,120.1829,-1.6503,0.0288180817226191,120.1829,-1.6503,-0.001229380623023101
23.3868,42.6539,0.0858667459524666,23.3868,42.6539,0.005376094880284996,-68.156,48.64,0.0223341777716416,-68.156,48.64,-0.0012950630007907
14.306567,40.836842,0.1037871945852796,14.306567,40.836842,0.005304464726588007,-56.625244,-64.239996,0.0172767775575094,-56.625244,-64.239996,-0.001347153495004898
