MJD,Scaled_flux,Error
60319.55070125,1.4258617618001304,0.3379499111919711
60319.55070692,1.2556915419125307,0.3379499111919711
60319.55071259,0.4205116854090298,0.3379499111919711
60319.55071826,1.2104043059747018,0.3379499111919711
60319.55072394,1.3066894850214057,0.3379499111919711
60319.55072961,1.0520539218597318,0.3379499111919711
60319.55073528,0.7222495154698727,0.3379499111919711
60319.55074095,0.3512306255432406,0.3379499111919711
60319.55074662,1.3977951854711144,0.3379499111919711
60319.55075228,0.8053867873088197,0.3379499111919711
60319.55075796,1.0912762982438144,0.3379499111919711
60319.55076363,1.1061064292693987,0.3379499111919711
60319.55076931,1.0659101338328898,0.3379499111919711
60319.55077498,0.5290593907067391,0.3379499111919711
60319.55078065,1.7175505180018462,0.3379499111919711
60319.55078631,1.037400867025498,0.3379499111919711
60319.55079198,1.1893322392040209,0.3379499111919711
60319.55079765,0.9782574191145109,0.3379499111919711
60319.55080333,0.9565213166262666,0.3379499111919711
60319.550809,0.5491132693771561,0.3379499111919711
60319.55081468,0.5078987858403831,0.3379499111919711
60319.55082035,0.5326009145337444,0.3379499111919711
60319.55082601,0.9846321620031203,0.3379499111919711
60319.55083169,0.5110861572846878,0.3379499111919711
60319.55083736,1.0109722454664716,0.3379499111919711
60319.55084303,1.4039485831205358,0.3379499111919711
60319.55084869,0.6981671534462374,0.3379499111919711
60319.55085437,0.596436881515513,0.3379499111919711
60319.55086005,1.720649351350476,0.3379499111919711
60319.55086572,0.8156572064071348,0.3379499111919711
60319.55087138,0.6505336579730174,0.3379499111919711
60319.55087705,0.9363346308123369,0.3379499111919711
60319.55088273,0.1803963699380773,0.3379499111919711
60319.55088839,0.3012508705346297,0.3379499111919711
60319.55089406,1.3514012233373462,0.3379499111919711
60319.55089975,1.1881812439602442,0.3379499111919711
60319.55090542,1.208854889300387,0.3379499111919711
60319.55091108,0.9226554950305293,0.3379499111919711
60319.55091676,1.5341881218586522,0.3379499111919711
60319.55092243,1.084503133924667,0.3379499111919711
60319.5509281,0.6957766248630088,0.3379499111919711
60319.55093377,0.6010408624906198,0.3379499111919711
60319.55093944,0.9021589258817367,0.3379499111919711
60319.5509451,1.2785343705967143,0.3379499111919711
60319.55095079,0.9671016190594447,0.3379499111919711
60319.55095645,0.943860368944723,0.3379499111919711
60319.55096213,1.323024763673467,0.3379499111919711
60319.55096779,0.7751510276357628,0.3379499111919711
60319.55097346,0.8004286539510125,0.3379499111919711
60319.55097914,0.9846321620031203,0.3379499111919711
60319.5509848,1.3063796016865428,0.3379499111919711
60319.55099047,1.4103233260091452,0.3379499111919711
60319.55099616,0.26769493227375546,0.3379499111919711
60319.55100182,1.071576571956098,0.3379499111919711
60319.5510075,0.51777078350816,0.3379499111919711
60319.55101317,1.253212475233627,0.3379499111919711
60319.55101883,1.5881963602204814,0.3379499111919711
60319.5510245,1.0444839146795082,0.3379499111919711
60319.55103017,1.329842197040452,0.3379499111919711
60319.55103584,0.7905566562832356,0.3379499111919711
60319.55104153,0.594002083884447,0.3379499111919711
60319.55104719,0.7918847277183624,0.3379499111919711
60319.55105286,0.9759996976747952,0.3379499111919711
60319.55105854,1.146479800897258,0.3379499111919711
60319.5510642,0.5777553433280606,0.3379499111919711
60319.55106987,0.7705027776128186,0.3379499111919711
60319.55107554,1.2389578418299312,0.3379499111919711
60319.55108123,0.6122852006413613,0.3379499111919711
60319.5510869,1.4269684879960696,0.3379499111919711
