organ,gene_rank,gene
Kidney,2,CYP24A1
Kidney,3,FCAMR
Kidney,4,NPHS2
Kidney,5,PTH1R
Kidney,6,UMOD
Liver,1,A1BG
Liver,2,ADH4
Liver,3,AFM
Liver,4,AGXT
Liver,5,AHSG
Liver,6,AMBP
Liver,7,ANG
Liver,8,ANGPTL3
Liver,9,APCS
Liver,10,APOA1
Liver,11,APOA2
Liver,12,APOC1
Liver,13,APOF
Liver,14,APOM
Liver,15,ASGR1
Liver,16,ASGR2
Liver,17,C4BPB
Liver,18,C5
Liver,19,C9
Liver,20,CCL16
Liver,21,CFB
Liver,22,CFHR5
Liver,23,CLEC4M
Liver,24,CPB2
Liver,25,DBH
Liver,26,DHODH
Liver,27,F11
Liver,28,F12
Liver,29,F2
Liver,30,F7
Liver,31,F9
Liver,32,FETUB
Liver,33,FGA
Liver,34,FGF21
Liver,35,FGL1
Liver,36,FTCD
Liver,37,GDF2
Liver,38,HAO1
Liver,39,HGFAC
Liver,40,HRG
Liver,41,IGFBP1
Liver,42,ITIH1
Liver,43,ITIH3
Liver,44,ITIH4
Liver,45,KLKB1
Liver,46,LBP
Liver,47,LECT2
Liver,48,MST1
Liver,49,ORM1
Liver,50,PLG
Liver,51,PON1
Liver,52,PROC
Liver,53,RIDA
Liver,54,SERPINA11
Liver,55,SERPINA6
Liver,56,SERPINA7
Liver,57,SERPINC1
Liver,58,SERPIND1
Liver,59,SERPINF2
Liver,60,TDO2
Liver,61,TTR
Liver,62,UPB1
Lung,1,ADAMTS8
Lung,2,AGER
Lung,3,ALPP
Lung,4,CCL18
Lung,5,CSF2
Lung,6,SCGB1A1
Lung,7,SCGB3A2
Lung,8,SFTPA1
Lung,9,SFTPA2
Lung,10,SFTPD
Lung,11,VIPR1
Muscle,1,CA3
Muscle,2,ENO3
Muscle,3,IDI2
Muscle,4,KLHL41
Muscle,5,MYBPC1
Muscle,6,MYBPC2
Muscle,7,MYH4
Muscle,8,MYL1
Muscle,9,MYLPF
Pancreas,1,AMY2A
Pancreas,2,AMY2B
Pancreas,3,CELA2A
Pancreas,4,CPA1
Pancreas,5,CPB1
Pancreas,6,CTRB1
Pancreas,7,CTRL
Pancreas,8,CUZD1
Pancreas,9,GCG
Pancreas,10,GP2
Pancreas,11,KIRREL2
Pancreas,12,KLK1
Pancreas,13,PLA2G1B
Pancreas,14,PM20D1
Pancreas,15,PNLIP
Pancreas,16,PNLIPRP1
Pancreas,17,PNLIPRP2
Pancreas,18,PPY
Pancreas,19,PRSS2
Pancreas,20,REG1A
Pancreas,21,REG1B
Pancreas,22,SERPINI2
Pancreas,23,SPINK1
