outcome,organ,n_cases,n,beta,se,hr,ci_lower,ci_upper,p_value,outcome_label,organ_label
ad,Heart,611,43613,0.146408946919675,0.0486167186846608,1.1576695166439,1.05245121004825,1.27340697314137,0.00259965711135012,Alzheimer's disease,Heart
ad,Immune,611,43613,0.0755094262395044,0.0529902488633042,1.07843339324159,0.972048524867713,1.19646144601357,0.154166357031799,Alzheimer's disease,Immune
ad,Intestine,611,43613,0.156731931974559,0.0561081246636833,1.16968201752138,1.04787261547699,1.30565108955549,0.00521585995870214,Alzheimer's disease,Intestine
ad,Kidney,611,43613,-0.0675066234543028,0.0524262705911892,0.934721529510188,0.843445301928292,1.03587551644712,0.197868250197927,Alzheimer's disease,Kidney
ad,Liver,611,43613,0.0624648843884811,0.0523660742792489,1.06445707920029,0.960625412568046,1.17951165837947,0.232928029210193,Alzheimer's disease,Liver
ad,Lung,611,43613,0.00573608807162763,0.0491950464945589,1.00575257092544,0.913305876199344,1.10755690977548,0.907177913239545,Alzheimer's disease,Lung
ad,Muscle,611,43613,0.0652677315502716,0.0509867879221628,1.06744477477467,0.965929396003012,1.17962902041154,0.200513111386035,Alzheimer's disease,Muscle
ad,Pancreas,611,43613,0.0913863427856879,0.0521081208851985,1.0956922362879,0.98931380993453,1.21350926733856,0.0794676766406752,Alzheimer's disease,Pancreas
vd,Organismal,230,43615,0.472238769803687,0.0907705235527197,1.60358022455475,1.34222919859077,1.9158199950373,1.96565658838226e-07,Vascular dementia,Organismal
vd,Artery,230,43615,0.377523596550614,0.111795436921445,1.45866786291829,1.17164479180047,1.81600426101921,0.000733039166450276,Vascular dementia,Artery
vd,Brain,230,43615,0.740145427682287,0.101060226019551,2.09624034370323,1.71956443693238,2.55542827252703,2.41036174230605e-13,Vascular dementia,Brain
vd,Heart,230,43615,0.234394805440905,0.0787887441628379,1.26414348442461,1.08325641595354,1.47523589583958,0.00293009258877077,Vascular dementia,Heart
vd,Immune,230,43615,0.0758911705353143,0.0859563432410121,1.07884515762723,0.911576130203962,1.27680709879415,0.377288322896199,Vascular dementia,Immune
