masa_final_source_Msun,espin_final,masa_1_source_Msun,masa_2_source_Msun
63.086,0.6737,33.963,32.254
61.453,0.6669,33.262,31.190
62.908,0.6757,33.151,32.894
62.617,0.6690,33.927,31.770
60.949,0.6703,33.782,30.177
62.916,0.6775,34.970,31.087
62.701,0.6819,33.022,32.840
63.802,0.6738,34.420,32.550
62.905,0.6752,33.328,32.706
63.961,0.6764,34.475,32.673
62.607,0.6908,34.438,31.373
63.046,0.6677,33.084,33.061
62.198,0.6825,33.354,31.980
63.739,0.6686,34.650,32.224
62.760,0.6855,34.745,31.193
61.659,0.6622,33.053,31.596
61.971,0.6639,33.546,31.448
63.309,0.6869,34.099,32.430
63.554,0.6820,34.546,32.207
63.283,0.6723,34.787,31.617
62.381,0.6761,33.204,32.331
62.078,0.6749,32.791,32.367
62.873,0.6898,33.230,32.860
62.197,0.6670,33.161,32.087
62.682,0.6793,34.884,30.923
62.884,0.6894,34.023,32.077
62.419,0.6680,33.738,31.738
61.900,0.6658,33.244,31.690
62.459,0.6800,32.820,32.776
61.957,0.6721,32.684,32.343
63.593,0.6739,35.369,31.372
63.205,0.6878,34.006,32.423
62.229,0.6706,33.124,32.179
63.464,0.6796,34.092,32.552
62.900,0.6770,34.638,31.392
62.931,0.6752,34.381,31.675
61.665,0.6649,32.659,32.010
62.495,0.6648,33.075,32.471
62.107,0.6745,33.560,31.637
62.157,0.6767,32.991,32.251
63.117,0.6753,33.894,32.369
61.467,0.6907,32.495,32.042
62.557,0.6815,34.004,31.701
62.282,0.6772,33.806,31.590
62.679,0.6776,33.831,31.975
63.547,0.6856,33.411,33.366
63.026,0.6735,34.036,32.117
61.878,0.6577,33.644,31.217
63.189,0.6890,35.130,31.278
62.680,0.6786,33.036,32.786
63.223,0.6879,33.301,33.166
62.110,0.6731,34.446,30.734
61.255,0.6721,33.388,30.867
63.041,0.6777,33.533,32.678
61.829,0.6624,33.517,31.324
62.272,0.6762,33.541,31.839
61.790,0.6708,33.046,31.789
63.223,0.6812,34.519,31.865
62.308,0.6858,33.548,31.931
63.443,0.6819,34.862,31.769
62.675,0.6655,34.742,30.991
62.737,0.6765,33.592,32.280
63.300,0.6787,33.768,32.704
62.201,0.6845,33.290,32.057
62.445,0.6823,33.531,32.066
63.319,0.6799,34.185,32.313
63.103,0.6836,33.942,32.351
61.588,0.6699,34.217,30.391
62.757,0.6730,33.702,32.174
