tiempo_Mf,re_omega_sobre_2omegaH,menos_im_omega_sobre_kappa
-29.5817,0.89221,0.08590
-29.5571,0.89235,0.08601
-29.5348,0.89248,0.08611
-29.5103,0.89262,0.08622
-29.4880,0.89274,0.08631
-29.4634,0.89288,0.08642
-29.4411,0.89301,0.08652
-29.4188,0.89314,0.08662
-29.3942,0.89328,0.08673
-29.3719,0.89341,0.08683
-29.3473,0.89355,0.08694
-29.3250,0.89368,0.08703
-29.3004,0.89382,0.08714
-29.2781,0.89395,0.08724
-29.2535,0.89409,0.08735
-29.2311,0.89422,0.08745
-29.2065,0.89436,0.08756
-29.1841,0.89449,0.08767
-29.1595,0.89463,0.08778
-29.1371,0.89476,0.08788
-29.1125,0.89491,0.08799
-29.0901,0.89504,0.08809
-29.0655,0.89518,0.08820
-29.0431,0.89531,0.08830
-29.0184,0.89545,0.08842
-28.9960,0.89558,0.08852
-28.9713,0.89573,0.08863
-28.9489,0.89586,0.08873
-28.9242,0.89600,0.08884
-28.9018,0.89614,0.08895
-28.8794,0.89627,0.08905
-28.8547,0.89641,0.08916
-28.8322,0.89654,0.08927
-28.8075,0.89669,0.08938
-28.7851,0.89682,0.08949
-28.7604,0.89697,0.08960
-28.7379,0.89710,0.08970
-28.7132,0.89725,0.08982
-28.6907,0.89738,0.08992
-28.6660,0.89753,0.09004
-28.6435,0.89766,0.09014
-28.6187,0.89781,0.09026
-28.5963,0.89794,0.09036
-28.5715,0.89809,0.09048
-28.5490,0.89822,0.09059
-28.5242,0.89837,0.09070
-28.5017,0.89850,0.09081
-28.4769,0.89865,0.09093
-28.4544,0.89878,0.09103
-28.4296,0.89893,0.09115
-28.4071,0.89907,0.09126
-28.3845,0.89920,0.09136
-28.3597,0.89935,0.09148
-28.3372,0.89949,0.09159
-28.3123,0.89964,0.09171
-28.2898,0.89977,0.09182
-28.2649,0.89992,0.09193
-28.2424,0.90006,0.09204
-28.2175,0.90021,0.09216
-28.1949,0.90035,0.09227
-28.1701,0.90050,0.09239
-28.1475,0.90063,0.09250
-28.1226,0.90078,0.09262
-28.1000,0.90092,0.09273
-28.0751,0.90107,0.09285
-28.0525,0.90121,0.09296
-28.0276,0.90136,0.09308
-28.0050,0.90150,0.09319
-27.9801,0.90165,0.09331
-27.9575,0.90179,0.09343
-27.9326,0.90194,0.09355
-27.9099,0.90208,0.09366
-27.8850,0.90223,0.09378
-27.8623,0.90237,0.09389
-27.8396,0.90251,0.09401
-27.8147,0.90267,0.09413
-27.7920,0.90281,0.09424
-27.7671,0.90296,0.09437
-27.7444,0.90310,0.09448
-27.7194,0.90325,0.09460
-27.6967,0.90340,0.09472
-27.6717,0.90355,0.09484
-27.6490,0.90369,0.09495
-27.6240,0.90385,0.09508
-27.6013,0.90399,0.09519
-27.5763,0.90414,0.09532
-27.5536,0.90428,0.09543
-27.5286,0.90444,0.09556
-27.5058,0.90458,0.09568
-27.4808,0.90474,0.09580
-27.4580,0.90488,0.09592
-27.4330,0.90504,0.09605
-27.4102,0.90518,0.09616
-27.3852,0.90534,0.09629
-27.3624,0.90548,0.09641
-27.3373,0.90564,0.09653
-27.3145,0.90578,0.09665
-27.2917,0.90592,0.09677
-27.2666,0.90608,0.09690
-27.2438,0.90623,0.09701
-27.2187,0.90638,0.09714
-27.1959,0.90653,0.09726
-27.1708,0.90669,0.09739
-27.1480,0.90683,0.09751
-27.1228,0.90699,0.09764
-27.1000,0.90714,0.09776
-27.0749,0.90730,0.09789
-27.0520,0.90744,0.09801
-27.0269,0.90760,0.09814
-27.0040,0.90775,0.09826
-26.9788,0.90791,0.09839
-26.9560,0.90805,0.09851
-26.9308,0.90822,0.09865
-26.9079,0.90836,0.09877
-26.8827,0.90852,0.09890
-26.8598,0.90867,0.09902
-26.8346,0.90883,0.09916
-26.8117,0.90898,0.09928
-26.7888,0.90913,0.09940
-26.7635,0.90929,0.09954
-26.7406,0.90944,0.09966
-26.7154,0.90960,0.09979
-26.6924,0.90975,0.09992
-26.6672,0.90991,0.10005
-26.6442,0.91006,0.10018
-26.6190,0.91023,0.10031
-26.5960,0.91038,0.10044
-26.5707,0.91054,0.10057
-26.5477,0.91069,0.10070
-26.5225,0.91086,0.10083
-26.4995,0.91101,0.10096
-26.4742,0.91117,0.10110
-26.4512,0.91132,0.10122
-26.4258,0.91149,0.10136
-26.4028,0.91164,0.10149
-26.3775,0.91180,0.10163
-26.3545,0.91196,0.10175
-26.3291,0.91212,0.10189
-26.3061,0.91227,0.10202
-26.2807,0.91244,0.10216
-26.2577,0.91259,0.10229
-26.2346,0.91274,0.10241
-26.2092,0.91291,0.10256
-26.1861,0.91306,0.10268
-26.1608,0.91323,0.10283
-26.1377,0.91339,0.10295
-26.1123,0.91355,0.10310
-26.0892,0.91371,0.10323
-26.0637,0.91388,0.10337
-26.0406,0.91403,0.10350
-26.0152,0.91420,0.10364
-25.9921,0.91435,0.10377
-25.9666,0.91452,0.10392
-25.9435,0.91468,0.10405
-25.9180,0.91485,0.10419
-25.8949,0.91501,0.10432
-25.8694,0.91518,0.10447
-25.8462,0.91533,0.10460
-25.8207,0.91550,0.10475
-25.7976,0.91566,0.10488
-25.7721,0.91583,0.10503
-25.7489,0.91599,0.10516
-25.7234,0.91616,0.10531
-25.7002,0.91632,0.10544
-25.6769,0.91648,0.10557
-25.6514,0.91665,0.10572
-25.6282,0.91681,0.10586
-25.6026,0.91698,0.10601
-25.5794,0.91714,0.10614
-25.5538,0.91731,0.10629
-25.5306,0.91747,0.10643
-25.5050,0.91765,0.10658
-25.4817,0.91780,0.10671
-25.4561,0.91798,0.10686
-25.4328,0.91814,0.10700
-25.4072,0.91831,0.10715
-25.3839,0.91847,0.10729
-25.3583,0.91865,0.10744
-25.3350,0.91881,0.10758
-25.3094,0.91899,0.10773
-25.2860,0.91915,0.10787
-25.2604,0.91932,0.10802
-25.2370,0.91949,0.10816
-25.2114,0.91966,0.10831
-25.1880,0.91982,0.10845
-25.1647,0.91999,0.10859
-25.1390,0.92016,0.10875
-25.1156,0.92033,0.10889
-25.0899,0.92050,0.10904
-25.0665,0.92067,0.10918
-25.0408,0.92085,0.10934
-25.0174,0.92101,0.10948
-24.9916,0.92119,0.10964
-24.9682,0.92135,0.10978
-24.9425,0.92153,0.10994
-24.9190,0.92170,0.11008
-24.8933,0.92188,0.11024
-24.8698,0.92204,0.11038
-24.8440,0.92222,0.11054
-24.8206,0.92239,0.11069
-24.7948,0.92257,0.11085
-24.7713,0.92273,0.11099
-24.7455,0.92292,0.11115
-24.7220,0.92308,0.11130
-24.6962,0.92327,0.11146
-24.6727,0.92343,0.11160
-24.6468,0.92362,0.11176
-24.6233,0.92378,0.11191
-24.5998,0.92395,0.11206
-24.5739,0.92413,0.11222
-24.5504,0.92430,0.11237
-24.5245,0.92449,0.11253
-24.5009,0.92465,0.11268
-24.4750,0.92484,0.11284
-24.4515,0.92501,0.11299
-24.4255,0.92519,0.11316
-24.4020,0.92536,0.11331
-24.3760,0.92555,0.11347
-24.3524,0.92572,0.11362
-24.3265,0.92590,0.11379
-24.3029,0.92607,0.11394
-24.2769,0.92626,0.11411
-24.2533,0.92643,0.11426
-24.2273,0.92662,0.11443
-24.2036,0.92679,0.11458
-24.1776,0.92698,0.11475
-24.1540,0.92715,0.11490
-24.1279,0.92734,0.11507
-24.1043,0.92751,0.11522
-24.0782,0.92770,0.11539
-24.0545,0.92787,0.11555
-24.0309,0.92804,0.11570
-24.0048,0.92823,0.11587
-23.9811,0.92841,0.11603
-23.9550,0.92860,0.11620
-23.9313,0.92877,0.11635
-23.9052,0.92896,0.11653
-23.8814,0.92914,0.11668
-23.8553,0.92933,0.11686
-23.8316,0.92950,0.11701
-23.8054,0.92970,0.11719
-23.7816,0.92987,0.11735
-23.7555,0.93006,0.11752
-23.7317,0.93024,0.11768
-23.7055,0.93043,0.11786
-23.6817,0.93061,0.11801
-23.6555,0.93080,0.11819
-23.6317,0.93098,0.11835
-23.6055,0.93117,0.11853
-23.5817,0.93135,0.11869
-23.5555,0.93155,0.11887
-23.5316,0.93172,0.11903
-23.5077,0.93190,0.11919
-23.4815,0.93210,0.11937
-23.4576,0.93228,0.11953
-23.4313,0.93247,0.11971
-23.4075,0.93265,0.11988
-23.3812,0.93285,0.12006
-23.3573,0.93303,0.12022
-23.3310,0.93323,0.12040
-23.3070,0.93341,0.12057
-23.2807,0.93360,0.12075
-23.2568,0.93378,0.12092
-23.2304,0.93398,0.12110
-23.2065,0.93416,0.12127
-23.1801,0.93436,0.12145
-23.1561,0.93455,0.12162
-23.1297,0.93475,0.12180
-23.1058,0.93493,0.12197
-23.0794,0.93513,0.12215
-23.0553,0.93531,0.12232
-23.0289,0.93551,0.12251
-23.0049,0.93569,0.12268
-22.9785,0.93590,0.12287
-22.9544,0.93608,0.12304
-22.9304,0.93626,0.12321
-22.9039,0.93647,0.12340
-22.8798,0.93665,0.12357
-22.8534,0.93685,0.12376
-22.8293,0.93704,0.12393
-22.8028,0.93724,0.12412
-22.7787,0.93743,0.12430
-22.7521,0.93763,0.12449
-22.7280,0.93782,0.12466
-22.7015,0.93802,0.12485
-22.6773,0.93821,0.12503
-22.6508,0.93842,0.12522
-22.6266,0.93860,0.12540
-22.6000,0.93881,0.12559
-22.5759,0.93900,0.12577
-22.5493,0.93921,0.12596
-22.5251,0.93939,0.12614
-22.4985,0.93960,0.12633
-22.4742,0.93979,0.12651
-22.4476,0.94000,0.12671
-22.4234,0.94019,0.12689
-22.3967,0.94040,0.12709
-22.3725,0.94059,0.12727
-22.3482,0.94078,0.12745
-22.3215,0.94099,0.12765
-22.2973,0.94118,0.12783
-22.2705,0.94139,0.12803
-22.2463,0.94158,0.12821
-22.2195,0.94179,0.12841
-22.1952,0.94198,0.12859
-22.1685,0.94219,0.12879
-22.1441,0.94238,0.12898
-22.1174,0.94260,0.12918
-22.0930,0.94279,0.12936
-22.0662,0.94300,0.12957
-22.0419,0.94320,0.12975
-22.0150,0.94341,0.12996
-21.9907,0.94360,0.13014
-21.9638,0.94382,0.13035
-21.9394,0.94401,0.13054
-21.9126,0.94423,0.13074
-21.8881,0.94442,0.13093
-21.8613,0.94464,0.13114
-21.8368,0.94483,0.13133
-21.8099,0.94505,0.13154
-21.7855,0.94525,0.13173
-21.7610,0.94544,0.13192
-21.7341,0.94566,0.13213
-21.7096,0.94586,0.13232
-21.6826,0.94608,0.13253
-21.6581,0.94627,0.13272
-21.6311,0.94649,0.13294
-21.6066,0.94669,0.13313
-21.5796,0.94691,0.13334
-21.5551,0.94711,0.13354
-21.5280,0.94733,0.13375
-21.5035,0.94753,0.13395
-21.4764,0.94775,0.13416
-21.4518,0.94795,0.13436
-21.4248,0.94817,0.13458
-21.4002,0.94837,0.13477
-21.3731,0.94859,0.13499
-21.3485,0.94879,0.13519
-21.3214,0.94902,0.13541
-21.2967,0.94922,0.13560
-21.2696,0.94944,0.13582
-21.2449,0.94964,0.13602
-21.2202,0.94985,0.13622
-21.1931,0.95007,0.13645
-21.1684,0.95027,0.13665
-21.1412,0.95050,0.13687
-21.1165,0.95070,0.13707
-21.0892,0.95093,0.13730
-21.0645,0.95113,0.13750
-21.0373,0.95136,0.13772
-21.0125,0.95157,0.13793
-20.9853,0.95179,0.13815
-20.9605,0.95200,0.13836
-20.9332,0.95223,0.13859
-20.9084,0.95243,0.13879
-20.8811,0.95266,0.13902
-20.8563,0.95287,0.13923
-20.8289,0.95310,0.13946
-20.8041,0.95331,0.13967
-20.7767,0.95354,0.13990
-20.7519,0.95375,0.14011
-20.7245,0.95398,0.14034
-20.6996,0.95419,0.14055
-20.6722,0.95442,0.14078
-20.6473,0.95463,0.14099
-20.6224,0.95484,0.14121
-20.5949,0.95507,0.14144
-20.5700,0.95528,0.14165
-20.5425,0.95551,0.14189
-20.5176,0.95572,0.14210
-20.4901,0.95596,0.14234
-20.4651,0.95617,0.14256
-20.4376,0.95640,0.14279
-20.4126,0.95662,0.14301
-20.3850,0.95685,0.14325
-20.3600,0.95707,0.14347
-20.3324,0.95730,0.14371
-20.3074,0.95751,0.14393
-20.2798,0.95775,0.14417
-20.2547,0.95797,0.14439
-20.2271,0.95820,0.14463
-20.2020,0.95842,0.14485
-20.1744,0.95866,0.14510
-20.1493,0.95887,0.14532
-20.1216,0.95911,0.14556
-20.0964,0.95933,0.14579
-20.0688,0.95957,0.14603
-20.0436,0.95978,0.14626
-20.0184,0.96000,0.14648
-19.9907,0.96024,0.14673
-19.9655,0.96046,0.14696
-19.9377,0.96070,0.14721
-19.9125,0.96092,0.14744
-19.8847,0.96116,0.14769
-19.8595,0.96138,0.14792
-19.8317,0.96163,0.14817
-19.8064,0.96185,0.14840
-19.7786,0.96209,0.14865
-19.7533,0.96231,0.14888
-19.7254,0.96256,0.14914
-19.7001,0.96278,0.14937
-19.6722,0.96302,0.14963
-19.6468,0.96325,0.14986
-19.6189,0.96349,0.15012
-19.5936,0.96372,0.15035
-19.5656,0.96396,0.15061
