tiempo_s,observado,modelo_nrsur,sin_onda_directa
-0.090698,1.09445,0.08689,-0.05562
-0.090576,0.93097,0.12545,-0.26340
-0.090454,0.12846,0.16129,0.47821
-0.090332,-0.02177,0.16695,1.18528
-0.090209,0.71714,0.15284,1.01894
-0.090087,1.12473,0.14395,0.37845
-0.089965,0.62708,0.14487,0.08816
-0.089843,0.10312,0.14361,0.21035
-0.089721,0.17408,0.13514,0.34173
-0.089599,0.24404,0.12523,0.45734
-0.089477,-0.16280,0.12025,0.65464
-0.089355,-0.47802,0.12540,0.58811
-0.089233,-0.20967,0.14455,0.04768
-0.089111,0.17922,0.17092,-0.35328
-0.088989,0.24975,0.18581,-0.02904
-0.088867,0.39857,0.17956,0.46455
-0.088745,0.90174,0.16794,0.25526
-0.088623,1.12277,0.17414,-0.29203
-0.088500,0.59805,0.19609,-0.13031
-0.088378,0.06706,0.20585,0.61988
-0.088256,0.36553,0.18509,0.84493
-0.088134,0.98250,0.14993,0.41714
-0.088012,0.89554,0.13194,0.40340
-0.087890,0.30620,0.14006,1.06731
-0.087768,0.21242,0.15225,1.29387
-0.087646,0.58796,0.14591,0.54648
-0.087524,0.48464,0.12673,-0.12914
-0.087402,-0.10450,0.12022,0.16490
-0.087280,-0.09590,0.13966,0.79145
-0.087158,0.68920,0.17239,0.84402
-0.087036,1.02046,0.19727,0.63211
-0.086914,0.38185,0.20611,0.85982
-0.086792,0.00480,0.20499,1.26893
-0.086669,0.78046,0.20297,1.19866
-0.086547,1.57758,0.20421,0.78627
-0.086425,0.98564,0.20415,0.56090
-0.086303,-0.39690,0.18970,0.41546
-0.086181,-0.94069,0.15250,0.00214
-0.086059,-0.44048,0.10680,-0.33953
-0.085937,-0.02167,0.08096,-0.11438
-0.085815,-0.14468,0.08185,0.23592
-0.085693,-0.28669,0.08184,-0.10887
-0.085571,-0.31370,0.05651,-0.90083
-0.085449,-0.62390,0.02250,-1.09236
-0.085327,-0.98889,0.01587,-0.51963
-0.085205,-0.68623,0.04108,-0.11735
-0.085083,0.12455,0.06709,-0.28403
-0.084960,0.46681,0.07251,-0.28397
-0.084838,0.13117,0.06789,0.28388
-0.084716,-0.06455,0.06833,0.66415
-0.084594,0.21673,0.06968,0.32608
-0.084472,0.37593,0.06201,0.01769
-0.084350,0.24441,0.04516,0.43272
-0.084228,0.52551,0.01958,0.82948
-0.084106,1.30264,-0.01770,0.25617
-0.083984,1.44510,-0.05564,-0.62623
-0.083862,0.34544,-0.07003,-0.44968
-0.083740,-0.91756,-0.05849,0.58653
-0.083618,-1.14425,-0.05342,0.94217
-0.083496,-0.71047,-0.07898,0.12013
-0.083374,-0.59846,-0.11418,-0.73095
-0.083251,-0.70070,-0.12395,-0.74401
-0.083129,-0.39832,-0.11016,-0.39336
-0.083007,-0.03486,-0.10229,-0.26643
-0.082885,-0.34806,-0.10953,-0.13418
-0.082763,-0.97654,-0.11622,0.19218
-0.082641,-0.99109,-0.11956,0.25723
-0.082519,-0.51417,-0.13689,-0.11010
-0.082397,-0.38196,-0.17229,-0.25468
-0.082275,-0.55382,-0.20718,0.22240
-0.082153,-0.35218,-0.23065,0.70897
-0.082031,0.00264,-0.25038,0.59608
-0.081909,-0.29576,-0.26629,0.20853
-0.081787,-0.92395,-0.26368,-0.00729
-0.081665,-0.69682,-0.24473,-0.36547
-0.081542,0.36233,-0.23734,-1.11196
-0.081420,0.86778,-0.25495,-1.50476
-0.081298,0.26684,-0.27331,-0.83320
-0.081176,-0.38933,-0.26753,0.21256
-0.081054,-0.31597,-0.24852,0.37881
-0.080932,-0.12734,-0.24017,-0.32354
-0.080810,-0.44198,-0.24189,-0.83088
-0.080688,-0.70841,-0.24140,-0.78799
-0.080566,-0.29997,-0.24688,-0.79155
-0.080444,0.27184,-0.27442,-0.97964
-0.080322,0.19544,-0.31354,-0.76738
-0.080200,-0.33833,-0.33693,-0.14082
-0.080078,-0.59644,-0.34036,0.10842
-0.079956,-0.53125,-0.34355,-0.24976
-0.079834,-0.62988,-0.35297,-0.49697
-0.079711,-0.86478,-0.35371,-0.28791
-0.079589,-0.72585,-0.34152,-0.15566
-0.079467,-0.22970,-0.33345,-0.30923
-0.079345,-0.02666,-0.33807,-0.18213
-0.079223,-0.35391,-0.34025,0.29938
-0.079101,-0.65503,-0.32663,0.26540
-0.078979,-0.54375,-0.30488,-0.58276
-0.078857,-0.43382,-0.28585,-1.19760
-0.078735,-0.72960,-0.26727,-0.76742
-0.078613,-1.01120,-0.24879,-0.00326
-0.078491,-0.70009,-0.24377,0.09062
-0.078369,-0.10815,-0.25824,-0.23215
-0.078247,-0.04851,-0.27345,-0.19186
-0.078125,-0.60276,-0.26880,0.04167
-0.078002,-1.02877,-0.25116,-0.22014
-0.077880,-0.86100,-0.24190,-0.80859
-0.077758,-0.42112,-0.24292,-0.91691
-0.077636,-0.16362,-0.23691,-0.44320
-0.077514,-0.13230,-0.21773,-0.07913
-0.077392,-0.22953,-0.19987,-0.13602
-0.077270,-0.46319,-0.19492,-0.20844
-0.077148,-0.65052,-0.19531,-0.07808
-0.077026,-0.36214,-0.18694,-0.10596
-0.076904,0.42835,-0.16618,-0.46716
-0.076782,0.99056,-0.13969,-0.70607
-0.076660,0.65301,-0.11719,-0.46209
-0.076538,-0.20381,-0.10849,-0.09026
-0.076416,-0.54388,-0.11768,-0.06673
-0.076293,-0.04442,-0.13421,-0.20795
-0.076171,0.54911,-0.13757,-0.07234
-0.076049,0.56799,-0.11836,0.17237
-0.075927,0.23998,-0.08941,-0.00871
-0.075805,0.02124,-0.06926,-0.52556
-0.075683,-0.19294,-0.05909,-0.66206
-0.075561,-0.57326,-0.04422,-0.16787
-0.075439,-0.66295,-0.01656,0.32841
-0.075317,-0.03798,0.01394,0.24737
-0.075195,0.69972,0.03386,-0.16796
-0.075073,0.56574,0.04545,-0.33383
-0.074951,-0.27707,0.06354,-0.11707
-0.074829,-0.62701,0.09439,0.22341
-0.074707,-0.00932,0.12492,0.50877
-0.074584,0.62876,0.13657,0.64351
-0.074462,0.36553,0.12573,0.43772
-0.074340,-0.39121,0.10626,-0.09977
-0.074218,-0.64792,0.09491,-0.45161
-0.074096,-0.25591,0.09858,-0.09409
-0.073974,0.12557,0.11300,0.68317
-0.073852,0.12758,0.12799,0.96715
-0.073730,-0.01085,0.13541,0.39172
-0.073608,-0.06289,0.13802,-0.35201
-0.073486,-0.05041,0.14896,-0.46281
-0.073364,0.12711,0.17561,-0.03766
-0.073242,0.64872,0.20621,0.30632
-0.073120,1.24627,0.22284,0.40473
-0.072998,1.30043,0.22686,0.49349
-0.072875,0.67781,0.23819,0.45899
-0.072753,0.01604,0.26535,-0.03262
-0.072631,-0.06653,0.29074,-0.68306
-0.072509,0.31856,0.29503,-0.71178
-0.072387,0.63972,0.28379,-0.07809
-0.072265,0.64236,0.27773,0.26242
-0.072143,0.47200,0.28560,-0.26446
-0.072021,0.33580,0.29988,-0.93795
-0.071899,0.29580,0.31263,-0.79618
-0.071777,0.27096,0.32155,-0.03822
-0.071655,0.10834,0.32490,0.36240
-0.071533,-0.20616,0.32406,0.10802
-0.071411,-0.38013,0.32763,-0.15135
-0.071289,-0.11781,0.33977,0.09205
-0.071167,0.38201,0.34840,0.58457
-0.071044,0.58848,0.34008,0.89222
-0.070922,0.37227,0.32344,0.96504
-0.070800,0.16707,0.31955,0.89158
-0.070678,0.27969,0.32954,0.62994
-0.070556,0.48479,0.33186,0.30676
-0.070434,0.48274,0.31589,0.34707
-0.070312,0.33010,0.29800,0.90880
-0.070190,0.23040,0.29537,1.48540
-0.070068,0.30554,0.30287,1.46295
-0.069946,0.68208,0.30773,0.88332
-0.069824,1.30176,0.31049,0.31289
-0.069702,1.56484,0.31692,0.10285
-0.069580,0.83866,0.32263,0.11431
-0.069458,-0.46304,0.32198,0.09114
-0.069335,-1.05347,0.32159,-0.01126
-0.069213,-0.40205,0.32859,-0.07480
-0.069091,0.52488,0.33457,0.01191
-0.068969,0.63059,0.32821,0.23219
-0.068847,0.09585,0.31607,0.38539
-0.068725,-0.18172,0.31202,0.26028
-0.068603,0.08208,0.31203,-0.02914
-0.068481,0.50855,0.30042,-0.07828
-0.068359,0.84036,0.27828,0.27423
-0.068237,1.04122,0.26340,0.68487
-0.068115,0.98423,0.26049,0.79312
-0.067993,0.69893,0.25368,0.70903
-0.067871,0.58784,0.23370,0.73729
-0.067749,0.82444,0.21169,0.86432
-0.067626,0.95195,0.19817,0.83068
-0.067504,0.66046,0.18740,0.50667
-0.067382,0.43949,0.17312,-0.05676
-0.067260,0.73500,0.16228,-0.68481
-0.067138,0.98733,0.16038,-0.96238
-0.067016,0.42490,0.15803,-0.47542
-0.066894,-0.56705,0.14633,0.48257
-0.066772,-0.88258,0.13307,0.90757
-0.066650,-0.31070,0.12908,0.29095
-0.066528,0.27166,0.12951,-0.58104
-0.066406,0.26470,0.12442,-0.62431
-0.066284,-0.04337,0.11764,0.10596
-0.066162,-0.28216,0.11739,0.65281
-0.066040,-0.50978,0.11644,0.54674
-0.065917,-0.73573,0.10134,0.19790
-0.065795,-0.72485,0.07689,0.05308
-0.065673,-0.52054,0.06124,0.12531
-0.065551,-0.48886,0.05775,0.33557
-0.065429,-0.61583,0.05130,0.63783
-0.065307,-0.41641,0.03385,0.79059
-0.065185,0.20472,0.01483,0.59859
-0.065063,0.66619,0.00158,0.33991
-0.064941,0.61330,-0.01314,0.37753
-0.064819,0.44983,-0.03724,0.48177
-0.064697,0.53452,-0.06683,0.21809
-0.064575,0.51264,-0.09465,-0.14039
-0.064453,0.06573,-0.11883,0.07102
-0.064331,-0.28656,-0.13761,0.69668
-0.064209,0.01668,-0.14773,0.78160
-0.064086,0.43386,-0.15484,-0.01687
-0.063964,0.03247,-0.17243,-0.89673
-0.063842,-0.86419,-0.20165,-1.08977
-0.063720,-0.94713,-0.22443,-0.79393
-0.063598,0.05626,-0.22714,-0.55631
-0.063476,0.86130,-0.22004,-0.44240
-0.063354,0.51716,-0.22167,-0.28707
-0.063232,-0.35644,-0.23312,-0.17937
-0.063110,-0.81463,-0.24107,-0.19841
-0.062988,-0.90928,-0.24001,-0.13325
-0.062866,-0.94121,-0.23827,0.08070
-0.062744,-0.52786,-0.24462,0.07518
-0.062622,0.43273,-0.25963,-0.35628
-0.062500,0.84064,-0.27821,-0.79234
-0.062377,-0.12645,-0.29256,-0.79470
-0.062255,-1.32672,-0.29640,-0.59690
-0.062133,-1.08804,-0.29431,-0.64079
-0.062011,0.11065,-0.30211,-0.78574
-0.061889,0.23195,-0.32857,-0.63870
-0.061767,-1.11149,-0.36123,-0.39617
-0.061645,-2.01664,-0.38081,-0.55756
-0.061523,-1.30133,-0.38587,-0.91096
-0.061401,-0.26035,-0.39155,-0.72113
-0.061279,-0.46639,-0.40649,-0.05192
-0.061157,-1.39953,-0.42380,0.07396
-0.061035,-1.55842,-0.43496,-0.74877
-0.060913,-0.78961,-0.44091,-1.48866
-0.060791,-0.11508,-0.44697,-1.10740
-0.060668,0.01409,-0.45509,-0.04008
-0.060546,-0.04573,-0.46285,0.57981
-0.060424,-0.17947,-0.46374,0.51260
-0.060302,-0.57766,-0.45025,0.25633
-0.060180,-0.97953,-0.42491,-0.12165
-0.060058,-0.88414,-0.40532,-0.79674
-0.059936,-0.42370,-0.40694,-1.20608
-0.059814,-0.21087,-0.42204,-0.63817
-0.059692,-0.40228,-0.42775,0.28118
-0.059570,-0.59007,-0.41554,0.15071
-0.059448,-0.51933,-0.39973,-0.96639
-0.059326,-0.32137,-0.39478,-1.37684
-0.059204,-0.13862,-0.39805,-0.34637
-0.059082,-0.01835,-0.39949,0.66024
-0.058959,-0.05769,-0.39600,0.24876
-0.058837,-0.24059,-0.38974,-0.74658
-0.058715,-0.28934,-0.38287,-0.68525
-0.058593,-0.02662,-0.37938,0.29550
-0.058471,0.30553,-0.38187,0.66230
-0.058349,0.36287,-0.38226,-0.08792
-0.058227,0.10342,-0.36814,-0.92567
-0.058105,-0.30498,-0.34434,-1.05903
-0.057983,-0.65531,-0.33339,-0.80768
-0.057861,-0.66619,-0.34480,-0.60563
-0.057739,-0.23656,-0.35803,-0.34851
-0.057617,0.16588,-0.34933,-0.02345
-0.057495,-0.02118,-0.32305,-0.00194
-0.057373,-0.47493,-0.30062,-0.33784
-0.057250,-0.29271,-0.28828,-0.52291
-0.057128,0.47874,-0.27436,-0.26475
-0.057006,0.63849,-0.25187,0.08986
-0.056884,-0.30051,-0.22517,0.15549
-0.056762,-1.11291,-0.19709,0.01168
-0.056640,-0.63185,-0.16699,-0.09528
-0.056518,0.41692,-0.13968,-0.10431
-0.056396,0.53767,-0.11934,-0.03741
-0.056274,-0.24989,-0.09659,0.07299
-0.056152,-0.60340,-0.06028,0.06387
-0.056030,-0.01314,-0.02123,-0.20767
-0.055908,0.58782,-0.00326,-0.55663
-0.055786,0.38642,-0.00744,-0.62276
-0.055664,-0.29102,-0.00724,-0.32315
-0.055542,-0.71596,0.01413,0.09649
-0.055419,-0.62136,0.04233,0.36365
-0.055297,-0.14223,0.05851,0.31708
-0.055175,0.40407,0.06724,-0.03505
-0.055053,0.58133,0.08333,-0.35901
-0.054931,0.25083,0.10692,-0.23104
-0.054809,-0.12572,0.12878,0.19358
-0.054687,-0.10032,0.14810,0.22062
-0.054565,0.10817,0.16868,-0.27882
-0.054443,0.13740,0.18756,-0.42298
-0.054321,0.21699,0.20341,0.36679
-0.054199,0.63848,0.22612,1.23328
-0.054077,0.95601,0.26046,1.02281
-0.053955,0.61724,0.28992,0.10167
-0.053833,0.02263,0.29733,-0.14054
-0.053710,0.01203,0.29472,0.58204
-0.053588,0.57055,0.31007,1.09067
-0.053466,0.96783,0.34699,0.64441
-0.053344,0.95780,0.38119,-0.00888
-0.053222,0.91577,0.39770,0.08133
-0.053100,0.94002,0.40839,0.71895
-0.052978,0.73480,0.42697,1.07421
-0.052856,0.33516,0.44895,0.82991
-0.052734,0.11044,0.46571,0.27853
-0.052612,0.05635,0.47941,-0.19341
-0.052490,-0.15266,0.49276,-0.29690
-0.052368,-0.42842,0.50056,0.04344
-0.052246,-0.35134,0.50274,0.48291
-0.052124,0.00827,0.51002,0.57007
-0.052001,0.14045,0.52421,0.36836
-0.051879,0.05375,0.52860,0.28680
-0.051757,0.36807,0.51305,0.33771
-0.051635,1.19755,0.49435,0.22185
-0.051513,1.70818,0.49387,0.08817
-0.051391,1.24611,0.50643,0.38113
-0.051269,0.31397,0.51122,0.89656
-0.051147,-0.14137,0.50490,0.87382
-0.051025,0.00386,0.50238,0.17237
-0.050903,0.12764,0.50932,-0.49215
-0.050781,-0.03366,0.51590,-0.66791
-0.050659,-0.06195,0.51707,-0.69088
-0.050537,0.32139,0.51878,-0.86377
-0.050415,0.71945,0.52181,-0.93139
-0.050292,0.60836,0.51877,-0.69297
-0.050170,0.04934,0.51069,-0.40806
-0.050048,-0.42873,0.50810,-0.24550
-0.049926,-0.45524,0.51044,0.02897
-0.049804,-0.12880,0.50264,0.48911
-0.049682,0.15280,0.47996,0.78626
-0.049560,0.05898,0.45843,0.77574
-0.049438,-0.33332,0.45029,0.79848
-0.049316,-0.53263,0.44514,0.98297
-0.049194,-0.17261,0.42869,0.88767
-0.049072,0.45946,0.40608,0.31244
-0.048950,0.74909,0.39099,-0.09488
-0.048828,0.59159,0.38230,0.33776
-0.048706,0.46120,0.36857,1.25492
-0.048584,0.61311,0.34853,1.70941
-0.048461,0.78355,0.33037,1.44439
-0.048339,0.81373,0.31485,1.07070
-0.048217,0.89831,0.29527,1.01049
-0.048095,0.94561,0.27216,0.94732
-0.047973,0.43985,0.25252,0.52336
-0.047851,-0.59196,0.23484,0.02167
-0.047729,-1.17727,0.21009,-0.03313
-0.047607,-0.58016,0.17905,0.36068
-0.047485,0.64841,0.15418,0.70351
-0.047363,1.38008,0.14058,0.64693
-0.047241,1.20823,0.12856,0.33538
-0.047119,0.57442,0.11027,0.16121
-0.046997,0.12170,0.09128,0.37083
-0.046875,0.34278,0.07877,0.84560
-0.046752,1.25417,0.06892,1.15580
-0.046630,1.99749,0.05455,0.96172
-0.046508,1.50876,0.03682,0.45343
-0.046386,0.08485,0.02017,0.17809
-0.046264,-0.58729,0.00256,0.31744
-0.046142,0.34937,-0.02003,0.44596
-0.046020,1.57449,-0.04432,0.19601
-0.045898,1.38320,-0.06446,-0.21747
-0.045776,0.02533,-0.08250,-0.42903
-0.045654,-0.86863,-0.10513,-0.45071
-0.045532,-0.60114,-0.13174,-0.35522
-0.045410,0.09229,-0.15483,0.10119
-0.045288,0.51959,-0.17157,0.94000
-0.045166,0.74167,-0.18646,1.44279
-0.045043,0.82569,-0.20201,0.92416
-0.044921,0.51673,-0.21501,-0.19234
-0.044799,-0.10615,-0.22383,-0.79490
-0.044677,-0.49418,-0.23239,-0.46478
-0.044555,-0.45110,-0.24396,0.18298
-0.044433,-0.45524,-0.25667,0.39019
-0.044311,-0.86049,-0.26840,-0.08916
-0.044189,-1.28832,-0.28099,-1.00060
-0.044067,-1.17473,-0.29598,-1.67189
-0.043945,-0.59462,-0.31039,-1.39263
-0.043823,-0.18407,-0.32091,-0.36065
-0.043701,-0.37206,-0.32970,0.13959
-0.043579,-0.94352,-0.34155,-0.70004
-0.043457,-1.34295,-0.35666,-1.86651
-0.043334,-1.26720,-0.37018,-1.73168
-0.043212,-0.91909,-0.37851,-0.32564
-0.043090,-0.69534,-0.38288,0.72399
-0.042968,-0.67944,-0.38653,0.44874
-0.042846,-0.59371,-0.39110,-0.44165
-0.042724,-0.31295,-0.39669,-0.94120
-0.042602,-0.16018,-0.40331,-0.99346
-0.042480,-0.41370,-0.41117,-0.94884
-0.042358,-0.75500,-0.42016,-0.76478
-0.042236,-0.66818,-0.42997,-0.35807
-0.042114,-0.24481,-0.44019,-0.07021
-0.041992,-0.01434,-0.44975,-0.16818
-0.041870,-0.06329,-0.45678,-0.33359
-0.041748,-0.04511,-0.46039,-0.18066
-0.041625,-0.04031,-0.46256,0.05056
-0.041503,-0.49478,-0.46704,-0.17174
-0.041381,-1.17279,-0.47471,-0.83073
-0.041259,-1.21357,-0.48109,-1.31471
-0.041137,-0.54527,-0.48070,-1.18833
-0.041015,-0.14492,-0.47409,-0.68296
-0.040893,-0.44586,-0.46767,-0.36163
-0.040771,-0.68882,-0.46596,-0.49392
-0.040649,-0.47974,-0.46668,-0.85054
-0.040527,-0.64027,-0.46544,-1.03784
-0.040405,-1.54162,-0.46258,-0.94996
-0.040283,-1.96636,-0.46197,-0.82630
-0.040161,-1.01568,-0.46496,-0.84617
-0.040039,0.05703,-0.46903,-0.82236
-0.039917,-0.34267,-0.47152,-0.50520
-0.039794,-1.44900,-0.47148,-0.08463
-0.039672,-1.28291,-0.46878,-0.02195
-0.039550,0.07826,-0.46490,-0.35413
-0.039428,0.63505,-0.46362,-0.60201
-0.039306,-0.23507,-0.46646,-0.50153
-0.039184,-0.91828,-0.46793,-0.32080
-0.039062,-0.38970,-0.46082,-0.23046
-0.038940,0.27995,-0.44655,0.02039
-0.038818,0.04962,-0.43442,0.41859
-0.038696,-0.38015,-0.42921,0.37068
-0.038574,-0.08628,-0.42558,-0.34644
-0.038452,0.43682,-0.41765,-0.99219
-0.038330,0.39189,-0.40779,-0.93437
-0.038208,0.10902,-0.40113,-0.63599
-0.038085,0.09039,-0.39650,-0.72176
-0.037963,-0.18161,-0.38881,-0.79436
-0.037841,-1.10622,-0.37695,-0.29921
-0.037719,-1.70556,-0.36359,0.11436
-0.037597,-1.04545,-0.34988,-0.46413
-0.037475,-0.05165,-0.33612,-1.36676
-0.037353,-0.24497,-0.32483,-1.13396
-0.037231,-1.28272,-0.31652,0.01392
-0.037109,-1.49580,-0.30481,0.33324
-0.036987,-0.52806,-0.28340,-0.60576
-0.036865,0.30735,-0.25670,-1.15300
-0.036743,0.25222,-0.23526,-0.28422
-0.036621,0.02230,-0.22104,0.76757
-0.036499,0.26800,-0.20585,0.63138
-0.036376,0.55719,-0.18547,-0.06719
-0.036254,0.34540,-0.16569,-0.05679
-0.036132,-0.11715,-0.15112,0.38883
-0.036010,-0.30447,-0.13686,0.17983
-0.035888,-0.11995,-0.11666,-0.58412
-0.035766,0.17884,-0.09214,-0.93476
-0.035644,0.25244,-0.06793,-0.75714
-0.035522,-0.12812,-0.04396,-0.66626
-0.035400,-0.71948,-0.01879,-0.60773
-0.035278,-0.85618,0.00540,-0.10095
-0.035156,-0.32409,0.02836,0.42813
-0.035034,0.21353,0.05649,0.13044
-0.034912,0.19010,0.09379,-0.56721
-0.034790,-0.01576,0.13254,-0.34696
-0.034667,0.14015,0.16227,0.81558
-0.034545,0.40563,0.18491,1.43552
-0.034423,0.38714,0.21105,0.81576
-0.034301,0.44580,0.24309,0.04551
-0.034179,0.88679,0.27308,0.14868
-0.034057,0.98924,0.29743,0.61955
-0.033935,0.16674,0.32269,0.57780
-0.033813,-0.57546,0.35388,0.22991
-0.033691,0.02588,0.38690,0.26620
-0.033569,1.18505,0.41668,0.62643
-0.033447,1.01158,0.44446,0.73970
-0.033325,-0.39772,0.47246,0.47876
-0.033203,-0.91860,0.49903,0.21818
-0.033081,0.28233,0.52444,0.28777
-0.032959,1.52128,0.55404,0.74343
-0.032836,1.39082,0.58930,1.34264
-0.032714,0.77864,0.62225,1.60108
-0.032592,1.00169,0.64592,1.29286
-0.032470,1.64170,0.66477,0.88995
-0.032348,1.61320,0.68724,0.98004
-0.032226,1.07231,0.71262,1.36102
-0.032104,0.82745,0.73408,1.38111
-0.031982,0.82054,0.75129,1.01474
-0.031860,0.55857,0.77055,0.77080
-0.031738,0.31251,0.79356,0.68905
-0.031616,0.61097,0.81498,0.42714
-0.031494,1.11962,0.83171,0.23839
-0.031372,1.18731,0.84647,0.67113
-0.031250,1.00119,0.86110,1.28070
-0.031127,1.11383,0.87382,1.02756
-0.031005,1.32943,0.88488,0.17951
-0.030883,1.15930,0.89775,0.26107
-0.030761,0.88240,0.91185,1.57223
-0.030639,0.99093,0.92075,2.38585
-0.030517,1.07303,0.92129,1.53757
-0.030395,0.53619,0.91875,0.27441
-0.030273,0.00804,0.91878,0.24916
-0.030151,0.53506,0.91946,1.00485
-0.030029,1.62691,0.91601,1.02339
-0.029907,1.72359,0.90899,0.27563
-0.029785,0.67101,0.90218,-0.01111
-0.029663,0.07859,0.89551,0.46927
-0.029541,0.81074,0.88575,0.85971
-0.029418,1.67949,0.87249,0.80794
-0.029296,1.37090,0.85814,0.82351
-0.029174,0.35058,0.84298,1.02171
-0.029052,-0.12993,0.82506,0.89713
-0.028930,0.08212,0.80469,0.43543
-0.028808,0.24036,0.78424,0.24115
-0.028686,0.09736,0.76335,0.42828
-0.028564,0.02521,0.73879,0.46747
-0.028442,0.14106,0.70971,0.25340
-0.028320,0.25929,0.67917,0.27343
-0.028198,0.46853,0.64910,0.59179
-0.028076,0.93741,0.61760,0.72372
-0.027954,1.32063,0.58289,0.65875
-0.027832,1.10283,0.54643,0.89229
-0.027709,0.43344,0.51000,1.24706
-0.027587,-0.03473,0.47250,0.89409
-0.027465,-0.05825,0.43218,-0.09044
-0.027343,0.04858,0.38979,-0.48217
-0.027221,0.08141,0.34703,0.17247
-0.027099,0.11801,0.30351,0.64500
-0.026977,0.05843,0.25797,-0.09721
-0.026855,-0.31962,0.21102,-1.19996
-0.026733,-0.75154,0.16412,-1.21951
-0.026611,-0.59719,0.11670,-0.28105
-0.026489,0.21390,0.06693,0.30903
-0.026367,0.91761,0.01495,0.09547
-0.026245,0.87167,-0.03736,-0.15919
-0.026123,0.28829,-0.08942,0.05367
-0.026000,-0.25834,-0.14242,0.33906
-0.025878,-0.56550,-0.19650,0.29203
-0.025756,-0.71047,-0.25013,0.05309
-0.025634,-0.68251,-0.30284,-0.21749
-0.025512,-0.51233,-0.35624,-0.60864
-0.025390,-0.41554,-0.41128,-0.98132
-0.025268,-0.43444,-0.46661,-0.92206
-0.025146,-0.28931,-0.52080,-0.43010
-0.025024,0.04159,-0.57431,-0.06910
-0.024902,0.02529,-0.62801,-0.18569
-0.024780,-0.61936,-0.68130,-0.48122
-0.024658,-1.22515,-0.73342,-0.57590
-0.024536,-0.99727,-0.78512,-0.49647
-0.024414,-0.27424,-0.83745,-0.36886
