Population,IID,Average_ROH_length_Mb,Total_ROH_length_Mb,ROH_count,FROH
Ayoreo,IAGD0127,1.39087420971867,543.831816,391,0.195013618299153
BEB,HG03006,0.763573907563025,90.865295,119,0.0325835477705298
BEB,HG03007,1.00082552419355,124.102365,124,0.044502087825866
BEB,HG03009,0.698846130434783,80.367305,115,0.0288190548619937
BEB,HG03012,0.738242758064516,91.542102,124,0.0328262451966035
BEB,HG03585,0.696162230215827,96.76655,139,0.0346996892984759
BEB,HG03589,0.746425780141844,105.246035,141,0.0377403629084278
BEB,HG03593,0.776782223076923,100.981689,130,0.0362112034906207
BEB,HG03594,0.776589303278688,94.743895,122,0.0339743818440094
BEB,HG03595,0.696935066666667,94.086234,135,0.0337385500161337
BEB,HG03598,0.70108812,87.636015,125,0.0314255545108984
BEB,HG03600,0.737763565517241,106.975717,145,0.0383606126536669
BEB,HG03603,0.711101795081967,86.754419,122,0.0311094214330241
BEB,HG03604,0.722633728395062,117.066664,162,0.0419791432887612
BEB,HG03607,0.710627362204725,90.249675,127,0.0323627914996291
BEB,HG03611,0.754984811320755,80.02839,106,0.0286975227292619
BEB,HG03615,1.25159793413174,209.016855,167,0.0749517258458072
BEB,HG03616,0.722299992248062,93.176699,129,0.0334123982425499
BEB,HG03793,0.751580077464789,106.724371,142,0.038270482044418
BEB,HG03796,0.704885155172414,81.766678,116,0.0293208585153499
BEB,HG03800,0.682003700854701,79.794433,117,0.0286136276724556
BEB,HG03802,0.843974297101449,116.468453,138,0.0417646297421387
BEB,HG03803,0.765084864,95.635608,125,0.0342941427949104
BEB,HG03805,0.801089700787402,101.738392,127,0.0364825509654581
BEB,HG03808,0.755184845588235,102.705139,136,0.036829218491894
BEB,HG03809,0.736455610294118,100.157963,136,0.0359158221189889
BEB,HG03812,0.749928260869565,86.24175,115,0.0309255825443486
BEB,HG03814,0.855468477272727,112.921839,132,0.0404928431189551
BEB,HG03815,0.697204376068376,81.572912,117,0.0292513756207276
BEB,HG03817,1.17325871774194,145.484081,124,0.052169395401348
BEB,HG03821,0.706155157894737,93.918636,133,0.0336784507511806
BEB,HG03823,0.691645829931973,101.671937,147,0.0364587207487941
BEB,HG03824,0.891737643939394,117.709369,132,0.0422096120179923
BEB,HG03826,0.787628518796993,104.754593,133,0.0375641358474421
BEB,HG03829,0.977814103448276,141.783045,145,0.0508422343184895
BEB,HG03830,0.806779282608696,111.335541,138,0.0399240096973358
BEB,HG03832,0.694130858333333,83.295703,120,0.0298691543100186
BEB,HG03833,0.67834231147541,82.757762,122,0.0296762530899078
BEB,HG03902,0.701284480916031,91.868267,131,0.0329432052841548
BEB,HG03905,0.76251458677686,92.264265,121,0.0330852069113991
BEB,HG03907,0.900505900662252,135.976391,151,0.0487600159314152
BEB,HG03908,0.764149090909091,92.46204,121,0.0331561274004628
BEB,HG03910,1.25034467105263,190.05239,152,0.0681512246063622
BEB,HG03911,0.737162746268657,98.779808,134,0.0354216270659965
BEB,HG03913,0.671762303703704,90.687911,135,0.0325199393264288
BEB,HG03914,0.718503448818898,91.249938,127,0.0327214775881252
BEB,HG03916,0.780486974358975,91.316976,117,0.0327455168637963
BEB,HG03917,0.739943768,92.492971,125,0.0331672190027747
BEB,HG03919,0.7253973828125,92.850865,128,0.0332955568488774
BEB,HG03920,0.740821932330827,98.529317,133,0.0353318030527186
BEB,HG03922,0.740482559701493,99.224663,134,0.0355811484117805
BEB,HG03925,0.79556896,99.44612,125,0.0356605610713511
BEB,HG03926,0.748903720930233,96.60858,129,0.0346430425551697
BEB,HG03928,0.7041466,98.580524,140,0.0353501654619386
BEB,HG03931,0.677860405172414,78.631807,116,0.0281967195469687
BEB,HG03934,0.754811603603604,83.784088,111,0.0300442851559363
BEB,HG03937,0.843352642857143,106.262433,126,0.0381048348752758
BEB,HG03940,0.784612285714286,115.338006,147,0.0413592607415037
BEB,HG03941,0.813269348148148,109.791362,135,0.0393702798028503
BEB,HG04131,0.708149204545455,93.475695,132,0.0335196157500614
BEB,HG04134,0.734592307692308,95.497,130,0.0342444391056264
BEB,HG04140,0.811220016129032,100.591282,124,0.036071206750012
BEB,HG04141,0.74072096875,94.812284,128,0.0339989055771737
BEB,HG04144,0.724604037313433,97.096941,134,0.0348181647948847
BEB,HG04146,0.691213248175183,94.696215,137,0.0339572841879934
BEB,HG04152,1.47346286842105,223.966356,152,0.0803124940024404
BEB,HG04153,0.735562270491803,89.738597,122,0.0321795231304738
BEB,HG04155,0.673820920634921,84.901436,126,0.03044495696286
BEB,HG04156,0.721263245614035,82.22401,114,0.0294848540107587
BEB,HG04158,0.735353795454546,97.066701,132,0.034807320979492
BEB,HG04159,0.719663265734266,102.911847,143,0.0369033422813182
BEB,HG04161,0.804417610294118,109.400795,136,0.0392302256875569
BEB,HG04162,0.744650731707317,91.59204,123,0.0328441525528561
BEB,HG04164,0.779394147826087,89.630327,115,0.0321406983985768
BEB,HG04171,0.707991205357143,79.295015,112,0.0284345404834417
BEB,HG04173,0.743117897637795,94.375973,127,0.0338424480395483
BEB,HG04176,0.711462504,88.932813,125,0.0318905756125382
BEB,HG04177,0.727882046153846,94.624666,130,0.0339316273048079
BEB,HG04180,0.761963114285714,106.674836,140,0.0382527192006523
BEB,HG04182,0.750745451612903,93.092436,124,0.0333821822234879
BEB,HG04183,0.730931983870968,90.635566,124,0.0325011688397645
BEB,HG04185,0.759857430769231,98.781466,130,0.0354222216111659
BEB,HG04186,0.792113176056338,112.480071,142,0.0403344287459924
BEB,HG04188,0.7402175,97.70871,132,0.035037540128845
BEB,HG04189,0.705691149253731,94.562614,134,0.0339093759677462
BEB,HG04194,0.709807578947368,80.918064,114,0.0290165525115258
BEB,HG04195,0.693971122807018,79.112708,114,0.0283691666920134
Balochi,HGDP00052,2.19754834358974,428.521927,195,0.153664440082696
Balochi,HGDP00054,1.15696810666667,173.545216,150,0.0622318877177795
Balochi,HGDP00056,0.752861992307692,97.872059,130,0.0350961157373297
Balochi,HGDP00057,0.702272270588235,59.693143,85,0.02140547033401
Balochi,HGDP00058,1.31634535,210.615256,160,0.075524899303726
Balochi,HGDP00060,0.76794080952381,80.633785,105,0.0289146123992238
Balochi,HGDP00062,0.796977934306569,109.185977,137,0.0391531937188061
Balochi,HGDP00064,1.85447085279188,365.330758,197,0.131004606382853
Balochi,HGDP00066,1.6774743253012,278.460738,166,0.0998537313816015
Balochi,HGDP00068,2.13110235151515,351.631888,165,0.126092304221205
Balochi,HGDP00070,0.777892109589041,113.572248,146,0.0407260744392505
Balochi,HGDP00072,0.912124115942029,125.873128,138,0.0451370688799724
Balochi,HGDP00074,1.96398613716814,443.860867,226,0.159164857863096
Balochi,HGDP00076,0.746723716535433,94.833912,127,0.0340066612001669
