key,country,transect_id,survey_year,presence,wolf,forest,snow,dist_human,dist_water,listening_duration
4717,Italy,587,2011,0,0.0,80.6930693069307,87.6878429457564,1.27173719245244,1.90341951999005,1.6094379124341
4718,Italy,587,2011,1,0.0,86.0696517412935,50.1038889051114,0.996120240525007,2.20861130677308,1.6094379124341
4719,Italy,587,2011,0,0.0,70.6467661691542,48.760782894046,0.36972589506171,2.02868243324145,1.6094379124341
472,Greece,67,2014,1,2.0,0.0,0.72385187601043,0.675944996876553,-0.537244689243806,1.09861228866811
4720,Italy,587,2011,0,0.0,77.0,34.2121672419852,0.869785554496955,1.44856217705653,1.6094379124341
4721,Italy,588,2011,0,0.0,41.5841584158416,42.7596959962524,-0.556659436573888,1.94542289411263,1.6094379124341
4725,Italy,589,2012,0,0.0,51.5,4.26463076636196,-0.181312042658513,0.69727312220643,1.6094379124341
4727,Italy,589,2012,0,0.0,50.0,4.35785211285861,-0.417072490527423,0.134124182649803,1.6094379124341
4728,Italy,589,2012,0,0.0,50.5208333333333,4.73078234160769,-0.688793475576458,0.38602203199694,1.6094379124341
4729,Italy,590,2012,0,0.0,0.0,4.62817207124638,-1.26482783894572,0.451810049822403,1.6094379124341
473,Greece,69,2014,0,1.93,0.0,1.79860962180039,-0.0161307173580589,-0.556879272373505,1.09861228866811
4730,Italy,590,2012,0,0.0,0.0,4.38088081338074,-1.29757156763316,0.497546601715631,1.6094379124341
4731,Italy,590,2012,0,0.0,0.0,3.99740823830059,-0.812891538351741,0.963743806034042,1.6094379124341
4732,Italy,596,2015,0,0.91,44.0,7.21421756253924,-0.656849719267127,1.53591157632446,1.6094379124341
4733,Italy,596,2015,0,1.72413793103448,79.8029556650246,7.39286927142121,-0.147328632627976,0.934378848781285,1.6094379124341
4734,Italy,596,2015,0,1.35323383084577,69.6517412935323,4.24023522594385,-0.64020937267158,1.01104593495792,1.6094379124341
4735,Italy,596,2015,0,1.02487562189055,76.6169154228856,6.88919726617292,-0.4068095869339,0.642681370994539,1.6094379124341
4736,Italy,596,2015,0,0.0,78.8177339901478,4.81320149538569,-0.837223184607344,0.40736697613566,1.6094379124341
4737,Italy,596,2015,0,0.0,91.0,3.86208930238441,-0.08366787314557,0.901457772525706,1.6094379124341
4738,Italy,596,2015,0,0.0,67.5,2.6696026460189,-0.29244712279225,0.878426866399588,1.6094379124341
4739,Italy,596,2015,0,0.0,60.1010101010101,2.45801934266375,-0.387104837481083,0.615622175199275,1.6094379124341
474,Greece,67,2014,0,0.0,0.0,1.20507874217381,0.331207033614966,-1.2362224835997,1.09861228866811
4740,Italy,596,2015,0,0.0,65.1741293532338,3.13246198012426,-0.263100631136422,0.227877473423885,1.6094379124341
4741,Italy,607,2015,0,0.0,69.3467336683417,2.35202877168304,-0.161089768937851,0.458129400310508,1.6094379124341
4742,Italy,608,2015,0,0.0,88.6138613861386,72.3322219960553,1.32694533313521,2.31339752412603,1.6094379124341
4743,Italy,608,2015,0,0.0,96.4646464646465,54.5913348473084,1.48589447777777,2.03463930176967,1.6094379124341
4744,Italy,608,2015,0,0.0,58.9108910891089,37.4440201543605,1.14659556553233,2.39436280802679,1.6094379124341
4745,Italy,608,2015,0,0.0,62.0,23.9787592532546,1.09014692281168,2.32963538040611,1.6094379124341
4746,Italy,608,2015,0,0.0,88.0597014925373,6.89672498636314,-0.364199488853556,2.42513058585591,1.6094379124341
4747,Italy,608,2015,0,0.0,93.9698492462311,8.46113093367629,0.201704858104921,2.45607252234075,1.6094379124341
4748,Italy,608,2015,0,0.0,17.7884615384615,6.30825017051539,-0.858504529465904,2.48130525646661,1.6094379124341
4749,Italy,608,2015,0,0.0,30.3482587064677,6.38678862142277,-0.550981063148384,2.43023553698561,1.6094379124341
475,Greece,67,2014,0,0.0,0.0,1.13058076156198,0.482393912785062,-1.06897734401756,1.09861228866811
4750,Italy,614,2015,0,0.0,84.5,27.0902896875684,0.440447203691902,0.921005447962465,1.6094379124341
