indice_aridez,ml_obs_1982_2000,ml_obs_2001_2022,dgvm_1982_2000,dgvm_2001_2022
1.875,2.38774263976615,3.16443770921694,4.55688240851748,4.30830305890208
1.925,2.20490832050837,3.24841374559659,4.85624470406807,4.21365747071606
1.975,2.00769334975393,3.11082871765362,4.42727322643137,4.11234913544891
2.025,1.94312362107037,3.09753207259075,4.33099230884075,4.31157277182558
2.075,1.8241200076191,3.23651423508054,4.21189245213412,3.87547478289404
2.125,1.79943524700886,3.16543650854154,4.21178432778675,4.39921852358796
2.175,1.73404351061719,3.02296338224498,4.11094461945283,3.85553530634168
2.225,1.53055075218804,2.8517793549926,4.15912138991347,3.40595197606599
2.275,1.46200347009555,2.78632325807568,4.68104401023332,3.87027609713372
2.325,1.37852307396577,2.66796487017364,4.9249917358821,3.91664104864192
2.375,1.17735577926662,2.44835897583961,4.94171409290663,4.18986102223621
2.425,1.0514296461961,2.44359654032189,5.18414368643913,4.27714172666154
2.475,1.05746528567459,2.30134353420124,5.32604620445661,4.1617384250886
2.525,1.1500173812927,2.27024067831464,5.27457959441028,3.88061742477321
2.575,1.22950932267567,2.1976470673465,5.36065304701078,3.78054128879336
2.625,1.19922094941343,2.12552628752426,5.54859437096612,4.04164446154396
2.675,1.29445893861692,2.22846753418019,4.55465459427705,4.3871678697268
2.725,1.23398823365128,2.23750358970134,5.64799503194855,4.32635380066383
2.775,1.25988963886314,2.1210413706881,5.98092075201555,5.47275320118432
2.825,1.15467361930013,2.1875968854268,5.11403617936832,4.25258374255327
2.875,1.21296330906946,2.03372706022268,5.92740836616026,5.06279313128397
2.925,1.15031727260371,2.11636722079285,4.40219224862251,4.7308522222267
2.975,1.20064254594718,2.01703998258255,4.92205385971121,4.16372827603805
3.025,1.10244804681142,1.86858603427956,4.73639669763539,3.96816634873788
3.075,1.03694229494922,1.73967653577231,4.63867214085663,4.61224429666225
3.125,1.13036329093976,1.68608265023501,5.07917046539637,4.85746508488212
3.175,1.18437038360699,1.89493380285993,4.87616086917152,4.69003409239638
3.225,1.18578678989213,1.81025075911436,4.62176127855762,4.79504908903039
3.275,1.21195103564773,1.76953617770446,5.05466880152854,3.97665708361096
3.325,1.13904278503404,1.65696912376648,4.8579985741857,4.21178061023812
3.375,1.28005565675956,1.72717479022189,5.21834757937485,4.88488167636138
3.425,1.49323941292493,1.77680036285558,6.48370192178159,4.20878434168286
3.475,1.38090229027735,1.70010121482728,5.66036327621422,4.90630334441579
3.525,1.21282158688999,1.80615331203845,5.11812724080768,4.59500290906022
3.575,1.28474843117302,1.70281265027466,5.20675579682586,5.29130431662589
3.625,1.37373876356009,1.62219223051665,5.17770879267384,4.21281155731939
3.675,1.3761469577635,1.8291784146249,4.2039226301587,3.13344906922344
3.725,1.43842915554789,1.66580840709085,3.54748071905569,4.17630895448145
3.775,1.47101022802509,1.67499882908214,5.26275227020651,4.86256087003307
3.825,1.57763210207611,1.97686701931024,4.39992458861034,4.84145228128312
3.875,1.33769236010192,1.65848134121816,4.53763156979644,4.79018577589752
3.925,1.14464617070765,1.67765922333436,3.92266137500041,1.26448523502003
3.975,1.24025657014333,1.7172135208426,5.30490216736725,4.65152878457547
4.025,1.22068920613553,1.61339617354461,5.7800533338784,3.2597772418021
4.075,0.937751111833965,1.20733051623676,2.63009281890121,-4.68743092694531
4.125,1.27383093816327,1.43381883496879,4.58312058683996,5.25686745107844
4.175,1.28988574179241,1.25902024140886,3.72332383134717,3.10488461058948
4.225,1.10127668268825,1.51239023877506,5.57583356653993,5.10973329433149
4.275,1.3016225565771,1.28143206037857,5.88377592626007,5.01327134735669
4.325,1.27494111803639,1.54211128079322,5.2186409391291,4.34974149080621
4.375,1.16271223632817,1.36864892475969,3.9676271257732,2.07010187987978
4.425,1.29950736520243,1.58565356906892,4.38973327898209,3.81821742614572
4.475,0.88407504491991,1.26168335779334,3.8378005716109,5.02494366075991
4.525,1.58112931421323,0.977580003122161,4.83449263191333,5.9401490429302
4.575,1.17211158829388,0.699869511120365,5.42289780706813,3.4981467683185
4.625,1.22806841073857,1.2303829210583,4.96555407241082,6.32729945944517
4.675,1.11922549805664,0.919981307815009,3.9757981554594,6.30736070668812
4.725,1.17478209510507,1.11968033786926,6.61679796067326,4.96347407408588
4.775,0.946088558826956,0.709941520730711,5.34509815564327,6.11980865662813
4.825,1.06060386034972,1.05376123678062,4.09908369764366,4.58849904185391
4.875,0.786308542286876,0.771828046801421,4.44128074857918,4.09520896036674
4.925,1.18884888234995,0.91356608130807,4.9306849772365,2.81587288819787
4.975,0.86240894530288,0.497891723012255,4.35252522758001,2.83542352349538
