indice_aridez,ml_obs_1982_2000,ml_obs_2001_2022,esm_1982_2000,esm_2001_2022
2.225,1.53055075218804,2.8517793549926,4.19855283906578,3.42822178596951
2.275,1.46200347009555,2.78632325807568,4.25743826419684,3.53090426839515
2.325,1.37852307396577,2.66796487017364,4.18259837047808,3.73450390278372
2.375,1.17735577926662,2.44835897583961,4.20387378823704,3.88293422231786
2.425,1.0514296461961,2.44359654032189,4.1813086525635,4.15726415539655
2.475,1.05746528567459,2.30134353420124,4.05331364483044,4.16393010439816
2.525,1.1500173812927,2.27024067831464,3.94060447141182,4.14312573409484
2.575,1.22950932267567,2.1976470673465,3.83232734043574,3.94654653165844
2.625,1.19922094941343,2.12552628752426,3.75433893178358,3.75098638049382
2.675,1.29445893861692,2.22846753418019,3.74031208215814,3.68372277782129
2.725,1.23398823365128,2.23750358970134,3.71399427798256,3.68813775797758
2.775,1.25988963886314,2.1210413706881,3.59777245486931,3.79174535011225
2.825,1.15467361930013,2.1875968854268,3.54409264813418,3.73531325177133
2.875,1.21296330906946,2.03372706022268,3.44372201709091,3.64373882849382
2.925,1.15031727260371,2.11636722079285,3.41588633594478,3.57316043208727
2.975,1.20064254594718,2.01703998258255,3.36176723498396,3.64334051634417
3.025,1.10244804681142,1.86858603427956,3.21421337328123,3.32712304554375
3.075,1.03694229494922,1.73967653577231,3.40282108404047,3.59253730103691
3.125,1.13036329093976,1.68608265023501,3.28729572686255,3.52312958067148
3.175,1.18437038360699,1.89493380285993,3.39870601495507,3.45434221982991
3.225,1.18578678989213,1.81025075911436,3.45019756319295,3.58513925960845
3.275,1.21195103564773,1.76953617770446,3.44991133255168,3.68449257260081
3.325,1.13904278503404,1.65696912376648,3.44438213933969,3.82316859756394
3.375,1.28005565675956,1.72717479022189,3.44801402821395,3.5523211424767
3.425,1.49323941292493,1.77680036285558,3.45775419263019,3.81930118852686
3.475,1.38090229027735,1.70010121482728,3.50139585329059,3.62639182871442
3.525,1.21282158688999,1.80615331203845,3.48811664261536,3.66957734315834
3.575,1.28474843117302,1.70281265027466,3.42949011317006,3.45010042236129
3.625,1.37373876356009,1.62219223051665,3.70673247053308,3.84425221594982
3.675,1.3761469577635,1.8291784146249,3.73182297699636,3.74888798489173
3.725,1.43842915554789,1.66580840709085,3.34270005978939,3.75854639876197
3.775,1.47101022802509,1.67499882908214,3.51414194821481,3.40365626041368
3.825,1.57763210207611,1.97686701931024,3.52110911081894,3.71236489674915
3.875,1.33769236010192,1.65848134121816,3.43189488696302,3.49573853375428
3.925,1.14464617070765,1.67765922333436,3.37997814134979,3.94073885585659
3.975,1.24025657014333,1.7172135208426,3.5413513766428,3.50528743534782
4.025,1.22068920613553,1.61339617354461,3.50770931382475,3.58341515216257
4.075,0.937751111833965,1.20733051623676,3.32778758093366,3.53970129053411
4.125,1.27383093816327,1.43381883496879,3.38178838532086,3.39493490436127
4.175,1.28988574179241,1.25902024140886,3.22110484755679,3.47057340600875
4.225,1.10127668268825,1.51239023877506,3.47621634693177,3.45652344685848
4.275,1.3016225565771,1.28143206037857,3.03885564267607,3.05088907382233
4.325,1.27494111803639,1.54211128079322,3.2599613581075,3.39379167828919
4.375,1.16271223632817,1.36864892475969,3.50252913708785,3.44919182505026
4.425,1.29950736520243,1.58565356906892,3.58839894636656,3.53518498627739
4.475,0.88407504491991,1.26168335779334,3.41551166284126,3.47972991640169
4.525,1.58112931421323,0.977580003122161,3.34093291012186,3.10117539474805
4.575,1.17211158829388,0.699869511120365,3.21480987718005,3.45857024238826
4.625,1.22806841073857,1.2303829210583,3.43681748862478,3.70586942082826
4.675,1.11922549805664,0.919981307815009,3.46015082596337,3.56771019799356
4.725,1.17478209510507,1.11968033786926,3.52550930748641,3.56306959053145
4.775,0.946088558826956,0.709941520730711,3.50577384299584,3.62950322080702
4.825,1.06060386034972,1.05376123678062,3.37945002897496,3.40857331670094
4.875,0.786308542286876,0.771828046801421,3.29744334639599,3.79702953865891
4.925,1.18884888234995,0.91356608130807,3.58897996797977,3.58954315638528
4.975,0.86240894530288,0.497891723012255,3.71792814368193,3.54620352373369
