anio,co2_ppm,gpp_drylands_gC_m2_yr,et_drylands_mm_yr,ta_drylands_C,vpd_drylands_kPa,gpp_humid_gC_m2_yr,et_humid_mm_yr,ta_humid_C,vpd_humid_kPa
1995,360.18,667.5495142726835,396.50378888888895,19.2751828247688,1.39031739076509,1497.1742220401864,570.6067666666667,10.5144014390736,0.479706922354651
1996,361.93,681.0255923221833,395.5502222222223,19.0237297239735,1.41280604207478,1490.2550639189258,562.9702888888888,9.76745694863074,0.45170393936442
1997,363.04,708.0556080440374,408.8119888888889,19.0658134451942,1.34578677312256,1504.4365885868503,571.0123333333333,10.1876337368628,0.472388853103252
1998,365.7,696.7759276651695,406.33997777777773,19.5015817638488,1.42713267604226,1510.4897817160238,578.9631333333333,10.5141694520099,0.486802498345965
1999,367.79,686.2106712496828,403.9288888888889,19.2273805018755,1.3792594746683,1482.5350711226276,565.1626444444444,10.2033760442615,0.470346094233005
2000,368.96,713.2470246733814,414.0309,18.9486527230056,1.34656375201976,1478.0446284706084,562.722488888889,10.0670534319143,0.466023926726492
2001,370.58,695.1588495446689,404.2325666666667,19.1750878726045,1.39028067080143,1497.0774141801078,569.9759333333334,10.3070262820753,0.474883936289503
2002,372.58,651.9651819800422,379.94221111111113,19.5809393443382,1.50108809411021,1497.7528792653313,574.2820555555556,10.435244580832,0.490471174151426
2003,375.14,663.9253573935047,390.5954444444444,19.471108919369,1.46282279600759,1492.5340368838713,573.3457555555556,10.4900184080091,0.489430708309355
2004,376.95,687.8043759900453,398.4758,19.4930846470604,1.44505392514061,1491.3825155722661,569.5853222222222,10.2540615542375,0.485036861061868
2005,378.98,661.2533015367136,388.01480000000004,19.7309578589186,1.51940167940725,1496.307495574977,575.6344444444444,10.7308439461351,0.505353763823724
2006,381.15,689.0877115139516,402.83735555555563,19.5165431453588,1.44266301034264,1501.5694732585646,575.5404666666667,10.6073875466526,0.498092561027733
2007,382.9,678.1137863939479,395.8448111111111,19.5982937966497,1.47628254927088,1498.7414194811547,574.0427333333333,10.8370210327148,0.511289681768941
2008,385.02,671.78764484272,390.30982222222224,19.4014226671308,1.46736401805331,1480.1023192323325,567.1967333333334,10.520385100289,0.494531123227108
2009,386.5,668.6078726907211,392.17347777777775,19.6362765275201,1.49634094077107,1487.1859291839608,573.0171333333334,10.3823002971581,0.496786073050919
2010,388.76,713.5149914582761,419.82144444444447,19.4796186607532,1.41812610203123,1489.609574720068,575.4543222222222,10.657761309097,0.514121853334039
2011,390.63,720.0306184065031,409.9436333333333,19.1189651534098,1.39242903982635,1508.6702666558692,572.8242,10.5795825001455,0.497254292094904
2012,392.65,673.7096530258611,391.6909333333333,19.4395888159287,1.48520420645402,1509.288879349817,575.8435999999999,10.6239814279855,0.518753282832031
2013,395.4,662.1516132109319,388.59428888888885,19.7883840184327,1.51201431879183,1515.2866751309639,576.2224111111111,10.5294790142299,0.493448351019615
2014,397.34,679.7521657498794,397.69941111111103,19.6087201997075,1.47673603085127,1517.0081738970414,576.7806333333333,10.5725616051933,0.498468260300697
2015,399.65,664.7655290920396,393.3758666666667,19.9723573548873,1.53707090319821,1523.429090083885,583.6344222222223,11.0531223448401,0.519105693362842
2016,403.07,685.1421553379699,406.8585,19.9787483015455,1.49972099384352,1535.1198504627346,584.4027222222222,11.1518741676478,0.519506391899819
2017,405.22,686.6617049149859,398.6374111111111,19.986050041664,1.5197810886238,1530.4147584933135,581.3073666666666,11.0535918425833,0.512217072864745
2018,407.61,671.3813507875564,392.67278888888893,19.8409593200483,1.5286400877468,1529.4628486848644,582.4438555555557,10.7264274841442,0.503795177694219
2019,410.08,668.8029812767444,388.74444444444447,20.1369038854916,1.58946747559086,1532.8326922499155,585.6166333333334,11.0910516873519,0.522622307089342
2020,412.44,701.5503800134429,398.1902666666666,19.9397205237003,1.51911887180588,1543.107084988782,584.8007111111111,11.418448963585,0.539038790764549
2021,414.71,694.7108874655013,398.2209222222222,19.8802980874678,1.52940183286953,1539.9818647603204,584.4590444444443,10.8909795362652,0.53040369045979
2022,417.06,705.9437084082659,405.78204444444447,19.6397627761351,1.48663988696378,1521.7018259073327,580.6632444444444,10.9571214323257,0.541067227340352
