temperatura_c,horas,fase,punto,elemento,wt_pct
1200.0,3.0,vidrio_anhidro,3,Na,1.95647
1200.0,3.0,vidrio_anhidro,3,K,0.582169
1200.0,3.0,vidrio_anhidro,3,Mn,0.173868
1200.0,3.0,vidrio_anhidro,3,Fe,10.130865321182982
1200.0,3.0,vidrio_anhidro,3,Ni,0.0
1200.0,3.0,vidrio_anhidro,3,P,0.178147
1200.0,3.0,vidrio_anhidro,3,S,0.046705
1200.0,3.0,vidrio_anhidro,3,O,43.4441
1200.0,3.0,vidrio_anhidro,3,W,2.01762
1200.0,3.0,vidrio_anhidro,3,TOTAL,99.3136
1200.0,3.0,silicato_tras_H2,1,Si,29.3508
1200.0,3.0,silicato_tras_H2,1,Mg,1.49661
1200.0,3.0,silicato_tras_H2,1,Ca,4.21451
1200.0,3.0,silicato_tras_H2,1,Al,7.40962
1200.0,3.0,silicato_tras_H2,1,Ti,1.31147
1200.0,3.0,silicato_tras_H2,1,Cr,0.006085
1200.0,3.0,silicato_tras_H2,1,Na,0.887409
1200.0,3.0,silicato_tras_H2,1,K,0.731232
1200.0,3.0,silicato_tras_H2,1,Mn,0.122241
1200.0,3.0,silicato_tras_H2,1,Fe,4.228231095208811
1200.0,3.0,silicato_tras_H2,1,Ni,0.000742
1200.0,3.0,silicato_tras_H2,1,P,0.034474
1200.0,3.0,silicato_tras_H2,1,S,0.001623
1200.0,3.0,silicato_tras_H2,1,O,45.3346
1200.0,3.0,silicato_tras_H2,1,W,0.020645
1200.0,3.0,silicato_tras_H2,1,TOTAL,95.1526
1200.0,3.0,silicato_tras_H2,2,Si,25.6384
1200.0,3.0,silicato_tras_H2,2,Mg,2.85466
1200.0,3.0,silicato_tras_H2,2,Ca,6.56473
1200.0,3.0,silicato_tras_H2,2,Al,7.22652
1200.0,3.0,silicato_tras_H2,2,Ti,1.78082
1200.0,3.0,silicato_tras_H2,2,Cr,0.0
1200.0,3.0,silicato_tras_H2,2,Na,1.77095
1200.0,3.0,silicato_tras_H2,2,K,0.488467
1200.0,3.0,silicato_tras_H2,2,Mn,0.222766
1200.0,3.0,silicato_tras_H2,2,Fe,7.596832184267903
1200.0,3.0,silicato_tras_H2,2,Ni,0.0
1200.0,3.0,silicato_tras_H2,2,P,0.198294
1200.0,3.0,silicato_tras_H2,2,S,0.056055
1200.0,3.0,silicato_tras_H2,2,O,44.5844
1200.0,3.0,silicato_tras_H2,2,W,0.1565
1200.0,3.0,silicato_tras_H2,2,TOTAL,99.1435
1200.0,3.0,silicato_tras_H2,3,Si,25.537
1200.0,3.0,silicato_tras_H2,3,Mg,2.74928
1200.0,3.0,silicato_tras_H2,3,Ca,6.31993
1200.0,3.0,silicato_tras_H2,3,Al,7.0604
1200.0,3.0,silicato_tras_H2,3,Ti,1.67152
1200.0,3.0,silicato_tras_H2,3,Cr,0.009484
1200.0,3.0,silicato_tras_H2,3,Na,1.94255
1200.0,3.0,silicato_tras_H2,3,K,0.514942
1200.0,3.0,silicato_tras_H2,3,Mn,0.221702
1200.0,3.0,silicato_tras_H2,3,Fe,8.777001666014424
1200.0,3.0,silicato_tras_H2,3,Ni,0.0
1200.0,3.0,silicato_tras_H2,3,P,0.19462
1200.0,3.0,silicato_tras_H2,3,S,0.067076
1200.0,3.0,silicato_tras_H2,3,O,44.5096
1200.0,3.0,silicato_tras_H2,3,W,0.255526
1200.0,3.0,silicato_tras_H2,3,TOTAL,99.8354
1200.0,3.0,silicato_tras_H2,4,Si,25.9364
1200.0,3.0,silicato_tras_H2,4,Mg,2.54473
1200.0,3.0,silicato_tras_H2,4,Ca,5.93338
1200.0,3.0,silicato_tras_H2,4,Al,7.24204
1200.0,3.0,silicato_tras_H2,4,Ti,1.71548
1200.0,3.0,silicato_tras_H2,4,Cr,0.00408
1200.0,3.0,silicato_tras_H2,4,Na,1.87625
1200.0,3.0,silicato_tras_H2,4,K,0.594687
1200.0,3.0,silicato_tras_H2,4,Mn,0.200146
1200.0,3.0,silicato_tras_H2,4,Fe,8.851193425392744
1200.0,3.0,silicato_tras_H2,4,Ni,0.0
1200.0,3.0,silicato_tras_H2,4,P,0.231302
1200.0,3.0,silicato_tras_H2,4,S,0.064941
1200.0,3.0,silicato_tras_H2,4,O,44.9295
1200.0,3.0,silicato_tras_H2,4,W,0.293196
1200.0,3.0,silicato_tras_H2,4,TOTAL,100.422
1200.0,3.0,silicato_tras_H2,5,Si,24.7784
1200.0,3.0,silicato_tras_H2,5,Mg,2.39485
1200.0,3.0,silicato_tras_H2,5,Ca,5.80482
1200.0,3.0,silicato_tras_H2,5,Al,6.85391
1200.0,3.0,silicato_tras_H2,5,Ti,1.56297
1200.0,3.0,silicato_tras_H2,5,Cr,0.0
1200.0,3.0,silicato_tras_H2,5,Na,1.89944
1200.0,3.0,silicato_tras_H2,5,K,0.579421
1200.0,3.0,silicato_tras_H2,5,Mn,0.182131
1200.0,3.0,silicato_tras_H2,5,Fe,9.71212858500587
1200.0,3.0,silicato_tras_H2,5,Ni,0.0
1200.0,3.0,silicato_tras_H2,5,P,0.182115
1200.0,3.0,silicato_tras_H2,5,S,0.048765
1200.0,3.0,silicato_tras_H2,5,O,43.5415
1200.0,3.0,silicato_tras_H2,5,W,1.6237
1200.0,3.0,silicato_tras_H2,5,TOTAL,99.1695
1200.0,3.0,metal,1,Si,0.0
1200.0,3.0,metal,1,Mg,0.0
1200.0,3.0,metal,1,Ca,0.08848
1200.0,3.0,metal,1,Al,0.0
1200.0,3.0,metal,1,Ti,0.029856
1200.0,3.0,metal,1,Cr,0.0
1200.0,3.0,metal,1,Na,0.0
1200.0,3.0,metal,1,K,0.0
1200.0,3.0,metal,1,Mn,0.005849
1200.0,3.0,metal,1,Fe,84.4978
1200.0,3.0,metal,1,Ni,0.0
1200.0,3.0,metal,1,P,1.17954
1200.0,3.0,metal,1,S,0.029204
1200.0,3.0,metal,1,O,0.0
1200.0,3.0,metal,1,W,12.5282
1200.0,3.0,metal,1,TOTAL,98.359
1200.0,3.0,metal,2,Si,0.195041
1200.0,3.0,metal,2,Mg,0.0
1200.0,3.0,metal,2,Ca,0.267149
1200.0,3.0,metal,2,Al,0.018105
1200.0,3.0,metal,2,Ti,0.164547
1200.0,3.0,metal,2,Cr,0.012365
1200.0,3.0,metal,2,Na,0.007617
1200.0,3.0,metal,2,K,0.019968
1200.0,3.0,metal,2,Mn,0.030655
1200.0,3.0,metal,2,Fe,94.3574
1200.0,3.0,metal,2,Ni,0.0
1200.0,3.0,metal,2,P,0.431914
1200.0,3.0,metal,2,S,0.014482
1200.0,3.0,metal,2,O,0.0
1200.0,3.0,metal,2,W,2.57563
1200.0,3.0,metal,2,TOTAL,98.1378
1200.0,3.0,metal,3,Si,0.039013
1200.0,3.0,metal,3,Mg,0.0
1200.0,3.0,metal,3,Ca,0.204226
1200.0,3.0,metal,3,Al,0.0
1200.0,3.0,metal,3,Ti,0.123531
1200.0,3.0,metal,3,Cr,0.0
1200.0,3.0,metal,3,Na,0.0
1200.0,3.0,metal,3,K,0.0
1200.0,3.0,metal,3,Mn,0.0
1200.0,3.0,metal,3,Fe,83.8136
1200.0,3.0,metal,3,Ni,0.0
1200.0,3.0,metal,3,P,0.365517
1200.0,3.0,metal,3,S,0.011906
1200.0,3.0,metal,3,O,0.0
1200.0,3.0,metal,3,W,12.3373
1200.0,3.0,metal,3,TOTAL,96.8951
1300.0,1.0,vidrio_anhidro,1,Si,24.9317
1300.0,1.0,vidrio_anhidro,1,Mg,2.28364
1300.0,1.0,vidrio_anhidro,1,Ca,5.47297
1300.0,1.0,vidrio_anhidro,1,Al,6.87399
1300.0,1.0,vidrio_anhidro,1,Ti,1.49252
1300.0,1.0,vidrio_anhidro,1,Cr,0.0
1300.0,1.0,vidrio_anhidro,1,Na,1.98531
1300.0,1.0,vidrio_anhidro,1,K,0.574445
1300.0,1.0,vidrio_anhidro,1,Mn,0.159583
1300.0,1.0,vidrio_anhidro,1,Fe,10.170330675909879
1300.0,1.0,vidrio_anhidro,1,Ni,0.0
1300.0,1.0,vidrio_anhidro,1,P,0.122708
1300.0,1.0,vidrio_anhidro,1,S,0.050784
1300.0,1.0,vidrio_anhidro,1,O,43.4804
1300.0,1.0,vidrio_anhidro,1,W,1.32567
1300.0,1.0,vidrio_anhidro,1,TOTAL,98.9296
1300.0,1.0,vidrio_anhidro,2,Si,24.714
1300.0,1.0,vidrio_anhidro,2,Mg,2.28954
1300.0,1.0,vidrio_anhidro,2,Ca,5.50002
1300.0,1.0,vidrio_anhidro,2,Al,6.78344
1300.0,1.0,vidrio_anhidro,2,Ti,1.52775
1300.0,1.0,vidrio_anhidro,2,Cr,0.0
1300.0,1.0,vidrio_anhidro,2,Na,2.00134
1300.0,1.0,vidrio_anhidro,2,K,0.604531
1300.0,1.0,vidrio_anhidro,2,Mn,0.180948
1300.0,1.0,vidrio_anhidro,2,Fe,10.329202034997484
1300.0,1.0,vidrio_anhidro,2,Ni,0.0
1300.0,1.0,vidrio_anhidro,2,P,0.15336
1300.0,1.0,vidrio_anhidro,2,S,0.045671
1300.0,1.0,vidrio_anhidro,2,O,43.2871
1300.0,1.0,vidrio_anhidro,2,W,1.30259
1300.0,1.0,vidrio_anhidro,2,TOTAL,98.7251
1300.0,1.0,vidrio_anhidro,3,Si,24.6981
1300.0,1.0,vidrio_anhidro,3,Mg,2.3184
1300.0,1.0,vidrio_anhidro,3,Ca,5.50981
1300.0,1.0,vidrio_anhidro,3,Al,6.70215
1300.0,1.0,vidrio_anhidro,3,Ti,1.56799
1300.0,1.0,vidrio_anhidro,3,Cr,0.0
1300.0,1.0,vidrio_anhidro,3,Na,2.03131
1300.0,1.0,vidrio_anhidro,3,K,0.597336
1300.0,1.0,vidrio_anhidro,3,Mn,0.177293
1300.0,1.0,vidrio_anhidro,3,Fe,10.43540112931179
1300.0,1.0,vidrio_anhidro,3,Ni,0.0
1300.0,1.0,vidrio_anhidro,3,P,0.182592
1300.0,1.0,vidrio_anhidro,3,S,0.084121
1300.0,1.0,vidrio_anhidro,3,O,43.188
1300.0,1.0,vidrio_anhidro,3,W,0.787018
1300.0,1.0,vidrio_anhidro,3,TOTAL,98.2854
1300.0,1.0,silicato_tras_H2,1,Si,32.6104
1300.0,1.0,silicato_tras_H2,1,Mg,0.63452
1300.0,1.0,silicato_tras_H2,1,Ca,2.15616
1300.0,1.0,silicato_tras_H2,1,Al,6.43502
1300.0,1.0,silicato_tras_H2,1,Ti,0.964245
1300.0,1.0,silicato_tras_H2,1,Cr,0.0
1300.0,1.0,silicato_tras_H2,1,Na,0.399457
1300.0,1.0,silicato_tras_H2,1,K,0.621702
1300.0,1.0,silicato_tras_H2,1,Mn,0.060773
1300.0,1.0,silicato_tras_H2,1,Fe,0.6235580428243976
1300.0,1.0,silicato_tras_H2,1,Ni,0.019067
1300.0,1.0,silicato_tras_H2,1,P,0.0
1300.0,1.0,silicato_tras_H2,1,S,0.0
1300.0,1.0,silicato_tras_H2,1,O,45.2807
1300.0,1.0,silicato_tras_H2,1,W,0.043974
1300.0,1.0,silicato_tras_H2,1,TOTAL,89.85
1300.0,1.0,silicato_tras_H2,2,Si,27.7743
1300.0,1.0,silicato_tras_H2,2,Mg,2.63389
1300.0,1.0,silicato_tras_H2,2,Ca,6.6275
1300.0,1.0,silicato_tras_H2,2,Al,7.82055
1300.0,1.0,silicato_tras_H2,2,Ti,1.94611
1300.0,1.0,silicato_tras_H2,2,Cr,8.4e-05
1300.0,1.0,silicato_tras_H2,2,Na,1.60123
1300.0,1.0,silicato_tras_H2,2,K,0.547461
1300.0,1.0,silicato_tras_H2,2,Mn,0.226106
1300.0,1.0,silicato_tras_H2,2,Fe,3.600568810868228
1300.0,1.0,silicato_tras_H2,2,Ni,0.00925
1300.0,1.0,silicato_tras_H2,2,P,0.0
1300.0,1.0,silicato_tras_H2,2,S,0.003579
1300.0,1.0,silicato_tras_H2,2,O,46.07
1300.0,1.0,silicato_tras_H2,2,W,0.071873
1300.0,1.0,silicato_tras_H2,2,TOTAL,98.9375
1300.0,1.0,silicato_tras_H2,3,Si,27.4812
1300.0,1.0,silicato_tras_H2,3,Mg,2.80829
1300.0,1.0,silicato_tras_H2,3,Ca,6.65327
1300.0,1.0,silicato_tras_H2,3,Al,7.72098
1300.0,1.0,silicato_tras_H2,3,Ti,1.8761
1300.0,1.0,silicato_tras_H2,3,Cr,0.0
1300.0,1.0,silicato_tras_H2,3,Na,1.73197
1300.0,1.0,silicato_tras_H2,3,K,0.538884
1300.0,1.0,silicato_tras_H2,3,Mn,0.224614
1300.0,1.0,silicato_tras_H2,3,Fe,4.728198096941913
1300.0,1.0,silicato_tras_H2,3,Ni,0.007066
1300.0,1.0,silicato_tras_H2,3,P,0.005726
1300.0,1.0,silicato_tras_H2,3,S,0.022371
1300.0,1.0,silicato_tras_H2,3,O,46.1007
1300.0,1.0,silicato_tras_H2,3,W,0.08058
1300.0,1.0,silicato_tras_H2,3,TOTAL,99.9825
1300.0,1.0,silicato_tras_H2,4,Si,27.42
1300.0,1.0,silicato_tras_H2,4,Mg,2.97666
1300.0,1.0,silicato_tras_H2,4,Ca,6.93478
1300.0,1.0,silicato_tras_H2,4,Al,7.71297
1300.0,1.0,silicato_tras_H2,4,Ti,1.94161
1300.0,1.0,silicato_tras_H2,4,Cr,0.001929
1300.0,1.0,silicato_tras_H2,4,Na,1.82242
1300.0,1.0,silicato_tras_H2,4,K,0.513033
1300.0,1.0,silicato_tras_H2,4,Mn,0.237762
1300.0,1.0,silicato_tras_H2,4,Fe,4.495422422988763
1300.0,1.0,silicato_tras_H2,4,Ni,0.0
1300.0,1.0,silicato_tras_H2,4,P,0.014037
1300.0,1.0,silicato_tras_H2,4,S,0.024827
1300.0,1.0,silicato_tras_H2,4,O,46.2601
1300.0,1.0,silicato_tras_H2,4,W,0.066385
1300.0,1.0,silicato_tras_H2,4,TOTAL,100.42
1300.0,1.0,metal,1,Si,2.13759
1300.0,1.0,metal,1,Mg,0.086922
1300.0,1.0,metal,1,Ca,0.499752
1300.0,1.0,metal,1,Al,0.503026
1300.0,1.0,metal,1,Ti,0.20755
1300.0,1.0,metal,1,Cr,0.012096
1300.0,1.0,metal,1,Na,0.173804
1300.0,1.0,metal,1,K,0.047572
1300.0,1.0,metal,1,Mn,0.031654
1300.0,1.0,metal,1,Fe,94.5104
1300.0,1.0,metal,1,Ni,0.002056
1300.0,1.0,metal,1,P,0.28533
1300.0,1.0,metal,1,S,0.033435
1300.0,1.0,metal,1,O,0.0
1300.0,1.0,metal,1,W,0.057786
1300.0,1.0,metal,1,TOTAL,98.6005
1300.0,1.0,metal,2,Si,0.055495
1300.0,1.0,metal,2,Mg,0.0
1300.0,1.0,metal,2,Ca,0.262431
1300.0,1.0,metal,2,Al,0.108443
1300.0,1.0,metal,2,Ti,0.128296
1300.0,1.0,metal,2,Cr,0.006376
1300.0,1.0,metal,2,Na,0.0
1300.0,1.0,metal,2,K,0.013271
1300.0,1.0,metal,2,Mn,0.037342
1300.0,1.0,metal,2,Fe,93.8027
1300.0,1.0,metal,2,Ni,0.0
1300.0,1.0,metal,2,P,1.82441
1300.0,1.0,metal,2,S,0.853917
1300.0,1.0,metal,2,O,0.0
1300.0,1.0,metal,2,W,1.38735
1300.0,1.0,metal,2,TOTAL,98.48
1300.0,1.0,metal,3,Si,0.326336
1300.0,1.0,metal,3,Mg,0.0
1300.0,1.0,metal,3,Ca,0.022881
1300.0,1.0,metal,3,Al,0.0
1300.0,1.0,metal,3,Ti,0.024294
1300.0,1.0,metal,3,Cr,0.025872
1300.0,1.0,metal,3,Na,0.0
1300.0,1.0,metal,3,K,0.00247
1300.0,1.0,metal,3,Mn,0.01399
1300.0,1.0,metal,3,Fe,97.4249
1300.0,1.0,metal,3,Ni,0.005872
1300.0,1.0,metal,3,P,0.8562
1300.0,1.0,metal,3,S,0.0
1300.0,1.0,metal,3,O,0.0
1300.0,1.0,metal,3,W,0.295018
1300.0,1.0,metal,3,TOTAL,99.0224
1300.0,3.0,vidrio_anhidro,1,Si,24.4836
1300.0,3.0,vidrio_anhidro,1,Mg,2.2566
1300.0,3.0,vidrio_anhidro,1,Ca,5.49645
1300.0,3.0,vidrio_anhidro,1,Al,6.86123
1300.0,3.0,vidrio_anhidro,1,Ti,1.54127
1300.0,3.0,vidrio_anhidro,1,Cr,0.0
1300.0,3.0,vidrio_anhidro,1,Na,1.75834
