lon,lat,persistence_years,intensity_esi
-60.8819,-1.1002,1.32,-1.339
-60.4467,-1.1002,1.25,-1.463
-60.0116,-1.1002,4.8,-2.026
-59.5764,-1.1002,6.3,-2.023
-59.1413,-1.1002,2.3,-1.946
-58.7062,-1.1002,1.0,-1.442
-58.271,-1.1002,1.0,-0.815
-57.8359,-1.1002,1.0,-0.571
-57.4007,-1.1002,1.0,-0.405
-56.9656,-1.1002,0.95,-0.251
-56.5304,-1.1002,0.92,-0.367
-56.0953,-1.1002,1.0,-0.521
-55.6602,-1.1002,1.05,-0.774
-55.225,-1.1002,1.0,-0.969
-54.7899,-1.1002,1.03,-1.278
-54.3547,-1.1002,1.0,-1.241
-53.9196,-1.1002,1.02,-1.487
-53.4844,-1.1002,1.19,-2.138
-53.0493,-1.1002,1.12,-2.09
-52.6141,-1.1002,1.87,-2.238
-52.179,-1.1002,2.79,-2.463
-51.7439,-1.1002,2.79,-2.394
-51.3087,-1.1002,2.91,-2.191
-50.8736,-1.1002,2.61,-1.442
-50.4384,-1.1002,2.66,-1.579
-50.0033,-1.1002,3.59,-1.768
-49.5681,-1.1002,4.0,-2.56
-49.133,-1.1002,4.52,-2.71
-48.6979,-1.1002,3.56,-2.566
-48.2627,-1.1002,3.38,-2.852
-47.8276,-1.1002,3.27,-2.821
-47.3924,-1.1002,3.11,-2.46
-46.9573,-1.1002,3.3,-2.001
-46.5221,-1.1002,3.79,-1.579
-46.087,-1.1002,3.66,-1.434
-45.6518,-1.1002,3.76,-1.287
-45.2167,-1.1002,3.69,-1.352
-44.7816,-1.1002,4.66,-2.44
-72.1956,-1.533,0.99,-0.404
-71.7605,-1.533,1.0,-0.406
-71.3253,-1.533,1.04,-0.72
-70.8902,-1.533,5.55,-1.253
-70.455,-1.533,6.99,-1.301
-70.0199,-1.533,6.99,-1.275
-69.5848,-1.533,6.82,-1.262
-69.1496,-1.533,3.37,-1.487
-68.7145,-1.533,1.0,-1.771
-68.2793,-1.533,1.0,-1.429
-67.8442,-1.533,1.0,-1.148
-67.409,-1.533,1.0,-0.847
-66.9739,-1.533,1.0,-0.876
-66.5388,-1.533,1.0,-1.121
-66.1036,-1.533,1.0,-1.253
-65.6685,-1.533,1.0,-1.547
-65.2333,-1.533,1.0,-1.36
-64.7982,-1.533,1.0,-1.143
-64.363,-1.533,1.0,-0.839
-63.9279,-1.533,1.0,-0.459
-63.4927,-1.533,1.0,-0.268
-63.0576,-1.533,1.0,-0.191
-62.6225,-1.533,1.0,-0.26
-62.1873,-1.533,1.0,-0.439
-61.7522,-1.533,1.01,-0.616
-61.317,-1.533,1.25,-1.35
-60.8819,-1.533,1.11,-1.523
-60.4467,-1.533,1.15,-1.455
-60.0116,-1.533,3.45,-1.989
-59.5764,-1.533,6.03,-1.804
-59.1413,-1.533,3.13,-1.793
-58.7062,-1.533,1.0,-1.423
-58.271,-1.533,1.05,-0.969
-57.8359,-1.533,1.02,-0.594
-57.4007,-1.533,0.99,-0.294
-56.9656,-1.533,0.98,-0.318
-56.5304,-1.533,1.05,-0.796
-56.0953,-1.533,1.04,-1.195
-55.6602,-1.533,1.25,-1.624
-55.225,-1.533,1.67,-1.919
-54.7899,-1.533,2.29,-2.384
-54.3547,-1.533,1.86,-2.341
-53.9196,-1.533,1.11,-2.433
-53.4844,-1.533,1.28,-2.367
-53.0493,-1.533,1.46,-2.375
-52.6141,-1.533,2.23,-2.508
-52.179,-1.533,2.85,-2.413
-51.7439,-1.533,2.31,-2.29
-51.3087,-1.533,2.42,-1.956
-50.8736,-1.533,2.98,-1.635
-50.4384,-1.533,2.52,-1.529
-50.0033,-1.533,2.84,-1.671
-49.5681,-1.533,3.46,-2.441
-49.133,-1.533,4.73,-2.774
-48.6979,-1.533,4.35,-2.83
-48.2627,-1.533,3.49,-3.091
-47.8276,-1.533,3.43,-3.199
-47.3924,-1.533,3.18,-2.98
-46.9573,-1.533,3.08,-2.5
-46.5221,-1.533,4.16,-2.066
-46.087,-1.533,3.84,-1.777
-45.6518,-1.533,4.08,-1.574
-45.2167,-1.533,3.98,-1.406
-44.7816,-1.533,3.75,-1.411
-44.3464,-1.533,4.47,-1.483
-72.1956,-1.9659,1.0,-0.394
-71.7605,-1.9659,1.0,-0.501
-71.3253,-1.9659,1.0,-0.745
-70.8902,-1.9659,4.11,-0.985
-70.455,-1.9659,7.0,-1.074
-70.0199,-1.9659,7.0,-1.114
-69.5848,-1.9659,6.96,-1.151
-69.1496,-1.9659,3.26,-1.297
-68.7145,-1.9659,1.01,-1.496
-68.2793,-1.9659,1.01,-1.026
-67.8442,-1.9659,1.01,-0.867
-67.409,-1.9659,1.0,-0.843
-66.9739,-1.9659,1.02,-0.729
-66.5388,-1.9659,1.0,-0.767
-66.1036,-1.9659,1.0,-1.022
-65.6685,-1.9659,1.0,-1.319
-65.2333,-1.9659,1.0,-1.503
-64.7982,-1.9659,1.0,-1.65
-64.363,-1.9659,1.0,-1.272
-63.9279,-1.9659,1.0,-0.71
-63.4927,-1.9659,1.0,-0.441
-63.0576,-1.9659,1.0,-0.297
-62.6225,-1.9659,1.0,-0.294
-62.1873,-1.9659,1.0,-0.271
-61.7522,-1.9659,0.99,-0.317
-61.317,-1.9659,1.0,-0.764
-60.8819,-1.9659,1.0,-1.059
-60.4467,-1.9659,1.0,-1.154
-60.0116,-1.9659,1.24,-1.57
-59.5764,-1.9659,1.93,-1.561
-59.1413,-1.9659,1.57,-1.493
-58.7062,-1.9659,1.0,-1.236
-58.271,-1.9659,1.0,-0.941
-57.8359,-1.9659,1.0,-0.822
-57.4007,-1.9659,1.06,-0.623
-56.9656,-1.9659,1.04,-0.867
-56.5304,-1.9659,1.14,-1.614
-56.0953,-1.9659,1.32,-2.212
-55.6602,-1.9659,1.56,-2.23
-55.225,-1.9659,2.41,-2.665
-54.7899,-1.9659,2.87,-2.687
-54.3547,-1.9659,1.79,-2.874
-53.9196,-1.9659,1.34,-2.895
-53.4844,-1.9659,1.26,-2.649
-53.0493,-1.9659,1.48,-2.003
-52.6141,-1.9659,1.52,-2.217
-52.179,-1.9659,1.96,-2.426
-51.7439,-1.9659,1.55,-2.61
-51.3087,-1.9659,1.36,-2.442
-50.8736,-1.9659,1.73,-2.416
-50.4384,-1.9659,2.4,-2.379
-50.0033,-1.9659,2.65,-2.468
-49.5681,-1.9659,3.54,-2.673
-49.133,-1.9659,4.54,-2.977
-48.6979,-1.9659,3.53,-2.965
-48.2627,-1.9659,2.95,-2.92
-47.8276,-1.9659,3.41,-2.96
-47.3924,-1.9659,2.91,-2.724
-46.9573,-1.9659,1.96,-2.317
-46.5221,-1.9659,3.12,-2.511
-46.087,-1.9659,4.03,-2.577
-45.6518,-1.9659,3.16,-1.796
-45.2167,-1.9659,3.49,-1.601
-44.7816,-1.9659,3.95,-1.412
-44.3464,-1.9659,4.86,-1.445
-43.9113,-1.9659,4.0,-1.438
-72.1956,-2.3988,1.03,-0.414
-71.7605,-2.3988,1.01,-0.425
-71.3253,-2.3988,1.05,-0.869
-70.8902,-2.3988,3.5,-1.095
-70.455,-2.3988,6.81,-1.153
-70.0199,-2.3988,7.0,-1.174
-69.5848,-2.3988,7.0,-1.069
-69.1496,-2.3988,4.67,-1.015
-68.7145,-2.3988,1.55,-0.936
-68.2793,-2.3988,1.33,-0.802
-67.8442,-2.3988,1.02,-0.789
-67.409,-2.3988,1.07,-0.745
-66.9739,-2.3988,1.04,-0.864
-66.5388,-2.3988,1.03,-1.081
-66.1036,-2.3988,1.06,-0.692
-65.6685,-2.3988,1.01,-0.888
-65.2333,-2.3988,1.05,-1.289
-64.7982,-2.3988,1.0,-1.456
-64.363,-2.3988,1.0,-1.165
-63.9279,-2.3988,1.0,-0.983
-63.4927,-2.3988,1.0,-0.772
-63.0576,-2.3988,0.98,-0.393
-62.6225,-2.3988,0.99,-0.35
-62.1873,-2.3988,0.99,-0.317
-61.7522,-2.3988,0.99,-0.338
-61.317,-2.3988,1.0,-0.539
-60.8819,-2.3988,1.11,-0.951
-60.4467,-2.3988,1.09,-1.316
-60.0116,-2.3988,1.01,-1.319
-59.5764,-2.3988,1.0,-1.402
-59.1413,-2.3988,1.0,-1.257
-58.7062,-2.3988,1.01,-1.262
-58.271,-2.3988,1.01,-1.303
-57.8359,-2.3988,1.07,-1.355
-57.4007,-2.3988,1.33,-1.36
-56.9656,-2.3988,1.21,-1.742
-56.5304,-2.3988,1.28,-2.257
-56.0953,-2.3988,1.12,-1.468
-55.6602,-2.3988,1.06,-1.466
-55.225,-2.3988,1.18,-2.116
-54.7899,-2.3988,1.93,-2.827
-54.3547,-2.3988,1.64,-2.997
-53.9196,-2.3988,1.49,-2.815
-53.4844,-2.3988,1.08,-2.35
-53.0493,-2.3988,1.0,-2.079
-52.6141,-2.3988,1.06,-2.184
-52.179,-2.3988,1.28,-2.415
-51.7439,-2.3988,1.67,-2.798
-51.3087,-2.3988,1.08,-2.502
-50.8736,-2.3988,1.25,-2.364
-50.4384,-2.3988,1.49,-2.546
-50.0033,-2.3988,2.05,-2.696
-49.5681,-2.3988,3.18,-2.831
-49.133,-2.3988,4.3,-2.985
-48.6979,-2.3988,3.34,-2.983
-48.2627,-2.3988,2.72,-2.731
-47.8276,-2.3988,3.05,-2.768
-47.3924,-2.3988,2.0,-2.426
-46.9573,-2.3988,2.88,-2.437
-46.5221,-2.3988,2.71,-2.447
-46.087,-2.3988,3.36,-2.604
-45.6518,-2.3988,2.72,-2.161
-45.2167,-2.3988,3.48,-1.867
-44.7816,-2.3988,3.79,-1.691
-44.3464,-2.3988,4.57,-1.578
-43.9113,-2.3988,4.12,-1.529
-43.4761,-2.3988,4.19,-1.613
-43.041,-2.3988,3.77,-1.614
-42.6058,-2.3988,3.76,-1.675
-42.1707,-2.3988,4.0,-1.775
-72.1956,-2.8317,1.08,-0.452
-71.7605,-2.8317,1.11,-0.421
-71.3253,-2.8317,1.06,-0.84
-70.8902,-2.8317,4.49,-0.961
-70.455,-2.8317,7.0,-1.06
-70.0199,-2.8317,6.97,-0.985
-69.5848,-2.8317,6.97,-0.927
-69.1496,-2.8317,4.74,-1.019
-68.7145,-2.8317,2.88,-0.949
-68.2793,-2.8317,3.34,-1.004
-67.8442,-2.8317,1.71,-0.877
-67.409,-2.8317,1.05,-0.65
-66.9739,-2.8317,1.09,-1.054
-66.5388,-2.8317,1.1,-1.044
-66.1036,-2.8317,1.12,-0.923
-65.6685,-2.8317,1.07,-1.077
-65.2333,-2.8317,1.11,-1.213
-64.7982,-2.8317,1.01,-1.467
-64.363,-2.8317,1.0,-1.335
-63.9279,-2.8317,1.0,-1.128
-63.4927,-2.8317,1.0,-1.031
-63.0576,-2.8317,1.0,-0.903
-62.6225,-2.8317,1.0,-0.936
-62.1873,-2.8317,1.0,-0.862
-61.7522,-2.8317,1.01,-0.747
-61.317,-2.8317,1.24,-0.616
-60.8819,-2.8317,1.99,-0.841
-60.4467,-2.8317,2.0,-1.073
-60.0116,-2.8317,1.44,-1.25
-59.5764,-2.8317,1.13,-1.555
-59.1413,-2.8317,1.05,-1.646
-58.7062,-2.8317,1.01,-1.275
-58.271,-2.8317,1.05,-1.402
-57.8359,-2.8317,1.07,-1.477
-57.4007,-2.8317,1.07,-1.322
-56.9656,-2.8317,1.13,-1.615
-56.5304,-2.8317,1.11,-1.437
-56.0953,-2.8317,1.0,-0.86
-55.6602,-2.8317,1.0,-0.966
-55.225,-2.8317,1.02,-1.76
-54.7899,-2.8317,1.44,-2.708
-54.3547,-2.8317,1.41,-2.736
-53.9196,-2.8317,1.02,-2.488
-53.4844,-2.8317,1.0,-2.331
-53.0493,-2.8317,1.01,-2.328
-52.6141,-2.8317,1.31,-2.577
-52.179,-2.8317,1.45,-2.531
-51.7439,-2.8317,1.78,-2.732
-51.3087,-2.8317,1.17,-2.472
-50.8736,-2.8317,1.13,-2.328
-50.4384,-2.8317,1.17,-2.47
-50.0033,-2.8317,1.47,-2.57
-49.5681,-2.8317,2.01,-2.946
-49.133,-2.8317,2.86,-3.114
-48.6979,-2.8317,3.41,-2.911
-48.2627,-2.8317,2.34,-2.489
-47.8276,-2.8317,2.31,-2.164
-47.3924,-2.8317,2.2,-2.16
-46.9573,-2.8317,2.1,-2.037
-46.5221,-2.8317,2.09,-2.108
-46.087,-2.8317,2.11,-2.241
-45.6518,-2.8317,3.1,-2.267
-45.2167,-2.8317,4.53,-2.149
-44.7816,-2.8317,3.88,-1.943
-44.3464,-2.8317,4.45,-2.109
-43.9113,-2.8317,5.35,-1.83
-43.4761,-2.8317,5.48,-1.784
-43.041,-2.8317,4.3,-1.539
-42.6058,-2.8317,4.02,-1.572
-42.1707,-2.8317,4.68,-1.491
-41.7355,-2.8317,4.15,-1.652
-41.3004,-2.8317,2.44,-1.388
-40.8653,-2.8317,2.74,-1.377
-40.4301,-2.8317,3.33,-1.421
-39.995,-2.8317,4.39,-1.461
-72.1956,-3.2645,1.04,-0.583
-71.7605,-3.2645,1.03,-0.737
-71.3253,-3.2645,1.14,-0.804
-70.8902,-3.2645,5.12,-0.956
-70.455,-3.2645,7.0,-1.037
-70.0199,-3.2645,6.79,-0.917
-69.5848,-3.2645,6.8,-0.863
-69.1496,-3.2645,5.07,-1.208
-68.7145,-3.2645,3.81,-1.223
-68.2793,-3.2645,5.07,-1.079
-67.8442,-3.2645,2.89,-0.763
-67.409,-3.2645,1.1,-0.462
-66.9739,-3.2645,1.03,-0.661
-66.5388,-3.2645,1.33,-0.815
-66.1036,-3.2645,2.05,-0.704
-65.6685,-3.2645,1.81,-0.848
-65.2333,-3.2645,1.49,-0.875
-64.7982,-3.2645,1.04,-0.696
-64.363,-3.2645,1.01,-0.694
-63.9279,-3.2645,1.0,-1.035
-63.4927,-3.2645,1.0,-1.058
-63.0576,-3.2645,1.0,-1.028
-62.6225,-3.2645,1.01,-1.26
-62.1873,-3.2645,1.05,-1.224
-61.7522,-3.2645,1.05,-0.87
-61.317,-3.2645,1.62,-0.908
-60.8819,-3.2645,2.71,-0.991
-60.4467,-3.2645,1.91,-1.236
-60.0116,-3.2645,1.89,-1.191
-59.5764,-3.2645,1.47,-1.286
-59.1413,-3.2645,1.48,-1.853
-58.7062,-3.2645,1.22,-1.622
-58.271,-3.2645,1.13,-1.483
-57.8359,-3.2645,1.02,-1.192
-57.4007,-3.2645,1.08,-0.861
-56.9656,-3.2645,1.09,-0.933
-56.5304,-3.2645,1.03,-1.003
-56.0953,-3.2645,1.0,-0.812
-55.6602,-3.2645,1.0,-1.024
-55.225,-3.2645,1.07,-1.818
-54.7899,-3.2645,1.1,-2.151
-54.3547,-3.2645,1.01,-2.219
-53.9196,-3.2645,1.03,-2.412
-53.4844,-3.2645,1.09,-2.521
-53.0493,-3.2645,1.39,-2.768
-52.6141,-3.2645,1.39,-3.164
-52.179,-3.2645,1.63,-2.938
-51.7439,-3.2645,1.99,-2.713
-51.3087,-3.2645,1.75,-2.549
-50.8736,-3.2645,1.8,-2.457
-50.4384,-3.2645,1.89,-2.441
-50.0033,-3.2645,1.37,-2.528
-49.5681,-3.2645,1.71,-2.742
-49.133,-3.2645,2.32,-2.865
-48.6979,-3.2645,2.43,-2.667
-48.2627,-3.2645,1.94,-2.224
-47.8276,-3.2645,2.02,-1.737
-47.3924,-3.2645,2.32,-1.741
-46.9573,-3.2645,1.62,-1.676
-46.5221,-3.2645,1.22,-1.56
-46.087,-3.2645,1.98,-2.177
-45.6518,-3.2645,2.24,-2.482
-45.2167,-3.2645,3.1,-2.546
-44.7816,-3.2645,3.97,-2.624
-44.3464,-3.2645,4.58,-2.44
-43.9113,-3.2645,4.88,-1.986
-43.4761,-3.2645,4.15,-1.852
-43.041,-3.2645,2.9,-1.578
-42.6058,-3.2645,2.51,-1.591
-42.1707,-3.2645,4.46,-1.705
-41.7355,-3.2645,4.69,-1.932
-41.3004,-3.2645,5.07,-1.845
-40.8653,-3.2645,5.41,-1.629
-40.4301,-3.2645,5.81,-1.579
-39.995,-3.2645,5.95,-1.539
-72.1956,-3.6974,1.02,-0.833
-71.7605,-3.6974,1.06,-1.36
-71.3253,-3.6974,1.06,-1.687
-70.8902,-3.6974,3.38,-1.13
-70.455,-3.6974,6.03,-1.055
-70.0199,-3.6974,4.32,-1.022
-69.5848,-3.6974,5.38,-0.971
-69.1496,-3.6974,5.12,-1.244
-68.7145,-3.6974,3.18,-1.055
-68.2793,-3.6974,4.08,-0.906
-67.8442,-3.6974,3.01,-0.836
-67.409,-3.6974,1.61,-0.66
-66.9739,-3.6974,1.2,-0.651
-66.5388,-3.6974,1.36,-0.682
-66.1036,-3.6974,2.96,-0.768
-65.6685,-3.6974,2.62,-0.659
-65.2333,-3.6974,2.4,-0.55
-64.7982,-3.6974,1.65,-0.471
-64.363,-3.6974,1.07,-0.578
-63.9279,-3.6974,1.07,-0.726
-63.4927,-3.6974,1.08,-0.951
-63.0576,-3.6974,1.19,-0.932
-62.6225,-3.6974,1.59,-1.223
-62.1873,-3.6974,1.61,-1.17
-61.7522,-3.6974,1.48,-0.78
-61.317,-3.6974,1.52,-0.964
-60.8819,-3.6974,1.49,-0.983
-60.4467,-3.6974,1.1,-1.143
-60.0116,-3.6974,1.03,-1.005
-59.5764,-3.6974,1.04,-0.926
-59.1413,-3.6974,1.42,-1.189
-58.7062,-3.6974,1.28,-0.952
-58.271,-3.6974,1.14,-0.829
-57.8359,-3.6974,1.03,-0.655
-57.4007,-3.6974,1.05,-0.647
-56.9656,-3.6974,1.09,-0.827
-56.5304,-3.6974,1.0,-0.803
-56.0953,-3.6974,1.0,-0.926
-55.6602,-3.6974,1.02,-1.261
-55.225,-3.6974,1.12,-1.97
-54.7899,-3.6974,1.07,-2.144
-54.3547,-3.6974,1.13,-2.459
-53.9196,-3.6974,1.19,-2.674
-53.4844,-3.6974,1.64,-3.079
-53.0493,-3.6974,1.2,-3.087
-52.6141,-3.6974,1.26,-3.134
-52.179,-3.6974,1.73,-3.148
-51.7439,-3.6974,1.77,-2.817
-51.3087,-3.6974,1.59,-2.497
-50.8736,-3.6974,2.29,-2.693
-50.4384,-3.6974,2.54,-2.743
-50.0033,-3.6974,2.7,-2.608
-49.5681,-3.6974,2.3,-2.719
-49.133,-3.6974,1.94,-2.726
-48.6979,-3.6974,1.8,-2.274
-48.2627,-3.6974,1.28,-1.772
-47.8276,-3.6974,1.48,-1.626
-47.3924,-3.6974,2.17,-1.778
-46.9573,-3.6974,1.6,-1.547
-46.5221,-3.6974,1.11,-1.257
-46.087,-3.6974,1.48,-1.62
-45.6518,-3.6974,1.87,-2.249
-45.2167,-3.6974,2.19,-2.379
-44.7816,-3.6974,2.76,-2.573
-44.3464,-3.6974,4.24,-2.568
-43.9113,-3.6974,3.48,-2.115
-43.4761,-3.6974,3.08,-1.941
-43.041,-3.6974,3.13,-1.963
-42.6058,-3.6974,2.89,-1.873
-42.1707,-3.6974,3.53,-1.864
-41.7355,-3.6974,3.71,-1.915
-41.3004,-3.6974,5.16,-1.875
-40.8653,-3.6974,5.85,-1.644
-40.4301,-3.6974,5.93,-1.5
-39.995,-3.6974,5.64,-1.508
-72.1956,-4.1303,1.01,-1.115
-71.7605,-4.1303,1.0,-1.377
-71.3253,-4.1303,1.02,-1.654
-70.8902,-4.1303,1.24,-1.184
-70.455,-4.1303,1.94,-0.908
-70.0199,-4.1303,1.57,-1.126
-69.5848,-4.1303,2.12,-1.2
-69.1496,-4.1303,2.67,-0.973
-68.7145,-4.1303,1.89,-0.918
-68.2793,-4.1303,2.11,-0.988
-67.8442,-4.1303,2.09,-1.089
-67.409,-4.1303,1.96,-0.991
-66.9739,-4.1303,1.43,-1.012
-66.5388,-4.1303,1.5,-1.122
-66.1036,-4.1303,1.81,-1.059
-65.6685,-4.1303,3.23,-0.839
-65.2333,-4.1303,3.88,-0.736
-64.7982,-4.1303,3.59,-0.68
-64.363,-4.1303,2.49,-0.762
-63.9279,-4.1303,1.85,-0.919
-63.4927,-4.1303,1.89,-0.936
-63.0576,-4.1303,1.89,-0.91
-62.6225,-4.1303,1.87,-0.907
-62.1873,-4.1303,2.02,-0.736
-61.7522,-4.1303,1.57,-0.663
-61.317,-4.1303,1.14,-0.744
-60.8819,-4.1303,1.24,-0.793
-60.4467,-4.1303,1.22,-0.774
-60.0116,-4.1303,1.07,-0.69
-59.5764,-4.1303,1.06,-0.589
-59.1413,-4.1303,1.04,-0.91
-58.7062,-4.1303,1.03,-0.69
-58.271,-4.1303,1.28,-0.64
-57.8359,-4.1303,1.23,-0.694
-57.4007,-4.1303,1.11,-0.626
-56.9656,-4.1303,1.01,-0.838
-56.5304,-4.1303,1.0,-1.041
-56.0953,-4.1303,1.05,-1.406
-55.6602,-4.1303,1.32,-2.026
-55.225,-4.1303,1.11,-2.097
-54.7899,-4.1303,1.15,-2.16
-54.3547,-4.1303,1.12,-2.35
-53.9196,-4.1303,1.23,-2.763
-53.4844,-4.1303,1.36,-3.099
-53.0493,-4.1303,1.06,-3.329
-52.6141,-4.1303,1.22,-3.209
-52.179,-4.1303,1.02,-3.108
-51.7439,-4.1303,1.22,-2.822
-51.3087,-4.1303,1.23,-2.694
-50.8736,-4.1303,1.49,-2.64
-50.4384,-4.1303,3.17,-2.937
-50.0033,-4.1303,2.89,-2.913
-49.5681,-4.1303,2.3,-2.71
-49.133,-4.1303,2.36,-2.348
-48.6979,-4.1303,1.56,-2.248
-48.2627,-4.1303,1.56,-1.599
-47.8276,-4.1303,1.81,-1.562
-47.3924,-4.1303,2.0,-1.829
-46.9573,-4.1303,1.73,-1.665
-46.5221,-4.1303,1.77,-1.775
-46.087,-4.1303,1.44,-1.891
-45.6518,-4.1303,1.32,-1.941
-45.2167,-4.1303,1.28,-2.102
-44.7816,-4.1303,1.72,-2.216
-44.3464,-4.1303,2.39,-2.312
