lon,lat,density,wmo_class,baseline,tile_area_km2,density_delta,density_percent,continent
-36.83698271,,0,3,0.004,9863.338033,0.004,100.0,South America
-36.83698271,,0,2,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
-36.83698271,,0,1,0.00173913,9863.338033,0.00173913,100.0,South America
140.5,-36.83698271,25,1,0.00173913,9863.338033,-0.000795508,-45.74173522,Oceania
141.5,-36.83698271,22,1,0.00173913,9863.338033,-0.000491352,-28.25272699,Oceania
142.5,-36.83698271,28,1,0.00173913,9863.338033,-0.001099665,-63.23074345,Oceania
143.5,-36.83698271,38,2,0.00173913,9863.338033,-0.002113521,-121.5274375,Oceania
144.5,-36.83698271,47,2,0.00173913,9863.338033,-0.003025991,-173.9944622,Oceania
145.5,-36.83698271,46,3,0.004,9863.338033,-0.000663736,-16.59338818,Oceania
146.5,-36.83698271,25,3,0.004,9863.338033,0.001465361,36.63402817,Oceania
147.5,-36.83698271,16,3,0.004,9863.338033,0.002377831,59.44577803,Oceania
148.5,-36.83698271,23,3,0.004,9863.338033,0.001668132,41.70330591,Oceania
149.5,-36.83698271,28,3,0.004,9863.338033,0.001161204,29.03011155,Oceania
-36.83698271,,0,6,0.066666667,9863.338033,0.066666667,100.0,Oceania
-36.83698271,,0,4,0.001111111,9863.338033,0.001111111,100.0,Oceania
-72.5,-35.83698271,6,3,0.004,9990.229259,0.003399413,84.98532955,South America
-71.5,-35.83698271,29,3,0.004,9990.229259,0.001097164,27.42909285,South America
-70.5,-35.83698271,0,3,0.004,9990.229259,0.004,100.0,South America
-35.83698271,,0,3,0.004,9990.229259,0.004,100.0,South America
-35.83698271,,0,3,0.004,9990.229259,0.004,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
-35.83698271,,0,1,0.00173913,9990.229259,0.00173913,100.0,South America
137.5,-35.83698271,17,5,0.04,9990.229259,0.038298337,95.74584337,Oceania
139.5,-35.83698271,15,1,0.00173913,9990.229259,0.000237663,13.66564494,Oceania
140.5,-35.83698271,10,1,0.00173913,9990.229259,0.000738152,42.44376329,Oceania
141.5,-35.83698271,12,1,0.00173913,9990.229259,0.000537957,30.93251595,Oceania
142.5,-35.83698271,29,1,0.00173913,9990.229259,-0.001163706,-66.91308645,Oceania
143.5,-35.83698271,45,1,0.00173913,9990.229259,-0.002765271,-159.0030652,Oceania
144.5,-35.83698271,28,1,0.00173913,9990.229259,-0.001063608,-61.15746278,Oceania
145.5,-35.83698271,27,1,0.00173913,9990.229259,-0.00096351,-55.40183911,Oceania
146.5,-35.83698271,38,1,0.00173913,9990.229259,-0.002064586,-118.7136995,Oceania
147.5,-35.83698271,35,3,0.004,9990.229259,0.000496577,12.4144224,Oceania
148.5,-35.83698271,16,3,0.004,9990.229259,0.002398435,59.96087881,Oceania
149.5,-35.83698271,20,3,0.004,9990.229259,0.001998044,49.95109852,Oceania
174.5,-35.83698271,0,4,0.001111111,9990.229259,0.001111111,100.0,Oceania
-71.5,-34.83698271,13,3,0.004,10114.06991,0.002714662,67.86654602,South America
-70.5,-34.83698271,7,3,0.004,10114.06991,0.003307895,82.69737093,South America
-34.83698271,,0,3,0.004,10114.06991,0.004,100.0,South America
-34.83698271,,0,2,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,1,0.00173913,10114.06991,0.00173913,100.0,South America
-34.83698271,,0,6,0.066666667,10114.06991,0.066666667,100.0,South America
116.5,-34.83698271,11,2,0.00173913,10114.06991,0.000651537,37.46335494,Oceania
117.5,-34.83698271,23,2,0.00173913,10114.06991,-0.000534929,-30.75843967,Oceania
137.5,-34.83698271,15,4,0.001111111,10114.06991,-0.000371971,-33.47742424,Oceania
138.5,-34.83698271,85,6,0.066666667,10114.06991,0.058262533,87.39379882,Oceania
139.5,-34.83698271,42,1,0.00173913,10114.06991,-0.002413501,-138.7762811,Oceania
140.5,-34.83698271,24,1,0.00173913,10114.06991,-0.000633802,-36.44358922,Oceania
141.5,-34.83698271,11,1,0.00173913,10114.06991,0.000651537,37.46335494,Oceania
142.5,-34.83698271,26,1,0.00173913,10114.06991,-0.000831546,-47.81388832,Oceania
143.5,-34.83698271,16,1,0.00173913,10114.06991,0.000157176,9.037607188,Oceania
144.5,-34.83698271,10,1,0.00173913,10114.06991,0.000750409,43.14850449,Oceania
145.5,-34.83698271,18,1,0.00173913,10114.06991,-4.06e-05,-2.332691914,Oceania
146.5,-34.83698271,31,1,0.00173913,10114.06991,-0.001325907,-76.23963607,Oceania
147.5,-34.83698271,21,2,0.00173913,10114.06991,-0.000337185,-19.38814057,Oceania
148.5,-34.83698271,29,3,0.004,10114.06991,0.001132707,28.31767958,Oceania
149.5,-34.83698271,48,6,0.066666667,10114.06991,0.061920803,92.88120404,Oceania
150.5,-34.83698271,48,3,0.004,10114.06991,-0.000745864,-18.64659932,Oceania
-71.5,-33.83698271,20,3,0.004,10234.82352,0.002045887,51.14717914,South America
-70.5,-33.83698271,16,6,0.066666667,10234.82352,0.065103376,97.6550646,South America
-33.83698271,,0,3,0.004,10234.82352,0.004,100.0,South America
-33.83698271,,0,2,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,2,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,2,0.00173913,10234.82352,0.00173913,100.0,South America
-33.83698271,,0,1,0.00173913,10234.82352,0.00173913,100.0,South America
18.5,-33.83698271,9,6,0.066666667,10234.82352,0.065787316,98.68097384,Africa
19.5,-33.83698271,13,3,0.004,10234.82352,0.002729827,68.24566644,Africa
20.5,-33.83698271,9,3,0.004,10234.82352,0.003120649,78.01623061,Africa
21.5,-33.83698271,8,3,0.004,10234.82352,0.003218355,80.45887166,Africa
22.5,-33.83698271,17,3,0.004,10234.82352,0.002339004,58.47510227,Africa
23.5,-33.83698271,7,3,0.004,10234.82352,0.003316061,82.9015127,Africa
24.5,-33.83698271,4,3,0.004,10234.82352,0.003609177,90.22943583,Africa
25.5,-33.83698271,4,6,0.066666667,10234.82352,0.066275844,99.41376615,Africa
115.5,-33.83698271,22,2,0.00173913,10234.82352,-0.000410394,-23.59763676,Oceania
116.5,-33.83698271,27,2,0.00173913,10234.82352,-0.000898922,-51.68800876,Oceania
117.5,-33.83698271,20,2,0.00173913,10234.82352,-0.000214982,-12.36148797,Oceania
118.5,-33.83698271,21,1,0.00173913,10234.82352,-0.000312688,-17.97956237,Oceania
119.5,-33.83698271,5,2,0.00173913,10234.82352,0.001250602,71.90962801,Oceania
120.5,-33.83698271,8,2,0.00173913,10234.82352,0.000957485,55.05540481,Oceania
122.5,-33.83698271,11,1,0.00173913,10234.82352,0.000664368,38.20118162,Oceania
123.5,-33.83698271,0,1,0.00173913,10234.82352,0.00173913,100.0,Oceania
135.5,-33.83698271,14,1,0.00173913,10234.82352,0.000371251,21.34695842,Oceania
136.5,-33.83698271,20,2,0.00173913,10234.82352,-0.000214982,-12.36148797,Oceania
138.5,-33.83698271,64,2,0.00173913,10234.82352,-0.004514031,-259.5567615,Oceania
139.5,-33.83698271,19,1,0.00173913,10234.82352,-0.000117277,-6.743413569,Oceania
140.5,-33.83698271,16,1,0.00173913,10234.82352,0.00017584,10.11080963,Oceania
141.5,-33.83698271,10,1,0.00173913,10234.82352,0.000762074,43.81925602,Oceania
142.5,-33.83698271,9,1,0.00173913,10234.82352,0.00085978,49.43733041,Oceania
143.5,-33.83698271,6,1,0.00173913,10234.82352,0.001152897,66.29155361,Oceania
144.5,-33.83698271,9,1,0.00173913,10234.82352,0.00085978,49.43733041,Oceania
145.5,-33.83698271,10,1,0.00173913,10234.82352,0.000762074,43.81925602,Oceania
146.5,-33.83698271,9,1,0.00173913,10234.82352,0.00085978,49.43733041,Oceania
147.5,-33.83698271,9,1,0.00173913,10234.82352,0.00085978,49.43733041,Oceania
148.5,-33.83698271,29,2,0.00173913,10234.82352,-0.001094333,-62.92415755,Oceania
149.5,-33.83698271,37,3,0.004,10234.82352,0.000384891,9.622281417,Oceania
150.5,-33.83698271,67,6,0.066666667,10234.82352,0.060120389,90.18058301,Oceania
-71.5,-32.83698271,18,6,0.066666667,10352.45459,0.064927949,97.39192288,South America
-70.5,-32.83698271,19,3,0.004,10352.45459,0.002164686,54.11716171,South America
-32.83698271,,0,3,0.004,10352.45459,0.004,100.0,South America
-32.83698271,,0,6,0.066666667,10352.45459,0.066666667,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,2,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,2,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,2,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,6,0.066666667,10352.45459,0.066666667,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,1,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,0,2,0.00173913,10352.45459,0.00173913,100.0,South America
-32.83698271,,2,1,0.00173913,10352.45459,0.00154594,88.89152336,South America
-52.5,-32.83698271,4,8,0.125,10352.45459,0.124613618,99.69089456,South America
18.5,-32.83698271,4,3,0.004,10352.45459,0.003613618,90.3404551,Africa
19.5,-32.83698271,1,3,0.004,10352.45459,0.003903405,97.58511377,Africa
20.5,-32.83698271,4,3,0.004,10352.45459,0.003613618,90.3404551,Africa
21.5,-32.83698271,6,3,0.004,10352.45459,0.003420427,85.51068265,Africa
22.5,-32.83698271,9,2,0.00173913,10352.45459,0.000869771,50.01185513,Africa
23.5,-32.83698271,3,1,0.00173913,10352.45459,0.001449344,83.33728504,Africa
