evento_id,fecha_hora_utc,lat_grados,lon_grados,profundidad_km,magnitud_ml
324,2020-03-03 18:53:22,41.4914,129.2366,4.3,1.0
326,2020-03-07 22:20:00,41.1152,129.1535,0.7,0.9
327,2020-03-08 10:56:32,41.5272,129.0659,4.0,0.9
330,2020-03-11 17:09:03,41.3234,129.0994,5.9,1.3
332,2020-03-14 12:58:36,41.2092,128.9903,3.7,0.9
334,2020-03-23 15:47:17,41.4605,129.0683,4.5,1.2
335,2020-03-23 16:11:38,41.5767,128.971,3.1,1.0
337,2020-03-24 11:05:10,41.3892,129.0439,1.0,1.5
338,2020-03-30 02:38:19,41.3523,129.101,-0.5,1.2
339,2020-03-30 02:41:37,41.358,129.0954,-0.7,1.2
340,2020-03-30 23:32:25,41.4286,128.9775,0.7,1.4
341,2020-04-01 15:15:01,41.3442,129.1128,-1.6,1.5
342,2020-04-01 16:04:37,41.372,129.0822,-1.7,1.4
343,2020-04-01 18:10:06,41.3657,129.093,-1.6,1.3
344,2020-04-01 18:29:53,41.3196,129.1254,-1.9,1.2
347,2020-04-04 14:44:48,41.4936,129.236,3.9,1.2
348,2020-04-11 16:32:26,41.3163,129.0711,-1.7,1.1
351,2020-04-14 03:21:16,41.4177,129.0262,-1.1,1.8
353,2020-05-05 15:14:04,41.3304,129.0526,-1.5,1.6
354,2020-05-05 18:59:27,41.4458,128.9142,-1.9,1.6
362,2020-07-08 18:54:10,41.2913,129.071,-1.9,1.4
372,2020-09-19 11:22:27,41.2818,129.0355,-1.4,1.8
374,2020-09-30 16:04:02,41.3586,129.0384,-1.6,1.3
375,2020-10-01 04:34:59,41.4697,129.0829,-0.9,1.2
376,2020-10-01 15:38:37,41.408,129.054,-1.6,1.2
377,2020-10-01 17:44:08,41.443,128.983,-1.3,1.1
378,2020-10-02 18:12:58,41.3818,129.1714,-1.5,1.4
379,2020-10-03 13:39:46,41.3156,129.1371,-1.9,1.4
381,2020-10-05 22:14:38,41.3306,129.0304,-1.1,1.4
382,2020-10-06 14:00:48,41.2858,129.188,-1.0,1.2
383,2020-10-08 20:36:35,41.2379,129.0664,-0.2,1.1
385,2020-10-08 21:49:40,41.3882,129.0119,-0.7,1.6
388,2020-10-12 07:17:02,41.2725,129.0484,-0.1,1.9
392,2020-10-22 13:06:51,41.3526,129.0517,-0.5,1.4
395,2020-11-03 10:12:19,41.2334,128.979,-1.8,1.5
397,2020-11-03 10:46:19,41.3386,129.0378,-0.5,1.5
400,2020-11-03 11:28:06,41.2362,128.9856,-1.6,1.6
402,2020-11-04 10:18:44,41.225,129.0718,-1.6,1.9
403,2020-11-05 14:00:25,41.5156,129.0791,3.3,1.5
405,2020-11-08 11:30:40,41.2288,129.1466,-0.3,1.5
406,2020-11-11 06:27:42,41.3854,129.0746,-0.4,1.6
407,2020-11-14 14:45:37,41.2844,129.1541,-1.8,2.3
408,2020-11-14 14:50:34,41.0608,129.0797,-1.9,1.4
410,2020-11-14 15:40:28,41.3,129.1529,-1.8,1.8
411,2020-11-14 16:04:37,41.285,129.1505,-1.7,1.1
412,2020-11-14 18:19:37,41.0586,129.0801,-1.7,1.2
413,2020-11-14 18:37:24,41.285,129.155,-1.6,0.9
417,2020-11-16 09:11:32,41.3366,129.1737,-1.8,2.1
419,2020-11-16 13:38:37,41.361,129.1312,-1.8,1.8
420,2020-11-16 18:10:31,41.4301,129.1003,-1.9,2.7
422,2020-11-16 18:28:12,41.381,129.1476,-1.7,2.0
424,2020-11-17 19:18:45,41.362,129.1302,-1.7,1.8
428,2020-11-20 21:36:01,41.3865,129.0616,-0.5,1.3
430,2020-11-21 15:45:08,41.3843,129.0614,-0.3,1.0
438,2020-12-02 20:36:46,41.3127,129.1664,-1.7,1.2
441,2020-12-08 06:31:46,41.3566,129.1061,-1.9,1.1
443,2020-12-09 10:01:17,41.3895,129.0835,-1.7,1.3
444,2020-12-10 14:45:03,41.3603,129.1692,-1.9,0.9
445,2020-12-10 22:37:04,41.4005,129.1025,-0.9,1.1
446,2020-12-11 13:41:02,41.4061,129.0649,-1.3,1.0
448,2020-12-14 17:27:28,41.3882,129.0745,-0.3,1.2
450,2020-12-17 12:17:11,41.3229,129.1339,-1.6,1.3
451,2020-12-19 17:29:20,41.3901,129.1013,-0.5,1.0
453,2020-12-22 12:20:02,41.2633,129.203,-1.4,1.0
457,2020-12-27 22:36:41,41.432,129.0755,-1.9,1.0
458,2020-12-28 15:58:24,41.4024,129.1212,-1.3,0.9
460,2020-12-28 20:43:01,41.3744,129.1089,-1.8,1.4
462,2021-01-03 19:06:52,41.4482,128.8902,-1.4,1.1
463,2021-01-04 16:53:15,41.3104,129.0789,-1.7,0.9
466,2021-01-11 16:00:01,41.3568,129.1322,-1.9,1.2
467,2021-01-21 17:14:30,41.3846,129.0822,-0.5,0.9
468,2021-01-24 18:01:07,41.3458,129.0482,-1.6,1.0
469,2021-01-24 18:05:22,41.2075,129.108,-1.5,0.8
470,2021-01-24 18:33:32,41.3329,129.0528,-1.7,0.8
471,2021-01-25 18:39:39,41.4572,129.0566,-1.9,0.9
472,2021-01-25 21:53:08,41.3502,129.1672,-1.6,0.8
474,2021-01-30 15:07:47,41.3433,129.1701,-1.3,2.3
475,2021-01-30 19:54:06,41.3832,129.1241,-1.9,1.1
