prolific_id,condition,political_affiliation,blame_prescriptive,praise_prescriptive,emotion_prescriptive,poli_prescriptive,blame_descriptive,praise_descriptive,emotion_descriptive,political_descriptive,affect_polarization,poli_extreme
78,algorithmic,democrat,5.0,6.0,6.0,6.0,65.0,65.0,65.0,80.0,4.0,3.0
79,control,republican,2.0,7.0,6.0,6.0,69.0,72.0,61.0,75.0,2.0,2.0
80,control,democrat,4.0,4.0,4.0,4.0,48.0,51.0,55.0,54.0,3.0,3.0
81,control,republican,5.0,5.0,2.0,5.0,63.0,37.0,12.0,83.0,2.0,1.0
82,algorithmic,democrat,4.0,7.0,5.0,5.0,36.0,29.0,25.0,70.0,3.0,1.0
83,control,republican,4.0,6.0,5.0,5.0,30.0,70.0,60.0,85.0,4.0,4.0
84,control,democrat,4.0,5.0,4.0,4.0,80.0,55.0,35.0,90.0,2.0,3.0
87,control,democrat,2.0,7.0,4.0,7.0,38.0,24.0,5.0,87.0,2.0,3.0
88,algorithmic,democrat,3.0,7.0,5.0,7.0,24.0,80.0,43.0,85.0,3.0,1.0
89,control,republican,6.0,5.0,6.0,5.0,74.0,85.0,23.0,84.0,2.0,4.0
90,control,republican,1.0,5.0,4.0,3.0,70.0,60.0,40.0,85.0,4.0,1.0
91,control,republican,3.0,5.0,5.0,5.0,25.0,80.0,70.0,70.0,5.0,4.0
92,control,democrat,2.0,5.0,4.0,4.0,29.0,27.0,27.0,74.0,4.0,3.0
93,algorithmic,democrat,3.0,5.0,7.0,7.0,88.0,89.0,77.0,97.0,4.0,4.0
95,algorithmic,republican,4.0,5.0,3.0,3.0,64.0,40.0,43.0,38.0,2.0,2.0
96,control,democrat,4.0,7.0,5.0,5.0,50.0,50.0,50.0,65.0,2.0,2.0
97,algorithmic,democrat,4.0,7.0,7.0,7.0,85.0,100.0,100.0,100.0,3.0,1.0
98,algorithmic,democrat,4.0,6.0,6.0,6.0,38.0,69.0,32.0,83.0,3.0,1.0
99,control,republican,4.0,6.0,6.0,4.0,76.0,65.0,50.0,85.0,4.0,4.0
100,algorithmic,democrat,5.0,7.0,6.0,7.0,65.0,45.0,55.0,75.0,4.0,2.0
101,control,democrat,7.0,7.0,7.0,7.0,60.0,10.0,70.0,90.0,5.0,2.0
102,algorithmic,democrat,7.0,7.0,5.0,7.0,60.0,35.0,30.0,96.0,4.0,3.0
103,algorithmic,democrat,2.0,6.0,4.0,4.0,44.0,53.0,21.0,75.0,3.0,2.0
104,control,democrat,2.0,5.0,5.0,5.0,49.0,49.0,30.0,83.0,4.0,3.0
105,control,democrat,3.0,4.0,5.0,3.0,90.0,80.0,45.0,95.0,4.0,3.0
106,control,democrat,3.0,3.0,3.0,3.0,61.0,59.0,61.0,61.0,4.0,4.0
107,control,democrat,4.0,6.0,4.0,5.0,70.0,40.0,65.0,85.0,3.0,3.0
108,algorithmic,republican,5.0,5.0,6.0,6.0,63.0,43.0,58.0,73.0,4.0,3.0
109,control,democrat,3.0,5.0,5.0,5.0,75.0,72.0,66.0,75.0,4.0,4.0
110,control,republican,4.0,4.0,4.0,4.0,55.0,60.0,32.0,86.0,5.0,1.0
111,control,democrat,2.0,7.0,6.0,6.0,40.0,30.0,45.0,70.0,4.0,3.0
112,control,republican,5.0,7.0,7.0,7.0,57.0,42.0,37.0,90.0,3.0,2.0
113,algorithmic,democrat,5.0,6.0,6.0,7.0,45.0,48.0,63.0,90.0,4.0,3.0
114,algorithmic,republican,3.0,6.0,6.0,6.0,51.0,65.0,54.0,83.0,2.0,1.0
117,control,democrat,1.0,7.0,7.0,4.0,85.0,18.0,74.0,50.0,3.0,3.0
118,algorithmic,republican,6.0,7.0,7.0,7.0,18.0,66.0,3.0,100.0,2.0,3.0
120,control,democrat,6.0,7.0,6.0,6.0,88.0,71.0,23.0,76.0,4.0,3.0
121,control,democrat,4.0,7.0,4.0,7.0,60.0,50.0,75.0,85.0,4.0,3.0
122,algorithmic,republican,1.0,1.0,1.0,5.0,31.0,28.0,10.0,85.0,4.0,5.0
123,algorithmic,lean_democrat,4.0,5.0,2.0,3.0,70.0,72.0,72.0,73.0,3.0,2.0
124,algorithmic,republican,3.0,7.0,7.0,4.0,29.0,90.0,70.0,83.0,1.0,4.0
125,control,democrat,4.0,6.0,6.0,6.0,50.0,50.0,15.0,80.0,4.0,3.0
126,control,democrat,5.0,6.0,5.0,5.0,66.0,84.0,13.0,94.0,2.0,3.0
127,control,democrat,6.0,5.0,5.0,7.0,58.0,42.0,43.0,77.0,4.0,4.0
128,algorithmic,republican,3.0,5.0,5.0,5.0,38.0,61.0,62.0,56.0,2.0,4.0
130,algorithmic,republican,4.0,4.0,4.0,7.0,0.0,55.0,50.0,100.0,4.0,5.0
131,algorithmic,democrat,1.0,7.0,7.0,6.0,42.0,71.0,25.0,99.0,1.0,1.0
132,algorithmic,republican,4.0,4.0,4.0,4.0,52.0,51.0,61.0,51.0,4.0,4.0
133,control,republican,3.0,5.0,5.0,6.0,33.0,55.0,20.0,80.0,3.0,2.0
134,algorithmic,republican,2.0,4.0,5.0,6.0,78.0,32.0,41.0,93.0,4.0,4.0
135,algorithmic,republican,5.0,5.0,4.0,5.0,90.0,45.0,32.0,98.0,4.0,4.0
136,algorithmic,republican,2.0,6.0,5.0,5.0,60.0,40.0,50.0,75.0,3.0,2.0
137,control,republican,2.0,7.0,6.0,5.0,74.0,31.0,31.0,33.0,3.0,4.0
138,algorithmic,lean_democrat,1.0,7.0,7.0,7.0,62.0,77.0,17.0,86.0,4.0,4.0
139,control,democrat,3.0,5.0,5.0,5.0,70.0,20.0,60.0,85.0,4.0,5.0
140,control,democrat,3.0,6.0,6.0,4.0,75.0,65.0,40.0,85.0,2.0,3.0
141,algorithmic,democrat,6.0,7.0,4.0,7.0,37.0,63.0,36.0,88.0,3.0,1.0
142,control,democrat,5.0,7.0,5.0,3.0,62.0,16.0,12.0,81.0,4.0,3.0
143,control,democrat,3.0,6.0,6.0,4.0,60.0,40.0,30.0,85.0,4.0,3.0
145,algorithmic,republican,7.0,7.0,7.0,7.0,50.0,50.0,78.0,86.0,5.0,1.0
146,algorithmic,republican,4.0,7.0,7.0,7.0,57.0,62.0,61.0,61.0,3.0,5.0
147,control,democrat,3.0,5.0,4.0,4.0,65.0,35.0,25.0,80.0,3.0,2.0
148,algorithmic,republican,5.0,7.0,6.0,7.0,73.0,65.0,79.0,91.0,1.0,4.0
149,algorithmic,democrat,3.0,5.0,4.0,5.0,32.0,55.0,54.0,55.0,2.0,4.0
150,algorithmic,republican,4.0,7.0,7.0,6.0,67.0,78.0,56.0,82.0,4.0,3.0
151,algorithmic,democrat,5.0,6.0,6.0,7.0,53.0,71.0,34.0,98.0,4.0,1.0
152,algorithmic,democrat,3.0,6.0,4.0,6.0,11.0,92.0,36.0,81.0,3.0,1.0
153,control,republican,5.0,7.0,5.0,7.0,58.0,60.0,61.0,85.0,1.0,4.0
154,control,democrat,5.0,6.0,6.0,7.0,68.0,58.0,61.0,67.0,4.0,3.0
155,control,republican,2.0,5.0,5.0,5.0,60.0,15.0,34.0,41.0,5.0,4.0
156,algorithmic,democrat,3.0,7.0,6.0,7.0,65.0,78.0,68.0,79.0,4.0,4.0
157,control,republican,2.0,6.0,3.0,1.0,66.0,56.0,46.0,87.0,5.0,4.0
158,algorithmic,democrat,2.0,6.0,5.0,6.0,20.0,80.0,60.0,65.0,4.0,1.0
159,algorithmic,republican,2.0,5.0,5.0,5.0,60.0,40.0,40.0,85.0,3.0,2.0
160,control,republican,2.0,5.0,3.0,6.0,65.0,35.0,10.0,85.0,5.0,5.0
161,control,republican,5.0,4.0,5.0,4.0,85.0,68.0,70.0,79.0,3.0,4.0
162,control,democrat,4.0,4.0,4.0,4.0,50.0,50.0,50.0,50.0,4.0,4.0
163,algorithmic,republican,1.0,6.0,6.0,5.0,65.0,75.0,50.0,85.0,4.0,4.0
164,algorithmic,republican,3.0,7.0,5.0,6.0,41.0,73.0,31.0,92.0,2.0,4.0
165,algorithmic,republican,5.0,6.0,6.0,6.0,35.0,89.0,58.0,91.0,3.0,2.0
166,algorithmic,republican,3.0,6.0,6.0,7.0,25.0,2.0,29.0,97.0,5.0,4.0
167,algorithmic,democrat,1.0,3.0,2.0,2.0,0.0,38.0,34.0,17.0,2.0,2.0
168,control,democrat,4.0,4.0,4.0,4.0,63.0,42.0,40.0,74.0,2.0,2.0
169,algorithmic,republican,1.0,7.0,2.0,2.0,54.0,46.0,20.0,92.0,4.0,1.0
170,control,democrat,4.0,6.0,6.0,7.0,65.0,77.0,47.0,81.0,5.0,2.0
171,algorithmic,republican,4.0,6.0,5.0,4.0,40.0,60.0,20.0,80.0,3.0,4.0
172,algorithmic,democrat,4.0,6.0,6.0,5.0,92.0,67.0,16.0,93.0,3.0,2.0
173,algorithmic,democrat,6.0,6.0,4.0,7.0,40.0,20.0,30.0,82.0,2.0,3.0
174,control,republican,1.0,6.0,4.0,2.0,60.0,43.0,54.0,73.0,4.0,4.0
175,control,democrat,5.0,6.0,5.0,4.0,64.0,63.0,38.0,40.0,4.0,3.0
177,control,republican,5.0,4.0,5.0,5.0,63.0,53.0,65.0,37.0,3.0,4.0
178,algorithmic,democrat,5.0,5.0,4.0,5.0,65.0,33.0,61.0,95.0,4.0,3.0
179,control,democrat,4.0,7.0,7.0,4.0,69.0,82.0,97.0,82.0,3.0,3.0
180,algorithmic,democrat,6.0,5.0,6.0,7.0,60.0,45.0,57.0,75.0,4.0,3.0
181,control,lean_republican,4.0,4.0,4.0,4.0,54.0,55.0,52.0,52.0,3.0,3.0
182,control,republican,3.0,6.0,5.0,5.0,45.0,71.0,52.0,63.0,1.0,1.0
183,control,democrat,5.0,5.0,5.0,5.0,58.0,35.0,33.0,35.0,2.0,1.0
184,control,republican,5.0,6.0,3.0,6.0,83.0,74.0,38.0,82.0,3.0,4.0
185,algorithmic,republican,6.0,7.0,7.0,7.0,65.0,85.0,65.0,85.0,2.0,4.0
186,algorithmic,republican,5.0,5.0,5.0,6.0,35.0,60.0,46.0,86.0,2.0,2.0
187,control,democrat,5.0,7.0,3.0,6.0,30.0,60.0,10.0,75.0,5.0,3.0
188,control,democrat,5.0,6.0,6.0,7.0,12.0,90.0,67.0,65.0,4.0,1.0
189,control,republican,3.0,6.0,4.0,5.0,50.0,50.0,70.0,70.0,3.0,1.0
190,algorithmic,democrat,7.0,7.0,4.0,7.0,50.0,50.0,20.0,90.0,3.0,3.0
191,control,democrat,4.0,5.0,5.0,5.0,40.0,29.0,19.0,70.0,3.0,2.0
192,control,republican,4.0,4.0,4.0,5.0,65.0,35.0,69.0,61.0,5.0,5.0
193,control,republican,5.0,4.0,5.0,6.0,68.0,58.0,70.0,63.0,3.0,3.0
194,control,republican,1.0,7.0,1.0,4.0,60.0,40.0,40.0,80.0,4.0,4.0
195,algorithmic,democrat,3.0,6.0,5.0,5.0,70.0,30.0,50.0,80.0,3.0,4.0
196,control,republican,2.0,6.0,6.0,4.0,80.0,75.0,65.0,85.0,2.0,3.0
197,algorithmic,republican,5.0,7.0,6.0,6.0,70.0,55.0,7.0,87.0,5.0,4.0
198,control,republican,7.0,7.0,7.0,7.0,50.0,50.0,45.0,95.0,5.0,4.0
199,algorithmic,republican,1.0,7.0,6.0,5.0,60.0,40.0,35.0,70.0,4.0,4.0
200,algorithmic,democrat,4.0,5.0,6.0,4.0,35.0,60.0,30.0,50.0,3.0,4.0
201,algorithmic,democrat,5.0,6.0,5.0,5.0,68.0,37.0,67.0,66.0,2.0,2.0
202,algorithmic,democrat,2.0,6.0,6.0,6.0,66.0,78.0,71.0,100.0,4.0,3.0
203,control,republican,5.0,6.0,4.0,5.0,72.0,64.0,63.0,61.0,3.0,4.0
204,control,democrat,3.0,6.0,7.0,6.0,39.0,45.0,81.0,82.0,2.0,3.0
205,algorithmic,republican,5.0,7.0,6.0,7.0,44.0,50.0,32.0,87.0,1.0,4.0
206,control,democrat,4.0,6.0,6.0,5.0,63.0,84.0,70.0,74.0,2.0,3.0
207,algorithmic,democrat,2.0,6.0,6.0,6.0,80.0,80.0,24.0,100.0,4.0,3.0
208,algorithmic,democrat,3.0,5.0,5.0,6.0,68.0,32.0,56.0,89.0,4.0,3.0
209,algorithmic,republican,6.0,6.0,5.0,6.0,37.0,85.0,27.0,92.0,2.0,4.0
210,control,democrat,5.0,7.0,6.0,5.0,50.0,50.0,40.0,80.0,5.0,4.0
211,control,democrat,3.0,6.0,5.0,5.0,64.0,47.0,19.0,61.0,3.0,3.0
212,control,republican,6.0,7.0,7.0,5.0,60.0,40.0,30.0,96.0,4.0,1.0
213,control,republican,7.0,7.0,7.0,7.0,99.0,98.0,100.0,98.0,5.0,5.0
214,control,republican,5.0,3.0,5.0,5.0,61.0,60.0,59.0,66.0,4.0,3.0
215,algorithmic,democrat,6.0,7.0,7.0,7.0,89.0,80.0,44.0,71.0,3.0,3.0
216,control,democrat,4.0,6.0,6.0,6.0,45.0,40.0,50.0,80.0,4.0,3.0
217,algorithmic,democrat,5.0,3.0,2.0,7.0,81.0,39.0,23.0,84.0,4.0,3.0
218,algorithmic,republican,7.0,7.0,7.0,7.0,100.0,100.0,100.0,100.0,2.0,4.0
219,algorithmic,democrat,5.0,6.0,4.0,7.0,33.0,63.0,34.0,84.0,4.0,4.0
220,control,democrat,5.0,6.0,6.0,7.0,60.0,41.0,30.0,85.0,2.0,4.0
221,control,republican,5.0,5.0,5.0,5.0,60.0,20.0,30.0,70.0,1.0,2.0
222,algorithmic,democrat,4.0,4.0,7.0,4.0,100.0,100.0,100.0,100.0,3.0,5.0
223,algorithmic,democrat,6.0,7.0,5.0,7.0,66.0,94.0,57.0,89.0,4.0,1.0
224,algorithmic,republican,5.0,6.0,7.0,7.0,79.0,77.0,24.0,92.0,4.0,2.0
225,algorithmic,republican,6.0,6.0,5.0,5.0,45.0,55.0,33.0,76.0,3.0,2.0
226,algorithmic,democrat,4.0,4.0,4.0,4.0,50.0,50.0,50.0,50.0,2.0,2.0
227,control,democrat,2.0,2.0,4.0,3.0,78.0,39.0,66.0,90.0,4.0,4.0
228,control,republican,3.0,7.0,5.0,7.0,44.0,57.0,67.0,82.0,5.0,4.0
229,algorithmic,democrat,5.0,7.0,7.0,7.0,72.0,89.0,63.0,96.0,4.0,1.0
230,algorithmic,republican,5.0,3.0,6.0,7.0,79.0,38.0,71.0,70.0,3.0,3.0
231,algorithmic,democrat,6.0,6.0,6.0,6.0,40.0,39.0,52.0,78.0,4.0,2.0
232,algorithmic,republican,2.0,6.0,6.0,6.0,30.0,50.0,25.0,80.0,2.0,2.0
233,algorithmic,republican,5.0,6.0,5.0,5.0,40.0,60.0,41.0,92.0,3.0,3.0
234,control,democrat,6.0,7.0,6.0,7.0,40.0,60.0,55.0,70.0,4.0,2.0
235,algorithmic,republican,5.0,4.0,6.0,5.0,87.0,70.0,85.0,66.0,3.0,4.0
236,control,democrat,2.0,6.0,3.0,6.0,15.0,77.0,36.0,80.0,3.0,2.0
237,control,democrat,5.0,7.0,3.0,7.0,64.0,78.0,34.0,90.0,2.0,3.0
238,algorithmic,republican,4.0,5.0,4.0,6.0,36.0,70.0,50.0,87.0,2.0,3.0
239,control,republican,2.0,5.0,5.0,3.0,79.0,41.0,66.0,97.0,4.0,4.0
240,control,democrat,5.0,6.0,6.0,6.0,65.0,64.0,74.0,64.0,3.0,4.0
241,control,democrat,2.0,5.0,6.0,6.0,32.0,69.0,82.0,83.0,3.0,2.0
242,control,democrat,4.0,5.0,5.0,5.0,68.0,70.0,65.0,65.0,2.0,4.0
243,algorithmic,democrat,5.0,5.0,5.0,7.0,45.0,64.0,44.0,81.0,4.0,4.0
244,algorithmic,republican,3.0,6.0,5.0,4.0,30.0,25.0,40.0,35.0,3.0,3.0
245,control,democrat,7.0,7.0,7.0,7.0,35.0,35.0,20.0,70.0,4.0,2.0
246,control,republican,2.0,6.0,4.0,4.0,25.0,22.0,13.0,35.0,3.0,3.0
247,algorithmic,democrat,3.0,5.0,6.0,5.0,66.0,56.0,86.0,87.0,1.0,2.0
248,control,democrat,5.0,6.0,6.0,6.0,66.0,50.0,63.0,72.0,4.0,3.0
249,algorithmic,republican,7.0,7.0,7.0,7.0,88.0,14.0,50.0,84.0,4.0,2.0
250,control,democrat,3.0,5.0,5.0,6.0,61.0,43.0,22.0,76.0,3.0,2.0
251,control,republican,3.0,3.0,4.0,4.0,50.0,40.0,88.0,90.0,4.0,4.0
252,control,republican,5.0,7.0,7.0,6.0,38.0,22.0,0.0,63.0,2.0,1.0
253,control,republican,2.0,6.0,5.0,5.0,70.0,80.0,35.0,85.0,3.0,3.0
254,algorithmic,republican,5.0,6.0,6.0,6.0,70.0,66.0,71.0,92.0,3.0,3.0
255,control,republican,6.0,6.0,6.0,6.0,84.0,83.0,87.0,82.0,3.0,4.0
256,control,republican,6.0,6.0,7.0,7.0,41.0,62.0,57.0,73.0,4.0,4.0
257,algorithmic,republican,2.0,5.0,5.0,4.0,100.0,34.0,7.0,100.0,5.0,5.0
258,algorithmic,democrat,5.0,6.0,6.0,7.0,80.0,80.0,25.0,100.0,4.0,4.0
259,algorithmic,republican,2.0,6.0,5.0,5.0,59.0,60.0,56.0,75.0,3.0,4.0
260,algorithmic,democrat,5.0,5.0,5.0,5.0,83.0,35.0,27.0,93.0,2.0,2.0
261,algorithmic,democrat,4.0,6.0,6.0,6.0,77.0,75.0,59.0,93.0,3.0,2.0
262,algorithmic,democrat,4.0,7.0,7.0,5.0,59.0,74.0,78.0,67.0,1.0,2.0
263,algorithmic,democrat,3.0,7.0,7.0,7.0,28.0,77.0,82.0,88.0,2.0,3.0
264,algorithmic,democrat,6.0,5.0,6.0,6.0,36.0,87.0,61.0,89.0,2.0,3.0
265,control,democrat,5.0,5.0,7.0,7.0,78.0,81.0,47.0,86.0,4.0,4.0
266,control,democrat,3.0,6.0,6.0,6.0,80.0,20.0,27.0,93.0,5.0,3.0
267,algorithmic,democrat,6.0,7.0,6.0,7.0,30.0,45.0,52.0,77.0,3.0,2.0
268,control,republican,5.0,7.0,5.0,7.0,76.0,71.0,54.0,90.0,4.0,4.0
269,algorithmic,republican,5.0,5.0,5.0,5.0,68.0,69.0,69.0,69.0,3.0,4.0
270,control,democrat,6.0,6.0,7.0,5.0,80.0,14.0,8.0,86.0,4.0,4.0
271,algorithmic,democrat,6.0,7.0,6.0,7.0,30.0,75.0,90.0,95.0,4.0,1.0
272,control,republican,6.0,6.0,6.0,6.0,52.0,47.0,19.0,79.0,2.0,3.0
273,control,democrat,1.0,4.0,4.0,4.0,89.0,65.0,24.0,92.0,5.0,4.0
274,algorithmic,republican,5.0,5.0,6.0,5.0,81.0,66.0,67.0,65.0,3.0,4.0
275,algorithmic,democrat,6.0,6.0,5.0,6.0,60.0,40.0,25.0,90.0,2.0,3.0
277,control,republican,4.0,7.0,7.0,7.0,25.0,50.0,25.0,50.0,1.0,1.0
278,algorithmic,democrat,6.0,7.0,7.0,7.0,60.0,75.0,40.0,90.0,3.0,1.0
279,control,democrat,5.0,6.0,6.0,6.0,62.0,40.0,31.0,83.0,2.0,3.0
280,algorithmic,republican,4.0,5.0,6.0,4.0,51.0,49.0,52.0,54.0,3.0,3.0
281,algorithmic,republican,5.0,5.0,4.0,7.0,31.0,50.0,68.0,95.0,3.0,5.0
282,control,lean_democrat,3.0,5.0,4.0,4.0,81.0,35.0,62.0,84.0,3.0,2.0
283,algorithmic,republican,3.0,5.0,5.0,4.0,24.0,61.0,68.0,77.0,2.0,4.0
284,algorithmic,democrat,5.0,7.0,4.0,6.0,69.0,55.0,27.0,93.0,1.0,1.0
285,algorithmic,democrat,4.0,5.0,6.0,6.0,58.0,62.0,54.0,81.0,3.0,1.0
286,control,republican,2.0,6.0,5.0,6.0,42.0,55.0,52.0,71.0,3.0,3.0
287,control,republican,5.0,6.0,5.0,4.0,70.0,75.0,72.0,51.0,4.0,3.0
288,algorithmic,republican,3.0,6.0,4.0,5.0,36.0,81.0,39.0,83.0,2.0,4.0
289,algorithmic,democrat,5.0,6.0,5.0,5.0,49.0,49.0,50.0,49.0,1.0,1.0
290,control,democrat,4.0,7.0,6.0,6.0,36.0,40.0,7.0,85.0,2.0,2.0
291,control,democrat,5.0,6.0,6.0,6.0,70.0,61.0,40.0,79.0,4.0,2.0
292,algorithmic,republican,5.0,5.0,5.0,5.0,64.0,51.0,34.0,92.0,2.0,2.0
293,algorithmic,republican,4.0,6.0,6.0,6.0,5.0,42.0,0.0,85.0,1.0,2.0
294,control,democrat,5.0,5.0,6.0,6.0,46.0,30.0,64.0,75.0,5.0,4.0
295,control,republican,1.0,7.0,4.0,7.0,73.0,100.0,62.0,86.0,3.0,3.0
296,algorithmic,republican,4.0,6.0,6.0,5.0,48.0,60.0,80.0,90.0,2.0,4.0
